"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"北鸢_夜离血","男","广东","435334534","6","洛天依·最美的夜","10000","4171","","本期音乐会包括但不限于,《一定是米哈游干的》,《买卖手脚の老阿姨的露脸》,《我两年的夙愿——千年之羽》,《渡尘，starfall，最后一课等经典催泪弹》,《识宝排面》,《究极无敌巨他妈可爱的琪亚娜》,《薪炎永燃，以此烈火，斩无不断》,《小林未郁，周深没来的怨念》,《创死他克里希那》,《女武神们的高光》,《主教带人的最后一波高光》,《十三英桀的华丽谢幕，大型认亲现场》,《刀子》,《爱门》,《我永远喜欢爱莉希雅》,                               ——以上"
"解放ForTheMasses","保密","四川","25818042","6","格兰芬多","10000","52606","10","时间表来啦～舰伥们顶我上去[崩坏3·光辉矢愿_回眸],0:00   开场,2:12    Sweet trap『祖传小曲儿』,4:18    往世的叙事诗『行至至深』,9:02    Devouring Snake『蛇蛇曲』,11:13    Elastic Force『猫猫曲』,13:11    Twisted Chants『阿波尼亚』,15:19   TruE『因你而在的故事』,18:29   Reburn『舰青回』,22:50   Nightglow『最后一课』,26:00   Starfall『天穹流星』,29:11    Cyberangel『天使重构』,32:00   崩坏世界的歌姬『罪人挽歌』,35:15    尘寰千载归太虚&Rubia,41:15    Regression『阿波卡利斯如是说』,45:40   Oracle『后崩坏书2.0』,49:01    众星的旅途『崩坏3 PV编曲』,56:04   万舰合唱『Moon Halo』,59:43   结束语及工作人员鸣谢"
"拂袖打马走天涯","保密","四川","23658093","6","","10000","13742","","节目顺序,（我发现崩3的大多数歌是真难唱啊）,5.1pv音乐 sweet trap,乐土pv音乐 往世的叙事诗,梅比乌斯角色曲 Devouring Snake,帕朵菲莉丝角色曲 Elastic Force,阿波尼亚和伊甸角色曲 Twisted Chants,「因你而在的故事」印象曲 TruE,「重燃」印象曲 Reburn,「最后一课」印象曲Nightglow,「天穹流星」印象曲 Starfall,「天使重构」印象曲 cyberangel（蒙面歌王hanser真没绷住）,「罪人挽歌」印象曲 崩坏世界的歌姬,神州音乐组曲  尘寰千载归太虚,「阿波卡利斯如是说」印象曲 Regression,「后崩坏书2.0」主题曲 Oracle,崩坏3pv组曲 众星的旅途（按照顺序应该是炎律 冰希 迷迭 云墨 德尔塔 识宝 霞 天元 星塔 ）,Moon Halo 演唱者：全世界的舰长们,结尾成员列表 「冬之记忆」短片音乐"
"吾栖梧","男","山东","8543973","6","","10000","9089","","这场音乐会连着演唱、演奏好几首动画短片的主题曲，几乎每一首都有人刷“刀”。,我并不反对玩家们刷“刀”，但也希望大家能在此之下进行一些思考。,,爱莉希雅始终在重复一句话：,「悲剧并非终结，而是希望的起始。」,这句话并不只是能概括往世乐土这一篇章，而是足以贯穿整个崩坏三故事。瓦尔特和布洛妮娅如此，姬子和琪亚娜如此，塞西莉亚和幽兰黛尔如此，甚至连奥托与卡莲都是如此，到现在的十三英桀与芽衣更是如此。崩坏三的故事绝不是浮于表面的“有人牺牲”即人们口中“刀”这么简单，而是有意义的牺牲，而不是像奥尔加团长一样死的毫无意义。,,很多角色自从诞生起就注定了ta的故事一定是悲剧，但也不得不承认，正因为他们的故事是悲剧，才能在我们心中留下更深刻的烙印。,正因为有悲剧，我们才能更加珍惜生活的美好。我们在欣赏剧情时不能仅仅在意故事情节，剧情引发的思考才是最关键的。因此在某种意义上，编剧并没有背离“为世界上所有的美好而战”的初衷，只不过用悲剧的方式促使玩家思考。,,所以，让我们相信，编剧一定可以让琪亚娜「把这个不完美的故事，变成我们所期望的样子」。,,就像爱莉最后伴着起舞的歌词一样，,May all the beauty be blessed."
"神前之月","男","广东","2881744","6","","10000","8354","","我忘了时间了,粘贴一下我自己写的诗,往世的名号,【神前之月】,你要记得我们的名字,世界要记得我们的传说,我们真实的一生,我们虚妄的岁月,十三个名号,概括十三个人生,要让那时光也无法磨灭,要让人类为我们喝彩,天地呀，铭刻我们的故事,宇宙呀，记录我们的意志,人生来本没有意义,但，历史会给予它意义（浮生）,在所有的绚丽中,要画出自己的颜色（繁星）,在无限的循环中,超越每一个自我（无限）,在红尘中挣扎,在人世中洒脱（空梦）,在每一个刹那,刻下每一个真我（刹那）,人海茫茫无数因果,但走我路不执解脱（天慧）,听得真心怒火狂燃,不愿卑躬不想屈从（鏖灭）,人心万千，欲壑难填,言之一戒，律己护身（戒律）,旭光一缕虽然单薄,但知黎明将要到来（旭光）,矛盾对立，真理归一,手握螺旋，扭动常理（螺旋）,世间美好，杯酒相敬,愿它们一如黄金般辉煌（黄金）,所有的翻覆，孤身的路途,救世艰险，万世难度（救世）,星月的结晶，飞花的赠礼,唯一的真我，唯我的爱意（真我）"
"林龙在划水","男","山东","177565411","5","","10000","13038","","一首MoonHalo，不仅是献给了全球舰长，更是对这漫漫6年之路的宣告，她告诉我们，世界依旧美好，人们依旧美好，人世间的事物依旧美好。正如爱莉所说：“悲伤也好，快乐也好，他们虽然飘渺短暂，但仍可以在你心中停留…”感谢崩坏3给我们带来那么多美好的事物，为世界上所有美好而战！[打call]"
"Sennyuki风早千雪","男","山东","23938690","6","异常生物","10000","4788","12","这是我看过的最棒的音乐会！[崩坏3·光辉矢愿_比心]"
"秋水明川路","保密","四川","32777914","6","","10000","3683","6","我是和自己一个不玩崩三的朋友一起看的音乐会，最后一段大合唱我哭得稀里哗啦，她不太理解但是一直在手忙脚乱地安慰我。我哭着不知道该怎么解释我是怎么了。是被虐了吗？是觉得刀吗？都不是哦……,我是觉得真好啊，我虽然好多次都说当初不应该下载崩坏三，但是我所遇到的每一个角色都在用他们的故事告诉我，我真的好幸运，有幸遇见崩坏三，遇见他们……他们就像星星一样汇聚起来照亮我的过往与我的未来。他们也像星空一样，把同一片星空之下，本该毫无联系的许许多多的人连接在了一起，告诉我这个世界依旧美好。,曾经有人说“虚拟”是没有意义的。但是米哈游，借爱莉希雅之口告诉我们“欢乐也好，悲伤也好，它们虽然飘渺短暂，但却可以在你心中停留，陪着你，一路绽放”。故事和梦都有结束的一天，但是他们曾经带来的感动却可以让我们走得很远很远……,谢谢你米哈游，谢谢你爱莉希雅，谢谢崩坏3rd的大家。"
"HOYO-MiX","保密","上海","1401735960","6","","10000","2944","","忍不住深夜再来亿遍！！"
"方兮然","保密","广东","85348146","6","","10000","231","","呐，米哈游，你知道吗,我当时重度抑郁，已经没有活下去的勇气了，每晚都在努力的控制自己不做傻事。,直到，我偶然看见应用商店的崩坏三。,崩坏三陪了我许多年，从重病、到痊愈，一直到现在像个正常人一样工作吃饭睡觉。,不多，但是太过美好，以至于我一个容易厌倦生命的人，愿意将自己的坏计划一次又一次的延期，直到完全消失。每次只要难过，只要想着新版本、新游戏、你们没填的坑，心里就烧的慌。,每次问卷调查我都会很用心的填，看到爱酱那句“每一条我都会认真看的哦”，就忍不住手痒，多发几句祝福的话语。天冷了记得穿衣、不要累到了之类的……,谢谢你们陪伴我这么久，希望从今往后，来日方长[脱单doge]"
"企鹅带带北极熊","女","安徽","551188239","6","","10000","402","","[崩坏3·光辉矢愿_小喇叭]小喇叭：那个伴着舰长们歌声起舞的爱莉希雅！真的太美啦！"
"弈轩若华","保密","福建","287199184","5","","10000","87","","凭心而论，这次音乐会真的是面面俱到，天衣无缝，娓娓动听，仙弦轻舞；论赞颂英雄们其身如炬，矢志不渝的永燃之心，十三英桀组曲，True，Nightglow，Starfall，Oracle，Rubia，版本pv组曲中炎律天元部分，加上收尾部分MoonHalo这些惊艳片段真的让人心潮澎湃，百感交织（这些地方真的是让人泪光微润，泪眼婆娑，着实感人肺腑，动人心弦）；要论美轮美奂空灵优雅的话，迷迭和爱莉版本组曲，神州组曲，众星的旅途之所有，cyberangel这些惊艳片段也是令人沉醉，难以忘怀（高雅上流，燕尾服配美酒[doge]），论光阴荏苒，蓦然回首往昔时光的话，千年之羽，崩坏世界的歌姬，Reburn依旧稳定发挥（爷青回），希望这些天籁之音，神曲仙乐能够因为各位最为真挚炽烈的热爱回忆与守望祝福而洗尽铅华，历久弥新，毕竟闻曲如此，此生无憾嘛。"
"希临使徒","男","吉林","397883721","6","崩坏3·天穹流星","10000","28","10","意难平呀～大家一起合唱,moon halo这里真的是……哭的快和去年7月9号中午12点看,《薪炎永燃》时一样惨了QAQ,,原来上半年募集舰长们真人出镜的moon halo翻唱是在准备这个，有心了！[打call]今年又是50万份原画集又是精心准备音乐会的，诚意溢出啊！,[崩坏3_特效][崩坏3_唢呐][崩坏3_琵琶][崩坏3_二胡][崩坏3_笛子][崩坏3_镲]"
"千律0002","保密","河南","397007282","5","","10000","13","10","“嘴一个嘴一个！！入我爱门终身不悔！！”这尼玛想的标题啊[笑哭],嘴一个！！！"
"十神绯夜","男","河南","3812","6","","10000","16","8","我是真的喜欢hanser这个打扮。我看油管好多老外都在惊叹这是真人板鸭，太可爱了。,,音乐会几首改编都太棒了，完全超出了我的期待。除了一些肉麻的赞美之外，我就说不出其他话语了。就连超神之类的形容词都显得单薄廉价。"
"卖盒饭的小哥","保密","四川","23477278","6","","10000","20","","其实上也没必要再管什么原唱不原唱，你可以参考参考隔壁东映的每年假面骑士演唱会，东映论资金可以说是在日本影视界内基本无敌的存在，都有一大堆人都请不来，每年都是有位哥们代唱，百分之60以上的歌都是他唱，都可以说是他的个人演唱会了[脱单doge][脱单doge][脱单doge]"
"爱摸鱼的靈風","男","贵州","231308585","6","洛天依·最美的夜","10000","806","","节目单加传送点,（1）5.1pv音乐 sweet trap 2：11,（2）乐土pv音乐 往世的叙事诗 4：20,（3）梅比乌斯角色曲 Devouring Snake  9：05,（4）帕朵菲莉丝角色曲 Elastic Force  11：15,（5）阿波尼亚和伊甸角色曲 Twisted Chants  13：13,（6）「因你而在的故事」印象曲 TruE  15：20,（7）「重燃」印象曲 Reburn  18：50,（8）「最后一课」印象曲Nightglow  22：50,（9）「天穹流星」印象曲 Starfall  26：00,（10）「天使重构」印象曲 cyberangel（蒙面歌王憨八嘎） 29：20,（11）「罪人挽歌」印象曲 崩坏世界的歌姬 32：02,（12）神州音乐组曲  尘寰千载归太虚  35：17,（13）「阿波卡利斯如是说」印象曲 Regression  41：17 ,（14）「后崩坏书2.0」主题曲 Oracle  45：42,（15）崩坏3pv组曲 众星的旅途  49：44,（16）终曲《Moon Halo》全世界的舰伥（划掉）舰长们   56：05,（17）结尾成员列表 「冬之记忆」短片音乐   60：30"
"YeのReborn","男","广东","481458724","4","","10000","78","","[脱单doge][脱单doge]此评论过10赞翻唱Moon Halo"
"朝云追梦","保密","黑龙江","1162756748","4","","10000","28","8","2023年7月底还有人来回味这爱莉希雅的音乐会吗[崩坏3·光辉矢愿_想我了吗]"
"八神哀","女","吉林","34334947","6","","10000","1443","","刚下崩坏三不久，朋友介绍的说是美少女战斗游戏（我创死他）音乐会之前刚打完第九章，就给我来一个最后一课，我眼泪直接合并了一起哭。虽然别的曲子我还不懂什么意思，但慢慢玩下去再来看这场音乐会一定很有感触。"
"清蓝-","女","河北","592034220","5","","10000","851","","万万没想到这次的《Moon Halo》是以这种形式展现的，之前的活动原来是为了音乐会准备的，果然是爱莉主题的音乐会啊，她的审美就是和大家在一起吧，突然想到之前那个星海绘卷的活动，感觉给人的感觉很像，大家都深深的爱着屏幕那端的她们，太浪漫了吧。"
"完全流体","保密","江苏","92713143","6","","10000","613","","伊甸那段真的，磅礴的气势如洪流般涌来，不亏是一个时代的象征，「黄金」之伊甸"
"冰霜妈糊","保密","河南","26815474","6","不思议之旅","10000","556","","音乐会结束，甚是激动，上线抽了20发精准，全歪，更激动了[大哭]"
"HOYO-MiX","保密","上海","1401735960","6","","10000","2944","","忍不住深夜再来亿遍！！"
"白伶Ely","男","广东","42966022","6","初音未来13周年","10000","551","","嘿我们有一个超棒的舞会，全球的舰长都会参加，猜猜是谁没投稿？[崩坏3·光辉矢愿_剪掉]"
"烟花散尽的哀伤","男","江苏","16087615","6","","10000","2083","","我是做电视转播的，也经常会去到上海交响音乐厅，之前偶然有看见过三蹦子和上交有合作，自这之后我就一直在期待，在我的职业生涯里，可以有机会和mhy合作，对这个的期待甚至大于了当时我对参与奥运转播的期待"
"1究极无敌暴龙战士7","保密","河北","516673449","4","","10000","605","","这我不得推销一波大伟哥唱的歌BV1us41117Uy"
"-塔酱-","女","未知","15301991","6","名侦探柯南","10000","628","","参与合唱了 感谢百万调音老师[tv_点赞]"
"阿喵先生ol","男","黑龙江","524994025","5","#EveOneCat!","10000","1438","","让我看看是谁后悔没参加投稿moon halo活动,哦,是我[崩坏3·光辉矢愿_安详][崩坏3·光辉矢愿_安详]"
"听话的奖励","男","江苏","470767949","5","","10000","660","","我今天刚好成年，我姑且当做这是米哈游送我的成年礼了吧[崩坏3·光辉矢愿_比心]"
"SIRENEVELAND","保密","河南","1450488083","5","","10000","1226","","大家看我！听我说！我在最后的演唱出镜了！！！！！！！"
"墨菏Qiuge","男","广西","38657210","6","","10000","602","","爱莉希雅！我为你变成了八戒，戒烟戒酒戒赌戒躁，你问我还有四戒？你就是我的全四戒[给心心][给心心][给心心][给心心][给心心][给心心][给心心][给心心][给心心][给心心]"
"或许是洛吧","保密","山东","110707612","5","","10000","1292","22","呜呜呜我一个连年度会员都舍不得开的人听到regression没忍住上了舰[崩坏3_哭哭]奥托你坏事做尽[崩坏3_哭哭]"
"小紫的小号","女","江苏","14829832","6","","10000","549","","谢谢你陪伴在我身边的一年，听完这场演唱会之后...晚安，爱莉希雅[崩坏3_微笑]"
"祝妳好运zwhy","保密","重庆","1136779263","4","","10000","988","","看到moon爱莉指挥跳舞那段想到，在上个纪元最后毁灭的时候，是不是也有一个优雅的人儿像爱莉那样舞着，孤寂又美好，脑海里想的尽是那个时代的辉煌。。。,我的好伊甸[大哭][大哭][大哭]"
"翎翎染","保密","山东","319395125","5","明日方舟音律系列","10000","522","","最后的moon halo，社恐的我在地铁上跟着唱了出来，然后对面也有个舰长我来一起唱，别人看我俩像神经病，发音不对只会瞎哼哼，唱到最后居然哭了，下车的时候发现做过了两站，崩坏yyds！！！！！,[给心心][给心心][给心心][给心心][给心心][给心心]"
"以若虚之名","保密","江苏","96844092","5","崩坏：星穹铁道","10000","521","","今天生日，这是我有史以来最好的生日礼物！"
