"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"萨马先生","男","无IP","12231672","6","#EveOneCat","10000","1863","","哈哈哈哈哈，刚长的头发，可惜了"
"三春白雪归青冢-","男","无IP","7925115","6","","10000","2784","","上一个赞我的人抽到了勿忘，这次会发生什么呢(｀ω)"
"大概是四分之三","男","无IP","73853959","6","","10000","632","","QAQ我怎么每次都在扩充前几天抽掉了十连QAQ上次的樱傻，这次的银狼QAQ"
"三秋望","男","无IP","67130079","5","","10000","230","","什么时候给我的大泰坦来个花嫁"
"最美非雨天","保密","无IP","23578698","6","三周年恋曲","10000","190","","刚开服的那天，抱着试试看的态度下载了崩3。不知不觉中，这个游戏已经陪伴了我一年的时间。其中，有很多次弃坑的念头：从刚开始的体力和金币不够用，以及后来的枯燥无味的循环刷碎片，再到扩充花光钻石没有s，如今噩梦联机打到想吐……每一次想删掉游戏时，总会感觉到不舍，于是，返回界面，摸摸老婆＠(￣-￣)＠心情顿时舒畅许多。这一路，发生了太多太多，有伤心，也有喜悦：突如其来的一发入魂，拿到两把限定武器，和舰团小伙伴联机翻车，群主的女装(=ω=)……我只是个普通的玩家，没有完美的技术，也没有许多钱，但我一直在努力，或许，这就像弹幕中所说：虽然这个游戏不完美，但我们爱他。"
"恩伽耶恩伽伊的豹","男","无IP","21414577","6","","10000","132","","垃圾游戏，毁我青春！,不说了，说多了都是气，再玩五分钟崩坏3消消气。"
"偷电狂魔海风酱","保密","无IP","22409387","6","泰蕾莎","10000","83","","200年前，一位伟大的白人--今天我们就站在他象征性的身影下--签署了《解放黑人宣言》。,然而200年后的今天，我们必须正视黑人还没有得到平等这一悲惨的事实。200年后的今天，在欧非大陆隔离的镣铐和*********边境安保公司的戒严下，黑人的生存履步维艰。200年后的今天，黑人仍生活在物质充裕的海洋中一个穷困的孤岛上。200年后的今天，黑人仍然蜷缩在非洲草原的角落里，并且意识到自己是部落中的流亡者。今天我们在这里集会，就是要把这种骇人听闻的情况公诸世人。,就某种意义而言，今天我们是为了追求平等而汇集到*********边境安保公司来的。我们要他们承诺所有人--不论白人还是黑人--都享有不可让渡的A至SSS级女武神享有权、4星圣痕4级装备权和追求开心权。,如果*********边境安保公司忽视时间的迫切性和低估黑人的决心，那么，这对和平来说，将是致命伤。自由和平等的爽朗秋天如不到来，黑人义愤填膺的酷暑就不会过去。2016年并不意味着斗争的结束，而是开始。有人希望，黑人只要撒撒气就会满足，这些人必会大失所望的。琪亚娜的月光的一天不到来，文豪四起，鲁迅破棺的旋风就将继续动摇这个边境的基础。,我们不能倒退。现在有热心的欧洲人问，“你们什么时候才能满足？”,只要黑人仍然遭受标配单抽只出B级碎片，不出圣女祈祷和鬼铠我们就绝不会满足。,只要我们精准只出试做usp不出影秀雷切，我们就绝不会满足。,只要我们的友情点犹如废物，我们就绝不会满足。,只要我们被“仅限白人”的标语剥夺自我和尊严，我们就绝不会满足。,不！我们现在并不满足，我们将来也不满足，除非SSS级琪亚娜和芽衣波涛***涌，姗姗来迟。,我们不要陷入绝望而不可自拔。部落的朋友们，今天我对你们说，在此时此刻，我们虽然遭受种种困难和挫折，我仍然有一个梦想，这个梦想深深扎根在每个非洲人心中。,我梦想有一天，在欧非大陆的边境上，昔日非洲人的儿子将能够和昔日欧洲人的儿子坐在一起，共叙兄弟情谊。,我梦想有一天，我的四个孩子将在一个不是以他们的肤色，而是以他们的操作高低来评价他们的等级。,今天，我有一个梦想。我梦想有一天，黑人男孩和女孩将能与白人男孩和女孩情同骨肉，携手并进。,今天，我有一个梦想。,我梦想有一天，幽谷上升，高山下降；坎坷曲折之路成坦途，圣光披露，满照人间。,让自由之声从阿尔卑斯山脉响起来！,让自由之声从尼罗河响起来！"
"识破through","保密","无IP","74055104","6","崩坏3·天穹流星","10000","58","12","你氪的每一块钱都是《崩坏编年史》的启动资金………想拯救国产主机端游戏吗？"
"G16_灵狼","男","无IP","20638558","6","","10000","34","2","过了那么长时间，还是这一次的PV最带感(｀ω)"
"Aoko_Shirasawa","保密","无IP","14040134","6","","10000","31","","说实话，崩三比起营养师之类的游戏，已经很休闲了，算不上肝，除了驱魔+捡垃圾觉得有点费时间，肝度如何是看玩家自己的，不是必须的，比如夏日祭，很轻松就能肝泳装，你想肝盒蛋想上排行榜想为阵营出一份力那就是你自愿的事情了，你乐意肝的，活动本身就没什么肝度要求，泳装也容易拿╮(￣▽￣)╭"
"黄昏Icecream","保密","无IP","408819237","5","","10000","20","","你是谁？你现在点开时间排序想干什么？[doge]"
"媛天徵","女","无IP","91423026","6","良辰美景·不问天","10000","24","","当“屠龙宝刀，点击就送”这样的垃圾广告肆虐于各大网站的时候，我想看到你的身影，可是，你没来。,,当各大下载站充斥着病毒和流氓软件，只要一手抖就会被装上一桌面的垃圾软件的时候，我在呼唤你，可是，你没来。,,当QQ各大诈骗“红包群”和假网红肆无忌惮地宣传时，我在等你，可是，你没来。,,当一些新闻APP已经俨然成为黄网，面目全非时，我还在等你，可是，你依旧没有出现。,,最终你来了，那是崩坏3上线一周年。你带走了陪伴我们6个版本的一些CV，反而看起来满目苍夷。“部分由于相关政策删除的语音将不会继续使用。”这句话现在看来，是多么遗憾，令人惋惜。,,文化部的大大们，你们是不是饿了，所以反射弧长了那么一点点呢？,,想不想来一碗，琪亚娜亲手做的，美少女味的泡面呢？"
"暮影月_练琴ver","男","无IP","20246962","6","初音未来13周年","10000","25","","去年偶然拿到三测资格，当时真的好激动，有了一个自己对口很喜欢的游戏，一直坚持到现在，无论吐槽米忽悠多少次，怒cao大伟哥多少次，但是心里真心喜欢这个游戏。这不知不觉一年了，看到周年祭心里莫名有点感动，虽然高三党可能肝不了，但是真的很开心。在这一年拉了一部分朋友玩（ke）这个游戏，自己一直在坚持。提前祝这个破游戏在未来越办越好，明年去上海怼大伟哥。"
"是阿卿不是棠梨","男","无IP","8434065","6","","10000","29","","如果有一天我退坑了 我会卸下所有的装备带上一把usp45 su22榴弹炮 势州村正换上领域装 白练 脉冲装 绯红 女武神 战车 玩一局普通难度的1-1梦在哪里开始 就在哪里结束 但是我绝对不会退坑 我会坚持玩下去 崩坏3rd 迄今为止我最喜欢的手游 没有之一 崩坏3加油啊！越做越好吧！"
"依亚","男","无IP","11761371","6","","10000","20","","那一句我重新接受你了我哭了，板鸭从被迫接受力量到主动寻找力量。,对我们来说，见证这些，不就是最好的吗"
"Alicmo","保密","无IP","35537790","5","","10000","19","","直播录像45.48有周年庆pv 不过应该没有人像我这么无聊经常温习pv吧（￣▽￣）"
