"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"浩渺皛月","保密","无IP","39623082","6","洛天依8th生日纪念","10000","814","","2.2版本名字:夸父逐日("
"豆腐白豆腐","保密","无IP","82657784","6","","10000","737","","熬夜的危害,,一、胃肠道问题,,熬夜的人，剥夺了胃肠道休息的机会，导致消化性胃溃疡、十二指肠溃疡、功能性消化不良、腹胀、腹痛等。,,二、诱发心脑血管疾病,,熬夜时人处于紧张状态，得不到放松，造成血管收缩异常，血压比正常人高，容易诱发高血压或者加重病情。现在心脑血管疾病发病率逐渐增多且越来越年轻化，常熬夜或是诱因之一。,,三、提高患癌风险,,熬夜会让内分泌激素水平紊乱，使得细胞代谢异常，影响人体细胞正常分裂，导致细胞突变，提高四、患癌风险。,,于娟已经用她的生命做了例证。,,五、夺走好视力,,熬夜等于是超负荷用眼，对眼睛的伤害不仅仅是变成“熊猫黑眼圈”，更重要的是，长期熬夜、超负荷用眼，导致视力功能性减退。,,六、失眠抑郁,,熬夜伤身也伤神，许多年轻人晚上不睡，白天发困，出现神经衰弱等问题，严重的甚至会导致抑郁症的发生。,,七、皮肤严重伤害,,不规律的睡眠及压力，会影响内分泌代谢，造成皮肤水分流失，容易导致皱纹出现、皮肤暗淡、长暗疮、黑眼圈加重等，尤其是上完妆后情况会更糟。,,所以，我们通宵吧"
"我什么都知不道口w囗","男","无IP","151159818","6","","10000","514","","欧呦？大半夜更新？是你膨胀了还是我住B站了？,另外我再次也想对大家说一下，明天我要去动手术了，我尽量在拖，但是最近的气候原因必须要做了，头部结缔组织群体切割术，祝我好运 有可能最后一次评论了 陌生人 希望能够给我点个赞 证明我来过"
"林簌SUSU","女","无IP","7223194","6","花园花玲头像框","10000","54","","妹子真可爱啊[小电视_太太喜欢]"
"瓶咕咕咕","保密","无IP","2559611","6","","10000","37","","emm提一点小建议，直播的时候可以弄个桌子放在前面。几个人就这么干坐着尬聊，胳膊腿啊啥的都不知道往哪里摆。反正就浑身难受，有个桌子应该好点。(=ω=)"
"原宿电子猫","男","无IP","682700","6","","10000","29","","忘了领水晶了，感觉亏了把2nd 3rd 5th 11th 赤染樱 断腕 血舞 犹大 仿犹大 电磁炮 虚无 雷切 磁暴斩"
"石楼高处","保密","无IP","34425703","5","","10000","25","","上次那个给我种子，下出来却是184G春晚合集的那位哥们，请你出来下。为了感谢你让我成功认识到健康生活带来的好处，我希望能得到你的联系方式，最好可以给我你的地址以便于我登门拜谢"
"梦中的百华勇者","保密","无IP","236625127","4","","10000","24","","看弹幕是真的出戏，一开始演示记忆战场月轮“一打三”那个桥段明显为了节目效果啊为什么一群睿智还在发“当玩家是傻子吗”、“有病吧”之类的话，真的开不起玩笑吗，这样会让人觉得你巨没劲，真的"
"柒染悦儿","女","无IP","26951521","6","","10000","18","1","YLUE4UDP5P,GLYY4UBP5X,WLUYCUDJKG"
"躺平我开摆","保密","无IP","15292097","6","","10000","17","","你们知道吗？其实崩崩崩还有一个b站官方号，人少的可怜，果然人都被爱酱偷走了[小A和小B_喝茶][小A和小B_吃瓜]"
"他没去过火星","保密","无IP","15034690","6","","10000","15","","本次更新更新了过气机型还能运行的bug"
"Whedon_","保密","无IP","43088795","5","","10000","14","","请管好你们的狗吧务，别出来乱咬人"
"重樱幼儿园园长","保密","无IP","24857254","5","","10000","14","","月光:新版本叫月影逐龙，这意味着……,月轮:没错，正是在下要出场了"
"御夏乱咲","男","无IP","13909882","6","崩坏：星穹铁道","10000","11","4","这期直播给人最大的感觉是：有限。我们能告诉你们的只有这些，新的圣痕没有介绍，萃取重载这么大个系统没有介绍，装备补给永久新池子没有介绍。缺了这么多东西不知道是还在调试还是什么，总之这次直播告诉到玩家的东西太少了。"
"李楸寒","男","无IP","7821386","6","新科娘","10000","11","","还好大伟不在，不然这44分钟的直播他能强行尬聊到2小时，还有小姐姐超可爱，表白小姐姐，然后顺便诅咒一波崩坏2的策划抽卡不出货，出货就保底。"
"b站烂到家了","男","无IP","3894403","6","三周年恋曲","10000","10","","削鬼角真是一波操作"
"风染曦","保密","无IP","51891127","6","2020拜年祭（鼠）","10000","10","6","再过半个月，中国就会陷入西方媒体和悲观经济学家预测的那样：工厂停工，商店关门，政府停顿，股市无法交易，许多家庭更是在门口张贴标语表达诉求，街上充满着爆炸物残留的**味，人们大都无所事事，成天酗酒，打牌，青少年儿童成群结队去讨钱，整个国家仿佛陷入了崩溃之中…… 那其实是我们在过春节！"
"说好的五星呢","男","无IP","19320575","6","","10000","9","","WUUE5ATP57,直播对换100水晶"
"黑暗草莓圣代","男","无IP","5687511","6","","10000","9","10","最晚国家队下架了，再看看崩坏三里面的植物人老婆。。。。。。我们死宅还剩什么？这么多年了，我以为我们的实力壮大了，结果还是被人踩着。"
"凋零魔术","保密","无IP","65532793","6","","10000","8","","垃圾米忽悠，欺诈消费。月轮扩充12点前十多分概率低，不准确！世界20分钟看不到有人出。自己80发都没出，后面暗改！"
"Bili_14842842","保密","无IP","14842842","4","","10000","7","","米卫兵继续给我搞，睿智策划建议立刻安排"
"算了想不了名字","女","无IP","102717877","4","","10000","7","","算我求你们了，把奥托女装的圣痕加进宿舍吧"
"羽川秋人","男","无IP","11149093","6","","10000","7","","全程尬聊，心疼妹子陪着两个基佬(=ω=)"
"爱玩游戏的阿菜","男","无IP","6439718","6","","10000","7","","直播音画不同步罢了，发视频也不后期处理一下，用脚宣传吗"
"异世界魔法太落后","保密","无IP","66024558","6","","10000","7","","哇，小姐姐好漂亮，我想……，诶诶诶，老婆，有话好好说 ，先把刀放下[小电视_吃惊]"
"今日方糖","保密","无IP","22831276","6","公主连结凯露","10000","7","","由于爱酱熬夜投视频，导致视频质量差，玩家吐槽┐(‘～`；)┌，最后60水。。无事发生。。"
"n白小黑","男","无IP","17434904","6","雪未来","10000","6","","我觉得可以来个为了纪念霍金来个霍金圣痕[小电视_嘟嘴]"
"陈克难","男","无IP","28761266","6","","10000","6","","WLUYCUDJKG"
"皮皮船冲鸭","男","无IP","8366858","6","原神","10000","6","","哎呀，。这个小姐姐好可爱，，[洛天依_爱你哦][洛天依_爱你哦][洛天依_爱你哦][洛天依_爱你哦]"
"Cirilla丨","男","无IP","17022256","6","","10000","6","2","[狐妖_吃我安利]小姐姐好可爱～(￣▽￣～)~"
"Rinne0hara","保密","无IP","110370604","6","","10000","5","","我要无限激光不要水晶"
"不知道干什么好","男","无IP","45606923","5","","10000","5","","GLYY4UBP5X,WLUYCUDJKG,YLUE4UDP5P,昨天的激活码(=ω=)"
"爱神皮咔秋","男","无IP","6598754","6","","10000","5","","我当初在贴吧调侃了日本西瓜和国内西瓜，差不多就说了几句，因为当时正好一个新闻也在说这个事件。结果被八五连续封了一年多，没错，公测不久一直到现在。当时就弃坑了一次，但是后来我还是坚持玩游戏到现在，只因为太爱游戏了。贴吧没再去了，反正每次快到期限就再次续封，之后就不再关注贴吧了，只在其他游戏贴吧扯皮。这八五厉害，如果不是杀父之仇，难以想像我的几句玩笑会被人记恨这么久呢。我在其他吧天天扯皮欢乐，但是大家都不会上纲上线。"
"惠飞须泽胡桃捏","男","无IP","15200083","6","","10000","5","2","所以说，小姐姐到底是谁？"
"gcjtUT","保密","无IP","20941323","4","","10000","5","","我只想知道为什么只有八重樱换衣服没语言"
"rom_forfiles_exe","保密","无IP","13299668","5","白蛇2：青蛇劫起","10000","5","","阿符的牙被打掉了，散了吧，无脑削弱最为致命。"
"月夜Dark翼","男","无IP","281167621","6","Kizuna AI","10000","5","","符华不带眼镜真好看"
"游戏の神特图","男","无IP","130755773","6","碧蓝航线","10000","5","","小姐姐是谁？知道的快告诉我啊啊啊啊"
"皮卡皮卡丘丘皮卡","保密","无IP","43827992","5","","10000","5","","中间这个人好害羞啊(ω` )全程不敢看小姐姐一眼一直在看量产策划╮(￣▽￣)╭"
"Bili_14842842","保密","无IP","14842842","4","","10000","4","","这游戏公司已经没救了，大家散了吧，能退赶紧退"
"笋笋更健康","保密","无IP","4688918","6","","10000","4","","这个什么福袋活动啊，真的坑死，不要让我在现实中碰到崩三策划[2233娘_怒]"
"捉住秋蝉溜走夏天","保密","无IP","27650549","5","","10000","4","","月影逐龙?月光、影舞表示:没错就是我俩要组队屠龙了！"
"此账户违规登录","男","无IP","16186028","6","","10000","4","","什么时候让美工上一次直播"
"水冷野花","男","无IP","2447037","6","","10000","4","4","大伟哥女装加变声器有丶好看"
"大龄过客","保密","无IP","242543538","4","","10000","4","","没时间看昨天直播……损失350钻(⌒▽⌒)"
"白子-official","男","无IP","34209910","6","2233白色情人节","10000","4","","。大……大家好ヾ(A｀)ノ,我……我……我是新来的喷子……(  ^  ),那个……我第一次，不知道该走什么程序……,那……那我就直接开始了……,你……你们这帮小傻瓜！(≧≦)/,(((Д;)))会不会有些过分了……我……我……,呜……(;ω;`)对不起对不起……"
"断纸烟殇","男","无IP","33383207","6","","10000","4","","妈耶，月轮突然被削。。。让我。。。,,,终于没有氪金的动力啦![小电视_太太喜欢]"
"稻狸狸","保密","无IP","19961587","6","花园Serena第二弹","10000","4","","港真，2.1最期待的还是舰船的背景"
"猫猫年卯月","女","无IP","3477182","6","国民老公带回家","10000","4","","四点了，该回舰了。"
"腾讯游戏就是智障","保密","无IP","3882411","6","","10000","3","","剧情时间线乱的一皮"
"一念夕雾_","保密","无IP","38068875","5","","10000","3","","大家好，我系粉白策划，我系潮流发型师，崩坏3 2.1，你没有玩过的全新版本，浮华只要998，只需体验三分钟，你就会跟我一样，爱上这款游戏，是兄♂贵，就来砍我！！！！"
"原神一星穹铁道","保密","无IP","39323456","6","","10000","3","","还以为大伟是女装，所以点进来"
"天使橋本環奈","保密","无IP","38659466","5","","10000","3","","哎..昨天晚上睡着了，完美的错过水晶和金币..."
"真真真真真真奥哥","男","无IP","26684129","6","","10000","3","","妈耶！第一次看到皮肤有心跳的感觉，德莉莎世界第一可爱！！！！我要氪！！"
"矛盾人official","保密","无IP","5564020","6","咩栗","10000","3","","更新之前砍一刀   而且是砍残废了     真不知道想干嘛"
"九衢通天涯","男","无IP","15268797","6","","10000","3","","左边妹子大伟哥女装？！"
"不凡QAQ","男","无IP","71111416","6","星座系列：射手座","10000","3","","所以说哪里可以找到这个小姐姐（￣▽￣）"
"沉默的繁忙","男","无IP","34159970","6","","10000","3","","这个兑换码什么直播之前都有效，我9点想起来有直播的时候，tm兑换不了，日哦"
"一个慢热的人","男","无IP","21288051","6","","10000","3","","44分44秒[小电视_发愁][小电视_发愁]这个数字厉害了"
"艾格玛","保密","无IP","9026576","6","","10000","3","","没大伟哥尬聊很难受[小电视_思索]"
"陌上初雯","保密","无IP","20195327","6","湊-阿库娅","10000","3","","我就是为了小姐姐去的，没想到还发水晶啥的了,小姐姐没有看够"
"龙在笑","女","无IP","21072000","6","","10000","3","","44.44好不吉利哎(<_<)"
"Adam_02x","男","无IP","18404863","6","","10000","3","","那么问题来了，要到几号才能玩到这么好玩的2.1版本呢(=ω=)"
"洛斯汀","保密","无IP","4761886","6","","10000","2","8","不知道宿舍爱酱的声音是谁配的，，，，"
"Bili_14842842","保密","无IP","14842842","4","","10000","2","","笑死我了，耳红失效这种事情都敢搞出来？今天不修复策划全家bs"
"黑暗骑士-葛陆子","男","无IP","19842653","6","不吉波普不笑","10000","2","","突然发现miHOYO米是小写忽悠是大写“重在忽悠”？？？"
"景伊有风","保密","无IP","176424018","6","","10000","2","","我以后一定赶上每次直播(；ω；`)一百石头没了( _ゝ｀)"
"YYJDTR","男","无IP","33700186","6","2233幻星集","10000","2","","不是我说，假如能把我们那些还在崩2猛肝的玩家的装备什么的数据转移到崩3，我们会boss知道什么是绝望，什么教父什么阿婆湿统统渣渣"
"旮旯树下","男","无IP","16081922","6","","10000","2","","我的天没看直播，没领到水[小电视_哭泣]"
"Viroz","男","无IP","2913759","6","","10000","2","","这不是没有立绘的崩坏娘么？"
"账号已注销19209","保密","无IP","73908304","4","","10000","2","","怪物猎人:女武神"
"ふ芙兰朵ろ露","保密","无IP","19821088","5","良辰美景·不问天","10000","2","","奶一口，8号更新"
"水野愛_VoV","保密","无IP","40623939","6","神楽Mea","10000","2","","我的符华泳装圣痕呢？"
"整个宇宙为你闪烁","男","无IP","2516035","6","","10000","2","","强？策划睁眼说瞎话"
"整个宇宙为你闪烁","男","无IP","2516035","6","","10000","2","","我呢 我呢 我呢"
"康铭120","保密","无IP","32327389","6","","10000","2","","宿舍能出大伟哥的小人吗，嘻嘻"
"27134","保密","无IP","130119875","5","雪未来","10000","2","","我就想知道最后那个八重樱的有皮肤吗"
"影子伴着我累吗","保密","无IP","76968095","6","","10000","2","3","啊啊啊昨天把兑换码抄到本子上然后出去吃饭去了回来忘兑换了啊啊啊今天就兑换不了了啊啊啊啊伤心(_)"
"IVEXN","保密","无IP","133643688","5","","10000","2","","这策划怎么还没死"
