"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"星繁琉璃","男","江苏","356867702","5","","10000","1065","","大家中午好[墨镜]"
"牧月-忍冬","男","云南","111202477","6","崩坏3·天穹流星","10000","747","12","舰长:纵使黑云蔽月,我也要燃烧摆渡人,带你找到回家的路[吃瓜],月下:谢谢你找到了我"
"我的科技毁天灭地","保密","北京","28152110","5","","10000","8","","或许同时玩崩三和魔兽的玩家不多吧？大月下热度居然没有那么高？,,用一句话来说：瓦王变老婆啦！！！！！！,,普攻武器战，技能摆筷子，嗜血，狂暴，武器技能是暴怒，纯纯的瓦里安。,,（你说也许是萨鲁法尔？你口味真重。）,,当初小月下被砍残废的时候真的很气，现在大月下的属性也确实更喜欢，算是弥补了遗憾吧。,,好久没有为了体验角色，反复在崩三里刷怪了，真的很痛快。,,米哈游要是早说一句，我有一把电锯的设计，超过全世界所有已见过的电锯，要是给月下估计更帅。"
"MilkSia","保密","内蒙古","24236104","6","菩提客栈头像框","10000","1496","9","月下姑娘的告白啊，说给一八年的你。,红月渐渐升起，诅咒的鲜血绽放，不解轮回的枪声，奏起幻夜的序章。,,月下姑娘的告白啊，说给一九年的你。,遗忘与谎言交织，他与她塔底相遇，共渡光阴的沙海，凝眸一袭白纱，许诺永恒的约定。,,月下姑娘的告白啊，说给二零年的你。,守住温柔固执的初心，撑过千万次的磨砺，为海上漂泊的旅途，写下开始的音符。,,月下姑娘的告白啊，说给二一年的你。,轻读迷迭香的花语，探寻狡兔的足印，纵使遗失自己，也要锚定她的痕迹。,,月下姑娘的告白啊，说给二二年的你。,渡轮停泊的一年，仅仅只言片语，依旧将她铭记。,,月下姑娘的告白啊，说给二三年的你。,戳破温柔的谎言，难掩诀别的泪水，跨越万载时光，红月见证之下，我们的灵魂紧紧相依。,,——献给所有坚持陪伴并一直喜爱崩坏三舰长线的玩家们"
"颢髪","保密","浙江","609981401","4","","10000","6","","地板有点脏[脱单doge]"
"詺楠觑","保密","湖北","87631232","5","","10000","31","","大家中午好"
"亦如初见丨","保密","德国","32491607","6","公主连结佩可莉姆","10000","13","","大家好[妙啊]"
"十神绯夜","男","河南","3812","6","","10000","10","8","这个教学说错了。是长按必杀技可以 提高必杀伤害，而非攻击键。"
"叁叁不得久","保密","江苏","224692256","5","","10000","3","","[脸红]"
"缘之琦","男","湖南","13872398","6","BML2021","10000","103","10","我水晶花完了，月下还差专武和俩圣痕才毕业，我看是没希望了"
"ミ鹿乃粉","男","福建","1865443472","5","","10000","8","","各位中午好[脱单doge]"
"胡桃我老婆_","保密","广西","100663054","6","2021拜年纪","10000","11","","80发还无角色，谢谢你mhy"
"磁爆步兵54","男","浙江","3443416","6","","10000","359","","已经和月下在海边玩水了，太甜啦[墨镜]"
"一个有好运气的名字","保密","江苏","358727095","5","","10000","137","","哈哈哈，大家聊了那么多啊，刚刚3w水只出了月下加圣痕中晕了过去[微笑]"
"只看背影不看正脸","男","广东","293619245","5","","10000","218","","免费十连出了专武和素裳专武[笑哭]一直抽角色的我才发现原来s级角色的专武和圣痕都是四星啊"
"多愁善感的BD","保密","贵州","454359271","5","","10000","13","","角色单抽，免费十连出武器和一个圣痕[doge]"
"莫诺mo","男","河南","354175901","5","","10000","105","","全新异能属性雷电元素伤害S级角色「月下誓约·予爱以心」登场！,「爱除了自身别无所取，除了自身别无所予」——,对这位身为吸血鬼的少女而言，此刻在历经千难万险后方才到达的终点，正是「你的身边」。,,今天，就有请一位神秘的女士来为大家介绍她的作战技巧吧！,,配音演员：,神秘的女士——小N"
"小淡墨呀","男","湖南","346376264","5","","10000","35","","太开心了，毕业了[墨镜]"
"神秘之始","男","北京","167410171","6","星座系列：摩羯座","10000","3","","麻烦回归大哥们填写下:137482900LJ,感激不尽[打call]"
"白衣酒南楼雪","男","山东","157266912","4","","10000","9","","50多抽没出月下，前来痛哭[大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭][大哭]"
