"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"谁家的猫咕咕呀","女","无IP","16379092","6","少女前线","10000","3869","","封面涉嫌欺诈，送餐过来的根本不是漂亮小姐姐，是一个大汉……"
"香甜の袜子","男","无IP","12559153","6","","10000","1694","","我已经没钱拯救陷入崩坏的披萨了( _ゝ｀)"
"CSAT","女","无IP","5873531","6","","10000","876","","知道琪亚娜被天命抓走后干了什么事情吗？,答:送披萨"
"没事来点酱油","男","无IP","25335750","6","EveOneCat2","10000","564","","第一的我一定会上热评"
"掉线狂魔☆火星","保密","无IP","520492","6","","10000","153","10","(-_-#)我琪亚娜就是饿死，从这跳下去，也不会吃除了芽衣做的之外的饭的！....()这披萨真香~"
"零的0次方","男","无IP","36000304","5","","10000","98","","如何遇到琪亚娜送餐员？,首先你得是雷电芽衣，,其次你要遭遇一只战车级崩坏兽，,再其次你需要订购一份必胜客“崩坏3缤纷特惠餐(￣△￣)"
"二乃式暴走机车","男","无IP","8371900","6","中野二乃","10000","76","9","这下原也要来咯[崩坏3_呼呼呼]"
"跳过OP","保密","无IP","4791117","6","崩坏3·天穹流星","10000","75","","彦祖，又按时间排序啊[doge]"
"给我降降溫","保密","无IP","411665360","6","至尊戒","10000","69","","原来米哈游之前和必胜客搞过一次啊"
"游戏彩笔","男","无IP","1320581","6","","10000","65","25","代吃必胜客"
"狡兔屋主人","保密","江苏","511196759","5","","10000","51","","崩三下面推荐第一条就是原神肯德基[doge]"
"外星草履虫","保密","无IP","205015593","5","崩坏3·天穹流星","10000","46","10","不愧是叔叔，原神要联动必胜客，你就给我推送崩3联动必胜客是吧，还是18年是视频[辣眼睛]"
"要个价值6个币的名字","保密","无IP","178932985","5","原神","10000","45","6","你猜猜我为什么点进来考古[原神_躺平]"
"阁楼客舟风不静","男","无IP","92217346","6","","10000","39","","琪亚娜就这个一点B数都没有的笑容我看一次笑一次(ω)"
"镜花水月洞天月","男","无IP","26775335","6","citrus","10000","39","","让我看看又是那个旅行者来翻时间看评论考古了[doge]"
"要加点汤汁儿吗同学","保密","无IP","243815887","6","","10000","36","","旅行者，你又在按时间顺序刷评论哦[doge][doge][doge]去休息一下好不好"
"鸽子星绅士","保密","广东","11660332","6","原神","10000","35","11","当年的宣传还真是放飞自我[崩坏3_吃瓜]"
"一如天青烟雨色","保密","无IP","1602463844","5","","10000","33","","现在原又和必联动了"
"樱花树下的小八","男","无IP","51884441","6","白神遥","10000","32","","您有新的美团订单:崩坏3缤纷特惠餐(缤纷轻食桌),商家已接单,派送员:琪亚娜.卡斯兰娜,派送中……,外卖已送到，感谢您的使用,评价:,评论:套餐呢？我的披萨呢？我的烤翅呢？派送员哪来的？为什么她全吃了？吃了就吃了吧，还卖萌不道歉！！说好的家具呢？辣鸡米忽悠，骗氪！,PS:不过派送员是真不错，活挺好的，欧派蛮有手感的，虽然有点傻不过会的姿势还蛮多。下次还会用的"
"姬爾伽美神","保密","无IP","32862435","6","","10000","31","","第一？"
"不愿透露真名的路人R","保密","四川","481234065","5","","10000","29","","比原神联动好多了，这次原神联动就很迷惑[原神_嗯][原神_嗯][原神_嗯]"
"卫工似狼","保密","福建","400490724","5","","10000","29","","有原神来的考古队员吗？[脱单doge]"
"开朗的青见","女","无IP","1499918696","5","","10000","29","","前有崩三，后有原神[脱单doge]"
"西柚味苏哒","保密","无IP","394819014","5","","10000","28","16","好耶！虽然没有赶上三蹦子的联动，原宝联动也可以补一下遗憾[崩坏3_划水]"
"观赏鸦","保密","江苏","1022817782","5","","10000","27","","考古，要给带节奏的人起个难听的绰号，就叫盘子刺客[原神_哼]"
"永远的七七单推人","男","无IP","165372316","6","YUKIri","10000","26","10","死去的联动突然开始攻击我[崩坏3_卡了]"
"一条无名狗","保密","浙江","1927265011","5","","10000","25","","就我一个是原神联动时期来考古的吗(▽｀)"
"心梗crash","保密","山西","487910021","5","","10000","22","","满心欢喜地进来，结果是2018年的"
