"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"吃桃会塞牙缝","女","江苏","62767028","5","","10000","735","","看到这一幕真的哭了。上周日，我的好朋友也是我的学姐走了。重病来得太突然，我甚至都不知道她那几天正在跟病魔作抗争...得知噩耗我心里闷闷了好久，眼睛干涩却哭不出来。昨天，晚上翻歌单，看到dacapo歌词第一句就破防了。这时才明白为什么爱莉走了蛇蛇崩溃，琪亚娜说“我甚至还没来得及和你好好告别”的意义...人生无常，希望我们都好好走下去吧[大哭][大哭][大哭]"
"曲枫青槐深林","男","浙江","33118862","6","BW2021","10000","514","10","假的花絮:各方面大佬分享自己的理解体会,真的花絮:儿童摩托车，辅助轮，憨憨跑错组,,你是否在等待:BV1Uc411F78Y,,开个玩笑啦[喜极而泣]参与演唱会的大家辛苦啦!!有大家的热爱和汗水崩崩崩是无敌哒[给心心][给心心][给心心]"
"崩坏3第ー偶像愛酱","保密","浙江","82192353","5","","10000","872","","今天的崩坏3是无敌的[打call][打call][打call]"
"永远喜欢雷电","保密","湖南","1972699135","5","","10000","1797","","米哈游能不能把车老师看的Da-Capo的钢琴谱发出来啊，本钢琴生真的很需要这个[给心心][给心心][给心心]"
"d丧b","男","北京","12282542","6","","10000","79","","哈哈哈哈哈，太真实了[捂眼]"
"听说改名就能中奖乆","保密","江西","383153224","5","","10000","123","","如果这种音乐会搞得勤，同人音乐会包影院去看，算不算带动产业？"
"滞缘","保密","湖北","2077677499","5","","10000","44","","音乐本身也是叙事，也是具有力量的，被赋予意义的故事[崩坏3_呼呼呼][崩坏3_呼呼呼][崩坏3_呼呼呼]"
"重返波莱罗","保密","山东","589387963","5","","10000","20","","我以为主要讲拍摄技术，结果主要是聊情怀..."
"明天X后天","男","浙江","25517323","6","","10000","53","","希儿的内容是少了点，至少和宣传的阵势不符"
"-临妖-","保密","山东","188978782","5","","10000","120","","刚玩的萌新，请问进阶补给有概率递增吗？就像原神73抽之后开始提高概率。还是只有100抽才能保底角色？[藏狐]"
"02Sumire","保密","安徽","23371014","6","崩坏3·天穹流星","10000","65","11","[未定事件簿·归心之所_夏彦点赞][未定事件簿·归心之所_左然点赞][未定事件簿·归心之所_莫弈点赞][未定事件簿·归心之所_陆景和点赞][崩坏3·终焉归始_咀嚼][崩坏3·终焉归始_电力充足][崩坏3·终焉归始_出击][崩坏3·终焉归始_臭美][崩坏3·终焉归始_cool][崩坏3·终焉归始_优雅][崩坏3·光辉矢愿_遨游][崩坏3_送你一朵花][崩坏3_干杯][崩坏3_吃饭团][崩坏3_赞][崩坏3_拜托了]"
"芒果雪兔","保密","山东","30394105","5","至尊戒","10000","7","","[吃瓜]"
"神明苦诉人间","男","重庆","65367857","5","fivever浪漫限定头像框","10000","314","7","好久没看到烧鸡老师了，跑哪个组去了？[大哭]"
"贪吃的芙芙","男","新疆","454528226","6","hanser","10000","8","9","所以为什么我的原画集还没发货！[崩坏3·终焉归始_摸头][崩坏3·终焉归始_骑马][崩坏3·终焉归始_克利希娜]"
"星穹铁道笑呜呜","保密","广东","1888710146","4","","10000","112","","不会有人看个幕后花絮都掉小珍珠吧[墨镜][墨镜][墨镜]"
"破喉咙也不会有人","男","山东","120009094","6","","10000","79","","舰长你好，你怎么知道我去年兑换到一本原画集，今年两个号兑换两本原画集[doge],这个世界还挺美好[脱单doge]"
"狙仔爱m14","保密","重庆","3493262878837092","2","","10000","1","","真就单抽一发出奇迹呗[星星眼][星星眼][星星眼][脱单doge]"
"萦梦灬落雨","保密","山东","497078918","5","异常生物","10000","188","","话说宫奇老师和文驰老师去星铁组后就不在回崩三写曲了吗？从2021年后崩三的音乐就没看到这两位大佬了。"
"暗影神秘使","男","湖北","14231314","6","","10000","49","","舰桥音乐有没有单曲啊太好听了[笑哭]"
"鸭---ya","保密","广东","1531581437","5","","10000","72","","带土：我要创造一个只有琳的世界,奥托：我要创造一个只有卡莲的世界,编剧：我要创造一个只有希儿的世界[崩坏3·终焉归始_出击][崩坏3·终焉归始_cool]"
"雪辰沙","保密","广东","352751792","5","","10000","55","","这就：十三英桀碎冰冰—干脆利落[doge][doge]"
"明天X后天","男","浙江","25517323","6","","10000","53","","希儿的内容是少了点，至少和宣传的阵势不符"
"XN玲簌MAci舞酱鸦音r也","男","浙江","480941091","5","","10000","51","9","好耶！！！,今天的崩坏三是无敌的！！,ps：这样下去每天都无敌了"
"暗影神秘使","男","湖北","14231314","6","","10000","49","","舰桥音乐有没有单曲啊太好听了[笑哭]"
"滞缘","保密","湖北","2077677499","5","","10000","44","","音乐本身也是叙事，也是具有力量的，被赋予意义的故事[崩坏3_呼呼呼][崩坏3_呼呼呼][崩坏3_呼呼呼]"
"坂田时子","保密","广东","2020628792","3","","10000","36","","下一次的演唱会不整个符华上仙专场，来一点崭新的太虚电音吧！"
