"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"L3-猛汉猎人","男","无IP","392979","6","","10000","1704","","祝愿贴吧节奏党新的一年里赶紧弃坑，滚出贴吧。[小电视_赞]"
"小迷紫","男","无IP","7643957","6","明日方舟音律系列","10000","937","","神TM憨色没到现场坑爹呢(╯°Д°)╯︵┻━┻"
"-环环在俄罗斯-","保密","无IP","21286276","6","","10000","574","","还需要什么理由 就因为大伟你悔人不倦 废寝忘食 埋头苦干 兢兢业业 尽心尽力 一丝不苟 文思敏捷 聪明过人 青出于蓝 一鸣惊人 桃李争妍 后继有人 默默无闻 孜孜不倦 德才兼备 春风化雨 润物无声 ,,美丽、善良、大方、优雅、文静、脱俗、纯洁、开朗、贤淑,,活泼、率直、可爱、天真、端庄、温柔、贤惠、多才、俊俏 ,,温柔、体贴、撒娇、任性、独立、爱美、温柔 善良 贤惠 ,,善良 纯洁 活泼、开朗、天真、率直 含羞、腼腆,,善于交际、另类、有耐力 有见识、有仪态,,天生丽质 慧质兰心 秀外慧中 暗香盈袖,,闭月羞花 沉鱼落雁 倾国倾城 温婉娴淑 ,,千娇百媚 仪态万千 美艳绝世,,国色天香 花容月貌 明目皓齿 淡扫峨眉 ,,清艳脱俗 香肌玉肤 清丽绝俗,,仪态万端 婉风流转 美撼凡尘 聘婷秀雅 ,,娥娜翩跹 俏丽多姿 如花似月,,风姿卓越 顾盼流转 清丝纠缠 举步轻摇 ,,美若天仙 美愈天人 清秀高雅,,艳冠群芳 剪水双瞳 美艳绝伦 神仙玉骨 ,,楚楚动人 貌赛西施 姿容绝代,,如花似玉 窈窕淑女 气质高雅 美丽四射 樱桃小口,,静若处子 动若脱兔 小鸟宜人 善解人意 ,,明眸善睐 娇艳妩媚 玲珑剔透,,玉指如葱 肤如凝脂 眉如新月 秋波流转 ,,樱桃小口 粉妆玉琢 桃腮杏脸,,亭亭玉立 楚楚动人 秀外慧中 贤良淑德 秀色可餐 水灵秀气,,小家碧玉 完美无暇 娇羞可爱 婀娜多姿 ,,美丽动人 人面桃花 柳眉杏眼 ,,温文尔雅 明艳动人 天生尤物 芙蓉如面 ,,娇艳惊人 冠压群芳 风华绝代 ,,绝代佳人 一代佳人 一代容华 绝色美人 ,,月里嫦娥 华如桃李 桃羞杏让 ,,美人微笑转星眸,不施粉黛天然美,明艳不可方物 ,闲静时如娇花照水，行动处似弱柳拂风。 ,仿佛兮若轻云之蔽月，飘飘兮若流风之回雪。 ,回眸一笑百媚生,自然天成，像画一样！,出污泥而不染,皎若太阳升朝霞，灼若芙蕖出渌波。 ,巧笑倩兮，美目盼兮。 ,增之一分则太长，减之一分则太短，著粉则太白，施朱则太赤。这些理由还不够嘛？？？"
"南瑾十夜","保密","无IP","12657503","6","","10000","343","","果然老司机就是不一样，明显感觉到蕾丝像这种场面见得多了，现场表现很好，而大伟就感觉像是地主家的傻儿子、。。。。。。[蛆音娘_吃瓜群众]"
"神威CLANNAD","男","无IP","11940054","6","国民老公带回家","10000","237","","组队之后,鬼铠：我没血啦！圣女开大啊！,圣女：不干，我血满的，等我残了再开,山吹：求我啊，求我我就奶你(=ω=)"
"你是我旅行的意义","男","无IP","13205582","5","","10000","207","","这些年不断有人考古的情况下，截至我发评论的时候，这个评论区评论数量居然都没到一千。。。那时候人是真的少，评论氛围也是真的好啊，看看那时候的弹幕和评论区，实在有些唏嘘。"
"恨那时年少","男","无IP","17587009","6","","10000","213","","冬之公主来了。,我死死的盯着屏幕上1888这四个数字，心中百感交集。,1888。,早在几天前，新角色「血色玫瑰」up。为了她，我，一个学生，透支了整整一个学期的伙食费氪了两单648。为了她，我，一个学生，接下来要吃几个月的泡面！,然而，一无所获。,1888。,现在，冬之公主出来了。,我的钱包已然是空空如也。,1888。,我犹豫了一会，用微微颤抖的手拨出了一个号码。,不一会，那边传来了母亲的声音。她问，孩子，是不是学校又要交补***,沉默片刻。,没涨。妈，我只是想你了。,挂断电话。,思索片刻，我打给了父亲。,思绪有些杂乱，正当我思考着如何找一个恰当的理由借钱的时候，脑中却有一个名为「理性」的声音不断回旋着。,真的有必要做到这个程度吗？仅仅是为了一个公信力丧失的公司，为了一个皮肤，为了一组虚无缥缈的数据就要去欺骗父母？,「感性」跳了出来。,反正……你也已经氪了两单648不是吗？再加上平时的月卡，你只要向父母要个四五百就足够了。不然，前面两单不就和白白扔掉一样了吗？,正是因为前面氪的金“和白白扔掉一样”，所以才要收手收手啊！你真的以为这四百下去，会给你的实力……不，「数据」带来什么大的提升吗？这家公司，难道你还没有看透吗？醒醒，醒醒，醒醒吧！,思绪中的争吵声逐渐交织，纠缠在一起，最终化作的尖利叫声如同钝刀一般在脑中肆虐着，仿佛要一点一点剥开我的大脑。,头有点发晕。,一道沙哑但难掩其中激动的声音打破了我的思绪。,小兔崽子，你终于舍得给你老子打电话了！,我的脸抽搐着扭成了一团。,这学期读完，我不住校了。我陪你们。,回家？好啊，好啊！回家了让***天天给你做好吃的！,我挂了电话，站在窗边。,夜空中的星星给眼前的一切都镀上了一层细碎明亮的淡蓝冷光。,掏出手机，我卸载了崩坏3。,眼泪无声的划过，落在地上摔的粉碎。,——理性氪金，多陪陪家人"
"C-Anon愛音","男","无IP","25356615","6","贝拉kira","10000","170","","是的，这就是传说中的尬到爆炸的直播"
"爱恰面包的希樱Q","男","无IP","277998564","6","hanser","10000","148","11","卧槽绝了，我现在终于知道为啥整录播了[笑哭]"
"依旧那只然然","女","无IP","18690470","6","首批购买年度大会员","10000","140","","第一次看到蕾丝的真容...我只想说，又是一个脸不对声音的...( _ゝ｀)"
"还是自己的屋子好","男","无IP","87862941","5","","10000","120","","看着以前的直播，以前的评论，都不一样了。,以前评论虽然也在骂但好像戾气没这么重。回不去了回不去了"
"千反田喜欢吃蛋挞","女","无IP","252175121","6","","10000","139","","2021考古,LEX被封号,炒CP的两人没有了结果,大伟哥老了很多,崩坏三被冲了无数次"
"温迪老师教我写情诗","女","无IP","438185125","5","","10000","82","","传说中尬到脚趾扣地的直播[妙啊]"
"设定菌子汤","保密","无IP","8351471","6","","10000","81","","mihoyo，一个神奇的抱枕大厂，在制作抱枕的同时还顺便做做pv，励志成为制片大厂[小电视_害羞]同时在像梦想的同时  顺便，顺便，顺便做做游戏[小电视_无语]目前游戏依旧，抱枕大卖，pv优秀，就是说了俩年的动漫还在天国，所以请大家多买抱枕，多氪648[小电视_我好兴奋]多多呲呲一下 他们的新游戏，逆（呸）崩坏3rd[小电视_太太喜欢]"
"CHOKFENG","保密","无IP","834633","6","EveOneCat2","10000","138","","本来想来看一下大伟哥的，但是一上来就撞见死人了，tui，晦气"
"迁客骚人あ","男","无IP","213995969","5","洛天依·最美的夜","10000","65","","看那时候后面的海报都是皱的[喜极而泣]"
"每天不知吃啥好","保密","无IP","10234955","6","湊-阿库娅","10000","68","","Hanser在56分30秒左右出现，请大家准点空降"
"葉月華","保密","无IP","13592255","6","","10000","58","","祝各位还没抽到鬼凯的舰长，早日***入魂哦！还有就是祝各位舰长新年大鸡吧"
"阿阿阿阿巴巴","保密","无IP","620358463","5","","10000","17","","56：30"
"和几佰臣","男","无IP","209600918","5","","10000","47","8","原来LexBurner曾经给崩坏3做过版本直播[哦呼]"
"福福软fufu","保密","无IP","22762036","6","","10000","55","","我来看年轻的老蕾了哈哈哈哈哈哈哈哈哈哈哈哈"
"P岳","保密","无IP","6497306","6","","10000","45","","本来来看大伟哥，结果发现了某人[doge][捂脸]"
"麦麸提浪","保密","无IP","39205591","6","","10000","60","","该死的这才几年啊！才四年啊！一个喜欢二次元的害羞小伙变成目空一切的人上人，根本看不出是一个人啊"
"贝瑞普dokidoki","保密","无IP","383561744","5","斯莱特林","10000","16","","当年的老蕾哈哈哈哈哈哈，老颜艺了"
"吾名为头像是也","保密","无IP","45374791","6","EveOneCat2","10000","42","","布洛妮娅的配音……好中二啊,好想看他们在现场配音的表情……,中二病晚期的垂死挣扎……"
"一Kirito一","男","无IP","19321320","6","","10000","16","","前天刚把日炎大剑分解掉。。。。[蛆音娘_哭泣]"
"昵称已加密","保密","无IP","2610127","6","至尊戒","10000","16","","看过直播再来看一下，换了策划确实改善了不少，希望继续努力，希望新的外传不要再出现无聊的刷几百个敌人的成就了，还有就是希望尽早出类似崩2崩坏屋的系统吧，不少小伙伴都抱怨各种重复部位圣痕太坑了"
"冰柜陈醋","保密","无IP","21612599","6","","10000","39","10","[doge]阿伟，休息一下啦，调回按热度，回去看人偶学院好不好[doge]"
"颓废的狸花","女","无IP","20391758","6","","10000","31","1","主持人居然是那个已经被封的蕾丝[doge]"
"风见沧溟","男","无IP","14903911","6","","10000","15","11","原神1.3版本预告直播，大伟哥最新的一次出场，这四年真的变了好多啊[崩坏3_路过]"
"凯尔瓦城的斯戴芬","男","无IP","288343927","6","明日方舟音律系列","10000","15","","这个老蕾我一下子居然没认出来[笑哭]"
"明智肉饼","保密","无IP","9270354","6","","10000","15","","mihoyo竟然做手游？这不是周边大厂嘛？"
"Im爱慕织姬","保密","广东","496976717","5","","10000","44","","大家伙想看的：1:22:53[微笑]"
"焔風隠","男","日本","44945505","6","良辰美景·不问天","10000","34","","""如果大伙不满意，我们可以换策划"""
"红柳烤肉","保密","无IP","10105509","6","","10000","18","1","弃坑就弃坑，不要在这刷行吗？你弃一个游戏，就要去那个游戏的相关视频里给大家汇报一次，累不累?"
"二两干臊面少要辣","男","无IP","11106649","6","","10000","36","","冬之公主来了。,我死死的盯着屏幕上1888这四个数字，心中百感交集。,1888。,早在几天前，新角色「血色玫瑰」up。为了她，我，一个学生，透支了整整一个学期的伙食费氪了两单648。为了她，我，一个学生，接下来要吃几个月的泡面！,然而，一无所获。,1888。,现在，冬之公主出来了。,我的钱包已然是空空如也。,1888。,我犹豫了一会，用微微颤抖的手拨出了一个号码。,不一会，那边传来了母亲的声音。她问，孩子，是不是学校又要交补***,沉默片刻。,没涨。妈，我只是想你了。,挂断电话。,思索片刻，我打给了父亲。,思绪有些杂乱，正当我思考着如何找一个恰当的理由借钱的时候，脑中却有一个名为「理性」的声音不断回旋着。,真的有必要做到这个程度吗？仅仅是为了一个公信力丧失的公司，为了一个皮肤，为了一组虚无缥缈的数据就要去欺骗父母？,「感性」跳了出来。,反正……你也已经氪了两单648不是吗？再加上平时的月卡，你只要向父母要个四五百就足够了。不然，前面两单不就和白白扔掉一样了吗？,正是因为前面氪的金“和白白扔掉一样”，所以才要收手收手啊！你真的以为这四百下去，会给你的实力……不，「数据」带来什么大的提升吗？这家公司，难道你还没有看透吗？醒醒，醒醒，醒醒吧！,思绪中的争吵声逐渐交织，纠缠在一起，最终化作的尖利叫声如同钝刀一般在脑中肆虐着，仿佛要一点一点剥开我的大脑。,头有点发晕。,一道沙哑但难掩其中激动的声音打破了我的思绪。,小兔崽子，你终于舍得给你老子打电话了！,我的脸抽搐着扭成了一团。,这学期读完，我不住校了。我陪你们。,回家？好啊，好啊！回家了让***天天给你做好吃的！,我挂了电话，站在窗边。,夜空中的星星给眼前的一切都镀上了一层细碎明亮的淡蓝冷光。,掏出手机，我卸载了崩坏3。,眼泪无声的划过，落在地上摔的粉碎。,——理性氪金，多陪陪家人"
"weijia---","保密","无IP","278792819","5","","10000","17","","这个时候的lex长的好像吴签omg[捂脸]"
"星空之岛","保密","山东","284122950","4","","10000","24","","2023前来考古，只为听那一句“如果不满意，我们还会换策划”,回不去了，永远都回不去了。"
"田园心乐","保密","无IP","349490919","5","碧蓝航线","10000","13","","难怪不直播，以后还是录播吧，不然也太尬了。"
"我的哥哥哪有这么变态","保密","无IP","34536641","6","","10000","24","","那时抽的所谓烂圣痕。。到现在都是秒天秒地的存在"
"导向蓟吧","男","福建","605799162","5","","10000","16","","《不满意，换策划》"
"abcde-aiueo","保密","无IP","200277169","5","","10000","31","","这个游戏，我会继续玩下去的。相信和我一样想法的舰长有很多，我们会陪伴崩崩崩和女武神们一路到底。,为所有的美好而战，这不是一句空话。"
"绝区陆","男","无IP","100569405","6","崩坏：星穹铁道","10000","12","5","前来考古，原来[老鼠]老蕾头早就和大伟哥py了"
"___Royal丶梦萦","保密","无IP","259873523","6","星座系列：处女座","10000","23","","尬伟哥[笑哭]"
"miku小姐的老公","男","无IP","189003607","5","雪未来","10000","22","","大伟哥挺好看的，就是旁边有个碍事的"
"奥托先生的猫","男","无IP","319955727","5","","10000","11","3","真是怀念啊"
"飞天虾","男","无IP","132070","6","","10000","11","","虽然现场比较轻松愉快，但是LEX好像插大伟哥嘴太多了[2233娘_大笑]扣钱"
"不知叫啥好","保密","无IP","1997352","6","向晚大魔王","10000","23","","hanser直接去56:30，不用谢我"
"异世界小龙虾","男","江苏","1699142207","5","hanser","10000","11","","这什么逆天标签啊，三蹦子以前这么6[崩坏3·光辉矢愿_惊]"
"小墨笙了解一下","男","辽宁","351359300","6","花园花玲头像框","10000","24","","大伟哥旁边坐的是什么东西？"
"游荡之星","女","无IP","11294222","6","明日方舟音律系列","10000","18","","表示大伟你家园剧情是多神，我点开崩坏炉的神tm遇到牙医在洗澡（然而没福利图还说个p）(╯°口°)╯(┴—┴大伟你不给我磁暴小心我告诉琪亚娜你诱惑舰长看牙医洗澡……等等为什么牙医会在崩坏炉洗澡！！！"
"嘤嘤怪好怪","男","福建","1724563","6","","10000","13","","真 黑历史，谁能想到请了个无德之人。[辣眼睛]"
"我是院审大王","保密","湖北","361228628","5","","10000","13","","可别惦记那换策划了，这场直播的版本就是大名鼎鼎的零点酒吧，玫瑰含片版本，换策划这句话说了不到一个星期就被刘伟自己打脸了个干干净净[嗑瓜子]"
"一无所有的杰瑞鼠","男","福建","419554886","5","","10000","13","","我们还会换策划"
"热雪的懒人","男","四川","13191121","6","","10000","24","","原神3.0须弥前瞻，崩三6.0前瞻考古。大伟哥明显老了！"
"再仰望","男","河北","499592794","5","","10000","18","","1:22:53《换策划》[嫌弃][嫌弃][嫌弃]"
"默飞羽","男","无IP","10195743","6","","10000","17","","这才几年啊，大伟哥变化好大"
"鸢什琦ど","男","无IP","270834921","6","原神","10000","10","","还好那时候刚入坑 玩的很佛系 不看直播 不然我已经尬死了"
"希杜提里奥","男","无IP","91322640","5","","10000","17","","现在来看，蕾丝和大伟哥的变化都挺大的"
"moss__--","保密","无IP","14632887","6","至尊戒","10000","10","","大伟，去整个牙吧……看你笑好难受……整牙会变帅的。"
"Zrmt忆昔","保密","湖南","362113881","5","","10000","10","","我们还会换策划[抠鼻][抠鼻][抠鼻]xswl"
