"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"陶典典","女","无IP","370910889","6","星座系列：水瓶座","10000","10843","6","符华头发散了，牛逼了！,芽衣头发散了，牛逼了！,姬子头发散了，牛逼了！,布洛妮娅头发散了，牛逼了！,琪亚娜头发散了，牛逼了！,总结：女武神的头发才是本体[蛆音娘_滑稽]"
"ioaksn","保密","无IP","34948121","6","","10000","10359","","组团砍绿托（1/10000）"
"喜欢这世界","保密","无IP","198610713","6","2021拜年纪活动专属","10000","3584","5","姬子:琪亚娜，你还在等什么？,琪亚娜:等大招cd，律者能量满了动不了[捂脸]"
"二分之一定律","男","无IP","24806919","6","年度打卡挑战","10000","3945","5","主线最后一个CG，姬子老师走出来那一段哭了[大哭][大哭]"
"伏特加の梦","保密","无IP","24505821","6","格兰芬多","10000","3329","","游侠：在我短暂的一生中 我越是对抗崩坏 我就越是发现 女武神的力量终究是有极限的,舰长：你在说什么？你到底想说什么,游侠：我不当草履虫了，舰长！空律核心 展开！"
"Desperateove","保密","无IP","21224513","6","","10000","1994","","增幅游侠 ×,女王青春版 √"
"秋暮江吟","男","无IP","38347830","6","","10000","557","","黎明和夜晚之间/,是痛苦、光亮和焦虑的深渊/,夜晚磨损的镜子/,照出的脸庞已不是昔日模样/,别睡/,别睡/,不要被梦魂缠住/,你是永恒的人质/,你是时间的俘虏/,谁听见雨落下，谁就回想起/,那个时候，幸福的命运向她呈现了/,一朵叫做玫瑰的花/,命运最为永久的判决/,在我身上延续/,死亡是活过的生命/,生命是临近的死亡/,软弱的王，凶残的后/,高高耸立的城堡，还有狡猾的卒子/,在黑白相间的道路上互相寻找/,展开了白刃的格斗/,一把锉刀/,第一道沉重的铁门/,总有一天我会获得自由/,在漫长的岁月里/,守夜的人们已用古老的悲哀/,将她填满/,看她，她是你的明镜。"
"淼淼学分析","保密","无IP","10021251","6","","10000","537","","游侠闪避也是向前了，和笨蛋姬子一样[小电视_哭泣][小电视_哭泣]"
"安地生黄","保密","无IP","341461823","6","","10000","473","9","看见剧情里出现奥托乐了半天 还以为出boss了呢"
"IS-2慈父","保密","无IP","87453942","6","崩坏3·天穹流星","10000","376","5","最后一关，剧情结束之后，不再是以往欢快的bgm，而是奇异恩典。,退出后，甲板后一片寂静。。。,,黑暗，真的黑暗[大哭][大哭][大哭],希望笨蛋能走出来[委屈]"
"mygohaya","保密","无IP","330126","6","","10000","435","","奥托:命运将在我掌中粉碎！,八重樱：卡莲爱我！你做得到吗？"
"eltonts","男","无IP","40082529","6","","10000","253","","我覺得，如果奧托作為BOSS實裝，一定會很快成為崩壞系列裡被打爆最多次的BOSS"
"菜嵐子","男","无IP","18699691","6","泠鸢yousa","10000","143","","啊啊啊，最后的cg虽然很良心，但是，阿姐！！！又捅一刀"
