"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"郁鸢刀","男","无IP","28400290","6","","10000","3279","","一共两条新加的用户协议,第一条,未经米哈游事先书面允许，您不得通过第三方软件公开全部或部分展示复制传播播放米哈游游戏服务中的游戏画面，否则米哈游将有权根据您的违约情节，采取各种处理措施，包括但不限于如下一项或几项，且米哈游保留进一步追究您法律责任的权利:暂时禁止登录、强制离线、封停账号。,第二条,“用户应避免应使用米哈游游戏服务而使米哈游卷入政治和公共事件，否则米哈游有权暂停、中止和终止对您的服务。同时米哈游有权对您注册的所有米哈游通行证账号立即停止提供全部或部分服务，您应当对此独立承担一切责任。”"
"Kiritani華","保密","无IP","13200183","6","hanser","10000","7655","","最近没什么仇人，就不拉人回坑了[歪嘴]"
"-渐行-渐远","男","无IP","342707548","5","","10000","10048","","认真聆听玩家的建议,↓↓↓↓↓↓↓,用户协议加霸王条款[热词系列_不愧是你]"
"白银冬","男","无IP","312852754","6","","10000","10711","","兄弟萌，我想融号，但是还缺一点决心，给点赞我明天就融[吃瓜][吃瓜]"
"蹦蹦跳跳的小鳄鱼","男","无IP","11884874","6","","10000","5089","7","简中一年中发布639动态，国际服为1099,简中一年粉丝互动15次，国际服129次,简中活动相关动态61条，国际服140条,还有什么好说的吗，没有公关的本事，就别吃公关这碗饭"
"小鸟遊丨六花","保密","无IP","7465870","6","","10000","5611","","未经书面允许不得上传融号视频？[呲牙]"
"羞咻秀修","男","无IP","13801915","6","","10000","5970","","崩三发动态了？,点击评论,大致看了几眼,发现还有人在冲和融号,开心的给他们点了几个赞,满意的离开了,,兄弟们我做的对吗？[doge]"
"mhy-养鸡场","保密","无IP","385417881","3","2021拜年纪","10000","6657","","在新更新的服务协议中多了一条,“用户应避免应使用米哈游游戏服务而使米哈游卷入政治和公共事件，否则米哈游有权暂停、中止和终止对您的服务。同时米哈游有权对您注册的所有米哈游通行证账号立即停止提供全部或部分服务，您应当对此独立承担一切责任。”,ch此举实在是高啊，一下就把最近崇洋媚外的责任全推到玩家身上[doge]"
"后宫是一种信仰","男","无IP","102432122","6","","10000","1643","","爱酱：版本更新补偿提升到600氵了,,CH:下期活动原本打算给的500水晶下调到300吧！"
"挥墨量今生","男","无IP","403870915","5","","10000","2171","","米桑  你这霸王条约是怕别人发现你吃里扒外嘛  敢做不敢当的怂瓜！[辣眼睛]"
"莱鸡月","男","无IP","8687189","5","","10000","1749","","也就是说，虽然这些条款是当事人双方没有协商就制定出来了，用户也在各种原因下自愿签署了，但如果企业想要依靠这样的协议文件免除自己理应担负的责任，加重用户需要承担的责任这都是行不通的。,在合同条款中存在明显的不平等、不合理之时，用户是有权主张合同文件无效的。,（这是我们老哥咨询律师的结果）"
"桜华月恋","女","无IP","385814950","5","阿梓从小就很可爱","10000","1410","","更新氵从400变到600水，转手活动的水从原来400变为200，水晶守恒定律吗[嗑瓜子]"
"巷古烟","男","无IP","18689558","6","梦塔·雪谜城","10000","2542","","有人说你不作为，冷处理，对此我很愤怒,你要是真不作为，我的那些评论去哪了"
"Ksage","男","无IP","141473399","6","","10000","1485","","真是恶心到家了，策划就这水平，不会是从宠物店买的吧"
"此方彼方很方","男","无IP","21508534","6","","10000","1672","","真的差别大，推特有人不满意，官方不到一小时就在评论区道歉[辣眼睛]"
"Clockout","保密","无IP","86026899","6","","10000","2733","","复制一下贴吧一位老哥的话,其实从现在的情况看，下次活动的数据会很好看，很好看就是字面的意思。其实很容易就能猜到的,MHY为了让玩家回去，势必要造成一个抵制的玩家失败的现象,现在都在看流水那么自然就会从流水下手了。,MHY出资给水军，水军充值游戏，虽然表面上没有赚钱甚至会赔钱，但在数据上是很好看的,“看吧，你们失败了”“还有很多玩家在玩游戏呢”这类话会不断的被重复着。,所以只是看下一次的活动的话，流水是一定会暴涨的。,抵制也是一定会“失败”的,但这是暂时的双输。真的要让MHY输，就要有长远的打算,不要听信XZ和MHY的言论，弃坑就要弃坑到底,也没必要看下次的流水，而是应该看这之后的流水,MHY可以造假一次两次，但他不能次次都造假,只有长期观察流水才能看出究竟是谁赢了。,所以大家放平心态，这一次活动的流水究竟好不好看，真的没必要。,只要保持不玩不氪，最起码做到不氪，那就是简中玩家的胜利"
"Y之秀I不及也","保密","无IP","480248481","5","","10000","2040","","唉都是5 6级1000+万氪大佬在融,搞的我这个248天只氪了200+的跟个水军似的,视频还在审核,武器还没融 被锁定了,越想越觉得自己太卑微了,点个赞安慰一下可以吗xdm"
"逆天的油条","保密","无IP","20344399","6","洛天依8th生日纪念","10000","1307","","日子是你定的还怪玩家把你卷入？[疑惑][疑惑]"
"她从未写过信丶","男","无IP","401543844","6","星座系列：白羊座","10000","1184","","xdm，虽然号已经是融了，但是应该还能骗点赞吧[doge],视频在动态（来点赞就行）"
"寒乄月","保密","无IP","4763012","6","","10000","1137","","他更新的这个条款，我可不可以发给直播平台要求关闭米哈游相关的直播内容啊"
"梁翠花","男","无IP","104657696","6","","10000","1636","","[傲娇][傲娇]我一天就收集了六百多个融号视频，真有你的米哈游...,过来我的动态给他们磕个头不过分吧？"
"杨sir5439","男","无IP","84101107","5","","10000","2557","","有赞就融，噢原来是我自己点的啊"
"景小蝉","保密","无IP","325001265","5","","10000","799","","外服的服务条款有没？就会欺负国服是吧？"
"羡門","保密","无IP","109685784","6","洛天依·最美的夜","10000","1048","","昨天晚上，休伯利安发布了回归活动，让舰长邀请五十级以上舰长回归?真要是有人这么做了，那得是什么仇啊?"
"我刚吃好又吃啥呢","男","无IP","53566664","6","神乐七奈","10000","1372","","休伯利安现诚招大量舰长,不限年龄，不限性别,紧张刺激的剧情,气势磅礴的cg,不骗氪不骗肝,每周开放特色合作副本,还可以在游戏大厅玩到各种小游戏,现在入职赠送指挥中心一座,还有12台scv和50创业资金,快来和好兄弟们一起保卫克哈吧,策划不把玩家当人这种事根本不会发生,因为我们已经没有策划了"
"里特君_","男","无IP","435798463","6","崩坏3·天穹流星","10000","1165","","在新更新的服务协议中多了一条,“用户应避免应使用米哈游游戏服务而使米哈游卷入政治和公共事件，否则米哈游有权暂停、中止和终止对您的服务。同时米哈游有权对您注册的所有米哈游通行证账号立即停止提供全部或部分服务，您应当对此独立承担一切责任。”,ch此举实在是高啊，一下就把最近崇洋媚外的责任全推到玩家身上[doge]"
"阿历克斯凛风","保密","无IP","21423153","6","","10000","573","","更新多的200水，原来是活动商店里抠出来的啊"
"柔然丄單","男","无IP","26198758","6","","10000","784","","五一时候大伙放假了冲的人可就多辣"
"梦轮千悲","男","无IP","13831849","5","","10000","1522","","米桑别删了，只要你不关评论，热评永远是骂你的，这都没整明白??"
"贫道名叫老衲","男","无IP","102578015","6","神乐七奈","10000","1492","","进游戏，关声音，领东西，抽卡，退出游戏，就是不氪金，唉，就是玩"
"团子不吃醋","保密","无IP","66871457","5","hanser","10000","1960","","已退坑，100赞融号发动态，没别的，玩b站这么久了，想试试消息99＋[OK]"
"吕不藏","保密","无IP","23692382","6","","10000","757","3","你能再表演一下那个吗？[给心心],还要来吗[霜叶-疑问],对，就是那个，快点！[抠鼻],,[热词系列_知识增加]：,在未来的版本中，制作组将持续关注和倾听舰长的建议，及时响应舰长的反馈，始终以给舰长带来良好的游戏体验为目标！感谢舰长的支持与理解～,,《崩坏3》官方运营团队,,2020年6月17日,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈[tv_偷笑],（转）"
"Nymphの苹果糖","男","无IP","302978","6","","10000","1207","1","劳资以前玩lol从来不玩，结果前段时间玩了一把乱杀，我仔细想了想原因，可能是我以前是个舰长吧"
"Zealour","保密","无IP","387442209","6","明日方舟","10000","661","","请问一下，我那个只冲了几百也只玩了半年的垃圾号融了有赞吗[脱单doge]"
"铃夏夏夏夏","男","无IP","60031381","6","洛天依·最美的夜","10000","1047","6","如果新版本流水涨了，我就真看不起简中服的各位了"
"织尽江","保密","无IP","250494744","6","","10000","650","","b站也同步更新了创作公约，哈哈[W-哈哈]"
"嘀答","保密","无IP","23777257","6","2021拜年纪","10000","1467","","哟哟哟，开始加霸王条款威胁玩家了是吧？[呲牙]"
"360导航233","女","无IP","36865318","6","格兰芬多","10000","670","","DNF当年脱坑潮，融号离开的被叫勇士。因为留下来的玩家知道，他们福利变好了，不是策划良心发现，而是离开的那一批玩家。,而崩坏3，他们被叫做“魔怔人”。[微笑]（复制）"
"苍星里面暖","保密","无IP","330264105","5","少前小剧场","10000","1056","","200+600＞400+400[呲牙][呲牙][呲牙]"
"迷の坑の大三","男","无IP","2740296","6","","10000","753","","登录,领登录奖励,聊天室开骂,下线[OK]"
