"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"档案Archivare","女","无IP","19334905","6","","10000","7156","","希儿亲女儿！,首个S级就有动画短片支持！吹爆！氪爆！,只要你喜欢希儿，我们就是姐妹了！"
"超次猿","男","无IP","3836153","6","少前小剧场","10000","4545","","希儿：姐姐，我与吼姆掉水里先救谁呢,板鸭：。。。。。。,希儿：姐姐，先救谁呢,板鸭：布洛妮娅的嘴被胶带贴住了，不能说话,希儿：姐姐，姐姐，说嘛,板鸭：布洛妮娅是憨鸭子，不会游泳,希儿：(°°)"
"魔霸帝皇爆裂独尊天帝","保密","无IP","104507642","5","","10000","2416","","弹幕上哪个憨憨说黑希侠[洛天依_掀桌]"
"我很污但不啪","保密","无IP","35716326","6","","10000","1455","","↓赞我的下个版本必出黑希尔[滑稽]"
"商店老板斯莱","男","无IP","4385704","6","崩坏3·天穹流星","10000","1386","10","有了动作捕捉的米忽悠离动画大厂又近一步"
"无量塔姬子真红的凯旋","保密","无IP","33427674","6","","10000","1158","7","最近动画出这么频繁(别太快了，质量优先)"
"黑暗莲晓","男","无IP","283240233","6","星座系列：金牛座","10000","800","","丫的 我刚刚起鸡皮疙瘩 然后就没了[捂脸]"
"二分之一定律","男","无IP","24806919","6","年度打卡挑战","10000","688","5","众所周知，有动画短片宣传的都会成为一代版本之子[吃瓜]"
"伏特加の梦","保密","无IP","24505821","6","格兰芬多","10000","662","","里人格：这是一场试炼，我接受了战胜过去的“试炼”。人的成长……要战胜不成熟的过去……呐，你不也是这么想的吗 布洛妮娅姐姐？希儿，我可爱的希儿哟，我已经把我的力量借给你了哟~黑希铠甲，合体！"
"独不吟2","男","无IP","225620795","6","良辰美景·不问天","10000","470","2","怎么才这么点，根本不够嘛！"
"---独角戏---","男","无IP","58018812","6","","10000","403","","布洛尼娅:“希儿快走！”,扑！通！！（胸刹）,希儿:“阿西吧！跑那么快干哈子啊害老娘胸都差点摔平！我受够了！黑希铠甲！合体！！！”,布洛尼娅:⊙▽⊙"
"揽明月而长眠","男","无IP","192800255","6","崩坏3·天穹流星","10000","311","6","可恶啊为什么只是预告啊，岂可修"
"游戏彩笔","男","无IP","1320581","6","","10000","245","25","这次是双倍的老婆！"
"一战功成舍我其谁","男","无IP","17052144","6","","10000","228","5","逼我在板鸭希儿的正教和里表希儿邪教之间站队[笑哭][笑哭][笑哭]"
"无量塔姬子真红的凯旋","保密","无IP","33427674","6","","10000","169","7","保证质量啊[小电视_赞][小电视_赞][小电视_赞]"
"以前深爱的现在呢","男","无IP","431782151","3","","10000","113","","希儿的老公们顶我上去[妙啊][妙啊]"
"比零酱不忧伤","保密","无IP","242581975","6","","10000","89","","对抗崩坏的战斗永不止息，为了守护这个美丽的世界，琪亚娜出击！“我曾看到神抛弃了这个世界……而今天，神也将臣服于我。”纵使黑云蔽日，我也要燃烧天空，带你找到回家的路——追寻着你的身影，从迷失的世界起航，直到深海的尽头……,“希儿……布洛妮娅来找你了。”自我放逐之旅的尽头，少女幡然觉醒。,“姬子老师……我不会再逃避了。”,,曾经的约定历历在目，懦弱的我却总是拖累你的脚步，这一次姐姐由我来守护。"
"过去を忘れる","保密","无IP","10285464","6","","10000","83","","MIGHTY BRDTHERS XX,,henshen,,DOUBLE GASHAT,,GACCHAN,,DOUBLE UP,,我便是你 你亦是我,,WE ARE,,MIGHTY BRDTHERS XX,,看我一命通关"
"苍穹poi_","保密","无IP","17924371","6","","10000","50","1","在？为什么吊胃口[doge]"
"游客任冲_","男","无IP","14200938","6","魔兽世界·暗影国度","10000","39","","我向佛祖许愿，佛说我可以让你许个愿,我说那就让我拥有所有的希儿,佛说不行，只能四个,我说那就，A希儿，s希儿，2s希儿，3s希儿,佛说不行，只能三个,我说那就，up过的希儿，up中的希儿，即将up的希儿,佛说不行，只能两个,我说那就，物理希儿，元素希儿,佛说不行，只能一个,我说行，佛茫然的看着我说，哪一个,我说，每一个,佛哭了，说,三天之内片氪你，水晶都给你羊咯"
"Mei汁衣想要光辉mm抱抱","保密","无IP","87451559","6","公主连结可可萝","10000","37","","即使动画短片过后剧情肯定还没结束的，不然测试服怎么会出那个新活动（听说还有第十三章）[吃瓜]"
"你咋不上天aaaaa","男","无IP","23854943","6","","10000","35","4","黑希铠甲！合体！"
"三好少年仗助酱","保密","无IP","53278283","6","","10000","22","3","我送你了一个崩坏3的3周年礼物！赶快拆开它吧！https://webstatic.mihayo.com/bh3/event/e20190926statistics/index.html?cipher=MzY3ODAyMTE2NCFiYjAx#/share"
