"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"二分之一定律","男","无IP","24806919","6","年度打卡挑战","10000","4207","5","看了直播，就感觉,我们总说着mihoyo凉了凉了，三蹦子凉了凉了。可是呢，这游戏年年免费搞抽奖，年年免费送周边，而且送的礼物还不是游戏里的虚拟物品，是货真价实的东西。纵使游戏不尽人意，可它硬是搞出了国际比赛，而且还能拿到奖金。,所以，黑暗力量实在是太强大了,[画风突变]"
"肥羊羊羊肥","女","无IP","5140091","6","","10000","1571","","第二天这紫苑好像没第一天的希儿好看 毕竟身高不对劲，不过圣痕倒是对了(猫莎猫警告)可能有点丑见谅,这回比赛也没想到能拿到冠军，能拿到这个总冠军还是很开心的！感谢队友们的努力和大家的支持与鼓励～云喵的后台欧气加成是真的高 祝大家抽奖都能和她一样欧"
"面条次面条","保密","无IP","53266470","6","","10000","1260","3","有人说我厉害吗？"
"茉莉绿茶少糖","保密","无IP","5214277","6","","10000","1055","","回顾肥羊女装"
"西HiSoka","保密","无IP","286602264","6","","10000","714","","本视频由大家赞助播出。"
"一方无奈","男","无IP","89923320","6","","10000","651","","追番100w了哦"
"观澜__","男","无IP","171782212","5","","10000","561","","再比几天吧，我氵不够了[doge][doge]"
"夏沫情天","保密","无IP","146941555","5","","10000","490","","希望把比赛选手用的装备给我们在那些关卡试试看，好让我死心"
"龙卷风横穿马路","男","无IP","37172134","6","","10000","455","9","亚太锦标赛(╳),上海内战(╳),大型白嫖水晶现场(╳),肥羊羊换装秀(√)"
"每六天改一次名字","男","无IP","164791084","6","","10000","379","","亚太（X）,中国（√）"
"捏爆蕾蕾子滴肥脸","男","无IP","241340085","6","多多poi","10000","312","10","东哥云喵四四开的来[2233娘_喝水][2233娘_喝水]"
"第八日的拂晓","男","无IP","275332085","6","良辰美景·不问天","10000","186","","爱酱女武神的餐桌追番已经到达100万了（疯狂暗示）"
"Dirttybananna","保密","无IP","159441444","6","","10000","176","","再次八票挂了云喵,还是那句话，神不胜欧,水晶在手嘻嘻嘻"
"沐沐洗","女","无IP","266057909","4","","10000","153","","东哥随意飞，idong永相随[大哭]"
