"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"账号已注销","保密","无IP","153261885","0","","5000","6851","","再强强不过女王，再弱弱不过白练（￣▽￣）"
"零食铺中的老实胖","男","无IP","364199041","6","三周年恋曲","10000","5370","","请给我的芽衣更紧的制服。（别顶，要脸）"
"一_一透明物","男","无IP","31958221","6","明日方舟-愚夜密函","10000","2334","","我：特斯拉博士，我问个问题,说,我：我手残，还有救吗，说了这么多我还是不懂耶"
"阿萨坤","男","无IP","65711945","5","明日方舟","10000","1096","","白练：强袭撑住啊！,强袭：啊！,白练：你行不行啊？,强袭：要不你来？,白练：我TM（被鬼凯拦住）,鬼凯：一饿就弱爆，来个增幅核心吧？,鬼凯：怎么样？,增幅强袭：来劲了！,增幅核心横扫矿场做回自己！"
"--Kadi--","男","无IP","347984207","6","","10000","706","7","穿学生制服？特斯拉博士你可能不知道有的女武神甚至穿婚纱去的"
"游戏彩笔","男","无IP","1320581","6","","10000","447","25","有点紧！"
"再吃根芦荟","保密","无IP","39075420","6","","10000","386","","我，紫苑，初始S，御神机甲，似鸽杀手，莫得感情，更，莫得输出。[蛆音娘_吃瓜群众]"
"夜妖精","保密","无IP","13689359","6","碧蓝之海","10000","320","12","我:特…特斯拉博士，我刚刚那一发大招秒泰坦的能力，能不能给我调回来[蛆音娘_吃惊]我现在连崩坏兽都炸不死了[蛆音娘_扶额],特斯拉:可能数据出了点问题你用着先吧。（我辛辛苦苦造的泰坦爸爸怎么能这样被你弄坏呢）[蛆音娘_滑稽]"
"深渊の帕瓦","男","无IP","34259950","6","","10000","249","","花里胡哨的战衣，强袭核心本质就是强袭隆胸计划，和我天命的弑神装甲完全不能比[小电视_嘟嘴]"
"YHAIJJ","男","无IP","36292535","5","","10000","193","","最近我在b站看到一个很不好的现象，特斯拉管强袭叫袭袭，强袭管特斯拉叫拉拉，袭拉不分，是非颠倒，你们还在笑，我是笑不出来，我眼泪全在肚子里打转，我们天命总部几千年来不缺可歌可泣的爱情故事，麻烦给奥托留下一片情感的净土"
"安格隆","保密","无IP","21403534","6","","10000","174","","其实可以不穿衣服对抗崩坏的"
"扑腾一号","男","无IP","4188087","6","","10000","147","","舰长：新战衣感觉如何？,芽衣：很强大，已经没有什么好害怕的了。,舰长：......你要不退役吧。"
"電子小兎うさぎ","女","无IP","149612131","6","","10000","98","","大佬们肝核心的原因:为了更强,我肝核心的原因:好看新衣服"
"一整plus","男","无IP","12006972","6","","10000","94","","这件战衣的力量好强大！,等。。。等等！应该是数据出了问题。。。,这就是削弱的理由吗(；ω；`)"
"卿徵丶","男","无IP","10105090","6","","10000","91","","看完这个视频后我只知道了一件事，原来策划你对于老强袭有多弱心里有B数的啊，那你早干嘛去了( _ゝ｀)"
"青豆粥","保密","无IP","38146717","6","","10000","70","","米忽悠儿丧尽天良，可怜强袭反向加强，辛苦舰长白肝一场，还要骗氪头发掉光，多亏芽衣隆凶救场，引得玩家甘心收藏，还剩鬼铠矿井里忙，不知哪年才能见光"
"洛洛洛-樱","男","无IP","304671600","5","","10000","47","","新版强袭是唯一一个逆熵的女武神"
"血狱狂炎","男","陕西","62918881","6","","10000","13","","啊，强袭啊······当年的芽衣还是个青春期少女，然后雷律觉醒为女王，而现在······始源，她还是之前那个她，只不过，变得更加成熟了哈哈哈,而强袭······我想起来了，这差不多就是官方乳芽的来源，当年，就是强袭一边哭着一边喊：我什么都做不到。[笑哭]"
"姐控怂皇苏韵锦","男","无IP","4759992","6","","10000","43","","强袭强无敌"
"时雨恋心","保密","无IP","2171697","6","绯赤艾莉欧","10000","46","","单纯的芽衣姐姐还不知道这件衣服被吃了多少回扣，依旧温柔的感谢，我哭惹[2233娘_大哭][2233娘_大哭]"
"可莉莉莉莉123","女","无IP","37917985","6","","10000","13","","你看你偏要做芽衣的，你要是做班长的衣服哪里能不合身啊[小电视_笑]"
"安达樱与岛村抱月","男","无IP","87963512","6","","10000","48","","战衣很好，但我还是选择纯净永恒[2233娘_耶]"
"鸿雪づ","保密","无IP","170883013","5","明日方舟音律系列","10000","39","","那个，特斯拉博士造战衣前先补一补斩服少女好不好，布料跟那里差不多就行，这要求不高吧"
