"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"-池暝-","男","无IP","14338186","6","","10000","1342","","直播福利兑换码如下,YVUZ8SKJP7   100水晶EMYXGWMKKF     150水晶EVYF9SKX57     十万金币,请大家送我上去我叫雷锋"
"小柠丶","男","无IP","6736655","6","","10000","743","","感觉出的好快啊，大姨妈来了，接了下天命应该就剩希尔和符华了吧。。。。难不成真的要加入逆熵？23333"
"吃瓜的毛玉","保密","无IP","13679468","6","","10000","792","","崩坏2玩家表示，看着你们崩3的不久就要保护智障修女了，心里真舒畅。( ` )"
"戴河上月","保密","无IP","12828289","6","","10000","278","","“大概世界上最悲催的事情就是你保护了一路的妹子，到最后发现她比你还生猛，完全不需要你保护而且最后还要血虐你。是的，她掏出了我想掏出的东西并且比我的还大”"
"汤之花-幽奈","保密","无IP","29489144","6","","10000","123","6","问:传说中八重樱的粉白胖次究竟去哪了？,,答:当然是在八重樱的安全裤里面啊╮(￣▽￣)╭"
"宇文小明","男","无IP","32398153","6","","10000","64","","1、YVUZ8SKJP7        100水晶，直播福利1,2、EMYXGWMKKF    150水晶，直播福利2,3、EVYF9SKX57       十万金币，直播福利3,4、GUYZGS3XMP    60水晶和一些金币，520节日福利,我叫红领巾，谢谢。为了琪亚娜和芽衣"
"HereisRPQ","保密","无IP","2409817","6","","10000","44","","直播各种事故——,断语音,断屏幕,手机密码不知道要等(也算吧……),补给给的都是辣鸡,打不过坑队友,……,大伟&萌新策划组成尴尬非洲二人组,更新300水晶加抽到的220水晶……mmp套路啊(╯°口°)╯(┴—┴"
"abcde-aiueo","保密","无IP","200277169","5","","10000","24","","这个游戏，我会继续玩下去的。相信和我一样想法的舰长有很多，我们会陪伴崩崩崩和女武神们一路到底。,为所有的美好而战，这不是一句空话。"
"真红之火鸡","男","无IP","488080","6","","10000","17","","看到现在，还是1.4的PV做的最震撼，当然1.4PV的BGM也有很大功劳。相比1.4PV，1.5的PV虽然也做的很棒，但缺少一种触动人心的感觉。我认为其原因，一个是玩家们经历了1.4的感动和骗氪后有点审美疲劳；二是德莉莎以前在学院里就作为使用角色，一种“啊，这个角色早晚会出”的定论早就在玩家潜意识里面了。在1.5PV里，缺少“哇，居然还有这种操作”的惊愕，也缺少“这BGM太爽了，身体不自觉地热了起来！”的躁动，自然比起1.4时略逊一筹了。"
"Boku-cx","保密","无IP","11119216","6","国民老公带回家","10000","8","","就不能出个男武神吗  照顾一**性玩家  (；ω；`) 虽然说每天摸妹子也很开心"
"shoot我一脸","男","无IP","143422","6","","10000","8","","基本上崩坏3的国语配音们都在B站有自己的账号，也经常有发布各种视频,琪亚娜 芽衣 布洛尼亚 姬子 大姨妈等,每一位配音妹纸的各种有趣视频都看过,然后直到我去看了芽衣的配音的视频。。。。。。,,卧槽！！！！！！跟其他配音们根本不是一个画风，这是一位老司姬啊！！！！,太刺激了！！！！吉尔别想放假的那种！！！！[小电视_害羞]"
"欢乐井盖人","保密","无IP","906373","6","明日方舟","10000","30","","预登录玩家更新之后回来看看，目前77级，以前好话说了很多了，今天就来吐槽一下。今天正好是弃坑一个月的日子，毕竟最喜欢的德丽傻出来了，但我想说····现在这游戏确实越来越肝了。和当年游戏十分钟贴吧两小时的时候明显变了个样。又是舰团本，又要刷碎片，还要开放世界，马上更新之后还要再赶德丽傻的坑。(苦笑),当初说这游戏氪命，我是不信的。如今的趋势越来越往这方面发展了。说实话，我是不愿意把一天里面这么多时间花在手游上的，可能很多玩家浑身上下都是肝，但也有肝不动越来越累的玩家。,前几个版本的时候出了狂暴芯片，其实从根本上还是没有解决这个问题，一个碎片本，就算你再简单，再无脑，再秒杀，你在重复了半年之后相同的动作，总会多多少少有点嫌烦，因为你在开碎片本时，会经历点开+读取+无脑战斗（因为基本上你已经驾轻就熟了）这一段过程，可能时间不长，但量变产生质变，入坑6个月以上的玩家对于碎片扫荡问题，很多都懂的。,很多玩家可能会说，”扫荡？这回***械式重复本上下个决定。让玩家每天不至于玩个游戏玩到疲惫，本身放松的事却变得越来越累，也怪不得很多dalao会萌生弃坑的想法。,适当做一些减法，反而对游戏会有加成。,最后想说一点，有很多玩家会吐槽，”又没有人逼着你刷碎片？不想刷就不刷呗。“,··················,跟这些人争论会发生论点跑偏。只要知道这个碎片本使游戏体验变差就行了。这个跟你想不想没有关系，游戏体验变差，那自然就应该优化。这个不只关乎个人，也关乎很多的玩家在游戏时的体验，物极必反，肝爆必退，很多乘客都会变成咸鱼的(苦笑)"
"Acerolan","男","无IP","8377258","6","","10000","21","","现在部分萌新的现状就是，不想氪金又要出门毕业装，不花时间肝又想皮肤碎片一大把，活动没优势副本打不过怪地图太b t，醒醒，刚开服那会儿玩到现在的哪个不是拿三星四星道具砍过来的(氪金大佬当我没说)，玩了一两个月不到就想赶上别**半年的水平几乎是不可能的，当然你有钱氪金当我没说( _ゝ｀)"
"唯爱绘希团子狸","保密","无IP","8103175","6","星尘","10000","22","","拼死集灵魂换了生八，刚养起来大姨妈又来了(╯°口°)╯(┴—┴,大伟你是别墅住的不舒服么(╯°口°)╯(┴—┴"
"悬阳","保密","无IP","18261474","6","","10000","34","","提示guyzgs3xmp贴吧520礼包60水晶，希望其他舰长能看到(虽然发过一次……但是还是怕好多人没看到)( _ゝ｀)白送的为啥不拿"
"白一海","保密","无IP","27762921","6","","10000","18","","让我推测下一下,下个版本出德莉莎,下下个版本出另外两个德莉莎,下下下个版本出希尔,下下下下个版本出塞西莉亚,下下下下下个版本出卡莲,下下下下下下个版本出浮华"
"槿尘仔寄了","男","广东","360031658","5","崩坏：星穹铁道","10000","10","","我可怜的德丽莎呀，大结局了还没有迎来她的第一个短片"
"bili_494497164","保密","山西","494497164","5","","10000","18","","现在还有人会翻这个吗[嗑瓜子]"
"霜月秋华","男","无IP","24497721","6","小主安康","10000","7","","讲个笑话:德利傻通过圣痕空间穿越到了八重村然后日常采集刷新重生点，于是滑稽的对着八重神社说了一句【再不出来的话，我就把这里全部毁掉】"
"喧嚣的龙雀","保密","无IP","49899584","6","","10000","9","","用脚做游戏，用心做pv系列。（用能用的一切削鬼铠）"
"Ysjt丶雲霄","男","浙江","323706662","5","","10000","4","11","夏日嘉年华题目版本"
"踢uo","保密","无IP","33930541","6","hanser","10000","6","11","猫砂猫天下第一"
"名刀莫良","男","无IP","185289985","6","","10000","4","6","舰长，要和德莉莎一起睡午觉吗"
"杏加橙到鲷驴崽嗨","男","无IP","24875583","6","2233·群星闪耀时·巨蟹座头像框","10000","3","","1.2入坑的"
"南风旧鲤","女","无IP","82189146","3","","10000","4","","等等，视频里琪亚娜拿着天火Σ(д;)"
"前身是hentai的幽灵","保密","无IP","52633618","6","少前小剧场","10000","3","","四傻全有，炫耀一波~"
"诗滨绘","保密","无IP","5562225","6","圣诞节快乐","10000","3","","班长的泳装 今年夏活预定"
