"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"笨笨笂_彭博","男","无IP","28021954","6","","10000","40796","7","来不及看了，先转了再说[tv_doge]"
"1204_KafuuChino","男","无IP","208795777","5","","10000","5891","","不知道你们有没有注意到，琪亚娜想要拉符华的手是符华下意识也去拉手但又立刻收回来，米忽悠真是细节怪"
"米游姬","保密","无IP","510189715","6","","10000","24504","","心疼[大哭][大哭][大哭]"
"bananaMace","女","无IP","1589613","6","花园花玲头像框","10000","98317","6","find the way back home[爱心]"
"布白白yirikatu","保密","无IP","372709669","5","","10000","63990","","琪亚娜：“我什么都做不到”,密码正确，空律变身，版本霸者,布洛妮娅：“我什么都做不到”,密码正确，理律变身，版本霸者,芽衣：“我什么都做不到”,密码正确，雷律变身，版本霸者,婴儿符：“我什么都做得到”,密码错误，短篇被暴打[doge][doge]"
"六只石狮子","男","无IP","2812168","6","崩坏3·天穹流星","10000","44600","12","舰长：“谢谢你，编剧”,          “PV我就看到这了，你回去吧”,          “这一次大概是，永别了”,编剧：“等一下舰长”,          “后面应该还有糖”,舰长：“或许吧，但...这是我的决定”,,编剧：“够了”,          “又是这样”,          “用刀子换来所谓的播放量” ,          “无法接受”,          “把舰长，还给我！”,,舰长：“我经历了太多的背叛和欺骗”,编剧：“舰长，我绝对不会欺骗你”,舰长：“和我一起玩崩3的人，也都被我殃及”,编剧：“我很强的，不用担心殃及到我”,舰长：“无论怎么努力，都挡不住岁月的流逝，最后，我还是独自吃刀”,编剧：“我不会让你，吃刀子的！”,捶地板,舰长：“编剧？你怎么会在这”,          “要是后面有刀子的话...”,编剧：“啰嗦！”,          “那我就再发一次糖！”,           “你想不看完PV就走？门都没有！”,[doge][doge][doge]"
"林簌SUSU","女","无IP","7223194","6","花园花玲头像框","10000","73869","","给我登顶！"
"柳亦","男","无IP","5928285","6","湊-阿库娅","10000","36784","","原神：“你们两个就不能乖乖听我的话吗！你们凭什么挡我的路！你们明明都是，失败者！”,崩2:“崩三，还记得我交给你的吗，运用你的力量”,崩三:“太虚剑气！”,原神:“我怎么可能会输给这家伙！”,崩2：“谢谢你，崩三，原神，就交给我了”[doge]"
"魔法少女伊蕾娜QAQ","保密","无IP","446234631","5","","10000","27777","","总结一下：识之律者盗了符华的号，然后练的更nb了，然后他想证明自己是号的主人，于是找符华好友琪亚娜验证，结果琪亚娜不认，就气急败坏地找琪亚娜单挑，最后在真符顶号的情况下败给了琪亚娜，琪亚娜夺回了符华的号"
"莱纳超菜","男","无IP","34918254","5","","10000","26441","","／ ￣￣  ＼　 ,|　ー　ー  \　 ／￣￣￣￣￣￣￣￣￣＼,|　 X   　X  |　/       我亲爱的三崩子       \,\　　 　/ ∠    隔壁原神让我带个话   /            ,  ＼　　 イ　   \   今天中午是我输了   /,／　　　＼　    \_______________/,/　|　　　 \ \　,|　|　　　  | |     ,|    |               | |"
"果蝇轰","男","无IP","8469526","6","","10000","26765","11","你不会再孤单一人了,太好了太好了……这短片做的太好了……我哭的好大声草[热词系列_泪目]"
"cookie-NANA","女","无IP","30751170","6","","10000","14397","","终于认真看了遍pv。嗯，马老师好强。我要收藏一下pv，向马老师学习。真不错真不错，配得真不错。靠。羡慕。"
"吾立方官方","保密","无IP","267969619","5","","10000","7089","","泪目了[热词系列_我酸了]"
"燃烧的铁丝","保密","无IP","12734623","6","","10000","2102","","生米慕名来打卡，先去知乎补了一下背景故事，挺感人，备好纸巾来看。,点开以后，陷入路人同款震惊：这真的是游戏公司而不是专门做动漫的吗？怎么这么好这么刀又这么糖，现在的心情四分五裂。"
"泛式","男","无IP","63231","6","","10000","41622","","我三年前就入符琪股了，请问这波涨停我是不是赚翻了？？[哦呼][哦呼][哦呼]"
"Thousanight","男","无IP","23811123","6","","10000","569","","Rubia指由茜草根制成的红色染料，像符华最后给予Kiana以庇护的红色羽毛。茜草的花语是爱的呵护，分享伤痛。这是Kiana在这童谣般的旋律里想要传递给符华的吧。愿为你献上一株茜草，与你同担痛苦，以我的心治愈你的创伤，就如你曾对我的那样。你不再是孤独一人了。"
"Rozaliya_Olenyev","保密","无IP","123255827","5","","10000","24351","","顶级画师米忽悠受邀来给琪亚娜与芽衣夫妇画结婚纪念图，德莉莎姨妈收到后大为震惊，画面竟是琪亚娜与符华相拥在一起。,“米忽悠，芽衣呢？”,“芽衣在世界蛇。”"
"游戏彩笔","男","无IP","1320581","6","","10000","29518","25","是糖耶！！！"
"Sennyuki风早千雪","男","无IP","23938690","6","异常生物","10000","19306","12","五万年前，她叫HUA，她是守护人类对抗崩坏的融合战士，,可是在崩坏到来之前，她只是一个普普通通的乡下女孩儿,五百年前，她叫赤鸢，她是守护神州大地受人敬仰的仙人，,可是在遍历离别之前，她也是一个爱笑，近人情知冷暖的人,现在，她是符华，即使经历了太多的背叛和欺骗，她也从未放弃守护人类，她从来都有着自己的信仰和坚持,她是一个我认为个人魅力溢出屏幕的角色，我不知道我该用何种言语表达对她的喜爱,但我却由衷的希望，她也能拥有一个幸福的人生，她的故事，不会就此结束，也不能就此结束！,琪亚娜，干得漂亮[大哭][大哭][大哭]"
