"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"虞梵圣","保密","无IP","32124143","6","良辰美景·不问天","10000","3582","","要不你们把ch和公关换一下吧，一个雷打不动，一个怂的要死[doge][doge][doge]"
"你老婆是女武神","保密","无IP","247162866","5","","10000","2199","","直播没看，现在冒着猝死的风险来看"
"死淋淋的血鼠","女","无IP","81627182","6","","10000","2158","","“纵使冰箱被削，我也要化身流星，点燃ch全家，让冰镰刀变回大家所期望的样子”"
"LOVE丶轩琮","男","无IP","36131985","6","星座系列：巨蟹座","10000","1799","","在？ 公关？,在？ 镰刀？"
"七尾的祁奈","女","无IP","24052146","6","","10000","1578","","鬼铠经历过唯一元素,月光经历过割草,次元经历过扩冰,勿忘经历过全民猫,黑鸭经历过宇宙队和一拳超鸭,玫瑰经历过最强对单,紫苑经历过最强QTE对boss宝具,月轮经历过单刷深渊,真红经历过三牛之力一刀百万,理律黑希都不用说了,就尼玛月魂，带着各种bug出生，唯二的人生巅峰，一次是杀螃蟹，一次是三辅助，深渊技能C，就尼玛离谱，别跟我说有的没的，我玩米忽悠游戏时，这策划还没来上班呢，透"
"柚柚柚-柚","保密","无IP","406617466","6","","10000","1447","1","四十分钟的直播，,怎么能少了最劲爆的超限武器,天霜之斯卡弟[doge]"
"四夜眠","男","无IP","91274127","6","","10000","1356","","丽塔，永远滴神[蛆音娘_滑稽][蛆音娘_滑稽]"
"摩尔加纳1234","保密","无IP","53474651","5","","10000","1059","","1.月魂掉进岩浆里里，月魂并不会融化——岩浆结冰了,2.地球为什么会诞生？这要从月魂的一个蓄力说起……,3.月魂想吃蛋糕并不用去买——她只要用斯卡蒂指着面粉，面粉就会因为惧怕他的力量，自己组成蛋糕。,4.黑希想证明自己的实力，去找月魂切磋——从此，她永远的失去了她的另一半。,5.理鸭觉得自己才是冰冻的代言人，找月魂对决——她被吊销的驾照证明了那场对决的结果，但直到现在她本人都不承认。,6.宇宙大爆炸的能量约等于斯卡蒂的一个主动技能。,7.月魂可以1小时击杀战场的任意boss——前59分59秒她在考虑击杀哪个boss,8.终焉律者和月魂组队后就不回去了——因为他不小心看到了白银之月把月球劈成了两半的过程。这也是终焉律者离开地球的原因。,9.月魂觉得自己太强大了，封印了自己冰的力量——她终于可以用女仆的身份和其他女武神相处了。,10.月魂的宿舍没有门，墙因为惧怕月魂的力量自己开了个洞，等月魂进去以后再自己关上。,11.月魂的血可以抵抗崩坏——可惜谁都不能让月魂流血。,12.迪拉克之海，量子奇点，战场都是人类为了抵抗月魂而进行的模拟战斗——他们悲惨的失败了。,13.布诺妮亚原来并没有断腿，她不该在继承律者核心的前几天挑衅月魂——这一行为被称为崩坏史上最愚蠢的行为。,14.月魂是一，也是万；是刹那，也是永恒；是创造者，也是主宰者。您的道必将行于世上，如同行走于您的国……,15.律化娜觉得自己开大招可以避免月魂的秒杀，但是月魂刚召唤出白银之月她就失败了——这就是为什么她现在只能飘着走的原因。,16.给斯卡蒂超限的舰长都后悔了——每次用超限月魂打关卡，就被检测伤害数值超出而被怀疑作弊踢出游戏，严重的甚至会封号。,17.崩坏的爆发是因为月魂擦鼻涕时忘了处理用过的纸——她现在也没想起来。,18.律者的格言：当你看见月魂时，月魂也会看见你；当你看不见月魂时，你要死了。,19.无论哪个女武神都不能在1级的时候打通深渊战场——月魂除外。,20.月魂只会把他的力量借给他的信徒——如果你不信月魂，你手中的月魂就没有所向披靡的力量"
"笑脸猫与不笑","保密","无IP","34653501","6","明日方舟音律系列","10000","906","","超限镰刀只字不提。既然如此为何不做大剑？明明是我先来的！"
"天知道啦啦啦","男","无IP","5487156","6","拜年祭粉丝专鼠","10000","520","","在？我猫泳牛冰塔版本之子啦"
