"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"我是小清新6666","男","无IP","8313685","6","","10000","1223","","上个晚自习，250水晶没了，抓住试卷默念"
"影月亡冥","男","无IP","96957238","6","战双帕弥什","10000","734","","宿舍是在1.6有个选项题，说是票数最多的选项会出。当时是在暑假，到现在差不多有半年了"
"御坂15102","保密","无IP","28298483","6","崩坏3·天穹流星","10000","525","3","能不能出个功能，就是女武神好感4星后，可以自己调节好感星级，不然像我这种全4星的，想回顾一下一二星的语音和动作都无法啊！"
"老阿姨Hanser","保密","无IP","175782997","6","","10000","208","","不是第一女装"
"潘小花酱","女","江苏","4514095","6","","10000","173","","17:25"
"提拉米苏特仑苏Official","保密","无IP","28136989","6","三周年恋曲","10000","68","","米哈游照这么发展怕不是要出同款周边家具。。。。"
"FENG鸦","男","无IP","1758073","6","","10000","63","","当你凝视深渊时,深渊也在凝视你。,,当玩家试图献祭大伟寿命换月光勿忘时，, 大伟也在试图献祭玩家的头发和肝给自己换别墅"
"叶星雨达达鸭","保密","无IP","34527708","6","泠鸢yousa","10000","41","","可恶啊啊啊，为了复制邀请码，我重新打了一次，然后刚刚点粘贴。噩梦发生了，吓的我心都没了，手滑了一下，掉进水了去了，看着手机在水中飘到水底，我第一时间想，完了????，我连课都不上，把手机的水叉了3个小时，终于可以开机了。太开心，但又很想打自己。现在我把记好的码打入崩坏，发现领完了????。我去，至于吗？这是要我弃游吗"
"乔言韶","女","无IP","17417419","6","","10000","37","","我们坐在高高的休伯利安上面，听大伟吹那忽悠的故事。[小电视_害羞]"
"恩奇都alter","女","无IP","23975794","6","","10000","27","","要求做薛定谔的猫玩偶周边！"
"油炸花","保密","无IP","5799398","6","湊-阿库娅","10000","20","","封面：崩♂坏3，新系统更♂衣室男武♂神采访直播录♂像"
"凉宫HARUHl","保密","无IP","32476252","6","","10000","19","3","大版本是不是送个几万钻意思意思(｀ω)"
"nmd--wsm","保密","无IP","115485220","6","公主连结可可萝","10000","18","","111"
"木头仁online","男","无IP","11884513","6","良辰美景·不问天","10000","16","","封面：三傻大闹宝莱坞.jpg"
"abcde-aiueo","保密","无IP","200277169","5","","10000","16","","崩坏三一直没有变，变的只有扩大的玩家群体和被搅浑的社区环境"
"牙齿又白又整齐","男","无IP","33937939","6","","10000","14","","求求你们出个电影吧，我一定贡献两张票房"
"白剑尘","男","无IP","15161065","6","","10000","14","","开播前正撸到兴头上，拿个抽纸的功夫就完了，感觉错过一个亿(Д≡д)!?"
"懒得跃龙门的鱼","男","无IP","17988644","6","","10000","13","11","德丽莎：向我原谅的爷爷发起叛逆！！！"
"战神伊尔森","男","无IP","68452488","3","","10000","11","","给大伟提个建议，别做手游了，把崩坏做成网游算了[小电视_笑]"
"abcde-aiueo","保密","无IP","200277169","5","","10000","11","","这个游戏，我会继续玩下去的。相信和我一样想法的舰长有很多，我们会陪伴崩崩崩和女武神们一路到底。,为所有的美好而战，这不是一句空话。"
"Sweetdreams_","保密","新加坡","14876171","6","原神","10000","11","","这尬聊真棒 可惜现在应该是不可能复刻了…[原神_哼]"
"要喝茶吗_","男","无IP","8931578","6","2020拜年祭（鼠）","10000","10","","我知道b站的人都很好,,我想上    热门( ω )"
"阮丶梅","男","无IP","15874085","6","","10000","10","","开挂被封了一年，一月八号解封我好兴奋啊(=ω=)"
"我家的猫不爱笑","男","无IP","8109563","5","","10000","9","","狗贼天命，欠我工资，抢我船员，不共戴天[小A和小B_喝茶][小A和小B_喝茶][小A和小B_喝茶]"
"桐宫","保密","无IP","52134593","6","","10000","9","","话说要是现实里弄上一套薛定谔家具会不会好看啊？[小A和小B_喝茶]"
"巨像能对空XD","男","无IP","21593390","5","","10000","9","","之前看了家园的剧情，感觉舰长要反水，没想到真的集-体-反-水-了！！！自从入了某游后发现休伯利安还有这样一个人：副官是上将小马（霍纳与汗的成员之一），导师是前暗夜部落的首领，基友是亚顿之矛上的最高领袖，老婆是最后的萨尔娜加，怪不得德丽莎说只要有休伯利安就不怕，惹不起惹不起"
"千恋_萬花","保密","无IP","76760165","6","","10000","9","","上晚自习的时候在厕所里蹲了一个多小时..........开着流量.......！为了250水晶，我....这..........."
"Death墨璃","保密","无IP","15970168","5","","10000","9","","gmye4y4j7f"
"棠桦_-","男","无IP","8751618","6","原神","10000","8","","什么时候希尔能出来啊"
"寄_寄_寄子","保密","无IP","20462719","6","","10000","8","","大家好，我是贝尔格里尔斯，我将向你展示如何才能在地球上最极端、最危险的评论区抢热评。我要面对无数陈独秀、段子手、数据帝等威胁的挑战，在那种地方如果你没有运用高超的语言技巧，你的评论甚至连一天都坚持不了"
"甘露glu","保密","无IP","23512382","5","","10000","8","","大伟哥是p的吗"
"克鲁鲁ツェペシ","男","无IP","6639930","6","初音未来13周年","10000","8","3","还是有大伟哥在才搞笑[小电视_害羞]"
"过度解毒","男","无IP","11018843","6","原神","10000","8","","萌新表示求出齐格飞，舰桥上当着琪亚娜的面调戏岳父，想想都刺激(｀ω)"
"z1z1zhou","男","无IP","8079067","6","","10000","8","","高中生哭晕在厕所，兑换码全错过了"
"崩坏三第一偶像旅行者","保密","河南","286201851","5","","10000","8","","17：25"
"讨厌勉强の缘老师","男","无IP","25955111","6","","10000","7","","求问，有好友访问了我的宿舍，但是他的角色形象就留在我屋里不走了，怎么办？怎么把别人扔出去？"
"晨昏的地平线","保密","无IP","22818976","6","","10000","7","","直播内容:大家好…我是大伟锅…这是你没玩的船新版本…大家氪…大家氪…是兄第就来怒 草 我!(大伟:???)"
"千郴丶","保密","无IP","39392342","6","","10000","7","","建议把家园和宿舍合并 家园感觉存在感有点太低了"
"不愿风停","保密","无IP","108897806","6","","10000","7","","制作组做了半年，刚好我也玩了半年的崩坏"
"January伊卡","保密","无IP","23252494","6","","10000","7","","我惊了，竟然没人婊绯红加强取消？！"
