"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"混沌影","保密","无IP","2863563","6","","10000","1608","","麻烦你们在学别的游戏打团本之前能不能学全一点，打完一次就几个绿碎片？！真以为玩家都是因为团本好玩才打的么？←_←"
"账号已注销","保密","无IP","106340701","0","碧蓝之海","5000","1022","","舰长副本零掉落"
"我想养一只猫吖","男","无IP","43310617","6","","10000","615","","中午被最后boss吊着打，最后boss视角太近了，半天找不到水晶，十分难受"
"栗山未来","男","无IP","107688072","6","","10000","338","","能不能在挑战boos的时候视角可以滑动，在打boos的时候根本看不到水晶在哪里"
"万化之月","男","无IP","190582320","5","","10000","301","","五万多岁的包菜(￣△￣)好吃吗？"
"Vythe","保密","无IP","21434043","6","","10000","100","","压能量......不对压水压！3队4队等级低去压水压！1队强压，2队补位！1队踩水晶啊！那个谁掉线了，不管了！那个退团的拉黑！水压压好！2队去boss！3队4队别闲着跟着去boss能打多少是多少！好，过了！翻牌！“献祭狗团长！”,,,全员绿豆。"
"白之月下人","男","无IP","14839192","6","格兰芬多","10000","55","","各位，这团本再恶心我都建议你们早打，不然过两天就彻底没人了[小电视_笑]"
"Lray5773","男","无IP","111890257","6","","10000","44","","这次版本更新的好玩之处没体验到，不足之处但是找到很多，尤其是关于团本。意见以及建议如下:,1.团本奖励太少。这是一切矛盾的出发点。我说这次团本的奖励比我去八重村逛一圈捡来的垃圾还少没人反对吧？本来以为是人偶材料的主要产出，稍微算了一下我真是笑出声:天赋库是个无底洞可以理解，全人偶系统通用。但一周5个人偶碎片，四星之前两个半月升一颗小星，一星到四星要两年。两个半月什么概念？普通初始a从零开始刷到3s。两年什么概念？入坑到脱坑×n。是不打算出其他人偶了吗？,2.匹配机制太烂。用等级限制强行要求老带新，可问题不在于新人没人带，而是团本没人打。米哈游肯定是做过玩家的等级分布调查的，但你能不能考虑到新老玩家的游戏频率不同做个加权，少放几个低等级的位置？搞得现在每次都是6等6。等级限制是画蛇添足，奖励可怜又雪上加霜。,3.早退成本过低。或者说根本没有惩罚，可能是因为奖励就这么点也没什么可罚的，所以我也不好“吹毛求疵”[2233娘_喝水]但能不能为了广大玩家的游戏体验，搞个门票制？时序漩涡了解一下。,4.bug太多。详情请参考本视频评论区。大版本更新，可以表示理解，但没必要。,5.策划情商太低。着重批评一下想出“普通版本”说法的策划。本来关于蚊子腿奖励，还可以解释为策划不懂人心、过于小气。结果提示这是先行的“普通版本”，后续还有挑战模式。这不是摆明了告诉我早就知道这次的团本不会让人满意，让我别着急等你放大招。美名其曰普通版，不就是测试版吗？团本测试了得有两三个版本了吧，虽然也不是没有拿正式服当测试服的先例，但起码光明正大地发公告，奖励也是****腿吧？拐弯抹角地拿我这个玩家当测试员使还不给工资？这是正常游戏运行的态度？要么别出，要么态度端正一点。,说策划重视团队副本吧，从你们的这波操作我真是看不出来；说策划不重视团队副本吧，又对不起你们拖拖拉拉几个版本、处心积虑地让玩家陪你打工。作为一个前DNF玩家，能不能请你们多学一点那边的团本怎么做的？游戏玩法又没有申请专利，内容做好了能提高玩家对很多小毛病的容忍程度，但现在这种态度让我想表示理解都觉得对不起我自己[2233娘_喝水]"
"天堂陨落","男","无IP","134015","6","","10000","37","","我说一句弱智模式 有人反对吗"
"天川雾浅","女","无IP","1446697","6","星座系列：水瓶座","10000","31","","多看看评论吧，每次一更新为嘛就没玩家夸你们好？多是吐槽和埋怨，游戏公司不多思考自己所作所为吗？,这次团本打了半小时，奖励是什么？我还不如拿星石换，体验这一次后，奖励不提升的话，就再也不打了。,日常任务里，使命分配不合理，今天打了一层深渊才满150点。,bug还超级多，昨天的联机破晓行动，神机锁血。,女武神武器圣痕出错。,半小时前的热更新后重启游戏，显示服务器繁忙。,联机看不到女武神输出伤害数值排行。,团本联机只要切换了一次女武神，确定后不进入地图也会消耗出战次数。,深渊卡顿影响。,贴吧bug整个贴里太多太多了，我只是列举我体验过的bug。,不讨论大更新的奖励提升和游戏优化问题，3.0真是所谓我从未体验过的全新bug版本。,告辞～"
"难得几回醉","男","无IP","53897182","5","","10000","27","","关于团本提个建议:,1.可以把奖励五个可选奖池：钻石池，人偶素材池，货币池，服装卡池，装备池。钻石池30到250水不等，人偶素材池可以保留当前奖励，货币池可以开出远古意志，联机玉等货币，服装卡池可以开出红卡，装备池以武器残虚影为主。匹配前先选择奖励池，通关后根据分等给予奖励；,,2.学习ff14的导师机制，对于高级区苦痛到无限的玩家，根据勋章等级给予一定的名师点奖励，每周设上限，同时丰富名师点商店可兑换的物品，鼓励高阶玩家多下本；,,3.对于中途如果有掉线的，可以根据掉线人数提高其他团员的奖励概率，对于恶意掉线的可以取消概率加成；,,4.订每周周六周日为集合打团日，这两天首通的可以获得额外30水奖励（每周一次）；,,5.部分副本机制进行优化。,,之前记忆战场，新深渊刚出的时候也是被不少人诟病，最后经过一定优化还是被玩家们接受了，路还有很长，多摸索吧。"
"神羽夜岚","男","无IP","2646811","6","","10000","26","","等待队友处理特别事务……,给大佬递茶……,给大佬递茶……,给大佬递茶……,给大佬递茶……,XXX已退出……,[蛆音娘_滑稽]"
"白魔法师伊涅斯塔","男","无IP","259895873","6","","10000","24","","你们对你游的新人数量没点AC数吗？六个80级等两个55级等十分钟？"
