"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"极度缺答案","保密","无IP","386791751","6","明日方舟","10000","2897","","真好看，好看到我想白嫖[doge][doge][doge]"
"玉霄飞","男","无IP","86689846","6","","10000","2259","","好看的皮囊禁不起扫黄打非，有趣的灵魂涉嫌账号违规。[tv_doge][tv_doge]"
"空美町","保密","无IP","168687092","6","","10000","1953","","氪金给板鸭 ～皮肤一打～难道德丽莎不够可爱吗，喔喔～"
"京霾龙帝","男","无IP","15674963","6","","10000","1474","","有钱人:哇，皮肤好好看，买了买了,贫穷的我:哇，又出新皮肤，又可以嫖试用关卡的水了[doge]"
"千早酱ww","保密","无IP","73634849","6","","10000","1187","","不买立省百分百[doge][doge][doge]"
"鳲の鳩","男","无IP","21097449","6","","10000","899","4","黑鸭：我武器超限了！,ch：嗯，你没有皮肤,黑鸭：我能一炮秒怪！,ch：嗯，你没有皮肤,黑鸭：我是宇宙队一员！,ch：嗯，你还是没有皮肤,黑鸭：wdnmd！老娘不玩了！QAQ"
"磁爆步兵54","男","无IP","3443416","6","","10000","1084","","过度生长，不灭之握，致命节奏，相位猛冲，快速拔枪，风暴聚集，爆破，枯萎，冥想，故技重施"
"银河の辉夜","女","无IP","283366174","5","","10000","413","","别说了，全评论区的人都拷走[妙啊]"
"广东脑科杨主任","男","无IP","31031225","6","","10000","348","","德莉莎你怎么穿上观星衣服？,既然要追求刺激就贯彻到底咯！,你好sao啊[蛆音娘_滑稽]"
"想带你去浪漫的伊拉克","男","无IP","70601968","6","","10000","238","","隆重介绍的皮肤通常都是要钱的[大哭]"
"阿雪今天不想上班","男","无IP","10084143","6","Akie秋绘璀璨星辰","10000","189","","学园长，舰长超喜欢世界第一可爱的德丽莎...观星了呢[doge]"
"Terlili","男","无IP","449850393","5","","10000","140","","德丽莎：舰长.这套衣服人家好喜欢（渴望肝的眼神）"
"抽烟喝酒烫头11","保密","无IP","12174824","5","","10000","145","","你一个大部分时间挂后台的角色，出这么好看的皮肤实属骗氪，好纠结要不要买[大哭][大哭][大哭]"
"爱护肝的护肝茶","保密","无IP","35649967","6","战双帕弥什","10000","93","","接下来就是你了，观星,呀啰——月下！！！,吼，正面过来了吗？没有选择逃跑而是主动接近我吗？,你的宰相丽塔好不容易才将我【花嫁】的秘密像考试要结束时还在答题的考生一样，拼了命才告诉你！！！,不靠近，怎么狠狠的抢走舰长老婆的位置,hoho,那就再靠近一点吧,————少女步行中——,欧拉！！！,太慢了，太慢了！【花嫁】是最强的皮肤！,即使没有涩图，光论人气和模型，也要超过你的【兰夜行歌】,看来和我的【兰夜行歌】是同类型的皮肤。虽然不能骗氪，但肝度却十分惊人。,我很想试试【花嫁】到底比你的皮肤强多少，不过不试也知道。,你说试试，就是连伤口都不留下来，轻柔的抚摸对手吗？可惜了舰长刚给我肝的衣服。,为什么观星总是喜欢秀皮肤呢？,那我就接受你这无聊的挑衅，再多陪你玩一会吧。,欧拉 欧拉,（抚摸伤口）要比语速吗？,欧拉欧拉欧拉欧拉……,木大木大木大木大……,——【世界名画】——"
"无名_LF","女","无IP","250605814","5","","10000","142","","花RMB那没事了"
"林夕希望改名中奖","男","无IP","92933144","6","良辰美景·不问天","10000","63","","买买买！,买它一个亿！！（大伟哥安排一套圣痕和武器就行[doge]）"
"蒾纞·","保密","无IP","11630201","6","","10000","47","","啊啊啊啊啊啊啊啊求BGM啊，那声yahoo我不行了[小电视_哭泣]"
"夜鸣央","保密","无IP","287708144","5","原神","10000","50","5","就凭剧情，我买了！"
"但愿余生如此","保密","无IP","238771971","5","异常生物","10000","37","","轻罗小扇扑流萤[吃瓜][吃瓜][吃瓜]"
"智子","女","无IP","39113036","5","崩坏3·天穹流星","10000","41","","黑鸭骂骂咧咧地退出了群聊[doge]"
"贰芭_channel","男","无IP","11182645","6","小主安康","10000","7","","yahoo"
"封剑","男","无IP","7875724","6","","10000","34","","建议德莉莎的模型眼睛稍微修一下，看起来太睿智了（/TДT)/"
"流年乱于浮生","保密","无IP","4610728","6","乃琳Queen","10000","7","","兄弟们，出大问题，右上角加了阵营标识，说明以后还会有逆熵和世界蛇的上休伯利安了[热词系列_知识增加][热词系列_知识增加][热词系列_知识增加]"
"绳酱","男","无IP","404697426","5","","10000","31","","给我门票放我进去我要去救观星[大哭]"
"该人员相关数据已删除","男","无IP","166601277","5","","10000","7","1","有谁会拒绝这么可爱的白毛萝莉呢？还是合法的"
"秋至人未来","保密","无IP","10434951","6","明日方舟音律系列","10000","46","","你敢送我就敢用"
"一只落单的小怪兽","保密","无IP","382505595","6","三周年恋曲","10000","9","","七夕良夜，煌国街巷灯火绵延，处处歌舞奏乐。每逢此时，那位少女总会换上暗色华服，抛开皇宫内冗杂的事务，隐匿在人群中，独享这片刻的绚丽烟火。,——德丽莎「朔夜观星」新服装「兰夜行歌」即将登场！[doge]"
"prayer88","男","无IP","354828907","6","hanser","10000","31","","teriri我对不起你_ 本舰长没钱了[大哭][大哭]"
"幽暗莲华","男","无IP","171890913","6","2020拜年祭（鼠）","10000","6","","用皮肤券买了，这次应该是首次以皮肤券形式返场吧"
"安托的樱花","男","无IP","29041232","6","","10000","25","8","大家氪大家氪[doge]"
"英雄_登场","男","无IP","486308968","5","","10000","6","","已经1000%了"
"一个假人类","男","无IP","34431729","6","","10000","20","","看完剧情这个皮肤真的笑不起来[大哭]"
"蒙娜丽莎-派","男","无IP","416863","6","原神","10000","20","10","如此欢快的音乐，今年也是一个愉快的夏活吧，我也要加把劲舰长呢。,进游戏：,符华死了？姬子死了？丽塔死了？观星也死了？？？[热词系列_问号][热词系列_问号]"
"桃宝网大会员","保密","无IP","475294013","5","崩坏3·天穹流星","10000","7","","没钱[崩坏3_无辜]"
"泉都是泡馍","保密","无IP","275000750","6","","10000","7","","德莉莎啊     除凶去要[奸笑][奸笑]"
"老点点","男","无IP","269985729","6","洛天依8th生日纪念","10000","22","","原皮就够了[妙啊]"
"HanBaGaaa","男","无IP","289162458","6","崩坏3·天穹流星","10000","5","","哪一句呀吼，同鸭厚，暗示黑鸭没新衣服，大热天还在穿厚厚的衣服[doge]"
"_浮生_如梦","保密","无IP","299360537","6","hanser","10000","5","","我们不开学，零花钱全没了，买不起啊[笑哭]"
"寒灵御风","男","无IP","9164489","6","约战·狂三","10000","5","","没钱了，我已经没钱守护崩坏世界了[捂脸][doge]"
"Gissimo","男","无IP","35963375","6","","10000","17","","有的人刚出来就有衣服，,而有的人.....[妙啊][妙啊][妙啊]"
"叫我雨洛就好了","保密","无IP","67782385","6","崩坏3·天穹流星","10000","16","","今天刷了剧情[笑哭]杀哭了杀哭了[笑哭]"
"三无毛蛋","保密","无IP","20906982","6","泠鸢yousa登门喜鹊","10000","16","9","刺客先生～给我买嘛～[脱单doge]"
"米法呜呜我的米法","男","无IP","35654970","6","斩兽之刃","10000","4","7","舰长～德丽莎超～喜欢你～～～送我的这身衣服呢[崩坏3_糖葫芦]"
