"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"游戏彩笔","男","无IP","1320581","6","","10000","23633","25","空之白练太帅了！"
"海鲜饺子王","男","无IP","61969087","6","","10000","26638","","又是尚雯婕，又是萨顶顶，又是袁娅维,音乐公司石锤了,俺们的钱没白氪[打call][打call]"
"怡泽Official","男","无IP","99439314","6","","10000","10645","","米忽悠：各部门注意，十二点我们准时...,网易云：收到！首页了！,米忽悠：？？？"
"yAzAwANiC0","女","无IP","84506214","6","","10000","11253","","终于来了，那天父什么时候上线？[吃瓜][吃瓜]"
"崩坏原神双料高级伥鬼","保密","无IP","178819200","5","","10000","9141","","纵使黑云蔽日,我也要燃烧天空,带你找到回家的路。,——《最后一课》,纵使长夜漫漫 永劫无期,我也要化身星辰 点燃希望,你的誓言 由我来实现。,——《天穹流星》,这就是最后一课了,这就是我的承诺,[打call][打call][打call]"
"Aelaxy","保密","无IP","11387391","6","","10000","4626","","和最后一课完全相连……,Nightglow，夜气辉，在最黑暗的夜晚仍给天空留下一线微光,Starfall，星落，划破漆黑天幕的流星，撕开厚重天幕的黑暗"
"傲娇女仆丽塔酱","男","无IP","109475571","6","","10000","5259","9","心情复杂"
"SAPHIRS","男","无IP","34950938","6","崩坏3·天穹流星","10000","4552","","生日当天又是单曲又是短片 我真是太幸福了[蛆音娘_卖萌][蛆音娘_卖萌][蛆音娘_卖萌]"
"偶哈迪斯","保密","无IP","44998725","6","明日方舟音律系列","10000","4077","","寻人启事,姓名:无量塔 姬子,性别:女,年龄:29,身高:167CM,容貌特征:红发金瞳,2018年12月14日，只身与空之律者展开决战，惨胜之后坠入虚空，生死下落不明，失踪时身穿弑神铠甲真红月蚀，外观为红黑色。,望广大群众提供消息，重金酬谢,联系人:休伯利安清洁工,雷电芽衣,德丽莎"
"亚琛胡适之","男","无IP","681668","6","","10000","3470","","动画动画gkd！"
"吃饿了嗝","保密","无IP","94942010","6","","10000","296","","傻琪的队长技是流星守护啊！,[大哭]"
"逆浪十四","男","无IP","21378704","6","崩坏：星穹铁道","10000","2575","1","画面很精美、动作很炫酷、剧情很劲爆、姬子很催泪、琪亚娜很帅气但是符华连个镜头都没有！！！,符————华————！！,你怎么连镜头都没有就没了！！！[大哭]"
"红魔村最强传说惠惠","男","无IP","193484990","6","良辰美景·不问天","10000","2288","6","帅炸了。 这就去练白练去记忆战场找女王对线"
"不知火想跳舞","保密","无IP","327029559","5","","10000","2056","","有没有发现琪亚娜有一个装甲和其他都不太一样?,对，就是天穹游侠,脸上很难再见到开心的笑容,因为肩上承担着沉重的责任,拯救天穹市 保护好大家,加油吧琪亚娜 这首歌和天穹游侠很配噢[微笑]"
"阿尔泰尔-E","保密","无IP","229741608","6","","10000","861","7","“纵使黑云蔽日,我也要燃烧天空,带你找到回家的路。”,——《最后一课》,“纵使长夜漫漫 永劫无期,我也要化身星辰 点燃希望,你的誓言 由我来实现。”,——《天穹流星》"
"佳佳今天看书了吗","男","无IP","219485050","5","","10000","1289","","论瓦尔特为什么不想当律者,草履虫律者化有裙子,板鸭律者化也有裙子,总结瓦尔特不想穿裙子[doge]"
"里见Y","男","无IP","456838247","5","崩坏3·天穹流星","10000","820","10","齐格飞：咱家的枪斗术你拿去干啥了？你这球棍甩的咋比枪还溜活呢？"
"睡不着の凡sir","保密","无IP","39243373","6","","10000","1796","5","老子的船上 一个都不能少！"
"出没于老司机群之间的U","保密","无IP","52674831","6","","10000","1212","","在座各位都是股东，嚣张点[滑稽]"
"五叶です","保密","无IP","12567448","6","","10000","648","","“姬子 我答应过你的,我会把这个不完美的故事,变成我们所期望的样子！”,,“这就是，我的承诺。”"
"八云幽叶","男","无IP","23230504","6","想去海边·头像框","10000","98","","[热词系列_知识增加][热词系列_知识增加]淦，我第一眼看成了stella"
"嘉然今天吃手榴弹","女","无IP","71469298","6","良辰美景·不问天","10000","614","","“如果有一天你无法控制律者的力量，你会自裁吗”,“不会”,“为什么？”,“因为纵使流星转瞬即逝，但残留的烟火会燃烧天空，带我找到回家的路。这一天，决不会到来。”"
"风痕骸心","保密","无IP","220770209","5","","10000","182","","讲真，我以为袁维娅收官唱这首歌会给崩三吸波粉，结果微博上一群粉丝说什么这首歌跌宕起伏的节奏唱的是袁维娅的经历，我当场就惊了，这群粉丝吹之前都不去看看原曲mv的吗[无语]"
"咕咕榜大王一念易","男","无IP","351087772","6","2233十一周年纪念","10000","808","3","三年老舰长泪目，此生无悔入崩坏，来世愿做崩坏兽[tv_doge]"
"靡羊","保密","无IP","500715560","6","2233幻星集","10000","82","","实际上这些都要依靠于Zoe大佬的团队，崩坏3的没一个3配乐都离不开这个团队的影子"
