"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"红絮","男","无IP","355028795","5","","10000","17529","","我可以抽不出雷律，但在座的各位一定会出。"
"天楼迦娜","保密","无IP","2193136","5","","10000","6636","","后崩坏书，圣方丹,此时天空已经微斜，城市的角落一时时乱风吹起了无人管理的报纸杂志垃圾，给这座无人的城市分外添了一座荒芜。雷电芽衣匆匆走在路上，尽管一天的探索没有太多进展，但接回瓦尔特杨和小乔之后，她已恢复了往日的镇定与从容。毕竟作为一个辗转于三大组织，见识过封印之战的人，这世间能令她惊奇的东西已然不多。此刻她的心中盘算着另一个念头：晚上应该给大家做些什么料理呢？,踏着落日余晖的金色光芒，芽衣打开了基地的大门，心中还犹豫着是做当地的特色海鲜，还是卡洛尔小妮子吵着要的小羔羊。大厅内难得的四人俱在，好像刚刚看完一个短片。卡洛尔看到她，立刻一蹦一跳的跑过来抱住她，眨着大眼睛说道：队长，你能在再演表演那个吗？,其实芽衣是一个颇为清冷自矜的人，但她并不讨厌卡洛儿这亲密的行动，可能从她身上总能看见一些故友的影子。,“嗯，什么？”顺手捋了捋被弄乱的长发，芽衣发出疑问。,亚当站在基地旁的落地窗前，背对着大家，头微微侧目，低声道：“我愿堕入黑暗，换你重回光明。”,卡罗尔不知何时也退到大厅中，一手叉腰一手指天，大喊道：狂风，听我号令,坐在沙发上的小乔合上书本，一本正经的默念：一刀  了断,一旁吧台边的瓦尔特先生，也露出深感有趣的笑容，喝完了杯里的酒，轻吟道：咆哮吧，俱利伽罗！,雷电芽衣的身子微微颤抖，脸上立刻扑了一层红红的如晚霞般的光芒。,如果你是她，你会怎么选择？,A，别念了，别念了，队长知错了，（附带渡鸦指导动作 踱步打滚大哭）,B，你们这群小鬼，就连瓦尔特先生你，也陪他们闹，（附带黑化冒气图，今天知道我黑历史的全都要死）"
"随意曲","保密","无IP","162728354","6","","10000","8052","","数年后芽衣被人翻出中二时期的黑历史.jpg,,卡萝儿:队长(≧≦)/，可以再表演一下那个吗?,,芽衣：(=Д=)诶？,,亚当:我将坠入黑暗()，换你重回光明。,,芽衣：d(д)啊？,,卡萝尔:狂风(*｀へ*)，臣服于我!,,芽衣：(_)额…,,小乔:一刀，了断(￣▽￣)!,,芽衣：-_-||……,,卡萝尔：“怒吼吧ヽ（≧□≦）ノ，俱利伽罗!”,,老杨:(ω)hiahiahia,,芽衣:啊！！！（╯‵□′）╯︵┴─┴,别再说了啊！ ┻━┻︵╰(‵□′)╯︵┻━┻"
"萌萌的圣骑吃米皮丶踢","女","无IP","51761245","5","","10000","3295","","你们知道吗？,,你们知道我这三年怎么过的吗？,,知道这个女人给我做了多少午饭晚饭?,,知道给我老婆的老婆煮了多少饭?,,不管怎样，,,她，本舰长必须拥有!"
"钟振瑜","保密","无IP","32694465","6","2021拜年纪","10000","4417","13","点赞十连出雷律！！！30发毕业！！[热词系列_可以]"
"L丶手套菌","保密","无IP","13403962","6","","10000","1565","3","舰长的出身并不是一开始就是千万RMB加身，但他努力向上爬呀爬呀，与各个基友朋友甚至家长打交道，经历了很多事花了几年时间终于积累了一笔自己的财产，他用大部分积蓄在两个神秘的修改器…我忘记名字了，购置了一批水晶，打算抽出雷律并在终级区红莲过上自由平静的生活，当然，他会把他在其他池子抽出的血舞和云墨一起带上，池子马上就要开放了，我们都为他高兴，他肝了一辈子终于有能够养肝的机会了，可这时噩梦发生了，在活动前官方放出了大量骗氵池子和活动。当时舰长还在攒水，深渊主线一个又一个地肝，他顽强战斗，保护自己的氵。风波持续了好几天才平息，大家都松了口气，但在这时远方却传来了噩耗。雷律的池子在非气中永远沉没了，我到现在还清楚地记得舰长的亚子，他面无表情，默不作声，却不停地在房间里面踱步，奔跑，打滚，嘴上念叨着没事，眼泪却大滴大滴往下掉……我永远忘不了那一刻，舰长对着夕阳立下誓言--无论要氪多少RMB，他都一定要把雷律带回家！[doge]"
"陶米诺的快乐小屋","保密","无IP","385345703","5","","10000","1091","","那个男人好像迪卢克"
"一拨人的明月","男","无IP","66589011","5","国民老公带回家","10000","891","","8TNVN52WMF2V兑换码100水,DA6C6LJFLW2F兑换码150水,,走过路过点赞不要错过[doge]"
"死神凝视S","男","无IP","85749968","6","","10000","664","","动画短片（罪人挽歌）结尾处记忆碎片,1.女王降临中女王掐芽衣脖子的画面（画面很小）,2.天穹市章的芽衣与琪亚娜重逢的画面,3.游侠与强袭的画面，画面中芽衣在吃一个蛋包饭，蛋包饭上面写着for mei（估计是琪亚娜给芽衣做的）,4.琪亚娜把芽衣公主抱的画面（个人感觉这张图应该是官方魔改，参考的原型应该是瓦尔特克隆体入侵圣芙蕾雅学院章中浮华救下芽衣的画面，当时浮华就是抱着芽衣，理由是芽衣的衣服）,5.御三家歌姬服装的画面,6.女王和芽衣的画面（画面很小，我只能看出女王的形状，给我的感觉像是女王抓着浮华头的那张图）,7.琪亚娜和芽衣在月光王座上战斗的画面,8.千羽学园中琪亚娜与芽衣在天台战斗（这里是崩二的剧情，芽衣觉醒为雷律，琪亚娜与她在天台进行战斗）,9.千羽学园中琪亚娜与芽衣靠墙的画面（画面较小，此处的画面是出自最近几章，芽衣回忆过去的画面）,10.千羽学园中琪亚娜在天台拉住芽衣的画面（同上）,11.芽衣抱着琪亚娜头的画面（画面很小，而且此处画面个人没有印象）"
"随意曲","保密","无IP","162728354","6","","10000","792","","庆贺吧！[打call],她是集雷电、太刀、吃瘪、煮饭婆[崩坏3_危险]、充电宝、被迫害于一体，但终将在长空市这个梦开始的地方重回巅峰[崩坏3_脱非]。如今为了拯救挚友，她再度回归黑暗（指中二），将大威天龙，世尊地藏，俱利伽罗，建御雷神之威能融于一身，她必将加冕，于此刻重登雷电女王的宝座——,其名为雷电宇智波鼬啥是gay芽衣[doge]。"
