"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"ManuRiber","男","无IP","302400617","6","三周年恋曲","10000","7428","","靠，融早了，在我动态[大哭]我的99+"
"風见幽夜","保密","无IP","107779947","6","","10000","8051","1","来的有点晚，想融号，又舍不得，都快4年了，这样吧，如果还有人能看到这条消息，100赞就融，b服，9k2氪，1254天登录，uid：110792137，我先去解个锁，希望给还在坚持的xdm一点动力。"
"酸菜鱼和黄焖鸡","保密","无IP","87667540","6","","10000","6698","","还没被99+过，八百天登陆融号换个赞应该不过分吧"
"辰星空纪元","保密","无IP","698768918","4","","10000","5239","","太恐怖了，评论区里一堆水军，全在动态融号，有氪好几万的水军，有圣痕全图鉴的水军，有好几把超限的水军，还有登录一千多天的水军。[doge]"
"雨落-甘霖","男","无IP","36876720","5","","10000","3867","","百赞融号，求一个99+"
"Rosemarydia","男","无IP","393852178","5","","10000","4309","","退坑前：你既然觉得恶心那你就退坑啊，只骂不退坑贱不贱呐？,退坑后：你既然退坑了还有啥资格骂，自己不玩别打扰其他玩家了行不？,                      ——节选自《新二十四孝》[doge][doge]"
"伊卡牧丶","保密","无IP","13952018","6","","10000","5549","","[热词系列_知识增加]已经融完号的有赞吗"
"粉色色艺术家","保密","无IP","295750621","5","","10000","3379","","hxdm百赞直接动态融号1w氪，希望明天能看到99+[OK]"
"鲨鲨今天也有翻肚皮","保密","无IP","348051033","5","","10000","3867","","靠，融早了，我的99+……"
"壳丝","女","无IP","7785231","6","","10000","3378","","刘伟：“中国的粉丝非常的…嗯…怎么说呢，就算语言不通，他们也在狂热的支持我们，关于这点，我觉得非常有趣。 ”"
"账号已注销","保密","无IP","27390739","0","","5000","3906","","我来预言一下:,       官方这次又会一直装死，到冰希池子出来，如果下个版本的冰希池子流水低很多的话，官方又会出来道歉一次，然后装作以“更好”的态度来道歉,所以我预算:,官方第二次道歉会在下个版本冰希池子流水低的时候来第二次道歉。,如果流水高了可能会直接无视崩三玩家（非舰长）们的情绪了。,如果预言中了来刀我[OK]"
"Wesukilaye呀","男","无IP","26946799","6","","10000","5634","","一百赞融号，2w氪"
"雅蒂尔蒂法","保密","无IP","430742612","6","","10000","4042","","1赞融号"
"银刃丸","男","无IP","2000585364","5","","10000","3328","","https://b23.tv/BV1FQ4y1f7Dp 点个赞不过分吧"
"藏山归不归","男","无IP","531543554","5","","10000","2477","","仅4/25一天，在b站上就发布了至少150个融号视频，也许更多的玩家选择默默的融掉，我向他们献上诚挚的敬意。"
"四季夏目Official","保密","无IP","59904928","6","三周年恋曲","10000","3099","","冲上网易新闻和腾讯新闻了，好几篇是今天刚发的。分析的还挺到位，不单单指出兔女郎，还有黑渊白花，元宝活动，送钟，零点酒吧。。。。他们比mxz还清楚崩坏三为什么会冲[大笑][大笑][大笑]"
"梦轮千悲","男","无IP","13831849","5","","10000","2383","","米桑不用怕，都是tx请的皇家海军罢了，继续作"
"隔岸丶花与水","保密","无IP","25967636","6","","10000","3595","","我只要1个赞，25号中午，融ios开服1.6w氪 16885收藏号 id：皇昴流。uid：30291677 。 希望能有曾经认识我的、遇见过我的朋友会来打个招呼。遇到你们曾经是我开心的时光。明天中午发视频。"
"丨雪含丨","保密","无IP","523505300","5","","10000","2625","","[笑哭]表示挺后悔的，退坑那一段时间下不去狠手融号，就把号交给徒弟融了，不然现在整活就是99+了[笑哭]"
"大佐艹祭氵告宁","保密","无IP","354362035","5","","10000","2027","3","永远不要和商人谈感情；,永远不要把游戏当成寄托。,我用一年半和2万块钱明白了这件事"
"楓枞梓__Grace","保密","无IP","200624150","6","","10000","2700","","都这么强的吗，我也想体验99+的快感,开服玩家，第一期泳装，有赞就融[歪嘴]"
"洛梨芒果香又甜","男","无IP","2163037","6","","10000","1192","","CS事件已经传到推特了，米桑您们快啊，自导自演成功了。"
"露露子luluda","保密","无IP","22909053","5","","10000","2377","","四百赞把崩三下回来融号，氪的少小一万"
"碎碎锤","保密","无IP","382935031","6","墨清弦2nd生日纪念","10000","6087","","我也来，500赞融号[初音未来_端碗]"
"力速双d","保密","无IP","382656116","6","","10000","2482","","日，融号融早了，错过了99+的机会"
"败絮烟花","男","无IP","12963734","6","2021拜年纪","10000","1243","","讲个笑话，刚刚上网一看跑跑卡丁车现在流水都比崩坏3高了，太有意思了"
"子欲黑白","保密","无IP","4130529","6","","10000","2453","","刚下班，10赞融号，85级3年多的老咸鱼也想体验下上热评[脱单doge]"
"我会-嘤嘤嘤","女","无IP","218337567","5","","10000","3836","","刚刚游戏里把一个新人骂走了  我做的对吗？xdm"
"这个名字无毒","男","无IP","9383522","6","","10000","2959","","讲真，要是mhy现在关闭简中服，我可能会高看mhy一眼[偷笑]"
"不许抢我的明月栞那","男","无IP","74245553","5","","10000","4202","","给各位预测一下接下来崩坏三的运营。,1奶希版本原封不动，装死一个版本，让大部分吃瓜退游的mh离开，让许多跟风党熄火。要留住这部分玩家的代价太大，mhy不愿意承担。而留下大部分中立党或者怨气不大的跟风党只需要一点甜头就够了。,2进入两个版本的福利版本，改动某些阴间游戏设定，比如战场减负常驻，深渊减少肝度，一起的s角色可肝等。,3此时崩坏三节奏已经基本稳定，心凉退坑的已经离开。过了几个月，崩坏三节奏已经没有其他热点事件来的吸引人，大多数吃瓜群众已经懒得计较。继续玩游戏观望的享受了两个版本的福利，已经没有太大负面情绪，整体评价大致与兔女郎开始前差不多。,大多数玩家可能会说，那次兔女郎道歉也做了，你们要的福利也来了。虽然过去有错，但mhy已经很有诚意了。,4鉴于上三个版本的流水走低，难以维持运营可能需要原神给予一定支持。比如家园礼包，开角色祈愿双池子等。目前看来最为高效的圈钱手段为为弱势角色出强力专属武器比如刻晴，77，阿贝多,5进入律者版本，大幅宣传，律者由于美工和强度，很容易便能让玩家有兴趣。这个版本再放出累消送识律皮肤，经历了这么久的许多玩家应该可以轻松抽出律者，接下来为武器圣痕氪金也很正常。律者版本的流水会基本回到识律水平，到此为止，mihoyo,成功渡过此时危机。,留下了的只有现在许多玩家内心的伤痕，可是mihoyo并不在乎。他在乎的，从来都只是如何长久的运营下去。,崩坏三还会有不少玩家，他们觉得这游戏美工不错，福利也讨喜。可他们不记得我们来过，也不知道mhy必将一错再错！"
"Azmew","保密","无IP","322006671","6","三周年恋曲","10000","2097","","忍不了了，99+融号！[无语]"
"水星跳跳羊","男","无IP","38934048","6","崩坏：星穹铁道","10000","1655","","1100天登陆1w氪超过99+就发融号视频[生气]"
"鬼鬼兰夜","保密","无IP","321884134","5","2233十一周年纪念","10000","1701","","你们昨晚的榜一大哥甚至没有关注你"
"礼-赞","男","无IP","329364454","5","","10000","1005","","当你得到抗争者所获果实后反而嘲讽他们魔怔，这么做你与畜生有何异？"
"渴望飞","保密","无IP","272493644","6","","10000","1806","","不会真有米卫兵觉得，刺鲨节奏带起来，策划就能翻盘吧"
"宇智波斑小姐","女","无IP","173750581","5","","10000","1455","","22万氪大佬融号了，mxz没有那个吗？就是那个“再上一档”"
"御坂美琴samada","保密","无IP","280812867","5","","10000","2441","","靠着中国人的支持发展壮大，取得成就之后觉得都是自己的努力，一切都与中国人无关，然后转头为了发展欧美市场，不惜将中国已有的基本盘悉数尽毁，并借此来向欧美人示好。这个剧本为什么这么熟悉呢，好像半年前也有过类似的经历，是什么呢？我怎么想不起来了"
"久酒的蜀黍","男","无IP","94663329","5","","10000","2145","","全体目光向我看齐，我宣布个事，我是个舰长！"
"RKO619","保密","无IP","15313517","6","","10000","1220","","我觉得虚空刺客这个帽子帅点，比魔怔人好听多了。"
