"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"奈亚拉沱提普","保密","无IP","13561188","6","","10000","6745","","开服预约玩家，官服，母猪框。,崩坏三从一开始到现在被骂过吗？骂过，次数不少，其中策划的问题肯定是反馈问题中的大多数。我个人的角度看这次版本的问题重心集中在深渊的改版，落后版本的肝物和装死的态度。作为一个真佛系玩家，从去年下半年就没动过深渊，不是没有时间，是真的心累。版本的变化圣痕武器的变化角色变化都能轻易左右难度，直接影响奖励乃至心情。OK，我佛，我不打，买张月卡领点水晶养老看喜欢的角色再抽，但不至于看不出来这种节奏不对劲，第一年时出一个索尔一套叶卡捷琳娜的时候能吹一年，现在看着攒的水不敢抽，因为一抽就必须抽完一套，不然没有上升的价值和能力。你说这是氪金带来的回馈，行，没问题，但谁有这么多闲钱一两个版本就大换血一次？不换跟不上节奏，跟不上节奏没有好的体验，氪金换了生活怎么办？你要赚钱开发我也得生活啊？某酒的广告都知道喝酒虽爽但不要贪杯，策划这么多个版本回馈下来就不知道这个道理？难道真的就最后该走的走该当蛀虫的当蛀虫？花钱可以，你得让我们自己掏出来，别让我们这么闹心，乃至最后不欢而散。,一个游戏，我能做到高考当年都没有断签足以证明我足够喜爱他，我不想他因为自己内部规划的败笔，因为玩家的倒戈，因为阴阳怪气的风气半死不活下去，音乐，剧情，美工编剧都被玩家认可的情况下，我不信能因为策划这一个问题全部前功尽弃。,我怀念着经历过的崩坏三，我等待着未来的崩坏三。"
"剑锋所指即吾心之所向","男","无IP","13841498","6","崩坏3·天穹流星","10000","5996","9","真的，米哈游，别太过于消耗三崩子寿命，别以为原神要出了就可以不管前面的游戏，原神火不火还不知道呢，别搞得到时候原神没赚到钱，三崩子却搞臭了。[热词系列_希望没事]"
"北悬辰照","保密","无IP","2374698","6","","10000","5852","","冰律的蜡烛超好看，能不能出实物，我买几只给ch点上"
"正一就是正一","保密","无IP","227023307","5","","10000","5132","3","现在大部分问题就3种,1.排位段位制，味太冲了。确实为什么一定要做成moba类那样的段位呢？毕竟应该有许多的人就是不喜欢这类才来玩崩崩崩的吧，反正我就是这类人，不能弱化一下这方面的吗？细分层次，保护机制就目前我觉得还行吧。,2.积蓄值，濒死盾，小怪BOSS层这类的。锁角色太明显了，虽说原来有天气，但也没这么明显呀，晕。,3.奖励真的太少了。苦痛升得最多，红莲就升了那点氵?真的就是米扣游呗？等那时终极区还有细分出来，能到红莲的装备不用说了吧，拼死拼活就为了那点氵，把奖励往上调下不行吗？养个角色开销这么大，奖励就那点，唉。（复制）"
"Houtarou1998","男","无IP","1875014","6","","10000","4966","","《免费，可肝，福利版本》,,我只能直呼内行,,明明玩家才是游戏的活力源泉,,这版本策划完全就和玩家站在完全对立的一面,,taptap近七天评分3.1,,米游社玩家发起的满意度投票，极不满意占53%（这还是官方的平台）,,只能说祝崩坏3好运，越办越好吧"
"dodo小男友","男","无IP","3361070","6","","10000","3988","","3.2 迪拉克,3.3 瓦尔特,3.4 卡夫卡,3.5 爱伦坡,3.6 石川,3.7 戍边,3.8 列文虎克,3.9 但丁,4.0 水镜,4.1贝拉,4.2  新三样,给的资源就那么多，培养成本越来越高，搞通货膨胀能不能把福利也膨胀一下"
"~嫌い~","保密","无IP","1276859","6","","10000","3447","5","看了今晚的值班，心里怪不是滋味的，从扩散性百万亚瑟王开始到pcr我也玩了几十款手游了，也全都弃坑了，但是最放不下的还是这艘休伯利安，我也非常希望这游戏和米忽悠能走远一点，ch你能看看这条评论吗?这是作为一个陪这游戏走了四年老舰长的心声，敢不敢搞点阳间的操作，不为玩家想也为马想想啊，现在看这版本应该也就这样了，希望你游能在周年庆版本做好一点，别在败人品了行吗?敢不敢做个人?"
"请给盒饭加鸡腿","男","无IP","426837","6","三周年恋曲","10000","3023","","策划激怒玩家不是一次两次了 最早的泳装活动 然后三国争霸 不都是激起玩家内部矛盾给游戏赚人气 策划只想着怎样赚钱 钱赚到了就好了 我tm氪了快3w了 然后还是不停的出专属武器和圣痕 真当我们钱都是大风刮来的呗 反正以后我氪金要谨慎了 不会什么都氪了 下个版本肝？呵呵 我又不是只玩这一个游戏 还是那句话 要不是美工出彩 什么后果你们自己品 细品 [tv_白眼][tv_白眼][tv_白眼]"
"YSZX蓝字君","男","无IP","384215792","6","雪未来","10000","2743","","直播避重就轻，爬,新深渊只字未提，爬,直播间各路水军，爬,弹幕叫美工跳槽，爬,弹幕咒崩三关服，爬,弹幕地图炮，爬,弹幕还洗地，爬"
"卡萝尔佩铂","保密","无IP","103073295","5","","10000","2713","3","这波啊，这波是崩坏3和歪嘴战神的联动,“3年期满，这皮里不要也罢！”,“没有皮里，你月魂用什么”,“区区皮里，弹指可灭”,“舰长，安娜套准备就绪！”,“什么！你居然肝完安娜套了！”（震惊）,邪魅一笑[doge][doge]"
