"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"奥尔加玛丽阿尼姆斯","保密","无IP","1804816","6","战双帕弥什","10000","1392","","天天都能看到一群日语里刷国语好的,国语里刷日语好的,英文里刷日语国语好的,国语里刷英语日语好的,我只想说你们这些***儿童还真是欢乐多"
"崩坏3第一偶像爱酱","女","无IP","27534330","6","崩坏3·天穹流星","10000","860","","啊~无聊的爱酱路过并丢下了一串【9c26c8d4】军功兑换码？"
"茶鸟菌","男","无IP","731470","6","异常生物","10000","451","","爱酱关注了灵依娘和hanser，灵依娘关注了爱酱和hanser，然而hanser心里只有YUKLri。(ω)"
"余生多好运","保密","无IP","3646380","6","原神","10000","218","6","我要听爱酱说话，我需要爱酱看板娘，我要摸爱酱(▔□▔)/"
"月下绫音","保密","无IP","20708510","6","泠鸢yousa","10000","131","","我就想发表下意见..虽然我是动漫控.喜欢日语听起来的感觉。但这次国语的配音真心很好.特别好.我表示两种都喜欢.没必要对比来对比去.喜欢日语就用日语.喜欢国语的就用国语.两种都喜欢的就都用.用自己喜欢的就好啦别说别的不好这些言论"
"猫猫祟祟plus","女","无IP","3309675","6","","10000","504","","觉得国语更好的只有我一个人？为啥纯国产游戏还要照顾萌二们请日本声优啊→_→"
"终末之翼","保密","无IP","518631","6","","10000","63","","我玩的崩3鬼铠有凶兆，难道是盗版？？(；ω；`)"
"绯红辣椒油","保密","无IP","107853207","6","","10000","57","","好！再等一个月就公测了！加油！干翻原神！[doge]"
"猫猫祟祟plus","女","无IP","3309675","6","","10000","54","","还好，日语配音至少听到琪亚娜那句“我想喝芽衣的X汁”的时候不会太尴尬(；ω；`)"
"Dr_Black","男","无IP","51537052","6","初音未来13周年","10000","35","","怀念啊"
"古見同學","男","无IP","2967295","6","向晚大魔王","10000","28","","b站现在真是什么都能撕。。国配好还是日配好需要你们去评价站边吗？喜欢哪个就开哪个不好吗，还非要来个自己支持哪个，哪个完爆哪个来找下存在感？真是不懂这群人什么想法，以前弹幕看着真舒心，现在偶尔开开弹幕就是撕逼，真是糟心"
"小金菌","保密","无IP","3507617","6","","10000","16","","大家别喷，日语配音是让那些有需求的人用的，比如钉宫病(^ω^ )"
"大猹狸子","男","无IP","24155120","6","","10000","19","","日语配音过来说中文好，那你用中文配音呗，在这种视频刷存在感有什么意义？"
"深渊咏者-紫电","保密","无IP","4286255","6","","10000","5","3","21年回来考古"
"贽殿遮哪","男","无IP","7615703","6","出游季","10000","10","","哎。钉宫都不出新番了。全在给游戏配（￣へ￣）（￣へ￣）（￣へ￣）"
"蛇喰夢子","女","无IP","244207","5","","10000","7","","开个地图炮 非要到日配刷国配好和非要到国配说日配好的都是ZZ"
"白一海","保密","无IP","27762921","6","","10000","14","","灵依娘:大伟哥我的戏份呢？难道你要丢下我跟着这个黄毛跑吗，你我多年如此，我就算没有功劳也有苦劳，没有苦劳也有疲劳你至少要让我出场嘛，一下下也好，大伟哥~(；ω；`)"
"爱神皮咔秋","男","无IP","6598754","6","","10000","14","","为什么要治疗，我要喝芽衣的妹汁！！"
"猫猫祟祟plus","女","无IP","3309675","6","","10000","8","","我道歉，我没玩过崩坏二不知道语音可以切换，然后开了喷萌二的地图炮，不过赞我的人怎么比喷我的多啊。。。。"
"集三千老婆在一身","男","北京","363785812","5","良辰美景·不问天","10000","7","","我超，我居然刷到了古早视频，爱衣时代前来考古[崩坏3·光辉矢愿_比心]"
"Kratos____","男","湖南","145730271","6","崩坏：星穹铁道","10000","10","12","还有半个多月就要公测了[崩坏3·光辉矢愿_比心]"
"剐沃","保密","无IP","13356610","5","","10000","7","","说实话，个人观点！个人比较喜欢国语的琪亚娜，活泼声音饱满，查一查原来是国服的dva !还有布洛妮娅，配音超可爱！b站还有账号！听了她许多配音还有雷姆的！ 太喜欢国语版的了，新鲜又好听！"
"舒轲_","保密","无IP","379090","6","","10000","6","","我想阐述一下我为什么选择日配，因为有些中配台词太污了，我无法在大街上公放玩。(Д≡д)!?"
"小白炖小明","男","无IP","2802308","6","","10000","9","","国语好顶赞。听起来不尴尬。最起码我能听懂。因为我是中国人。右上角顶我"
"土豆粉条好吃","女","广西","410580077","5","#EveOneCat!","10000","6","","离谱，6.2推给我[崩坏3·光辉矢愿_彩虹水枪]"
"寒灵御风","男","江西","9164489","6","约战·狂三","10000","6","","？为啥版本直播下面第一个是这个？文艺复兴？"
"会飞の堇瓜","保密","山东","670935826","4","","10000","6","5","我何德何能刷到16年的视频[脱单doge]"
"庸人自扰罢","保密","无IP","9342607","6","","10000","6","","非洲酋长表示没见过鬼恺"
"怎么会这么甜","男","无IP","2860698","6","圣诞节快乐","10000","6","","火星来信：崩3完全不需要日本cv来造势呢"
"提瓦特幼儿园园长","男","无IP","17499520","6","","10000","8","4","其实我一开始也是觉得有违和感，但用了一段时间后就适应了，相信如果一开始用的就是日语，我就会觉得国语有违和感了，这叫先入为主"
"Noyxt","保密","无IP","355969090","6","EveOneCat2","10000","5","","我靠，怎么刷到这远古视频得"
"冰中刃","男","无IP","1558536","6","","10000","8","2","那些说为毛要日配的人只能说他们目光短浅！为毛就没想到过崩坏3要走出国门呢？"
"腥风血雨ky","女","无IP","45494020","6","崩坏3·天穹流星","10000","7","14","为什么直播回放下面是这个[热词系列_知识增加]"
"崩坏3情报","女","无IP","430278014","4","公主连结佩可莉姆","10000","5","","01:39处"
"abcde-aiueo","保密","无IP","200277169","5","","10000","5","","这个游戏，我会继续玩下去的。相信和我一样想法的舰长有很多，我们会陪伴崩崩崩和女武神们一路到底。,为所有的美好而战，这不是一句空话。"
"土里一条小泥鳅","保密","无IP","108596651","5","","10000","7","","爱酱声优都有了 什么时候可以玩女武神爱酱呢"
"哈七米","男","无IP","13822017","6","泠鸢yousa","10000","4","","芽衣强袭日文cv：谁！谁呀！谁！(=ω=)"
"土御门阿夜","保密","无IP","865438","6","","10000","5","","[小电视_汗]我就提一句，现在谁还记得爱酱是有cv的"
"HAzuKii-L","女","广东","522953324","4","","10000","4","","赶紧公测啊 等多久了"
"将一切鏖杀殆尽","保密","广东","531215762","5","","10000","4","","“当一个故事要结束的时候，我们总会想起它的开始”[保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭]"
"总之还是寄了","保密","山东","293211716","5","","10000","4","","六年的时光，她们的旅途迎来了完结，但我们的故事也即将开始。愿你我永不离别，愿时光永驻此刻！"
"极光灼雪","保密","无IP","2157185","6","崩坏3·天穹流星","10000","4","","国语配音一点不差～表示一直在用国语，也一直会用国语()"
"枫原那啥子萬葉","保密","上海","1798156553","4","","10000","5","","崩坏3这么多美少女，这一定是一个剧情很甜的游戏吧，已经非常期待了[星星眼]"
"不教白眉化阴山","保密","无IP","3968051","6","","10000","4","","国语bronya好听！！！"
"大喇叭兔","女","无IP","13576155","6","","10000","7","","抱歉，觉得国产cv在此游戏更棒的请举爪"
"星月明空","男","无IP","13803196","6","","10000","4","","我终于知道了，为啥这几个月没有钉宫配的动漫，原来全是被请到中国给角色配音了。(/≧▽≦)/~┴┴"
"尤妮","女","无IP","2205817","6","","10000","8","","说什么钉宫不适合配琪亚娜的，我可是第一次在崩2认识琪亚娜的时候就是钉宫配的，没听说过长大几岁还要换声优的，要说不合适也是后来新加的声优不合适吧"
"木子木子木子桑","男","无IP","8773521","6","","10000","4","","中文的听习惯了，日文的就有点无感了"
"wlswlp","男","无IP","7999806","6","原神","10000","4","","感觉钉宫和美雪配的没崩2的好啊，阿澄太太还是很不错的，我选择国语"
"霜之哀伤与火之高兴","保密","无IP","26855075","6","精灵王","10000","4","","钉宫：美雪的妹汁什么的，才不想喝呢！"
"无稽剑圣","保密","无IP","1301611","6","战双帕弥什","10000","4","","还是喜欢国语的（￣▽￣）爱酱说句话啊"
"中须香橙","男","安徽","6693461","6","赏樱大会欧皇","10000","5","","草，大包菜版本直播下面怎么给我推了这个[崩坏3_？]"
"黑暗不息斗争不止","男","北京","89565416","5","","10000","5","","什么文艺复兴"
"是人影影啊","男","河南","287725773","6","崩坏：星穹铁道","10000","7","","6.2版本相关推荐[崩坏3_？]"
"帕岛最帅","保密","湖北","650445156","5","","10000","7","","6.2回来考古"
"御坂13975","保密","湖南","402813574","6","","10000","5","","这一铲，贯穿星辰"
"喜欢嘤嘤嘤の沐风","保密","江西","430026496","5","","10000","4","","退坑但还在坚持看剧情的舰长前来考古[脱单doge]"
"夏吾左转弯","男","广西","249476781","6","领风者","10000","4","","还有半个多月就要公测了【崩坏3·光辉矢愿_比心】"
"烟霄微月澹长空","保密","无IP","44750307","6","三周年恋曲","10000","4","","感觉钉宫配琪亚娜不太合适"
"这一刻刻骨铭心","保密","无IP","104417156","6","","10000","5","","其实我想知道，中文配音都是谁。。。"
"爱着豌豆的向日葵","男","无IP","10149505","6","","10000","8","","感觉日语声优不习惯就换回来了，不是很懂那些整天吹日语的孩子们是什么心态[小电视_差评]"
"HazawaKYO","男","安徽","1365069568","4","","10000","4","","6年了，我回来赴约了。"
"黑王鸽","保密","陕西","2099522275","4","","10000","4","","6.1版本回来挖坟"
"假面骑士佩拉","男","山东","302999064","6","","10000","4","10","怎么给我推荐这个视频[微笑]"
"宣誓詞","男","无IP","36488730","6","","10000","4","6","什么时候公测呀，好玩吗"
"白一海","保密","无IP","27762921","6","","10000","5","","白练–大家都知道的,绯红–最适合新手的角色，虽然是b级但是也不比A弱,战车–有大招可以把小怪聚集一起可配合绯红大招达到最高输出,游侠–高输出远程角色，女武神重炮可造成巨额伤能力,圣女–奶妈，单挑强极强的续航能力,影舞–无限击飞，超高暴击，召唤分身，巨强无比,强袭–强，无敌,山吹–护盾?什么是护盾，能抗我一拳吗?是个控也是个奶妈，续航能力强，没有圣女必带山吹,雪地–冻结敌人，可当控制位。,月光–s级女武神，控场能力强，输出高，女武神科学炮可以对大面积敌人造成成吨伤害,鬼铠–元素伤害，无视护盾，大招一起，无人能挡,次元–喵喵喵?"
"提瓦尔特的舰行者","男","无IP","438115177","5","hanser","10000","3","","在此发誓，崩三不倒，永不退坑"
"abcde-aiueo","保密","无IP","200277169","5","","10000","3","","崩坏三一直没有变，变的只有越来越恶劣的玩家群体和被搅浑的社区环境"
"志摩凛゜","保密","无IP","389234747","6","一周年纪念装扮","10000","3","3","我是穿越者，芽衣有条龙[偷笑][OK][doge]"
"假装上条当麻","保密","无IP","323410642","6","","10000","3","","看看这个，再看看如今的崩坏三 ，如今的米哈游，世态炎凉"
"九流之人","女","无IP","533262","6","","10000","3","","前来听救妈神曲的伴奏！"
"芬达丶Fanta","保密","无IP","32485435","6","","10000","3","","啊哈哈哈哈哈  钉宫居然配巨乳琪安娜"
"Gnoa_","保密","无IP","19884154","6","","10000","3","","布洛妮娅在崩2有二个配音啊一直听香菜的然而3rd最终没有选择香菜"
"杨苟苟","保密","河南","14006209","6","","10000","3","","[墨镜]什么时候公测啊"
"安切尔德","男","浙江","526599544","5","原神","10000","3","","在这里开始，以及，在这里结束，她们的故事虽然结束了，可我我们的故事还未完结……"
"OMERTOSATEXAS的狗","保密","四川","450266037","6","","10000","3","9","当一个故事结束的时候，人们总会想起开始的时候"
"Nebula-z","保密","无IP","32453900","6","星尘","10000","3","","中国hentai千千万，bilibili占一半。而这个……"
"振兔","男","无IP","2721922","5","","10000","3","","觉得国配好听的赞一次(°°)"
"紫音羽心","保密","无IP","10486340","6","","10000","3","","真的很多人都不知道崩2琪亚娜的日语配音就是钉宫么()"
"尘w诩","男","无IP","8017357","6","","10000","3","","国配好听啊╭(°A°`)╮"
"a程凡","男","无IP","16296619","6","泠鸢yousa登门喜鹊","10000","3","","这次国配完胜日配，琪亚娜·卡斯兰娜居然找钉宫配合适吗我感觉找个痴女配会合适点，我个人比较喜欢泽城美雪的声线但是芽衣的话感觉有点违和感（￣▽￣）"
"神坂弥撒_official","保密","无IP","14352985","6","","10000","3","","还是觉得国语好听( _ゝ｀),调戏时候的声音听着超爽啊(°°)"
"霖菲","男","无IP","4491583","6","","10000","3","","虽然国语很不错，但果然讲真还是日配听着更带感，钉宫美雪佳奈由依为什么支持国产游戏就一定要选国语？"
"好漂亮的彩虹帽子","保密","无IP","5898956","6","","10000","3","","爱酱，军功呢？应该不是只有我一个人还差***300水晶吧(；ω；`)"
"尤妮","女","无IP","2205817","6","","10000","3","","有些人是不是傻，日与语音和中文语音是能切换的，谁说公测要把中文删了的"
"樱花庄的decade","男","湖南","474121263","5","","10000","3","","一看就甜 预约了[崩坏3_点赞]"
"--寂缭--","男","安徽","392396257","5","崩坏3·天穹流星","10000","3","9","这是什么游戏 ，快公测了吗[崩坏3_饿了]"
"押韵太难算啦吧","保密","湖南","512403404","6","","10000","5","","今昔是何年"
"我累i","保密","天津","361963932","6","","10000","3","","[脱单doge][脱单doge][脱单doge]"
"翊绝出尘","保密","陕西","405832052","5","","10000","3","11","[热词系列_知识增加]"
"徐愿平","男","江西","391387044","5","艾恺特AKT收藏集","10000","3","","这是什么鬼文艺复习的"
"雷雷咚","保密","无IP","8749969","6","","10000","4","","救妈神曲原来这么早就有了(￣△￣)"
"影月苍鹭","保密","无IP","136690","6","","10000","4","","第一次觉得日配被国配爆成渣"
"墨云444","保密","无IP","693863976","5","","10000","2","","五周年前来考古"
"樱花ぜ少女","保密","无IP","26199592","3","","10000","2","","我只想要这个视频里的BGM→_→"
"前方？","男","无IP","551331","6","","10000","2","","@爱酱，你倒是把最新的声优阵容发一下呀。。。"
"Luncrt","保密","山东","1984642591","5","","10000","2","","若崩坏三十周年之际这条评论和bilibili也还在，我依然活着，崩坏三依旧没有关服，那么我讲再次来到这里与各位重聚"
"放铳好快乐啊","保密","江西","16098812","6","","10000","2","","第二部即将启程[崩坏3_注入灵魂]"
"碳酸红茶","男","无IP","4985159","6","三周年恋曲","10000","2","","我要看新版本的pv（￣▽￣）"
"紫色星晨幻想","保密","江苏","490690157","5","","10000","2","","Da capo 返始,结束亦是开始,如是始源，如是终焉"
"兔样","男","无IP","4867308","5","原神","10000","2","","新手引导后再也看不到爱酱了555爱酱你快出来啊(╯‵□′)╯︵┻━┻"
"残响乐团总指挥","男","河南","1543924179","4","","10000","2","","以此为始，以此为终"
"Sivon_Zn","男","福建","215435952","5","","10000","2","","考古来了[滑稽]"
"神冥弃","保密","无IP","4697791","6","","10000","2","","关于琪亚娜配音其实我还想听山新的，毕竟是原配嘛(_`)"
"如风达","男","无IP","6265576","6","","10000","2","","kiana我觉得两个都可以，原本崩2的时候就是两个来回切，都习惯了的，芽衣觉得美雪姐姐的声线还是太成熟，稍微有点违和，布洛尼亚我是百分百喜欢日配，崩2改成日配就没改过来，无论三无还是机械感都觉的是日语好"
"壹門之隔的地獄","男","无IP","6540778","4","","10000","2","","我就是来刷***邀请码：SJ74TN，抢到号的萌新可以填一下哦~有水晶奖励哦~（其实我是因为我可以有奖励才发的啦嗯2333）"
"壹門之隔的地獄","男","无IP","6540778","4","","10000","2","","那啥，我就是来刷***邀请码：SJ74TN，抢到号的萌新可以填一下哦~有水晶奖励哦~（其实我是因为我可以有奖励才发的啦嗯2333）"
"鸽子122坐不更名","男","无IP","4203007","6","","10000","2","","讲道理嘛  三个角色的配音  国配更舒服"
"王大锤铁柱","男","无IP","12918296","6","","10000","2","","在那玩看板娘（痴汉脸）大概是一心的好感度，突然一脚飞踹，我退出了游戏(╯°口°)╯(┴—┴"
