"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"Letheヽ","男","无IP","60024801","5","","10000","5320","","干翻原神，崩坏永存[doge]"
"龙卷风横穿马路","男","无IP","37172134","6","","10000","3992","9","黑符我不一定抽得到，但大家我认为会一发出[doge]"
"经验值-ExP","男","无IP","8366184","6","崩坏3·天穹流星","10000","3385","13","阿符：,“律者竟在我身边”,“律者竟是我自己”"
"我有所思在远道゜","保密","无IP","313064170","6","","10000","2042","7","抽爆符华"
"永夜清雪","男","无IP","262344677","6","","10000","1666","3","对，没错，我就是那个要女........cosplay的。"
"小A酱的白给","保密","无IP","404879891","5","","10000","1634","","黑符:我...（捂嘴）,白夜:新来的，新拳套？借我用用呗,黑符:咳咳！我将...（再捂嘴）,白夜:新物理圣痕！？借我穿穿看看合身不,黑符:咳咳！我将扭转...（捂嘴3）,白夜:物理辅助啊！？后面辅助位自己选,黑符:万...象...（摔）,白夜:辅助赶紧上bf，看爷爆发,黑符:这就来（跑腿）,白夜:（怪卒），爷真厉害！是不是啊新来的？"
"去码头薅薯条","女","无IP","13341200","6","崩坏3·天穹流星","10000","1603","4","只有女王厨受伤的世界完成了"
"小琳家的贝贝龙","保密","无IP","49837343","6","","10000","1371","","新角色:老肩巨滑[doge][doge][doge]"
"荔枝苹果树","保密","无IP","99454310","6","2020拜年祭（鼠）","10000","1294","7","包菜呀，我看了tx的白皮书好像说有个叫什么原神的游戏抄袭你们崩3?这不告原神的公司吗[doge]"
"账号已注销","保密","无IP","435503211","0","","5000","1019","1","律化前:老娘日天日地点燃动作之魂《白夜yyds》,律化后：我什么都做不到《只能辅助》"
"神威CLANNAD","男","无IP","11940054","6","国民老公带回家","10000","607","","符华上仙用着最NB的设定却打着最铁的辅助"
"拖鞋帮主张兮兮","男","无IP","223613914","6","","10000","602","11","那个说送女王cosplay的hxd，什么时候行动[doge]"
"梦里青衣尚少年","男","无IP","35268435","6","hanser","10000","443","","识律:我将……,白夜:扭转万象！"
"LoyalKnigh凌羽","男","无IP","10054967","6","崩坏3·天穹流星","10000","373","","希望新年皮肤可以跟雾都迅羽一个方案，带眼镜和不带眼镜两款[崩坏3_谈话]"
"双标tool欣","保密","无IP","148198422","6","#EveOneCat","10000","360","","哪位看了直播dalao发一下验证码"
"轻凛划水摸鱼","女","无IP","45165197","6","崩坏3·天穹流星","10000","336","","作为一个符厨我很单纯,你给我看上仙我就回坑.jpg,小艾咪，等我把你姐姐抽出来就回来）"
"某放弃治疗的取名癌","保密","无IP","85951982","6","","10000","325","","我能在有生之年玩到符华新的s级输出角色吗[tv_白眼]"
"路尽論行","保密","无IP","229753268","6","崩坏：星穹铁道","10000","297","5","给俱利伽罗也配个眼镜吧[doge]"
"兎_先生","男","无IP","8545513","6","","10000","283","","建议雷律皮肤像迅羽一样分有眼镜和无眼镜的！[辣眼睛]"
"寒苒墨萧","男","无IP","24410785","6","","10000","254","","说实话，对于女王白给和理律进家园我是有点不满的，虽然有点自私，但是当年我没日没夜刷氵，副本编年史全肝完，才好不容易保底出的理律空律还有毕业，现在空律白给，我真的有点说不出滋味，感觉时间全部浪费了，自己当年还和傻子一样因为抽到她们开心好久。我现在就在想要是当年没抽女王，我是不是又可以保底一个新的s呢？[笑哭]"
"夏天的乐子人","保密","无IP","500732836","5","","10000","208","","所以，动画短片呢？"
"7v不讨厌","男","无IP","275626453","6","乃琳Queen","10000","199","6","意识律者（×）,失智律者（）"
"gloom-aurora","男","无IP","219191028","5","明日方舟","10000","193","","抽爆符华者有之，被符华抽爆者亦有之[doge]"
"-_-BONES-_-","男","无IP","434048842","6","崩坏3·天穹流星","10000","148","10","派蒙别给我打电话了，我怕爱酱误会"
"雲与鄅","男","无IP","18843775","6","","10000","120","","前排，上仙牛批[崩坏3_注入灵魂]"
"一刃一心一刀斩情","保密","无IP","152252356","6","星座系列：双子座","10000","119","","课代表：2800精准补给卡[doge]"
"专业烹饪剁青花鱼头","保密","无IP","229063541","5","hanser","10000","100","","对不起了胡桃，对不起了魈，对不起了甘雨。我要抽符华[doge]强行让我本来要氪原神的零花钱扭转万象[吃瓜]"
"钟振瑜","保密","无IP","32694465","6","2021拜年纪","10000","97","13","我是休伯利安的舰长！！不是什么旅行者！！！[热词系列_知识增加][热词系列_好家伙] [热词系列_泪目]"
"月音倾城","保密","无IP","480488945","5","","10000","94","10","好多角色需要啊，再给点水呗[妙啊]"
"贝尔法斯特丽","男","无IP","86885924","6","初音未来13周年","10000","80","","我就问一句，神恩是不是要倒。生物，物理，辅助，还是律者级别角色。我好不容易才神恩ss+毕业[蛆音娘_吃瓜群众]"
"终焉展翅的月光娜","女","无IP","148212869","6","崩坏3·天穹流星","10000","78","12","听说有很多朋友对雷律皮肤有意见？我觉得这个还是见仁见智，因人而异，可能因为我自己戴过眼镜的缘故，对眼镜娘的接受程度也比较高"
"喜欢黑暗的不止你一个","男","无IP","286366141","6","崩坏3·天穹流星","10000","76","11","我有个大胆的想法，黑符可不可以自己辅助自己啊，比如枪削弱，锁链禁锢，剑输出啥的之类的。"
"锦依卫-k423号","保密","无IP","701552725","5","","10000","75","","我只可怜我的女王真正沦为下水道角色了[笑哭]"
"家里蹲人","男","无IP","449939","6","","10000","72","","又是剧情渲染毁天灭地结果是个辅助。然后甘雨在剧情里是万能秘书角色，结果游戏里又是个暴力输出……不是说辅助不行，而是米忽悠现在这个操作就像是FGO推出梅林之前放了个短片，梅林直接一发咖喱棒把杀生院物理超度了一样，我怀疑你游策划对反差萌这个词产生了什么不得了的误解"
"暮光骑士-月煌","男","无IP","38817813","6","","10000","68","","nt7hruv6bneb"
"完全otk宣言","保密","无IP","258975249","6","崩坏3·天穹流星","10000","61","","让我们恭喜女王成功过气"
"花蟒蛇妖","保密","无IP","93996622","6","","10000","61","","观星老婆我要为你买衣服，观星最美！[打call]"
"我是小呆呆大魔王","男","无IP","238127251","6","2020拜年祭（鼠）","10000","58","","你米游这么缺钱的嘛？一年俩律者[微笑][微笑]"
"i吃蛋挞","保密","无IP","171426798","6","","10000","57","","不明白为啥一个辅助武器还非要落地超限，你说输出现在数值爆炸落地超限还符合逻辑，云墨不需要超限不也稳稳的，这样榨材料也帮不了你骗氪啊简直迷惑行为[疑惑]"
"锦依卫-k423号","保密","无IP","701552725","5","","10000","53","","所以能把武器换成圣痕吗[微笑]我女王真的就缺圣痕了[笑哭]我辛辛苦苦攒蛋黄刚换出来把空无就抽出来一把……现在又来一个感觉我攒了个寂寞[笑哭]"
"六级我来了_","男","无IP","347469075","6","","10000","46","","我tm直接扭转万象[响指]"
"溜波波","保密","无IP","143254113","6","","10000","43","7","22：14    ，LSP必看"
