"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"五等星的夜","男","无IP","408234927","6","","10000","17287","3","又到了我最喜欢的官方整活时间"
"离舒","男","无IP","114521944","5","良辰美景·不问天","10000","23657","","雷律小剧场，和昨天的小剧场，以及这个剧场都挺好玩的。支持一下，以后可以多做一点这种的，蛮有意思的[微笑]"
"电子赛博幽灵","保密","无IP","155223407","5","","10000","5070","","凯文 吃面中,建议出圣痕"
"蓬松花鸡腿","女","无IP","399759803","5","","10000","8384","","赵路老师重操旧业哈哈[doge]"
"の尼桑","男","无IP","39788079","6","","10000","9469","13","选谁跑第一能得500水晶吗？[doge]"
"掉线狂魔☆火星","保密","无IP","520492","6","","10000","13153","10","[热词系列_咕咕]"
"神秘丶PX","保密","无IP","7115342","6","RNG战队","10000","7551","5","所有人都出场了，除了姬子阿姨[Cat_lonely]"
"虚空Yisa","保密","无IP","8614546","6","","10000","5510","","算不上什么科普，奥托大人的配音赵路大大，本职工作就是体育解说来着，足球，篮球都有他的解说【而且很早以前我还看过两次nba直播由赵路大大解说】"
"沐雪晨曦","男","无IP","343615870","6","hanser","10000","3905","10","用最专业的话说着最沙雕的画面"
"局外有秋千","保密","无IP","110898994","5","","10000","4075","","干翻原神，崩坏永存！"
"Pineapp1e吹雪","保密","无IP","344028188","5","崩坏3·天穹流星","10000","3418","8","爱酱记得《归来》噢"
"摸摸柴柴脑袋","保密","无IP","23507402","6","明日方舟音律系列","10000","310","","你们只顾着笑，有人想到了失去披风还待在冰天雪地里的上仙吗？没有，你们没有[热词系列_知识增加]"
"落地无花本无名","男","无IP","31015966","6","良辰美景·不问天","10000","1860","7","你看，我们老玩家没骗你们吧，说了游侠sss后能变月光了吧[抠鼻]"
"芽衣子","保密","无IP","44834790","6","","10000","1915","7","贝拉:哈哈哈爷飞啦[doge][doge][doge]"
"伏特加の梦","保密","无IP","24505821","6","格兰芬多","10000","1640","","如果不是丽塔不能上 我就让影铁拿着基因狩猎者 穿着感恩节（上）李耳（中）伊丽莎白（下）参赛[滑稽]"
"梨梨梨梨丶梨子","保密","无IP","205110142","5","","10000","1272","4","果然崩三才是亲妈养的[大哭]"
"终焉展翅的月光娜","女","无IP","148212869","6","崩坏3·天穹流星","10000","1216","12","没想到奥迷也有一天能在崩崩崩双厨狂喜[大哭][大哭][大哭]！！！"
"一只9姬","男","无IP","3074580","6","","10000","2898","","隔壁烂活不断，这边好活连篇。唉，怎么跟我在隔壁开服前的预想完全不同啊.......[tv_鬼脸]"
"林宥宵","保密","无IP","29435938","6","","10000","1438","4","6:43好东西[doge][doge]"
"希儿芙乐艾official","女","无IP","57990517","6","希萝Hiiro","10000","1108","","我就想要开头中间那个结晶，给我打包20个就行"
"符华上仙当陪练","保密","无IP","87607936","6","hanser","10000","834","4","哼，要是我参加，老子一记空中劈叉，冠军还不是轻轻松松[doge][热词系列_芜湖起飞]"
"Moici","保密","无IP","382148595","5","","10000","160","","十几个战士在会议室吃面[脱单doge]"
"沉渊埋镜","保密","无IP","302282905","5","崩坏3·天穹流星","10000","792","","强烈建议游戏里推出七彩水晶，用其买的补给卡必出up装备[doge]"
"艾饺奥迪托雷","保密","无IP","392152264","6","格兰芬多","10000","153","","这种国服独占的高质量整活剧情，不比那个国际服粗制滥造甚至被二创完爆的mmd要强一百倍？"
"流夢","男","无IP","109160544","5","雪未来","10000","758","","德麗莎:琪亞娜拿披風管我什麼事[hanser_痛哭]"
"Test-Pro","保密","无IP","171522854","6","","10000","151","","论官方闲的没事干的时候都整了什么些鬼东西。（务必多来一些[热词系列_知识增加]）"
"莉兹zi","保密","无IP","439320153","5","星座系列：双鱼座","10000","618","","最后贝拉和女王真的让我哭了[大哭][委屈][大哭]"
"突突突突突突兔兔突突突","保密","无IP","173012185","6","嘉然今天吃什么","10000","122","","好久没听到琪亚娜这么有元气声音的了，怀念啊。"
"彩虹猫虹彩","男","无IP","70371593","6","","10000","411","","水晶      水晶      水晶       水晶       奥托        水晶,       渡鸦        水晶     琪亚娜       水晶        水晶,水晶        水晶        水晶       水晶        水晶,——————————————————————————,        派蒙：前面的区域以后再来探索吧,                                    舰长"
"12号的moon","男","无IP","249046374","6","","10000","108","4","建议特斯拉和爱因斯坦真的成为女武神上线，真的很喜欢她俩，陪伴我们这么久了"
"抚剑执笔书檄文","男","无IP","224607927","6","","10000","375","","“十几个战士在会议室里吃面，这个场景我至少经历了十次”[热词系列_知识增加]"
"裂-瞳","男","无IP","20112795","6","崩坏：星穹铁道","10000","101","11","十几个融合战士在凯文的团建下坐在会议室里吃面[滑稽]"
