"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"Sangmi_不可食用","男","无IP","386462452","6","原神","10000","5640","","音乐解析：这次音乐我社爆(,阿波尼亚部分有很强的“戒律”感，用的是一种很强调旋律的future bass，第一部分强调阿波尼亚的强大与恐怖，而在第二部分(释放雷莹大招之后/)则转和声，突出阿波尼亚的母性和神圣，虽然每个部分只有几秒，但是可称精妙。伊甸部分以一种没bass的hardstyle引入，可能也是为了突出伊甸的实力吧(什)，伊甸也可以分为两部分，第一部分是dnb的稳定输出，突出流畅，估计是为了配合伊甸的枪法，后半部分引入世纪无敌大琶音，估计也就是为了突出伊甸是个音乐人吧，因为琶音结束镜头正好照应大招。最让我惊喜的是传统小调被改成了炫酷的trap，肥肠滴好。"
"知觉沸腾","保密","无IP","36943177","6","乐正绫五周年生日","10000","1062","","PV分析来了[乐正绫_黑恶势力],老规矩，话不多说直接开始,这个版本的PV信息较少。如果说往世乐土是众人记忆的凝结，是前文明逐火之蛾残垣断壁的重现，是十三英桀各自的故事，是“爱莉眼中的大家”——,那么永世乐土也许就是第十三律者的记忆，是【真我】之铭的体现，是爱莉希雅的挽歌，是“大家眼中的爱莉”。,接下来是三个关键点/猜想,①大家还记得芽衣来到乐土的原因么？是“崩坏意志为何无法影响到律者，祂到底是什么？”凯文的回复是乐土。而到了此刻，乐土最深处的答案是爱莉希雅，第十三律者。结合两位凯文对崩坏意志截然不同的态度，我们是否可以认为第十三律者和所谓的崩坏意志有着密不可分的联系？,②梅比乌斯在乐土中的记忆并不完整（图鉴→梅比乌斯→关于记忆·其一），但最后却找回了记忆，还说自己真正伟大的实验早已在芽衣身上奏效（图鉴→梅比乌斯→蛇主的追忆·其十）。梅比乌斯对芽衣/雷之律者本人的实验是意识转移，已经宣告失败——也就是说那个成功的实验是在芽衣进入乐土之前就已经完成。是否可以认为，这个实验是对“本纪元律者”这一群体进行的呢？结合梅比乌斯追忆之皿的最后一篇“少女卡戎”，那会不会和这个实验有关呢？,对于以上两个信息，我推导出了一个看起来很离谱的猜想，至于真假全靠各位评判了。https://www.bilibili.com/read/cv15794235?spm_id_from=333.999.0.0"
"羽翼莲华","男","无IP","844685","6","时空穿越头像框","10000","613","3","阿波尼亚这个修女很特别，一般的修女给我的感觉都是神圣，善良，开怀的感觉，而阿波尼亚看起来就非常阴郁，仿佛看到了末世的不可救赎而陷入无所释怀的悲伤中，她的悲伤那么大，比任何人都要大，无法回避，无可挽回，她能够看到所有人注定且不可更改的命运，因此阿波尼亚希望所有人都遵从自己，不要难过，不要悲伤，她会给予他们无上的爱。,杨梦露的声音正是配出了这种神圣关怀的感觉（我非常喜欢杨梦露老师，她的声音太好听了），像是在母亲的怀中安详熟睡的孩子一样无忧无虑，即使在末世，仍有一个人会给予你全部的爱和保护。,但同样的，你也必须遵从她的戒律，她会沉浸且强制性地引导你去做她希望你去做的事情，像是不听话的孩子会受到妈妈责骂一样，劫哥就是一个叛逆分子，可怜的千劫呀，因为无法违抗妈妈的命令，只能哭喊着破口大骂：阿波尼亚你给我滚蛋！"
"顾问呀","男","无IP","1279470","6","初音未来13周年","10000","96","9","[虎年],“身为第一使徒的我，居然被贬为十三使徒”——熏,身为第一使徒的爱莉希雅，因为爱上了人类，最后被贬为十三使徒。,,已经成为庞然大物的米哈游，已经不敢再主线再“照搬”EVA的剧情了。,但是没箱单，居然能在“前崩坏书”里面再次“致敬经典”。,太棒了~~"
"妈妈说名字取长点才不像打酱油的","保密","四川","37617766","6","崩坏3·天穹流星","10000","31","","最近看完唢呐又去回顾了琵笆电音，然后又来这儿了，我真的好喜欢这些奇奇怪怪的新潮摇滚"
"冰心魅影","保密","无IP","8373743","5","","10000","9","","这次音乐很顶，比隔壁好，隔壁这几次都不得劲"
"迷途鹿返","保密","无IP","258072526","6","","10000","6","","我的爱莉希雅啊，我俏皮可爱又真诚的粉色妖精小姐啊，呜呜呜[大哭]  mhy编剧大佬下手轻点吧"
"圣帝琪亚娜","男","广西","1286572107","5","崩坏：星穹铁道","10000","4","11","让那最强大的，遭受救世的孤独。【救世】,让那最真挚的，覆上背叛的面具。【真我】,让那最悲悯的，受到命运的操弄。【戒律】,让那最优雅的，抹去傲慢的资本。【黄金】,让那最复杂的，无法于演台起舞。【螺旋】,让那最疯狂的，丢弃生存的意义。【鏖灭】,让那最觉悟的，陷入我执的困扰。【天慧】,让那最牵挂的，失去唯一的系念。【刹那】,让那最向往的，打碎过去的理想。【旭光】,让那最好学的，因生死陷落无限。【无限】,让那最单纯的，漫步黑暗的星海。【繁星】,让那最谦卑的，封闭珍惜的感情。【浮生】,让那最快活的，感受痛苦的真谛。【空梦】 "
"天命教师雷电芽衣","保密","无IP","1623994738","5","Kizuna AI","10000","37","","当一个舰伥,真正想改变剧情的时候,才会发现一个人的力量,是多么渺小,爱莉为大家付出了一切,可换来的却是无情的猜忌和刀子,编剧如此混蛋,它既不公平也不合理,它迫害英雄滋养舰伥,丑陋遍地美好不存,呵…编剧的恶意,就由恶伥来斩断吧,,这是她和明天的距离,这是编剧对她的无情反扑,但她的信徒（舰长）绝不会因此放弃,,人一旦魂飞魄散,就无法再起死回生,编剧允许意识匹配新的容器,却不允许容器收集消散的意识,想要拯救唯一的爱莉希雅,我只能在过去创造出新的可能,啊…这另一个未来,属于她的时空,爱莉  活 下 去"
"波迪斯-泽尔丹","保密","无IP","104375105","6","","10000","70","6","你相信命运吗？,我很敬佩第一个走上战场的人，因为说不定会一去不回。,人是一定会得到救赎的，而促成这一点的正是英桀们的牺牲。,芽衣，你也要走上和爱莉同样的道路吗？,命运，会指引全人类达到彼方（天堂）。,我看见了，时代的轨迹在此纠缠。,理解命运吧。,“提线”要显现了。,“封火之冰、水晶花、小修女像、烫金唱片、入场券、故友匕首、菩提叶、绯色樱花、口琴、蛇鳞、染色画笔、断剑、宝箱钥匙”,话语到此为止，收下这份“戒律”吧——「深罪之槛」,棋差一步呢，芽衣。,［请］拭目以待，颓败的过去将在此终结，我的尝试将会带来蜕变，涤清原罪的人类也会在我的指引下到达全新的“天国”。,“我在黄昏街的疗养院曾与一位神父共事过一段时间，他确实令我印象深刻。”[doge]"
