"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"WL_Ikarus","保密","湖北","309051497","6","","10000","19771","","庆贺吧！她曾是凌驾于律者之上，超越时空，通晓过去未来的六核空之女王，此刻她成为崩三首位打赢复活赛的选手，全新的历史已经在此拉开序幕！"
"果蝇轰","男","未知","8469526","6","","10000","12048","11","起猛了，再起一起"
"冲国红光_official","保密","福建","294751134","6","","10000","7010","8","下版本将要推出一位我们很早就认识的老朋友，她虽然早早在剧情中离我们而去，如今借着世界泡成功打赢复活赛，她使用大剑，并且与琪亚娜有着密切关系，她是。。。,,姬子“哦！我终于要。。。”,,西琳“没错正是在下！”"
"有稀吖","女","浙江","273707124","6","","10000","7492","","带着西琳用着西琳人偶打空律（）"
"观星之夫极东梅郎","保密","河南","380763293","6","","10000","8631","","6.9版本要出一位,火系角色,大剑角色,一位从崩二就有的元老角色,一位和琪亚娜关系匪浅的角色,一位大家都觉得已经不会打赢复活赛的角色,[tv_doge]"
"-残魂","男","广东","32493175","6","三周年恋曲","10000","4462","10","给大家表演个绝活,, , , ,光翼 ~, , ,, , , , , ,舰长在期待什么？崩坏三的意义不是只有角色的死亡，而是形形色色的人和伟大之人的意志[崩坏3·光辉矢愿_比心]"
"欧气益善のcaptain","男","山西","312344597","6","","10000","10087","","西琳算是舰长线第三个S级角色吧 第一是迷迭 第二德尔塔 第三西琳[藏狐]"
"天天背锅崩坏娘","保密","重庆","20313793","6","","10000","3481","","哇哇哇，崩三西琳河豚居然自机了，看来也要变成小天使了[崩坏学园2_好耶][崩坏学园2_好耶]"
"改-放","男","广东","32187114","6","","10000","2743","24","西琳！用剪刀腿剪我的头！[hanser动物套装_打压]"
"空无-天殛","保密","广西","170818725","6","","10000","11327","","刚开始玩崩三的时候特别讨厌西琳，那时候觉得琪亚娜的命运就是因为她而多舛。但尚未感染崩坏能之前，她只是个梦想当裁缝的女孩"
"青色树落青色果","保密","山东","350347850","6","三周年恋曲","10000","5744","11","西琳已经打赢复活赛了，还有谁没打赢复活赛呢？是你吗，杏?[doge]"
