"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"半夜落星","男","无IP","2735964","6","少前小剧场","10000","1447","","这首歌真的频频金句啊，我看完短片后一想到奥托眼泪就自己下拉了，艹了。我把歌词翻译写下来：,regression  回归,,过往太漫长，记忆却太短暂,,留下的文字太多，通读者却寥寥,,天人之间，众生熙熙攘攘，沿着时间所往,,梦境很多，清醒的现实却仅有一个,,选择其一，其余的便不复存在,,众生纷扰，为一席安宁之地,,墓志铭太短，此生太长,,一滴水就已足够,,它被宇宙包藏，它被天地吞吐,,落叶归根,,因一个理由而活着的岁月已逝,,失而复得的时刻终究再临,,舞台上戏角无数,,唯一的自我却存在于谢幕之后,,梦境很多，清醒的现实却仅有一个,,选择其一，其余的便不复存在,,目的很多，最终的结局却仅有一个,,墓志铭太短，此生太长,,你也将重展被折叠的轨迹,,一滴水就已足够,,而我仍希望用思绪包裹住世界,,悼词已过,,我从此离开了这久伫之地,,终，归于始。"
"墓王的剑刃","男","无IP","238175750","5","","10000","39430","","突然发现一件事，如果只看虚空万藏后崩坏书的描述的话，你会觉得他是隐忍五百年找准时机趁奥托无暇理会之时从他手里溜了出来，逃离了与奥托一同毁灭的命运，非常极限和惊险[歪嘴],但是实际上——奥托：完全没在意，随手一扔[再见],虚空万藏：我自由了[疑惑]"
"阿泽昂泽","保密","无IP","22601671","6","原神","10000","2010","","没想到我居然真的奶对了[捂眼],对崩坏三的爱起始于琪亚娜，而真正让我领会到这个故事无与伦比的魅力的果然还是主教大人啊（笑）,不必理解他，不必咒骂他，不必敬爱他，不必疑惑他。,他只要这样一个安静的结局，便足矣"
"茶疏亭雨","女","无IP","67343658","6","","10000","23952","","歌词杀我！！,,Time to leave where I have stand so long; Letting you go recover traces overlapped.,,我从此离开这久伫之地；让你重展被折叠的轨迹,,Life is too long to end at grave,,墓志铭太短，此生太长"
"夏歆花","保密","无IP","511282826","5","","10000","893","","阿云嘎3岁时，父亲因心脏病去世，留下的唯一家电是台录音机，阿云嘎抱着它整整听了5年，学会了腾格尔所有的歌。一个人放羊时，他最喜欢哼着歌在草原上跑，300多只羊都是阿云嘎的听众，那会儿大家都叫阿云嘎摇滚牧民小子。阿云嘎7岁时，母亲因为胃癌离开了他。自闭、不爱说话、学也学不进去，被人认为是问题儿童。情急之下亲戚把他送到当地艺校"
"l薇尔莉特伊芙加登l","保密","无IP","397516791","5","初音未来13周年","10000","43850","11","“飞机……我的飞机……”（哭腔）,,“啊！它刚刚飞的好高！！”,一名少女，以无人能想到的方式突然出现在墙头。,“这个是你的吗？”,,“……是我做的”,,“哇……你这么厉害，以后一定会成为大发明家！”,“可惜它坏了……”,,“如果你需要的话……”,“我可以……再帮你做一个！”,,“真的吗？谢谢你！”,,感觉自己被所有人抛弃的他，第一次听到了这样正面的鼓励。,男孩不是不懂亲人们对他的担心……但是他们也的确毫不顾忌男孩内心的需求和渴望。,这是他第一次知道——,原来有人对自己抱有这样的期待。,原来有人认真地需要这样的自己。,,“我的名字叫卡莲！「卡莲·卡斯兰娜」！”,“你的名字呢？”,,“……奥托。”,“奥托·阿波卡利斯。”,,“那么，奥托——我们可以做朋友吗？”,,“……当、当然可以啊。”,,朋友。那是一个男孩之前只在书本上了解过的概念。,,“嗯……大发明家，我有一个请求，你愿意答应我吗？”,,“咦？请求……吗？”,,“嗯！等我们长大之后……你就来和我一起拯救世界吧！”,“——而在那在之前，你可要把自己变得健健康康的哦？”"
"polarbear123","保密","无IP","1432442087","3","","10000","6729","","之前几首也听过，这首感觉不一样。不是靠宏大的配乐来渲染气氛，全靠歌手的声音来刻画人物，更像电影里的配乐，画面感好强。这首歌音域跨度大，我个人更喜欢前面宛转低吟的部分，像是一个人在回首从前，一些唏嘘，一些遗憾，一些欲说还休。后面拔地而起的金属高音清亮扎实，很热血，很米哈游，也很好听。这个声音太有感染力了，第一次让我觉得奥托非常性感，好迷人啊[星星眼]"
"符音_","女","无IP","107964043","6","初音未来13周年","10000","37","","光翼, , , , , , , , , ,“飞机……我的飞机……”（哭腔）,,“啊！它刚刚飞的好高！！”,一名少女，以无人能想到的方式突然出现在墙头。,“这个是你的吗？”,,“……是我做的”,,“哇……你这么厉害，以后一定会成为大发明家！”,“可惜它坏了……”,,“如果你需要的话……”,“我可以……再帮你做一个！”,,“真的吗？谢谢你！”,,感觉自己被所有人抛弃的他，第一次听到了这样正面的鼓励。,男孩不是不懂亲人们对他的担心……但是他们也的确毫不顾忌男孩内心的需求和渴望。,这是他第一次知道——,原来有人对自己抱有这样的期待。,原来有人认真地需要这样的自己。,,“我的名字叫卡莲！「卡莲·卡斯兰娜」！”,“你的名字呢？”,,“……奥托。”,“奥托·阿波卡利斯。”,,“那么，奥托——我们可以做朋友吗？”,,“……当、当然可以啊。”,,朋友。那是一个男孩之前只在书本上了解过的概念。,,“嗯……大发明家，我有一个请求，你愿意答应我吗？”,,“咦？请求……吗？”,,“嗯！等我们长大之后……你就来和我一起拯救世界吧！”,“——而在那在之前，你可要把自己变得健健康康的哦？”[doge], 哦忘了 最重要的,姬子老师温柔的看着你 并不再说话 温柔的离去了[藏狐]"
"染瞳-","男","未知","401094439","5","","10000","579","","Too much of the past for one to memorize,,过往太漫长，记忆却太短暂,,Too many words remain..."
"天穹殿","保密","无IP","22435369","6","","10000","36","5","不明白为什么还有人管奥拓叫舔狗，就像奥拓所说，这是一个人能做出的最自私的事情，他并不全为了卡莲，并不全为了爱情，卡莲是奥拓生命中的第一道光，是卡莲让奥拓知道了世界上还有美好的存在，所以对于奥拓来讲，卡莲不仅是所仰慕之人，还是信仰，而他要做的，只不过是不希望自己的信仰被自己曾经的龌龊和民众的愚昧所止步于此罢了，他是自私且邪恶的，自私在于为了自己的信仰，将无数生命视作草芥，邪恶在于它就像愚者，愚弄了自己的本性，而这一切，起源都只有一个，赢过一次这个肮脏可耻的世界，以及崩坏神，把世界变成他想要的样子，为了他的美好而战，所以我并不认为这是舔狗或者是单纯的深情，这比深情复杂的多（转）"
"崩坏世界的幽能死星","保密","无IP","505792339","5","崩坏3·天穹流星","10000","1387","","看了27章：奥托不得好死！[生气],看了28章：奥托主教走好！[难过],看了动画：主教你带我走吧！[大哭],看了琪亚娜的日记：……要不你再死一死？[呆],再看一次短篇：主教我的主教你带我走吧[大哭]"
"詁崝","保密","无IP","470171244","5","","10000","21865","","刚刚我外放这首歌，然后我爹说：“儿子这是个世界名曲吧。”我愣了一下，“这首歌今天出的。”[doge]"
"混凝土仙人","女","无IP","17765710","5","","10000","184","","还是想说下别再发阿云嘎的身世了[笑哭]首先他本人不太愿意提及一些过往伤痛，虽然都是可以查到的，但还是希望更多关注他的业务能力，他本人值得更多关注，悲惨身世就不必宣扬了"
