"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"强制改名不退币","男","无IP","474814085","5","","10000","11765","","长空市：wdnmd,怎么又是我"
"出井祭李","保密","无IP","238366138","6","RNG战队","10000","19719","4","好家伙，比EVA手游还EVA[doge]"
"苏帕SAX人之神","男","无IP","43242769","6","崩坏3·天穹流星","10000","9095","7","天父不止突破了90%，甚至达到了1000%"
"百合百景","保密","无IP","698774","6","原神","10000","7227","","欢迎收看崩坏战士新剧场版：序,领衔主演,雷电芽衣 饰 碇真嗣,布洛妮娅·扎伊切克 饰 绫波零,无量塔姬子 饰 葛城美里,可可利亚 饰 赤木律子,雷电龙马 饰 碇源堂（代替种种原因未能出演的奥托·阿波卡利斯）,重装小兔19-C（天使重构型） 饰 美里的车,MSR-7天父 饰 泛用人型决战兵器 人造人类 福音战士 初号机,众使徒 饰 他们自己"
"从雨丸","男","无IP","22212290","6","总之就是非常可爱","10000","5655","3","有一说一，这应该是国内做的最好的EVA联动了"
"整蛊专家乐高雨","保密","无IP","286040879","6","","10000","4411","","我知道没看过eva的人肯定会说，好像环太平洋，但可以很明确的告诉你们，环太平洋的导演是eva的粉丝。"
"磁爆步兵54","男","无IP","3443416","6","","10000","5985","","崩坏，让我强大吧！如果你爱人类，爱你的孩子，请给我打败使徒的力量吧！,幽兰戴尔，你不应该再靠近虚数空间了。,谁在叫我？你到底是谁？,回去吧，幽兰戴尔，如果虚数空间的入口关闭了，你就完蛋了，快回去，幽兰戴尔！幽兰戴尔！幽兰戴尔！"
"瓜店老板","男","无IP","525270546","5","2021拜年纪","10000","5508","","淦翻原神[doge]"
"赤瞳yyy","男","无IP","87951550","6","","10000","4197","","属于米哈游三个创始人的梦想，自己做的游戏跟自己超喜欢动漫ip联动，想想都觉得梦幻。[OK][OK][OK]"
"Sennyuki风早千雪","男","无IP","23938690","6","异常生物","10000","1234","12","“概念PV”划重点，意味着下周五一定还有一个正式PV，三崩子这回真的是拼命了啊[妙啊]"
"游戏彩笔","男","无IP","1320581","6","","10000","5039","25","天父突破！我已经1000%了！"
"爱首忆1","保密","无IP","353299283","6","","10000","1702","11","联动必然骗氪，但有一说一，这次诚意还是有的[tv_doge]"
"别再吝啬表达","男","无IP","274585831","6","hanser","10000","755","","原来天父90%是因为一直在等EVA联动吗[hanser_难以置信]"
"问肯局长是不是基","保密","无IP","23618219","6","崩坏：星穹铁道","10000","1082","25","好耶！！！！！"
