"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"芋子゜","保密","无IP","216735246","6","","10000","2258","","又有新老婆出了，我的肝已经。。，只剩头发了！我要变强啦！。。。"
"HamStears","保密","无IP","87419649","6","欧皇","10000","1948","","绿托越来越没人权了，家被孙女抄了，连中二解说席都被别人抢了,好惨一男的[芮小凸小凹_超棒]"
"带着宇宙队偷电瓶车","男","无IP","155551185","6","崩坏：星穹铁道","10000","1270","","增幅（）,骗氪（）"
"账号已注销","保密","无IP","106340701","0","碧蓝之海","5000","661","","buluoniya天下第一"
"暗中观察人事部会长","保密","无IP","40648072","6","崩坏：星穹铁道","10000","343","7","在深渊试过，一群在蓄力砸地板的泰坦被我拉了过来，瞬间暴毙。"
"琴尔酒罗斯","女","无IP","6425176","6","","10000","266","","希儿：好不容易从海里探个头，发现姐姐大人全身有一处依然没有增幅(｀ω)"
"破站幕前老大","保密","无IP","291291027","6","","10000","259","","希儿:等我出来，我就要把那些插队的和叫我希尔的人全都。。。啊，是布洛妮娅姐姐，wsl"
"-迪奥sama","男","无IP","78004545","4","","10000","154","","特斯拉和板鸭情比金坚，特斯拉和强袭塑料姐妹。[蛆音娘_滑稽]"
"长须鲸战士","男","无IP","12728338","6","","10000","89","3","白练:给我也整个！"
"二宫宴鳐","保密","无IP","168187965","6","","10000","89","","拟宇宙中强烈的慧星,如深海中璀璨的明珠,山吹增强核心慧星驱动,虽是逆商制造但也足够了,慧星驱动增强了原本山吹那脆弱的护盾,慧星的护盾，硬度是原来的三倍。而且生命值和护盾链接等同,可以承受住原本泰坦的三倍伤害(战斗力单位),每秒钟会向周围释放一次护盾冲击,且护盾破裂时，可以使用QTE，完美防御来刷新护盾。,为何我会想到一只可爱的仓鼠球呢？,新的武器系统,把原本不蓄力的攻击，从单体的虚弱改成了群体减速立场虚弱。这样倒是大大的破盾的速度,防护罩的冲击，当击中力场中央的敌人的时候可以恢复少量生命值,QTE需要时空断裂，推出带有黑洞的拳头。可以吸引变眩晕周围的敌人。就像某个七代目的忍者,必杀技彗星重拳,开启的时候宛如宇宙中的黑洞，会吸取周围的敌人。浮空，如果是立场中的敌人便会进入眩晕,使用必杀技的瞬间将开启『湮灭模式』,普通攻击转为近战攻击会冲击目标，且第三段聚怪还有时空锁定,格挡也会变成闪避,果然这才是逆熵的风格非攻,接下来用一场华丽的实战来掩饰这一切,首先是不蓄力的普通攻击添加虚弱立场,在骑士崩坏兽冲过来的面前使用格挡技能,控制并且造成一次聚怪效果,开启大招，对聚拢在一起的敌人,留下非常深的印象吧,山吹增幅核心,宛如宇宙深渊中的彗星,,,华而不实[惊喜][惊喜][惊喜]"
"八云梦灵","男","无IP","3476885","6","","10000","61","","重装小兔19C,报废;,超重装大兔20D,启动!"
"风花雪夜明","保密","无IP","242577072","5","崩坏3·天穹流星","10000","50","","为什么胸没有增幅（￣▽￣）"
"努力学习中的小华丽","男","无IP","63294433","6","","10000","40","","我们的口号是：,防御加强与近战辅助（×）,核聚变打击（）"
"布洛妮娅゜扎伊切克","保密","无IP","33897769","6","初音未来13周年","10000","40","","逐渐被遗忘的战车，山吹现在自带聚怪，战车大被完美复制？？？而且还带护罩，唉，联机划水战车的聚怪日子看来要日渐远去……也就sp回复有点用了……,下深渊像我这样的有时候还用到战场聚怪，现在这山吹一增幅，战场可以彻底退场了……不过……都是加强我自己，有什么区别吗（滑稽护体）"
"步月登云巅","男","无IP","44136241","6","","10000","38","","扒你胖次！,扒你胖次！,扒你胖次！,扒你扒你扒你扒你扒你扒你胖次！[芮小凸小凹_喜欢][芮小凸小凹_喜欢][芮小凸小凹_喜欢]"
"千似法","男","无IP","108874909","6","","10000","33","","请务必把『核聚变打击』弄出来,还布洛尼亚的一个心愿"
"掉线狂魔☆火星","保密","无IP","520492","6","","10000","23","10","重——装——小——兔——！！！"
"社畜祥子","保密","无IP","12965526","6","","10000","17","","如果是姐姐大人插队的话，希儿不会伤心的"
"天咲彩愛","保密","无IP","1691021","6","","10000","14","","月煌：下个版本，我把你们都杀了( ω )"
"我的科技毁天灭地","保密","无IP","28152110","5","","10000","12","","彗星增幅真的想吐槽一下，不知道设计师是不是新来的。山吹可以用蓄力快的火炮或导弹打连击（看目标多少），可以用蓄力慢的打伤害，等价于强行暴击（相对于蓄力快的伤害而言），也可以配特定的圣痕打出逆天级伤害（相对于山吹自己），激光武器里，也就M134伤害还算中规中矩。而其他激光都不如同级火炮和导弹。然后增幅怎么就给了山吹一个激光的专属武器？脑子瓦特了？就算有些人，包括这个设计师非把山吹定位在辅助，也不用把最不适合她的武器做专属吧？唯一的好处，恐怕就是为有脑子的人省钱了，但同时也让人叹息，米哈游扩展人数，平均水平就降低了。"
"木大木大鸟","男","无IP","12545454","6","","10000","11","","感觉还是以前的强，手动恢复是硬伤，山吹圣女挂后台，2保1就行"
"永生宝梦","男","无IP","288618086","6","","10000","9","10","我家姬子什么时候有增幅核心"
"粉丝最爱吃粉丝","女","无IP","23961170","6","","10000","9","","应该是把崩二的人调到崩三了，崩二的人偶，小剧场全跑崩三来了[小电视_发愁]这是代表崩三已经到下坡路运营了么？"
"路过一下的米玖","男","无IP","269733139","6","","10000","8","5","爱因是被柯尔特巨蟒给击中了，巨蟒的技能是眩晕，无伤害，所以老爱应该死不了，只是应该...."
"乱世柚子君","男","无IP","354810018","5","咩栗","10000","8","","这些东西我都有但是，那个什么核心怎么开启。。。"
"谁换了我的大会员","保密","无IP","384954092","5","","10000","7","","我觉得崩崩崩应该好好查一下外挂，而不是出乱七八糟的活动，别人好不容易打上去的你几下就把人家挤下去了，老是出这种活动有什么用？一个增幅几个版本后又必将落后。到时候再增幅？好一个循环利用，妙啊［鼓掌］,还有一个问题，老玩家为何频频开挂，而且越来越多？我觉得主要原因是崩崩崩只注重萌新的福利，忽略了老玩家，直接导致游戏体验变差，换作任何人都会选择宁可潇洒几日也不想这样受到不公平的待遇，凭什么？只有萌新是人？老玩家就不是了？为何等级越高奖池越坑，策划你是吃了屎吗[微笑]"
"近战魔法弓兵伊莉雅","保密","无IP","441369394","5","崩坏3·天穹流星","10000","6","","流水的主C，铁打的辅助"
"纷红骇绿骤飘零","保密","无IP","276505639","5","","10000","6","","考古。后崩板鸭长大了[崩坏3_点赞]"
"江户绘梨衣","男","无IP","43425780","6","国民老公带回家","10000","6","","本来我是刚玩两天的萌新\(////)\，感觉这个皮肤拿不到了已经，后来抽卡抽了4次emmm原来这么容易"
"香焦哥","男","无IP","21147711","5","","10000","5","","山吹色波纹疾走[doge][滑稽][doge]"
"丘平月初","男","无IP","43623838","5","","10000","5","11","樱花委托我不建议大家带彗星驱动，因为她的保护罩会干扰暗杀任务，不接暗杀任务还是很好用的（个人观点，不喜勿喷，谢谢啦）"
