"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"陆白吾瑾","男","无IP","10949672","6","崩坏3·天穹流星","10000","1995","","逢魔之时：日本人喜欢把黄昏前的一段时间叫做“逢魔时刻”。他们笃信这是一个被诅咒了的时间，所有的邪魅和幽魂都会在这时候出现在天空中。简单来说就是因为阴阳交替所产生混乱，使阴阳两界所重叠，让阴界的魑魅魍魉出来捣乱。（来自百度百科）,逢魔之时这个词不是骑士独创 某些小鬼不要跳脸,同时也解释了为什么八重樱能看到琪亚娜一行人 因为此时阴阳重叠 已死之人就能看到阳间的景象"
"想抱莉莉娅的云天","女","无IP","74126025","6","星座系列：天蝎座","10000","21122","8","樱花酿的制作方法：,,1.糯米淘洗干净后泡12小时，盐渍樱花温水洗掉盐分。,,2.糯米上蒸笼蒸30分钟后，自然冷却至体温35度左右。,,3.酒曲用50克左右30度的温水化开。,,4.拿一小盆子或桶子，开水烫过消毒后放入酒曲水和糯米拌匀，再放入一层糯米- -层樱花，中间挖个气孔，留几朵樱花备用。,,5.加盖,保持温度在30度左右，发酵24-48小时。24小时后，每6小时打开尝尝甜度,避免过度发酵。,,6.过滤出酒酿，加入樱花作为装饰。到这一步就能喝 了7.如果要做出樱花味的甜酒(即樱花酿)，需要将洗干净的樱花装满瓶子，倒入甜酒后密封放置=到两个月，二次过滤后再过一个多月才能喝。,[崩坏3_吃瓜]"
"希双板纳","保密","无IP","399021183","5","hanser","10000","13400","8","抽雷律前：看见没，那个盘子我出的钱[墨镜]抽雷律后：看见没，那张桌子我出的钱[无语]（非洲舰长抱团取暖）[大哭][大哭][大哭]"
"太虚山的赤鸢仙人","保密","无IP","446944294","5","","10000","27","","这是属于米哈游玩家的，最后一片净土,这部作品，声优老师们认真付出了很多心血,我们的声优老师和女武神都是无辜的,别骂了别骂了,喷运营喷策划去哦,干嘛呀你们"
"一战功成舍我其谁","男","无IP","17052144","6","","10000","28598","5","漫画的剧情再在动画里看一遍，突然就有了新的领悟。,刚看漫画的时候，看到樱莲的最后是琪亚娜一行人从黄昏里走过，忽然明白过来这原来是圣痕空间里，卡莲已经死去五百年，八重樱只能把自己留在美好的梦境的时间，瞬间糖变刀。[大哭],就如同盐渍樱花被保存下来一般，八重樱也将自己的时间永远固定在了和卡莲相逢的时刻。,盐渍樱花虽然不会再枯萎，但也不会再盛开；身为拟似律者的樱固然不会再死去，却也再没办法与卡莲真正重逢，得到现实里的幸福了。,,但是，圣痕空间的卡莲却说了：“盐渍樱花盛开了呀，不作为花，而是作为食物重新绽放。”,,盐渍樱花还可以拥有另一种用途，另一种盛放；将自己固定在时光里的樱，也会拥有新的可能与幸福。,,卡莲还是会拯救樱。,,卡莲也拯救了吃刀子的我[大哭][大哭][大哭]"
"_艾莲-乔_","女","无IP","503371583","5","","10000","26","","番是好番 别冲,角色是好角色 别冲,游戏是好游戏 别冲,二创是好二创 别冲,社区是好社区 别冲,大伟哥不得已 别冲"
"kurumi酱赛高","男","无IP","108215203","6","碧蓝航线","10000","20","","你们态度转变的真快，虽然我不玩崩崩崩，但这转换的也太快了吧[笑哭]"
"火星上的小祖宗","保密","无IP","351135654","4","","10000","355","","嗯，弹幕里好多人说八重樱没有耳朵，这是因为没有律化（八重樱是伪律者没有真正的律者核心），参考樱之轮回，八重樱喂药时cg上就没有耳朵，我个人认为是因为律化才有的，参考火傻，火傻没有被律者附体是也是没有耳朵的，之后才有，所以奥托大人要坚强啊！,如果说错了还请指正[doge]"
"北之舰娘","女","无IP","281636330","3","","10000","1672","","希望弹幕大家都能有素质不要在想第一季的时候刷许愿还愿什么的，这样别人都会看你很幼稚这种行为。能抽到就抽的到抽不到就算了吗所以大家也不要在番剧里面刷真的太影响观看了，最后祝大家都抽到雷律也不要在动漫了刷许愿了[保佑]"
"蕾安娜_布里甘缇亚","女","无IP","226310469","6","星座系列：双鱼座","10000","10","5","关于盐渍樱花的樱花,,主要使用的材料是关山樱,关山樱在我国绝大部分都有种植,也许你小区门口或者说路边就有,（，想尝试的话可以摘几朵，摘多了会被保安大叔骂的.....,[崩坏3_哭哭],花期一般在3月底到4月初，也就是说3月中旬就可以去采摘了,,腌制的时候要采用无碘的盐，用含有碘的盐的话会导致花变色。,花就不好看了,,洗干净均匀分布摊开，可以用厨房纸或者说纸巾吸干水分,再然后就是撒上盐，这时可以先放在小盘子里面，然后裹上保鲜膜,腌制两三天左右，放在通风处晾晒一天,之后就可以放在小瓶子里了,盐渍樱花就完成了,[崩坏3_星星眼],放在阴凉的地方可以放1~2年左右,可以做的食物也很多"
"折耳根不能吃水煮","女","无IP","65119257","5","","10000","7","","看动漫原本啊准备入坑的，但是看到满屏绿色，然后看了一圈评论后，我觉得还是算了。,崩三玩家貌似不懂得什么叫尊重cp和请勿ky，而且特别喜欢一个梗从头刷到尾，那我之后不管磕cp还是厨角色岂不是都很难受。,而且啊，虽然我没玩过，但是看了评论大概知道这条线的剧情，然后看到有人说八重樱是小三的，原来你们有的人发绿色并不是单纯刷梗呀，懂了。"
"凉凉の茶","保密","无IP","94635129","6","","10000","31","","“人心都没了，修一座破庙又有啥用呢？”,——《黑神话悟空》[吃瓜]"
"pineapple-派大星","男","无IP","23513171","6","EveOneCat2","10000","50","","我想解读一下最后那个逢魔之时，其实吧，这是一份樱的满足，樱说“时间变的好快，又到了这个时候。”也就是说，她不是第一次经历，而她在这时可以感应到外围的世界，她听见琪亚娜她们的声音先是小小的惊讶，接着她微笑了，我觉得这是属于樱的满足与释然，对于她来说，外面的世界如何，都与她没有太大的关系了，她只需要有她的卡莲陪着就可以了，她的快乐很简单，只要有卡莲，她就十分喜悦，她不做太多的要求，哪怕是梦也好，只要能一直做下去又有什么关系？哪怕无法被所谓的真实实现，那也无妨，她所需要的不过是卡莲的陪伴罢了。,还有最后那个和琪亚娜的对视，个人肆意揣测，琪亚娜有卡莲一部分的灵魂（本人剧情没打完，若是错了，望指出[思考]）"
"簇黎_","保密","无IP","438559549","5","","10000","29","","为什么要在樱莲刷奥托啊，不理解，玩梗注意场合"
"烤箱的芒果","保密","无IP","291407701","6","","10000","170","","684的快乐[doge]"
