"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"艾饺奥迪托雷","保密","江苏","392152264","6","格兰芬多","10000","6849","","18年开始玩崩三，后悔两件事,1.氪得太多。,2.入坑太晚。"
"樱花开八重","保密","广东","351326162","6","","10000","3507","15","这好像是第一次官号自己发日语版吧[哦呼]"
"沫丨陌","保密","湖南","279695905","5","","10000","2416","7","短片很短，不到8分钟,短片很长，陪伴我们6年,                   ——恭喜毕业"
"大飞鹏鹏","男","江苏","37551310","6","","10000","544","","“伟大的动画，就是抹去了时间的刻度，跨越了空间的距离，始终完成了陪伴这两个字。”, ——央视cctv6史航老师"
"抱着西瓜啃萝卜","女","广东","1480778","6","崩坏：星穹铁道","10000","413","","我懂了！列车！宇宙！星球！琪宝是开拓星神！"
"西内库打赛","保密","四川","690228856","4","","10000","409","","命运曾向世界提问,于是，英雄给出了回答,跨越漫长的轮回,创造属于每一个人的故事,《崩坏3  Reburn》《女王降临》、《最后一课》、《天使重构》、《希儿》、《布洛妮娅》、《天穹流星》、《罪人挽歌》、《渡尘》、《薪炎永燃》、《阿波卡利斯如是说》、《因你而在的故事》、《毕业旅行》,我们已不再是最初的追光者，现在的我们亦是星火,六年之长，感谢有你,给过往一个肩膀,然后，向着明天"
"千夏chikaaaa","保密","黑龙江","495803288","5","","10000","254","","游戏后续的最后一个镜头kiana摆的是图标的pose，她们依旧是她们，一直都不会变[墨镜]"
"兔小尤","女","四川","94893385","6","实验品家庭","10000","595","7","没有华丽的战斗，没有经费的燃烧。,有的只是一幕幕我们每一个人见证过的那个名为琪亚娜卡斯兰娜少女的过去。,我们每一个人也都是琪亚娜，为世界上的一切美好而战。她们的故事已经结束，而我们的故事还在书写。,毕业快乐……"
"天道修羞","男","广东","82672242","6","","10000","3","","告别过去，向着明天，始于未来。感谢一直以来为崩三角色们赋予灵魂声音的声优们，六年的陪伴在此时画上了句号，每个人都有自己的故事。期待以后再次与她们(他们)相遇，毕竟他她就在那里，声优们也是如此，钉宫理惠、石田彰、种崎敦美、泽城美雪、田中理惠等等，他们(她们)都不会一直停靠在这里，我们会在未来以后的某一天再次相见[tv_点赞]"
"KAULA-","保密","未知","13895885","6","","10000","1","","六年时光，感谢陪伴----"
