"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"bananaMace","女","无IP","1589613","6","花园花玲头像框","10000","12374","6","啊哈哈 大家新年快乐！"
"Biu_杜冥鸦","保密","无IP","325844","6","","10000","9477","","新年快乐啦嘎嘎嘎嘎！！！！"
"理之律者小妲己","保密","无IP","476718395","6","雪未来","10000","7582","8","除  希  夜,[hanser_毛怪哭哭][hanser_毛怪哭哭][hanser_毛怪哭哭][hanser_毛怪哭哭][hanser_毛怪哭哭][hanser_毛怪哭哭]"
"喵☆酱","保密","无IP","1677445","6","2233幻星集","10000","6230","","大家新年快乐鸭～[打call][打call][打call]"
"我永远单推板鸭","男","无IP","176098588","6","2233·群星闪耀时·双子座头像框","10000","8401","","hanser：你们好呀，我是hanser,我：没了？"
"shourei小N","女","无IP","249118","6","花园花玲头像框","10000","11691","","对不起采访我听上去好像不够丽塔[喜极而泣]因为每次喵酱问我“丽塔你呢？”，我就因为有点羞耻笑场NG了……抱歉现实生活中不太能hold住丽塔的感觉，我会继续努力！声优不等于角色，所以希望大家能在游戏里尽情享受丽塔的声音。PS：其实还有我临时发挥的爱酱的一段的，可能因为时长剪掉了哈哈哈,PPS：我知道自己胖啦，过完年就开始运动！"
"舞屿誠","男","无IP","424208927","5","雪未来","10000","8722","","大家好，我是舰长的配音[doge][雪未来_嘿嘿]"
"林簌SUSU","女","无IP","7223194","6","花园花玲头像框","10000","8152","","祝各位舰长新年快乐呀！,今年教大家一个玄学，面对强敌的时候只要说——,别回了！死吧！,马上所向披靡哦豁！"
"影之侍","男","无IP","14075464","6","三周年恋曲","10000","3186","3","列个表,琪亚娜——陶典,芽衣——菊花花,姬子——簌簌,符华——小马,呆鹅——喵酱,丽塔——小N,渡鸦——谢莹,八重樱——杜老师,奥托——赵路,板鸭——hanser"
"游戏彩笔","男","无IP","1320581","6","","10000","4896","25","我已经接到了琪亚娜、芽衣的电话祝福语音了！剩下的就在这里听了吧[tv_思考]"
"圆桌骑土","男","无IP","291615315","6","","10000","2376","","今年是符华和德莉莎打来的新年祝福。。。往年。。。往年的手机账号绑在原来的停机的号上了[灵魂出窍][灵魂出窍][灵魂出窍]"
"云兮兮舾欲魚","保密","无IP","496723084","5","明日方舟音律系列","10000","2332","","好耶！我刚刚接到了……草是班主任的电话，那没事了[妙啊]"
"泠_媛","男","无IP","172502495","5","","10000","2283","","给大家表演一波十连十紫,吼姆宝藏,吼姆宝藏,吼姆宝藏,吼姆宝藏,吼姆宝藏,吼姆宝藏,吼姆宝藏,吼姆宝藏,吼姆宝藏,莉莉娅,[崩坏3_脱非][崩坏3_入欧][崩坏3_点赞]"
"XY大甘蔗","女","无IP","44243","6","","10000","1552","","来晚了 新年快乐呀[星星眼]"
"玄冥阁_寒猫","男","无IP","508896931","5","hanser","10000","1692","","渡鸦:新的一年，我想努力打工，买一个更大的别墅,女王:就这？"
"爆浆毛怪","保密","无IP","155959699","6","星座系列：白羊座","10000","1484","","众所周知，在自己直播间和在别人视频里出镜的hanser是两个人[笑哭][笑哭][笑哭]"
"城北旧人故","男","无IP","16145047","6","乃琳Queen","10000","1959","","／ ￣￣  ＼　 ,|　ー　ー  \　 ／￣￣￣￣￣￣￣￣￣￣＼,|　 　  |　/             我亲爱的三蹦子       \,\　　 　/ ∠        帮我给隔壁铁公鸡带句话  /            ,  ＼　　 イ　   \         我也要这个祝福             /,／　　　＼　    \______________________/,/　|　　　 \ \　,|　|　　　  | |     ,|    |               | |"
"pipi符","保密","无IP","4194121","6","公主连结凯露","10000","1467","11","这是暗示渡鸦要上舰[滑稽]"
"序曲_-","保密","无IP","79366803","6","","10000","920","","啊这，憨憨胆太小啦，怂呐[笑哭][hanser_痛哭][hanser_痛哭][hanser_痛哭][hanser_痛哭]"
"丶忆往","保密","无IP","496914280","6","","10000","629","","刚刚接到了女武神的电话，请问什么时候到休伯利安上当清洁工？[doge][doge][doge]我已经苦练劈叉很久了"
"懒猫蛋蛋","保密","无IP","24390041","6","","10000","113","","我开着车带着公司人事部老大，招商部老二，电商部老大以及江苏区加盟老大巡店的时候，我接了一个大姨妈给我的新春祝福电话。。。"
"拜托了考试别让我挂","男","无IP","59451920","6","原神","10000","612","1","为什么我一个男人在看到赵路后，辣么激动！！！！！！"
"轩昂菌","男","无IP","15101406","6","赏樱大会欧皇","10000","99","","来了 老婆们新春快乐[hanser_peach]"
"老骚豆花","男","无IP","13642068","6","","10000","704","","可以请一次陈奕雯嘛，卡莲厨真的太难了"
"掏心窝子の旧剑","保密","无IP","453845561","5","","10000","86","","丽塔：只有红茶可以吗？"
"CDTUHI","男","无IP","352631841","5","早稻叽","10000","584","","[热词系列_好耶]好耶！"
"苍韵イリヤ","女","无IP","29491363","6","天依游学记·歌行","10000","61","11","刚刚收到符华打来的电话了 四年了 终于收到过一次啦 [原神_干杯][崩坏3_开心]"
"轲轲轲轲老师","男","无IP","500005810","5","","10000","569","","花玲配音的德丽莎呢？德丽莎世界第一可爱！"
"恐怖麦块人","男","无IP","12817221","6","","10000","66","","在玩原神塔防 接到希儿的电话[doge],舰长，原神好玩吗？.jpg[阴险]"
"暗夜说说","男","无IP","130576133","5","","10000","438","","／ ￣￣ ＼　 ,|　ー　ー \　 ／￣￣￣￣￣￣￣＼,|　 　 |   |　都tm给我听着     /,\　　 　/ ∠  祝你们新年快乐  / , ＼　　 イ　 \ ________________/,／　　　\,/　|　　　 \ ,|　|　　　 | |"
"Windsky隐","男","无IP","152294081","5","三周年恋曲","10000","57","","声优大大手里的红包，能整个微信红包封面吗，想要[委屈]"
"失忆念为伊","男","无IP","447982634","5","","10000","464","","我祝这个账号的人新年快乐[OK],https://space.bilibili.com/"
"Richard原","男","无IP","439802360","6","良辰美景·不问天","10000","67","7","呆鹅不是应该送健身器材吗[热词系列_知识增加]"
"橙子栉","保密","无IP","433417009","5","hanser","10000","351","","布洛妮娅今年绝不加班（鸭子味）,hanser也是（奶味）[hanser_嚯牛奶]"
"波奇波奇Bocchi","保密","无IP","383544363","6","hanser","10000","291","","大家过年好！[doge]"
"秋之枫叶","保密","无IP","399226767","5","","10000","359","","有那么一群人，他们默默的翻着评论区却不写下评语，把自己的故事藏在心里，一个人承受着喜怒哀乐。你好！路过的陌生人，我顶你个肺[doge][doge],新年快乐啊舰长大人们[嗑瓜子]"
"慕清隆_原铁代肝","保密","无IP","174945001","6","","10000","35","10","hanser那个简短的发言我听完愣了一下，哎？哎？(Д≡д)!?没了？"
"空白iko","男","无IP","326983516","5","原神","10000","294","","为什么就憨八嘎没有介绍角色[doge]而且希儿的配音演员也没有……"
"連理yuki","男","无IP","8682213","6","hanser","10000","37","","芽衣刚给我打完电话，你们就都来了，二次元的米娜桑"
"被风吹散de约定","保密","无IP","37447315","6","魔法学院","10000","281","","刚接到布洛妮娅的请假电话[害羞]，屯那么多游戏一起玩嘛"
"Dayao啊","男","无IP","24478221","6","","10000","29","","[崩坏3_入欧][热词系列_新年快乐][崩坏3_脱非],[崩坏3_唢呐][热词系列_妙啊][崩坏3_笛子],[崩坏3_琵琶][热词系列_吹爆][崩坏3_二胡],[崩坏3_镲][热词系列_你币有了][崩坏3_镲],[崩坏3_特效][热词系列_知识增加][崩坏3_特效]"
"江户川柯南","男","无IP","73738621","6","","10000","204","","希望新的一年里我的女武神们能健康快乐，好好工作。,,希望浮华开朗一些，,, 琪亚娜稳重一些，,, 芽衣自信一些，,, 姬子健康一些，, , 丽塔轻松一些，,, 布洛尼亚开心一些，,, 幽兰戴尔安心一些，,, 八重樱主动一些，,, 卡莲淑女一些，,, 希儿大胆一些，,, 罗莎莉亚老实一些，,, 莉莉娅活泼一些，,,德丽莎爱我爱的更深一些,,																								——柯南"
"yoiyoiyo","男","无IP","32329171","6","嘉然今天吃什么","10000","28","9","又不带希儿玩，原来今晚就是除希夜了吗[doge]"
"可胃","保密","无IP","396153618","6","","10000","1123","","是否点一下兑换“识之律者”[微笑],是   否,↓       ↓"
"朽木春","男","无IP","139127714","6","","10000","27","9","希儿？？！为什么"
"淋着鱼","男","无IP","202224666","6","星座系列：双子座","10000","190","","奥拓给我祝福，我要还礼，请告诉我您家的地址[妙啊]"
"玛修不是色茄子","女","无IP","443185175","5","三周年恋曲","10000","30","","差评，没有舰长的配音[崩坏3_魔法少女][崩坏3_路过][崩坏3_糖葫芦]"
"雪尘心灬","保密","无IP","83765120","6","","10000","228","","接到电话,骚扰电话  挂断,等等!!!!!,我刚刚挂了个什么[笑哭][笑哭][笑哭][笑哭][笑哭][笑哭]"
"司仪灵气","男","无IP","1142316146","5","崩坏3·天穹流星","10000","25","","琪亚娜的录音放到“未来，，，”就没了 这是未来可期？？？[tv_大哭]"
"異域魔法師","女","无IP","327050988","6","","10000","158","","收到了丽塔的新春祝福……开的外放……我妈还问我是不是有女朋友了……"
"御坂风韵","保密","无IP","24063777","6","洛天依9th生日纪念","10000","23","","刚刚我可能把电话挂了，和去年一样，看到骚扰电话的标签就毫不犹豫的点挂断，然后我想起了去年被我挂断的电话[崩坏3_哭哭]"
"silly沐","保密","无IP","6646795","6","圣诞节快乐","10000","172","6","好耶！！新年快乐！"
"凯文凯雯凯","保密","无IP","35960070","6","明日方舟音律系列","10000","20","","小马 正经 小马 彳亍"
"忍不了了和你爆了","保密","无IP","34089042","6","还有醒着的么","10000","158","","爷的大大呱呢？？？？[女仆醒_惊讶][女仆醒_惊讶][女仆醒_惊讶][女仆醒_惊讶]"
"寻宁凡不遇","男","无IP","302513054","6","崩坏3·天穹流星","10000","19","3","花铃呢[崩坏3_糖葫芦]"
"ElysiunFFB","男","无IP","403506897","6","","10000","152","7","收到了一个琪亚娜和布洛妮娅的[doge]爷太欧了"
"29度阵雨转晴","男","无IP","156000554","5","拜年祭粉丝专鼠","10000","22","","祝各位舰长新春快乐啊[福到了],  为什么hanser总是不露脸呢[tv_白眼]"
"秋修羽然","男","无IP","80790076","6","星座系列：白羊座","10000","133","","／ ￣￣  ＼　 ,|　ー　ー  \　 ／￣￣￣￣￣￣￣￣￣￣＼,|　 　  |　/             我亲爱的三蹦子       \,\　　 　/ ∠        帮我给隔壁原神带句话  /            ,  ＼　　 イ　   \         我也要新年祝福             /,／　　　＼　    \______________________/,/　|　　　 \ \　,|　|　　　  | |     ,|    |               | |"
"猫猫雨喵","保密","无IP","431126894","5","","10000","16","","大家好，我是一个会空中劈叉左手抱芽衣右手抱符华的帅的一塌糊涂的舰长"
"炮BiIi","保密","无IP","259525563","5","","10000","127","6","哇，杜老师气质真的好，我永远喜欢杜老师[打call][打call][打call]"
"慕清隆_原铁代肝","保密","无IP","174945001","6","","10000","19","10","臭绿托好敷衍啊[傲娇]"
"挚愛惟三","男","无IP","21938233","6","雪未来","10000","15","","官方暗示渡鸦上舰[doge]"
"清野凛一本正经","男","无IP","199103467","5","","10000","15","","艾琳酱，我是你的粉丝啊"
"噼里啪啦网友","保密","无IP","36722866","6","星座系列：处女座","10000","13","","[笑哭]退坑一年了，前几天接到两个电话，芽衣和琪亚娜的。有点感觉挺惭愧的"
"白夜文月","保密","无IP","38441177","6","明日方舟音律系列","10000","13","","接到了电话，但是被我妈给叉了[捂脸][捂脸][捂脸][捂脸]"
"若云XEL","男","无IP","486919416","5","","10000","13","","又没有希儿[笑哭][笑哭]"
"阿限限限限","男","无IP","490761856","5","","10000","12","","过年能放个崩坏能裂变弹庆祝吗？[doge]"
"程门若水","男","无IP","255314153","6","","10000","12","3","鉴于这次活动符华的技能，想要马老师说！,天动万鸡（大佬站姿）[doge]"
"淋着鱼","男","无IP","202224666","6","星座系列：双子座","10000","11","","突然发现Fa玲呢？[辣眼睛]"
"受不了rnm退网","女","无IP","35947600","6","","10000","10","","主教大人怎么不露面呀[doge]"
"佳人之乐","男","无IP","697376940","3","","10000","11","","十点十紫，是指十个吼姆宝箱吗？[doge][滑稽]"
"易言顶珍","男","无IP","389118148","5","","10000","8","","我直接好耶[doge]"
"璀璨_与你","男","无IP","502134744","6","绯赤艾莉欧","10000","10","","／ ￣￣ ＼　 ,|　ー　ー \　 ／￣￣￣￣￣￣￣＼,|　 　 |   |　都tm给我听着     /,\　　 　/ ∠  祝你们新年快乐  / , ＼　　 イ　 \ ________________/,／　　　\,/　|　　　 \ ,|　|　　　 | |"
"呕妮姜","男","无IP","105418574","6","","10000","7","3","陶姐本音就是琪亚娜，牛逼[喜欢]"
"银隼_","保密","无IP","162142800","5","崩坏：星穹铁道","10000","7","8","新的一年祝各位舰长：补给零保底，副本全掉落[打call]"
"五等分的惊慌","保密","无IP","122632367","6","中野五月","10000","7","","祝各位舰长所有角色三发必出"
"曉山Anaka_Official","男","无IP","345651794","5","2021拜年纪","10000","6","","怎么总觉得陶典就像是突破次元壁的kiana[笑哭]"
"寂灭丶封尘","男","无IP","139285416","6","原神","10000","6","","啊... 若有一天能够一睹hanser芳容 真的死而无憾了[笑哭][笑哭][笑哭]"
"煙雨行舟入江南","男","无IP","256932873","6","","10000","6","","你知道我要接电话反手来句舰长猜猜我是谁的时候我妈看我的眼神吗[辣眼睛]"
"两只愤怒的菜鸟丶","男","无IP","144226634","6","","10000","6","","舰长补给全保底，舰长副本零掉落[嗑瓜子]"
"八重轮回唯爱樱","保密","无IP","167389306","6","多多poi","10000","6","","[多多poi_吃樱桃][多多poi_冲冲冲][多多poi_大哭][多多poi_害羞][多多poi_花痴][多多poi_开心][多多poi_教我做事][多多poi_生气][多多poi_危][多多poi_委屈][多多poi_喜欢][多多poi_嫌弃][多多poi_疑问][多多poi_震惊][多多poi_升天]"
"萌圆_Meny","保密","无IP","436080177","5","崩坏3·天穹流星","10000","6","","没有花玲[大哭]"
"这改名字真的能中奖吗","保密","无IP","375164203","6","星座系列：天蝎座","10000","6","3","我想要开场的那个cg图片[大哭]"
"名字也交给国家","保密","无IP","85266898","5","Kizuna AI","10000","6","","给我打电话就是了，放出来多不好意思啊[捂眼][doge][热词系列_新年快乐]"
"sjl963","保密","无IP","357208408","6","","10000","6","","好耶"
"我永远喜欢过气女团","女","无IP","23096526","6","hanser","10000","6","10","舰长原神好玩吗[doge]"
"hydroxide东","保密","无IP","329531371","5","明日方舟","10000","8","","我要布洛妮娅！布洛妮娅！！！"
