"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"梦丶初i","保密","无IP","399374706","5","","10000","5429","","朋友：嗨，朋友你在看什么呀,我：崩坏三,朋友：就是那个一直发刀的那个？,我：这次是糖哦(-ω-`),朋友：崩坏里有糖？（朋友不信的看向电视）,芽衣：琪亚娜，我曾拒绝律者的身份，认为它为我带来了不幸......,朋友：这是糖？（朋友不可思议的看着我，然后转身离开）,此刻画面切到布洛尼亚和琪亚娜,我：快来看快来看，这次真的是糖！,朋友听到后又回来看,布洛妮娅：......虽说以前叫你笨蛋，可好像你......已经不在是那个......,(朋友什么都没说转身离开）,画面再次切换，我：朋友,（朋友又被我叫了过来）,德丽莎：琪亚娜，从前你就是这样....,画面切换     我：朋友！,符华：或许我曾犯下了不少错误...,画面切换     我：朋友！,姬子：虽然你是个调皮的学生，虽然你或许迷失了方向......,朋友：你喜欢被刀不要叫上我呀[无语],我：？[疑惑]"
"冷纠静结","保密","无IP","351075240","6","","10000","11275","","糖糖,                糖糖糖,                糖糖糖糖,                糖刀刀刀糖 ,              糖刀刀刀刀糖,              糖刀刀刀刀糖,              糖刀刀刀刀糖,              糖刀刀刀刀糖,              糖刀刀刀刀糖,              糖刀刀刀刀糖,              糖刀刀刀刀糖,              糖刀刀刀刀糖,              糖刀刀刀刀糖,              糖刀刀刀刀糖,              糖刀刀刀刀糖,              糖刀刀刀刀糖,              糖刀刀刀刀糖,              糖刀刀刀刀糖,        糖糖刀刀刀刀刀刀糖糖,          糖刀刀刀刀刀刀刀糖,                     糖刀糖,                     糖刀糖,                     糖刀糖,                     糖刀糖,                     糖刀糖,mhy：我的能量超乎你想象[妙啊]"
"执妄ベ","男","无IP","410888737","5","","10000","4119","","舰长：“谢谢你，编剧”,          “PV我就看到这了，你回去吧”,          “这一次大概是，永别了”,编剧：“等一下舰长”,          “后面应该还有糖”,舰长：“或许吧，但...这是我的决定”,,编剧：“够了”,          “又是这样”,          “用刀子换来所谓的播放量” ,          “无法接受”,          “把舰长，还给我！”,,舰长：“我经历了太多的背叛和欺骗”,编剧：“舰长，我绝对不会欺骗你”,舰长：“和我一起玩崩3的人，也都被我殃及”,编剧：“我很强的，不用担心殃及到我”,舰长：“无论怎么努力，都挡不住岁月的流逝，最后，我还是独自吃刀”,编剧：“我不会让你，吃刀子的！”,捶地板,舰长：“编剧？你怎么会在这”,          “要是后面有刀子的话...”,编剧：“啰嗦！”,          “那我就再发一次糖！”,           “你想不看完PV就走？门都没有！”,[doge][doge][doge]"
"黎明前兆","男","无IP","21939609","6","","10000","699","10","其实每个人最后的画面都是当前每个角色最后一次见琪亚娜的时间，板鸭和符华都是在支配剧场帮琪亚娜，德丽莎还没进去的时候关心琪亚娜，而姬子的最后一面就是最后一课[大哭]"
"苦痛三扛把子","保密","无IP","67629411","5","","10000","9497","","对不起 华 实在买不起蜡烛了[doge]"
"凌月_lingyue","女","无IP","20009741","6","魔法学院","10000","1777","","温柔的火焰——芽衣：能用这份力量帮助你，是我的幸运,坚定的火焰——布洛妮娅：你已经是个令人放心的同伴了，琪亚娜,包容的火焰——德莉莎：当你需要我们的时候，同伴们一定会回应你的,冷静的火焰——符华：现在，轮到我助你一臂之力了,跨越一切的火焰——姬子：我永远相信着你，琪亚娜。你永远是我的骄傲。"
"龙墓之渊夜","保密","无IP","30502244","6","泠鸢yousa登门喜鹊","10000","278","","我将变成一星的姬子，德丽莎，布洛妮娅和芽衣以及八星的琪亚娜调星。,聚集的群星化为一体时，新的牵绊将照亮未来，成为光芒照耀的道路吧！超越极限加速同调！进化之光！薪炎之律者—琪亚娜！"
"仙骑士-月旦","保密","无IP","351503959","6","","10000","1297","","哇，姬子那里的小彩蛋:,种花，可以代指教学生。,“我认识的一个熟人，会种花”,瓦尔特和姬子是师生关系（见漫画）,“还好这些花都比较争气”,姬子老师你的学生可太争气了，全是律者[笑哭]"
"伏特加の梦","保密","无IP","24505821","6","格兰芬多","10000","5928","","对不起大姨妈 找不到40根蜡烛了…"
"姜氏之子","男","无IP","383419685","6","洛天依9th生日纪念","10000","2076","","温馨提示，此视频包括之前的小剧场都为国服特供，外服为搬运所以没有配音，字幕也是搬运工自己配的[藏狐][藏狐]https://b23.tv/2En6HK"
"咸鱼-躺","保密","无IP","431320675","5","","10000","274","","作为5年氪了400左右的准白嫖，我觉得夏活福利：很好。,靠着平时取舍和规划，依靠苦痛红莲升降的资源目前存水3W，各类资源足够直接拉满萤火虫。,如果装备欧点，还能冲一波9600。,游戏体验不在于氪金与否，而在于是否懂得取舍和规划。,不懂取舍，不懂规划，最爱攀比的“喂不饱的狼”，我只想说：,连我这个白嫖的游戏体验都比不过，,你真是 逊 爆 了！"
"暮色伏城","男","无IP","13019036","6","星座系列：金牛座","10000","17","","有一说一这次唯一让我感动的反倒是板鸭的小故事，其他的小故事填在那几个记忆里有点单薄[Cat_slip]"
"永远喜欢泠鸢","保密","无IP","295401870","5","泠鸢yousa","10000","432","","也不知道是哪个三房老哥想出来那种对付mzr的方法的，真可谓是以柔克刚[笑哭]"
"须弥生草姬","保密","无IP","321048269","6","","10000","2014","1","德丽莎是坐下比站着高的唯一一人"
"路由器kua","保密","无IP","143356640","6","","10000","76","","不要因一时的坏而忘记它曾带来的好，也不要因一时的好而忘记它曾犯过的错"
"天行的沐雨","保密","无IP","470014686","5","泠鸢yousa登门喜鹊","10000","377","","这个评论区就舒服很多了，前几个月是什么玩意[辣眼睛]，我永远喜欢琪亚娜还有大家[doge]"
"椰子灰鸽","保密","无IP","390182724","5","","10000","6","","不懂就问，为啥B站里崩三的评论氛围与这里不太一样，我是三天前才下的游戏，游戏手感还不错，但刚才我逛了逛B站服崩三的评论，看了半天都看不懂，只晓得个什么兔女郎，有哪个大佬能告诉我发生了什么吗？"
"寻道空","保密","无IP","12559568","6","乃琳Queen","10000","16","","虽然我已经弃坑了，但我还是关注着崩三的剧情和琪安娜，这类视频也会来看一看，当时的弃坑虽然起因是节奏，但事后想想貌似也不后悔。让我没想到的是现在坚持下来的人为什么要嘲讽那些退坑的人呢，现在甚至还有优越感。[囧]"
"芙宁娜的守护神","保密","无IP","67006001","6","","10000","6","","每个人都有对于自己来说很重要的东西，同时这个东西也可能是别人所讨厌的，但不一定每个人都知道如何去尊重别人。,魔怔人是什么？是自己喜欢的东西不允许别人不喜欢，自己讨厌的东西不允许有人喜欢它，说白了就是自我意识过剩，像是个不明白地球没了你一样转的孩子。,我以前喜欢这个游戏，现在不喜欢了，原因很多，tnl对我而言根本不是问题，游戏乏味才是最关键的原因。,但愿能撑到剧情结束的那天吧"
"账号已注销","保密","无IP","76964490","0","","5000","10","","是糖！！！[惊喜]好甜啊啊啊啊啊啊啊啊啊啊啊啊啊[给心心]谢谢你mhy这糖好甜啊[给心心]姬子阿姨回来了！[惊喜]贴贴"
