"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"AiMuLove","保密","无IP","27648366","5","","10000","3647","","抽不到女武神犹大的过来一下，我统计有多少像我一样的非洲人"
"繁星の落幕","保密","无IP","11782358","6","","10000","3241","","萌新们，崩崩崩很简单，经过简单的练习，我们来试试周年挑战赛吧[蛆音娘_滑稽]"
"我真的喜欢喝苏打水","保密","无IP","105819478","6","","10000","2239","","氪金买了八重樱花嫁后第一句话就是,“我的心，五百年前就已经属于卡莲了”,能退款么"
"薄铁斩风_Ahmorily","男","无IP","16144994","6","","10000","1541","","看看他们疲惫的神情"
"环宇丶","男","无IP","17795158","6","","10000","759","","[洛天依_滑稽]一人血书换高仿号小闪电"
"八宝备仁Official","保密","无IP","314544805","5","救赎","10000","82","","没抽到女王，神恩，骚话莲，犹大，黑鸭，月轮的请给我点赞，我来统计一下有多少非洲人[蛆音娘_滑稽][洛天依_滑稽][洛天依_阴阳先生]"
"黑暗草莓圣代","男","无IP","5687511","6","","10000","65","10","对不起，我再也不能战斗下去了。。。。。,那一天，卡莲.卡斯兰娜的尸体盖过了绿托的帽子。"
"雪蓤","女","无IP","8990986","6","","10000","43","","先祝崩崩崩两周年快乐，作为老玩家还是很开心的,但是有些事我还是想说一下，这些话我也是考虑了很久才说的，我不是那种无脑的喷子，只是一个普通的玩家，那种既不是氪金多，也不是操作6的玩家,不得不说这次的周年庆活动是我过得最难受的一次，这游戏已经变味了，我以前看别人骂策划的时候我都觉得人家游戏公司也是要活的，想赚钱也不是不理解，骗骗氪也正常，出出皮肤，出出专属也都在接受范围内，但是，你骗氪归骗氪，能不能也稍微顾及一下普通玩家的感受，我不是个喜欢在游戏里花钱的人，但是以前玩崩二时米忽悠的态度真的让我觉得很良心，那种不氪金也能玩的感觉让我想都没想就入了崩三的坑，一开始大部分剧情关联机关，我想，没事，没有初始s但我有肝，我可以慢慢刷，后来出了记忆战场和深渊，我想，没事，手残点慢慢拿头发混点就行，再后来角色越出越频，老角色都慢慢退出主c，我没钱，氪不了，没事，养养我的巫女白夜还能混混，现在又出个周年关，策划，你是觉得我的肝我的头发，我的钱都没有了就想要我的命了么？好，我手残也是我自己的原因，挑战关打不过也怨不了别人，徽章那就不要了，再说说周年活动，让重刷一次等级，说是体验初衷，但是回头一想，不过黄粱一梦，出了活动还是什么都没有，而之前刷完活动用的都是满配角色，出来之后那种落差感，就会想去氪角色，装备，不得不说策划好心机，为了让玩家抽池子费尽了心思，赚钱的手法越来越多，但是，相对的玩法越来越单调，外传就是之前的外传统合一下，开放世界就是换了个地图，最开始吸引我的是游戏的剧情和新关的那种哇！眼前一亮的感觉，而现在更多的是炒冷饭和刷刷刷,其实，崩坏世界的角色，世界观我都很喜欢，美工也很养眼，慢慢补全的剧情也让我很期待，但是，如果以后崩崩崩准备走tx的那种路线，不氪金玩不了，那好吧，我不会退坑，只是少了个热爱它的玩家，多了个咸鱼而已"
"赤朦秘苑","保密","无IP","17555295","6","","10000","33","","但凡周年庆这样的大活动不管什么游戏无非就是:玩家高高兴兴拿福利，开发者高高兴兴赚个盆满钵满，是一波打出自己名气，吸引更多新人加入的好机会，可看看你们的作为:除了那五张精准卡稍微有点看头，其余的:2/3个结晶?不到500的水晶?一套看似50实则玩具的圣痕?设立难度超大的关卡没问题没意见，但至少要和律者档案那样虽然高难度但也有丰厚的奖励啊？再不济，给点实际的材料总可以吧?天命逆熵虚数核心、超合金盾牌什么的就算只给一个也是安慰好吧！看看你们那“丰厚”的奖励。一个周年庆把自己游戏评分从8.9玩到7.4也是够6。水能载舟亦能覆舟，游戏的主体还是玩家。当初你们可是上过排行榜前十的。不要让好游戏毁在自己手里。"
"吃泡面的小x同学","男","无IP","10552857","6","","10000","24","","真的不推荐任何任何任何新人接触崩坏3！理由如下：,,我是2016.9前1万抢id进游戏的资深崩坏3玩家uid10005262，玩到现在一路经历了官方很多压榨玩家和消费诈骗行为，从为了给第一批非初始s级角色开路不惜改游戏内人物介绍，技能描述，技能效果，删减技能效果来把雷电女王的鬼铠人物从快速进攻型主力dps削弱改变成加buff的辅助，输出砍了100%以上，还把怪物出现几率改了，克制鬼铠的生物怪大大增加，被克制伤害又少30%，并且深渊这个鬼铠主力站场怪物元素抗性翻倍（鬼铠雷电属性攻击）区区3个多月下来我们花了几千上万rmb培养的鬼铠报废，到0.98事件 s级血色玫瑰人物实际抽奖几率比官方标出的几率弟，为0.98%，官方标的1.35我记得（太久了记不清了）被玩家骂到出补偿重新抽活动，到深渊（游戏主体玩法）大改，削废了几乎所有输出职位和大部分装备就为了给御神装勿忘开路，到处刑装紫苑试玩关伤害（qte核心技能）比正式抽出来的人物高一倍不止，紧急关闭试玩关等人物抽奖结束后才放出公告说试玩关有bug伤害异常高，伤害以实际抽到的人物做标准……明显的诈骗行为，到为了强推新初始s辅助神恩颂歌，故意把技能设计成全面超越碾压现有辅助职业，导致旧有辅助全部报废，深渊没了神恩玩不了，到为了强推浮华 把浮华4个人物全部设计全面超模加超模，旧有职业在他们面前连个卵都不算，到为了强推新职业废了老职业深渊多次更改，导致现在被强推的浮华都废了，就为了新女王开路，浮华元素攻击，深渊元素抗就从10-20%改成了65%，物理防御却成倍下降，女王是物理攻击，还有跟多阵容关键性不用花rmb游戏里能换到的装备都被官方以“不平衡需要优化”为理由削弱了一遍，比如开天剑，凰剑，独眼巨人，科学怪人圣痕上位。最重要的就是雷刀鬼角和山吹无限激光这种玩家已经用了6个月甚至1年多，官方代表人：爱酱小跟班已经多次确认是正常的之后，依然被削没了，甚至不惜给补偿强行改没了，补偿还很少，就一点水晶加换一把武器，接下来多次对装备武器人物削弱暗改"
