"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"鸢一折纸6硬币一次","保密","无IP","115331392","6","萌宠小兔挂件","10000","1552","","饿死他了喂死他！"
"失心","保密","无IP","7599814","6","首批购买大会员","10000","3409","","奥托大人日常变绿[蛆音娘_滑稽][蛆音娘_滑稽]"
"黑色怪鸟y","保密","无IP","13560633","6","","10000","1147","","原罪猎人卡莲:“Hastalavista”,西班牙语，意为再见，后会有期。"
"猫泽永恩","男","无IP","105066615","5","","10000","2123","","亲爱的卡莲，请宽恕我，你所受的一切苦难，全都是因为我的一己私念，我想让你重获新生，这就是我的罪，名为『绿』的原罪"
"金州勇士安德鲁维金斯","保密","无IP","354368539","6","向晚大魔王","10000","798","7","我：卧槽，好帅，一定要到手  ！,系统：汉娜爱你呦 。,我：卧槽，这回血量！,系统：战斗失败（闪避失败）,我：卧槽，这qte，666！,系统：qte到达S级解锁，你还差60碎片。,我：卧槽，大招帅爆！！！,系统：系统检测手机卡顿，请设置最低画质。,我：卧槽，这攻击速度！！,系统：连击数251 伤害250,我：卧槽，去打打副本吧,系统：（闪退）,我 崩坏3卸载"
"幽丶鼠","保密","无IP","5237205","6","星座特典","10000","571","","天命总部被打了奥托在干嘛？没错！在教清洁工玩崩崩崩[小电视_赞]"
"亚瑟呆王","保密","无IP","12614043","6","","10000","427","","八重樱：什么时候我也能出一个教学视频？"
"坚果包扎术","保密","无IP","11340889","6","","10000","291","","奥托:新的女舞神是卡莲，时髦，快乐，还能吃，侧滑这次深得我心，那么第一个达成全卡莲收集的人岂不是。。。（被扣上帽子）,八重樱:正是在下！"
"猫沙猫","男","无IP","109003103","6","崩坏3·天穹流星","10000","124","","我终于看到了，我终于看到月下初拥所说的致命武器，她枪斗术中的变化，根本不是在输出，好像是被崩坏上身，整个人都融在快乐里面，那股力量几乎令人智熄。( _ゝ｀)"
"塔姐的小跟班","保密","江苏","100849657","6","洛天依9th生日纪念","10000","24","","有趣"
"被人欺负的夕初QAQ","保密","无IP","180815365","5","","10000","99","","新生补给,月光AAAAAAA,冰卡AABBBBB,鬼铠ABBBABB,女生ABABABA,冰八ABABBAB,次元BBAAAAA,黑鸭BBABBBB,神恩ABBBBBB,紫梵ABABAAB,玫瑰BBBBBBB,炽令BBBBAAB,月轮BBABBAB"
"神奇的八重樱","男","无IP","33303004","6","","10000","173","","爱的原罪～绿的枯萎"
"开团我火速投降","保密","无IP","59442463","6","","10000","94","","我怎么觉得奥托大人每次对于卡莲的讲解都会更清楚一些[芮小凸小凹_绝望]"
