"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"飘丹不会哭","保密","无IP","190942638","6","崩坏3·天穹流星","10000","4463","","好消息：角色池子出了,坏消息：全是渡鸦"
"千元勿","男","无IP","57904607","6","","10000","280","","我快100抽才出阿波尼亚哭了，过年的时候也是天鹅90才出，这两次真的破防了，中间一次都没抽，帕朵也非常想要，但是忍住了。本人零氪党，但是攒了那么久的水最后却只能保底出个人物我真的好难过"
"叹我那未曾点燃的薪火","男","无IP","86867387","6","绯赤艾莉欧","10000","150","","运气最好的一次，一发十连角色（还有七十多发才保底），两发十连精准，每次都俩紫，还没重复的，但有一个歪的圣痕，然后第三发十连补齐了，好家伙当场毕业[妙啊]"
"喵--内","保密","无IP","573965070","5","","10000","7468","","因为奥托死了所以没有奥托[doge]"
"磁爆步兵54","男","无IP","3443416","6","","10000","49","","给阿波尼亚姐姐递弓和面具，哦对了还有木屐[藏狐]"
"锏桧矢","保密","无IP","471129144","5","","10000","101","","mhy我谢谢你，之前抽奶希池子们们没抽出来，剩余28发保底，我11点开服第一发十连出了两个阿波尼亚，我以为我欧了，用剩余16000水抽武器，（过年的时候把我榨干了 ，之后版本喜欢希儿所以又砸了15000水了）剩余16000水第一次出了识宝专武（我三把了），之后又出观星专武（出了武器后终于毕业了），然后又出了莎士比亚漂流下（可是我火鹅毕业了）最后又出了侦仪上（小艾米毕业了）最后我砸锅卖铁出了两个芝诺下，我服了，我想问一下大家我亏了还是赚了，还有，我现在两个芝诺下，需不需要许愿成中位，（我有一套石川）然后肝出亨德尔上下，给阿波尼亚做圣痕下位替代，攒水到周年庆抽出毕业,――――――――来自以为86级舰长的埋怨"
"真城もりたか","男","无IP","67276137","6","2233幻星集","10000","1314","","抽卡前[银杏鎏金_幸运喷雾][银杏鎏金_欧里欧气][欧皇_欧气喷雾][欧皇_脱非入欧][赏樱大会欧皇_中了][赏樱大会欧皇_一发入魂],抽卡后[崩坏3_七][崩坏3_十][崩坏3_米][崩坏3_米][崩坏3_长][崩坏3_刀]"
"沈哥在线","保密","无IP","38423611","6","","10000","1396","","三蹦子又多了一个对手。,就在刚刚，敌人三月七已经出现。"
"五太五德五运五行五岳","男","无IP","286181825","6","","10000","33","3","爱莉希雅好歹还有记忆体留下，奥托，真的只有记忆了"
"千古女帝武则天","保密","无IP","335264317","5","2021拜年纪","10000","5058","","《奥托特别讲堂》[doge]"
"我真的不是兽人控","男","无IP","32799504","6","","10000","141","","坏消息，阿波尼亚没抽到,好消息，下版本律者稳了"
