"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"水神_Marine","保密","无IP","434911691","6","EveOneCat2","10000","38787","","黑化前单挑六核西琳，黑化后硬钢三大组织最强战力，什么叫仙人啊[doge]"
"无限不值一提","男","无IP","12262564","6","","10000","29440","","“琪娅娜，我只能陪你走到这里了”,“班长，憋说了，我不会再信你了”,[doge]"
"Free2Stone","男","无IP","351577060","6","","10000","29107","","把头塞到马桶里也想不到上仙会黑化[笑哭]"
"萌萌的圣骑吃米皮丶踢","女","无IP","51761245","5","","10000","25496","","呆鹅：你..,凯文：到...,板鸭：底....,小兔：是.....,琪亚娜：谁......,,黑虎阿符：大幻灭森罗万象狂气断罪眼!,,许多舰长：???"
"吔饼啦","女","无IP","3506751","6","","10000","22756","","这是羽渡尘暴走吧，每个与符华有关联的人应该都被符华埋下了羽渡尘，也都或多或少受到了羽渡尘形态的上仙的帮助，这也是为什么是这些人受到了黑化阿芙的攻击，而像芽衣德莉莎这些人因为没有被种下羽渡尘，所以没有受到影响"
"失了声的老故事","保密","无IP","375315907","5","","10000","15247","","鸭鸭：驾照回来了，车子没了[捂脸]"
"四勿猴","男","无IP","91511461","6","2233幻星集","10000","12636","","老师：去把这个世界，变成你所期望的样子！,琪亚娜：芽衣没了，我什么都做不到,上仙：我要把世界，变成我所期望的样子！,这波啊，是班长代写作业[歪嘴]"
"王络黎","男","无IP","2042814","6","","10000","12804","","黑虎阿符！！！！"
"Monster-Sir","保密","无IP","86362747","6","2233幻星集","10000","13983","","幽兰戴尔翻跟斗的样子好眼熟[微笑]"
"芙宁娜的守护神","保密","无IP","67006001","6","","10000","10298","","四年前：我们一定要战胜崩坏[奋斗],四年后：我，就是崩坏的化身[OK],只有崩坏才能阻止崩坏，只有律者才能对抗律者，我悟了"
"一抹憨色","男","无IP","32348298","6","hanser","10000","10366","","灰符华挥发会发黑[吃瓜]"
"伏特加の梦","保密","无IP","24505821","6","格兰芬多","10000","12344","","杨·卧起坐（上）：战斗中女武神死亡后复活次数+1 复活后生命上限-30% 恢复所有HP和100sp,符·卧撑（下）：战斗中女武神死亡后复活次数+1 复活后攻击力+50% 受到伤害+50%,两件套技能 反复横跳 战斗中复活次数+1 复活时5s无敌 场上所有敌人受到伤害增加15% 持续5s[滑稽]"
"米游姬","保密","无IP","510189715","6","","10000","11269","","欢迎归来！！！！"
"霞你好脏啊","保密","无IP","288274281","6","赏樱大会欧皇","10000","23418","","版本之子都斜视一笑不用我多说吧"
"嫉妒的魔女莎提拉","男","无IP","830043","6","总之就是非常可爱","10000","39260","","转自舰团群,符华黑化，大杀特杀，理鸭、凯文、呆鹅纷纷陷入苦战，珊瑚岛一片火海,刚刚从冰冻中苏醒的丽塔虚弱地看着眼前狰狞的敌人,“你……你是……”,“怎么，认不出我了吗？艾琳酱，我是你的粉丝啊！”"
"悲风-而泣","男","无IP","12207977","6","进击的冰糖","10000","7705","","谁也没有想到我们寄予厚望的呆鹅倒在了对抗符华的路上（雾"
"布布布狼牙","女","无IP","454801565","6","崩坏3·天穹流星","10000","6207","7","5万年了，世界从未待你温柔过，那就好好放松一下吧"
"寒更承永夜","男","无IP","142797589","6","","10000","3795","4","那个骑摩托的双马尾，你头盔呢？别说那么多，摩托车先给你扣了[doge]"
"艾德尔-AIDEL","保密","无IP","39674891","6","EveOneCat2","10000","7693","","哈哈哈，这动画好甜啊！！！班长不仅与呆鹅和凯文切磋武艺，还和板鸭一起高速竞速，最后还终于和琪亚娜重逢。哇，这简直不要太甜！爱死了！！"
"有着浓密毛发的怪物","保密","无IP","323694446","6","hanser","10000","3491","","好，我看懂了。羽渡尘一直陪在符华身边，看着符华受委屈所以羽渡尘出来全暴揍一顿出气[doge]"
"听丶宇","男","无IP","6620510","6","","10000","182","","I appears the veil of the future, and behold only……oblivion.,我挑开了未来的面纱，却只看到了……湮灭。,,崩坏的到来早有预言,,而人类则奋起反抗,,曾经的造物主要将我们毁灭,,万物的命运  岌岌可危,,En taro Adun!, ,现在就把这个世界变成我想要的样子吧！"
"樱花庄的罪骨银鸦","男","无IP","238286273","6","工作细胞","10000","3421","","天命最强女武神又双叒叕倒了！诶？我为什么要说又双叒叕[崩坏3_路过]"
"云柯i","男","无IP","16561398","6","","10000","1180","","震惊！山区贫困户因常年吃馒头咸菜黑化 竟做出这种事情......"
"忆无殇153","男","无IP","256191253","6","星座系列：双子座","10000","5007","11","感觉可能是羽渡尘的副作用，上仙遗忘的记忆，构成了这个上仙的影子，她的阴暗面——扭转万象[妙啊]（猜中了记得刀我）"
"克哈冲锋队","保密","无IP","171473973","5","#EveOneCat","10000","1156","","啊啊？我上仙酱成反派了？"
"Lobotto","男","无IP","15425767","6","hanser","10000","5256","19","花开花败总归尘，欢迎回来，上仙[hanser_嘤嘤嘤]"
"正则云旗","女","无IP","37420291","6","神楽Mea","10000","1179","","符华：奥托，至少请你亲手给我带上手铐吧，看在一起共事这么多年的情面上。,奥托：明白了。,德丽莎：奥托，你要小心点。,符华：奥托，人类的能力是有极限的，我从这五万年的人生中学到一件事。人越是工于心计，反而越容易陷入意想不到的困境，前功尽弃，除非超越人类。,奥托：什么意思，你在说什么,符华：我不做人了，奥托！我要超越人类！,奥托：羽渡尘！为什么会在你手上,德丽莎：危险！快射杀她！,符华：奥托！就用你的血！！,德丽莎：糟了！！,戳！！！！！！,奥托：卡莲！！！！,[热词系列_知识增加]"
"万羽晓","男","无IP","97730227","6","2021拜年纪活动专属","10000","4128","7","期限已到，恭迎上仙重掌崩坏之巅"
"喜欢符华上仙的江火","女","无IP","28377349","5","","10000","199","","？？？？！！！！！！,我的仙人啊！丹朱！苍玄!立雪！你们都看到了吗！阿符她！终于有自己的动画短篇啦！！！,我喜欢阿符很久了，尽管第一眼我并未对这个配角似的角色产生兴趣。（特别是那个土里土气的红色镜框，我没有对阿符一见钟情一定都是它的错）最开始注意到她是因为加载页面的精卫圣痕，后来就是作为第一个神州角色引起了我的好感。越深入了解这个角色，我就越为之触动，我隔着屏幕看她从一位无名灾后幸存者变成强大孤独的仙人，看她独自一人走过无数个春秋和冬夏，看她不断地得到再失去，看到她逐渐变得千疮百孔却依然在守护神州。,仙人是孤单的，因为她是仙人。即使看见符华和布狼牙一起打游戏我也无法开心太久，我想起了丹朱和苍玄，想起萧云和立雪（程立雪真是我的意难平！阿符永远也不会知道立雪有多爱她！但是那个会怯生生地叫她师傅的孩子已经永远长眠于西伯利亚的积雪下，连名字都不曾被记住...）,阿符她很累了，她看着花开花败，春去秋来，连自己的名字都忘了几回，就让她休息一下吧。,我的笔文很不好，写不出对阿符万分之一的喜爱，但是即使是这样，我也要用腐朽的声音喊出：“符华酱！我是你的粉丝啊！”"
"丿Sky灬冥战将军","男","无IP","303607392","5","","10000","1247","2","羽渡尘没得跑的,上仙律化几率几乎没有,只有一直陪着上仙的羽渡尘有这些记忆,每个和符华有关的保存了羽毛的人,都被袭击了,就看后面怎么让符华苏醒,解决这个问题了"
"柒枫染墨","男","无IP","267681908","6","崩坏3·天穹流星","10000","2896","","黑化强一倍 所以，我不做符华了，奥拓"
"雾屿海怪","男","无IP","1613750","6","少女前线","10000","882","","当年我看到炽翎那一头略微发粉的秀发时，我就意识到事情可能并不简单。果不其然，上仙你竟然是这样的上仙，这粉切黑藏得太深了[辣眼睛]"
"游戏彩笔","男","无IP","1320581","6","","10000","4081","25","歪头笑，我懂了。。[tv_惊吓]"
"笨笨笂_彭博","男","无IP","28021954","6","","10000","949","7","你在教我＿＿？[tv_坏笑]"
"ー只小团雀","保密","无IP","38832798","6","星座特典","10000","2510","4","符华：我发现做人是有极限的[doge]"
"止-","女","无IP","243537553","6","","10000","997","10","新版本内容真的是太劲爆了，正在蹲厕所的我，好激动啊！"
"Miss-Pink-Elf","保密","无IP","180973991","6","原神","10000","1929","8","我将坠入黑暗，暴打所有光明[doge]"
"梦寻星辉","保密","无IP","438333333","6","总之就是非常可爱","10000","1041","","1，呆鹅，凯文，板鸭均受到攻击，并且呆鹅的KING，板鸭的重装小兔受损，老祖情况未知，不过应该不会太好。2，上仙羽渡尘颜色变黑，应该是类似黑化暴走，不过是上仙黑化影响羽渡尘还是羽渡尘黑化影响上仙还不确定。3，官方直播的时候说过上仙会回来，并且剧情还有幼年版本的卡罗尔，但是这个CG很明显上仙是不正常的状态，所以说卡罗尔应该会有作用，可能是和上仙恢复正常有关（官方说卡罗尔会出现，应该不能只是个龙套吧）"
"雪辰沙","保密","无IP","352751792","5","","10000","1940","","上仙掀开了自己的棺材板，并表示她不躺尸了！[doge][doge][doge][doge]"
"符劾驱秽八荒定","保密","无IP","436788780","5","","10000","213","","布洛妮娅:我在量子之海驾照考试中，被老师约阿希姆认可，让我有了我的第一辆摩托车，然而在一次飙车事件中被哪里的警察吊销了驾照。后来瓦尔特教官念我是初犯情有可原，把摩托还给我了。万万没想到，在公路上飙车被当地警察天命发现，执行者符华更是开着火箭抓我，活生生把我心爱的摩托车打爆了。"
"伊莱崔斯特水特","保密","无IP","342198608","6","","10000","829","","其实仔细想想还是合理的。之前呆鹅凯文能够单挑律者的原因不是因为能量比律者大，而是因为战斗技巧更加高明。符华要是律化的话那就是同时拥有了高强度能量和顶级战斗技巧，以前的顶尖战力打不过也是正常"
"一条蛍","保密","无IP","10972609","6","初音未来13周年","10000","2115","8","黑化之后的上仙，归来看到凯文，上来就是一发大幻梦森罗万象狂气断罪眼[doge]"
"韶雎","男","无IP","34721596","6","崩坏：星穹铁道","10000","163","6","你知道这几千年，我是怎么过的吗，我吃了多少年馒头就咸菜，你知道吗,上仙就是带着这样的恶念黑化了。"
"名侦探恩维","男","无IP","22293986","6","干物妹！小埋","10000","2111","","琪亚娜:女王出来救我！,西琳:md我也怕啊！"
"摩托增鸭","男","无IP","123202068","6","泠鸢yousa登门喜鹊","10000","937","4","我以为是：奥托小老弟，俺回来了~,结果是：兄弟姐妹们，快来挨打！"
"是にじか鸭","男","无IP","456620242","5","hanser","10000","2618","7","花开花败总归尘，你抽什么都是沉。,                                           ----符华,[doge][doge][doge][doge]"
"饺子不吃自己","保密","无IP","97062082","6","","10000","647","","请输入变强密码,浮华：？？   我什么都做不到吗？,密码错误,浮华：我什么都做得到！,密码正确，去吧黑虎阿符！,[歪嘴]"
"萌萌的圣骑吃米皮丶踢","女","无IP","51761245","5","","10000","3130","","原神酱，在崩坏大哥面前，你就是个弟弟啊[doge]"
"蒾纞·","保密","无IP","11630201","6","","10000","662","","“过去的种种，结果只有失败。,想要守护的人，也渐渐消散”,上仙你怎么了啊[小电视_哭泣][小电视_哭泣][小电视_哭泣]"
"经验值-ExP","男","无IP","8366184","6","崩坏3·天穹流星","10000","1827","13","符上仙！我是你的粉丝啊！,（飞扑）,顺便期待一下主线新剧情"
"姓糖名糕","女","无IP","18991572","6","异常生物","10000","876","","符华上仙，法力无边"
"芜湖-肉蛋葱鸡","保密","无IP","521431015","2","","10000","2158","","如果上仙有一百万的信徒，,那我就是一百万分之一，,如果上仙只有一个信徒，,那么那个信徒就是我，,如果上仙没有信徒，,那么我就是上仙，,如果上仙不存在，,那么我就不存在，,如果上仙要对抗全世界，,那么我就对抗全世界。"
"终终终终渊派热舞","保密","无IP","101155470","6","","10000","166","","好家伙，凯文惊了，呆鹅瘪了，布洛尼亚倒了，这波是符华杀疯了,还有这个符华反差那么大，太色了[打call]"
"小筲箕","男","无IP","10428132","6","","10000","1388","4","爱酱:由于动画里呆鹅的替身和理律的小兔炸了，游戏里将更改两位女武神的战斗方式，月魄不再拥有替身的一切战斗方式，理律将更改为小拳拳捶胸口。给你带来不便请您谅解，20水麻烦失忆一下[doge]"
