"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"枯祁","保密","江苏","509750147","6","崩坏3·天穹流星","10000","912","14","没意思的支配剧场省流：明年春天/初春有动画短片"
"惘乐","保密","河南","1898768225","4","","10000","295","","补发箱子显然不可能了，希望策划过年时活动多给点福利"
"朝桦熙时","保密","重庆","360748881","5","","10000","200","","49:00左右，帆船讲解终章已过1/2，明年春天有动画短片[崩坏3·光辉矢愿_比心]"
"良京明云氏","男","陕西","40290899","6","hanser","10000","180","10","月卡到期了，崩三先放了，等铁道和zzz。"
"肆宇","保密","吉林","383566652","5","","10000","21","","动画好耶[给心心]"
"短道速滑乆乆人","男","未知","370065260","6","原神","10000","43","","之前常规乐土角色一直有在送圣痕箱子，这次超鸭算是律者，没直接送算是情理之中。,但玩家只会觉得是mhy欠的，期待值管理显然是失败了……"
"第九有糖","保密","新疆","394525320","5","","10000","91","","我担忧的不是这一个骨灰盒，而是一年都没出过得a级角色，是连续出的累消池子，是策划正一步步试探玩家底线的各种操作，不争取回这一个骨灰盒，那我们的福利只会越来越少。拒抽真理，从我做起。"
"夏娜のメロンパン","男","浙江","497008827","6","初音未来13周年","10000","157","","鸭子的装甲我必第一时间抽。,但是，先不提主线剧情，刚发的宣传短篇做的跟PPT一样，美工也开摆了？鸭鸭新装甲pv不配动画化？,之后就是主线，都说崩坏三剧情优秀，确实是，从《最后一课》开始起飞到《薪炎永燃》达到顶峰，再到柯洛斯滕篇完美刻画了奥托主教，揭示幽兰戴尔真琪身份，再到又一次顶峰《永世乐土》。你再看看《真理交响》，我就四个字：议托答辩[微笑]"
"就好般","保密","广东","616450037","5","工作细胞","10000","158","10","首先我感觉崩坏三的美术质量不如以前了，这说明以前的美术大佬都去了别的项目，剩下的就是一些刚入职的萌新来抄刀崩坏三的项目了，另外我感觉最近策划是不是有点变味了，完全不考虑老玩家的感受了，我希望崩坏三不要整出那么多幺蛾子，好好做游戏不行吗？把老玩家赶跑了没有意义的"
"千人律者莉莉","保密","四川","24752912","6","","10000","6","","问个问题，活动不是黄金庭院对圣芙蕾雅么？,那班长……是哪一边的？"
"思诺登snow","保密","福建","424206786","5","","10000","43","","以后有没有真空之律者，真雷之律者，真薪炎之律者，真人之律者[呲牙]"
"寒夜银星","保密","河北","522765189","4","","10000","34","","上次见到这么热情的评论区还是在4.7-4.9[无语],我不反对你们冲官方，但请把握好度，哪怕多点正常讨论剧情的[笑哭],至于“不冲官方就是x子”的“老玩家”，复制粘贴狂刷评论的，还有某些非人生物，只能说好自为之[微笑][OK]"
"丶DSJK","保密","黑龙江","43398954","6","","10000","8","","其实我早就是纯剧情人了（刘路音）[吃瓜],之前这边崩三那边DNF，两边策划可真是够折磨人的[笑哭][笑哭][笑哭]"
"老菜逼鑫哥","保密","浙江","646431042","5","","10000","7","","来的早，先说几句,1.其实我个人对箱子无所谓，但是就是看不惯ch一步一步试探玩家底线。,2.与其到动画短篇等地方刷，还不如在官号下面组织大家停氪，毕竟ch看中的是流水。,3.这次别冲歪了，把真真正正的问题提出来。,那些拐角色的，很难不怀疑是ch小号拱火[吃瓜],（转）注：个人认为比起停氪，降低日活更加有用"
"jwljz1739","保密","河北","260888803","3","","10000","38","16","三年前入的坑，,本想陪伴她们到最后，,没想到啊，没想到，,我在此立下声明：在崩三没有发出任何回应声明之前，我将绝不会回到游戏，超过三个月直接融号。"
"开心的琳芙斯","男","四川","20918170","6","崩坏3·天穹流星","10000","2","11","鸭子大概率不抽，也不是因为箱子什么的，主要是鸭子不符合xp，估计后面芽衣和虫虫还是会抽的，就看设计怎么样了，动画还是期待一波。,这次剧情其他还好，塞名词又不是一次两次了，就是羽兔的剧情让我觉得头疼，总有种梦回冰律的感觉，也不是说剧情不好...反正不喜欢羽兔，就像以前讨厌冰律那两个人一样[崩坏3·光辉矢愿_吃西瓜冰]"
"解放ForTheMasses","保密","四川","25818042","6","格兰芬多","10000","18","10","其实机甲质量还是很顶的，还特地做了个游戏内操作UI。但是只抽得起角色吧大概。,,剧情方面其实质量在线的，33章五个小时，与31章六个多小时也有的一拼了。而32章四个小时，间章圣痕计划2个小时，制作组对丫丫还是用心了的。人民史观，辩证mlm也是加分项。相比于克罗斯疼剧情是有很大进步，保持在及格线上。,,真正的问题就是『第一部』快结束了，流水想要捞一把，所以之前做过的承诺都打水漂了，这事儿以后肯定也还会发生。至于崩坏三第一部的结局怎么样，那就不知道了……,,可以肯定的是米哈游并不打算放弃崩坏三这个IP并做好了长线运营的准备。所以才会出现所谓的『第一部』，之后大概率还会有『第二部』『第n部』，直到主线做不下去。,,PS：米哈游的营收一直是一个谜，除了游戏内流水，网店收入也是不可忽视的一方面，所以不仅要“封锁”米哈游的uu们不仅要停氪，还得停买[墨镜]"
"童磨想食了黑死牟","保密","四川","73449268","5","","10000","8","","不懂就问，米哈游一定很喜欢普奇神父吧？,为什么这么说,因为他很喜欢made in schoolmate啊[呲牙],（学长制造）,因为他觉得我们这些崩坏三玩家一定已经有着“觉悟者恒幸福”的观念，指玩了这个游戏就已经抱着可以随意被糟蹋和挑战底线，不做好这个觉悟是米哈游可是不喜欢的哦[呲牙]"
"阿鹅莫多","男","河南","560029630","6","","10000","12","","玩原神之后近期才入坑的崩三，感觉真的是不行，新手任务及各种活动真的难顶，不做的话又会亏很多东西，还有画面问题，感觉除了角色真的好糙啊，不说多好了，至少让人看着舒服一点，并不是每个人都有pc设备，我手机最高画质也是感觉光污染严重，也不知道其他玩家对画面有什么感觉，真就打起来各种粗糙，我文化程度也不高，找不到更贴切的形容词了，还有，对于新手来说，东西真的太多太乱了，支持我玩下去的动力就只有我的爱莉希雅了[热]"
"绯想缘起","保密","江苏","437734552","5","","10000","20","","我算是剧情党，策划虽然经常骂（其实不是很在意，别人骂我也跟着骂几句）。但编剧呢，我自从柯洛斯滕就在等姐妹相认，一家团聚。下个版本齐格飞和德莉莎一起都出来了，我希望编剧让呆鹅口中的“正确的时机”快点到。我想看大团圆。"
"夏娜のメロンパン","男","浙江","497008827","6","初音未来13周年","10000","157","","鸭子的装甲我必第一时间抽。,但是，先不提主线剧情，刚发的宣传短篇做的跟PPT一样，美工也开摆了？鸭鸭新装甲pv不配动画化？,之后就是主线，都说崩坏三剧情优秀，确实是，从《最后一课》开始起飞到《薪炎永燃》达到顶峰，再到柯洛斯滕篇完美刻画了奥托主教，揭示幽兰戴尔真琪身份，再到又一次顶峰《永世乐土》。你再看看《真理交响》，我就四个字：议托答辩[微笑]"
"冰霜可可","保密","未知","1565197173","5","","10000","141","","00:00 蒸蒸日上,,21:05 兑换码"
"南方监狱の杰斯顿","保密","安徽","3493085193439686","3","","10000","125","","其实……一边骂着蒸一边狠狠地给ch送W是没用的，隔壁狗卡蒸了多少年了？不还没寄吗？依我看，退游，减日活，减流水才是最有用的。嘴上说不要，身体很诚实只会让ch越来越兴奋……"
"灬星殒丶丿","男","福建","108223521","6","","10000","121","","一同加入0氪党[嗑瓜子]xx角色没有打不过怎么办，没事，摆；装备经典4缺1怎么办，没事，摆；又出新神之键，老装备被顶掉了怎么办，没事，摆。0氪党，玩游戏，无压力。[嗑瓜子]期待你的加入"
"七月三Leer","男","云南","21490735","6","","10000","107","8","so，ch，fxxk you,, ╰[微笑]╮,    ╭┴╮"
"秋野和则","保密","安徽","37660322","6","","10000","97","","大概是知道老玩家不可能在第一部主线完结前退坑所以随便搞搞是吧[打call]美工都能退步我是真的没想到的[思考]"
"第九有糖","保密","新疆","394525320","5","","10000","91","","我担忧的不是这一个骨灰盒，而是一年都没出过得a级角色，是连续出的累消池子，是策划正一步步试探玩家底线的各种操作，不争取回这一个骨灰盒，那我们的福利只会越来越少。拒抽真理，从我做起。"
"Iwato","保密","四川","309922278","6","","10000","90","","我们的游戏正在蒸蒸日上"
"絮月喵","保密","河南","513798784","5","初音未来13周年","10000","89","","自选箱"
"雨伞茄和","保密","内蒙古","477074076","5","","10000","77","10","ch:粉骨碎身浑不怕，不留箱子在人间"
"来世愿为画中人","男","陕西","91236283","5","","10000","72","","希望喊停氪真的停氪，别只是说说！！总是喊着停氪，崩三流水别说跌了 有时候反而喊涨了，要么就是没多大变化！！！这样搞，喊得声音再大有毛用！！！"
"麟劫黑欲","保密","河北","550275061","5","","10000","58","","省流：YSPRYS3AKN8P"
"布洛妮娅を愛してる","男","福建","20785072","6","良辰美景·不问天","10000","57","7","帆船，实乃千金之躯也，娇贵如斯，虽一朝毁千日IP于其手，仍不可责之一言矣，凡言必究，寻而删之，谓之“违反协议”矣[崩坏学园2_白眼], , , , , , , ,爱酱你欠我的手办用什么还,爷是催鸭鸭比例手办小助手，快来和我一起刀爱酱8,你一刀~我一刀~,让爱酱下条动态就是出鸭鸭比↗例↘手↗办↘,[崩坏学园2_白眼][崩坏学园2_白眼][崩坏学园2_白眼][崩坏学园2_白眼][崩坏学园2_白眼][崩坏学园2_白眼][崩坏学园2_白眼]"
"蓟夜狩","保密","广东","557019114","5","","10000","50","","一位玩家抱怨道：“这种游戏真差劲儿！！！！！”结果被爱酱听到而被关进小黑屋。,玩家辩解说：“我根本没讲是哪个游戏，你怎么可以随便逮捕我呢？”,“你少骗人，”爱酱咆哮道：“我在这里工作几年了，哪一个游戏差劲儿我不会知道吗？”"
"-大川-","男","山东","23243125","6","","10000","49","","我的评价是人物设计不及理之律者的十分之一，没有当初赛博天使的惊艳感"
"光之创造神110","保密","安徽","323656381","5","星座系列：白羊座","10000","49","","玩了3年的纯剧情玩家，根本不知道自选箱是啥[笑哭]看节奏一边一脸懵逼一边感叹自己的咸鱼，第一次如此真实的感觉人与人的悲喜并不相通[喜极而泣]，不过我觉得吧玩游戏不就图个开心吗[呲牙]，所以我玩到让我感动开心的好剧情就充点，因为让我开心了，是我的回报。其他都挺无所谓，所以心态很好，不过其他人冲我也支持，毕竟是让你们不开心了，但我还是希望在如今压力这么大的时代，别再给自己找不开心了（感觉很有道理 就复制了 ）"
"原图馆","保密","河南","349394738","5","","10000","49","","崩坏三的ch名字叫徐东阳"
"念亦忘","男","浙江","508681631","5","","10000","48","","1掏出支配律者的核心:人类，都是失败者,2装备天火大剑，3夺取律者权能,对准ch，就你说崩坏三以后一定会好起来的？？？？"
"夜闯秋名山_","保密","湖北","358344728","5","","10000","45","","草莓小哥暗示下版本是答辩，不要氪金"
"思诺登snow","保密","福建","424206786","5","","10000","43","","以后有没有真空之律者，真雷之律者，真薪炎之律者，真人之律者[呲牙]"
"短道速滑乆乆人","男","未知","370065260","6","原神","10000","43","","之前常规乐土角色一直有在送圣痕箱子，这次超鸭算是律者，没直接送算是情理之中。,但玩家只会觉得是mhy欠的，期待值管理显然是失败了……"
"仙剑灵魂淡","保密","辽宁","288747790","6","hanser","10000","39","6","我玩了一千多天崩坏3，半年前我有一个朋友入坑人家刚上81级，跟我一起抽律者爱莉的时候我90抽出的，结果没水晶抽武器圣痕，一共花了30000多水晶，人家十发就出了现在毕业了，他现在账号比我的都强，同样都没充钱（我还没少充之前，加起来得1000多了），我玩了3,4年，人家就玩了半年，结果我现在深渊乐土什么的都没他打的容易，合着之前那几年抽的角色根本用不上，什么东西我曾经我攒了几个月抽出来的角色人家直接免费送，我真就不能理解我原先天天玩这个游戏养账号有什么意义"
"jwljz1739","保密","河北","260888803","3","","10000","38","16","三年前入的坑，,本想陪伴她们到最后，,没想到啊，没想到，,我在此立下声明：在崩三没有发出任何回应声明之前，我将绝不会回到游戏，超过三个月直接融号。"
"无敌的奥加曼","保密","广西","352267592","5","","10000","38","","这边给ch一个思路，出一个国家文化系列，我帮你想好了琪亚娜——「蜀面豪杰」可以靠变脸切换形态，你直接买2000块"
"寒夜银星","保密","河北","522765189","4","","10000","34","","上次见到这么热情的评论区还是在4.7-4.9[无语],我不反对你们冲官方，但请把握好度，哪怕多点正常讨论剧情的[笑哭],至于“不冲官方就是x子”的“老玩家”，复制粘贴狂刷评论的，还有某些非人生物，只能说好自为之[微笑][OK]"
"灰渐黑","男","重庆","87655947","6","","10000","34","","美工和剧情都烂了就是真烂了"
"徐翻山x","保密","四川","313904327","5","","10000","33","","最难绷的是活动剧情爱衣的那句“崩坏三以后会越来越好”结果活动都没结束，ch就拉了坨大的，乐"
"真踏马的烦","男","山东","527698852","5","","10000","30","","各位，别搞日活了吧，咱这些老玩家不缺那点材料"
"爱莉酱可爱","保密","江西","347131857","5","","10000","30","7","感觉原三蹦子制作组只剩ch还在了，这美术风格真大不如从前了，希望爱莉皮别让我失望了"
"快乐毒经在这里","女","黑龙江","312213528","5","","10000","30","","[露早GOGO_偶像包袱]奉劝各位舰长不满意的话新版本赶紧停氪，米桑这手试探玩家底线的操作不是一次两次了，不满意就说出来，就停氪，不反抗还会有下次下下次，不然他总爱蹬鼻子上脸。,给游戏充钱干嘛还给人当孙子，大伙都硬气点啊"
"这个人zhegerem","男","甘肃","502946300","6","","10000","29","","之前以为鸭鸭剧情吃瘪是剧情要求，现在看来完全是ch不重视是吧"
"刘皓天OVER","男","广西","35767975","6","","10000","27","","箱子你留着装自己哈[奥比岛_委屈][奥比岛_委屈][奥比岛_委屈]"
"_っ","男","韩国","34269538","6","崩坏：星穹铁道","10000","26","","为什么不直接发收款码，是希望我用烧的吗[脱单doge]"
"三三分身","保密","河南","181500210","5","","10000","25","","到最后也不给箱子也就算了，开个池子都跳出来嘲讽玩家了是吧？一个池子里五套圣痕，一套亨德尔肝物，三套半价圣痕是吧？而且三套圣痕亨德尔，拉格纳，次生银翼都送过圣痕自选箱是吧，你咋不把剩下的那一套圣痕也换成v2v的圣痕？那样圣痕自选箱就齐了捏，欧对不起，v2v才出了多久，怎么能配合这些老古董放在一起？想嘲讽玩家就直接在公告上说，不用放在池子里，恶心人→_→[崩坏3·光辉矢愿_擦地],[崩坏3·光辉矢愿_瞄准][崩坏3·光辉矢愿_策划][崩坏3·光辉矢愿_编剧][崩坏3·光辉矢愿_大伟哥][崩坏3·光辉矢愿_up主]"
"若若若若亦","保密","广东","444477410","5","","10000","24","","不喜欢可以直接开骂，没必要划走"
"PEkA抄梦","保密","湖南","239876888","6","hanser","10000","24","","讲真的，测试服有什么用处吗？v1看机制，v2小调整，然后V3给你直接换个机制…。30增伤改55普攻伤害这个是可以随便改的吗？这种不合理的调整是怎么做出来的？建议查查那位数值策划是不是收了别家的钱吧"
"新学期干饭战士","保密","河北","454696287","5","罗小黑战记","10000","22","10","我们以前村里有个小孩，傻傻的，没怎么读过书，数字只会1到4，超过4的就会在后面加个的符号。一天，村头搬来了一户人家，跟我们村的傻小孩一样年龄，姓策，单名一个滑，有天傍晚，他们在玩转圈圈，看谁的圈数最多，谁就赢，傻小孩只转了两圈，村头那个小孩转了五圈。赢了，傻小孩一边哭一边闹，嘴里还大喊着：策滑四圈了！策滑四圈了！"
"幻游绮梦","男","云南","339102134","6","崩坏3·天穹流星","10000","21","5","越来越玩不动了，这游戏，从三年多全勤到现在一星期上线一两次，活动越来越复杂，各种地图，看见都不想跑，以前还很期待剧情，毕竟没有开放世界，现在动不动新剧情跑图跑一半多时间，完全没时间玩，现在干脆连体验剧情也放弃了，那个每周上次的开放世界委托，没有加速券是完全不想去弄啊，活动不想做，越来越复杂，一进界面一堆选项（还有那个主线剧情），我是真的越来越看不懂了。。。。。。可能是成为了社畜的原因吧，当初那个让我感动的崩坏3我已经体会不到最初的心情了，我还是接着摆烂吧，剧情，活动，只能说随缘了[崩坏3·光辉矢愿_安详][崩坏3·光辉矢愿_安详][崩坏3·光辉矢愿_安详]"
"探测制导本科生找工作","保密","陕西","1980416906","5","","10000","21","","你是真不想干了是吧？说实话真理骗氪减福利先不说，这角色除了布洛尼亚和机甲之外在我眼里就没啥亮点了。"
"崇高道德的赞杵","保密","江苏","431241757","5","","10000","21","","剧情晦涩，卖弄意义不明的知识，主题完全没有上升，依旧老套。演出拉胯，制作赶工就放出来糊弄，还把奖励扣了，下次是不是还要把装备拥有数量调成负的？第一次抽到还得还你第二次抽到才能使用？我觉得你确实干的出来"
"肆宇","保密","吉林","383566652","5","","10000","21","","动画好耶[给心心]"
"天元寒帝","男","江苏","262277141","6","","10000","21","10","玩家要箱子的根本原因，你心里没点ac数？还不是你那b池子毒的歪到姥姥了[微笑]"
"取个好名字那么难","男","河南","172811284","6","","10000","21","","我箱子那？"
"绯想缘起","保密","江苏","437734552","5","","10000","20","","我算是剧情党，策划虽然经常骂（其实不是很在意，别人骂我也跟着骂几句）。但编剧呢，我自从柯洛斯滕就在等姐妹相认，一家团聚。下个版本齐格飞和德莉莎一起都出来了，我希望编剧让呆鹅口中的“正确的时机”快点到。我想看大团圆。"
"五胞胎凝视","保密","福建","457690227","5","","10000","20","","崩啊，我在2房说ch逆天，但是游戏本身其实挺牛的，差点被乐子人冲了，你这不得负全责[阴险]"
"百里凌墨","男","广东","5105575","6","2021拜年纪活动专属","10000","19","","等春节版本[妙啊]"
"解放ForTheMasses","保密","四川","25818042","6","格兰芬多","10000","18","10","其实机甲质量还是很顶的，还特地做了个游戏内操作UI。但是只抽得起角色吧大概。,,剧情方面其实质量在线的，33章五个小时，与31章六个多小时也有的一拼了。而32章四个小时，间章圣痕计划2个小时，制作组对丫丫还是用心了的。人民史观，辩证mlm也是加分项。相比于克罗斯疼剧情是有很大进步，保持在及格线上。,,真正的问题就是『第一部』快结束了，流水想要捞一把，所以之前做过的承诺都打水漂了，这事儿以后肯定也还会发生。至于崩坏三第一部的结局怎么样，那就不知道了……,,可以肯定的是米哈游并不打算放弃崩坏三这个IP并做好了长线运营的准备。所以才会出现所谓的『第一部』，之后大概率还会有『第二部』『第n部』，直到主线做不下去。,,PS：米哈游的营收一直是一个谜，除了游戏内流水，网店收入也是不可忽视的一方面，所以不仅要“封锁”米哈游的uu们不仅要停氪，还得停买[墨镜]"
"周不骚","男","未知","394054670","5","","10000","18","","游戏难了，福利少了，“玩家”急了,有什么事儿不看未来只看现在，或成小丑或成神话，难说,,,,,,,,,,,,,,数英雄,论成败,古今谁能说明白,千秋功罪任..."
"浅兮无衣","男","湖南","95084842","6","碧蓝航线","10000","18","","无所谓啦，我就是已经从强度党变成剧情党了，大半年没给崩三充过钱，有这钱我不如去买个π的通行证，等到剧情完结，我直接退游"
"逆熵der盟主Wlt","男","黑龙江","122053934","6","崩坏3·天穹流星","10000","18","8","哈哈哈哈，支配剧场不定期连着五期？我永远忘不了崩三周年庆的30分钟。。。"
"不想变胖的追","男","山东","327363454","6","C酱です","10000","17","","7天登录领120水晶真没绷住"
"给你亿蕉","保密","河南","1619328220","4","","10000","17","","各位舰长晚上好？请问你原神火起来以后你眼里还有我们这个舰长吗？"
"万物不及张可爱","保密","广西","273255837","6","","10000","17","","很喜欢爱酱说的一句话，BBB一定会越来越好[大笑]"
"川辰露","男","江苏","258891980","6","","10000","17","","★「其时已至」,「圣痕自选箱」，是一种要通过「消失」来印证「存在」的事物。现在的舰长……比过去所有的清洁工都更强大。,（仅针对自选箱，别冲歪了[脱单doge]）"
"__山丘__","男","湖南","33193025","6","","10000","17","","骨灰盒还是自选箱，选吧"
"千寻梦落","男","江苏","47144239","5","","10000","16","","省流助手：,这次没有内容，自选箱被策划拿去装骨灰了"
"花_念海","保密","重庆","80031415","6","","10000","15","","《逼氪3》——点燃测话PUA玩家之魂！,,3D全视角「卡顿发热卡进度」开放世界地图、无限可能的「S级角色连发」，酣畅淋漓的超强「数值膨胀」感…… 打造次世代氪金抽卡抗压提纯游戏！,,扣人心弦的「歪卡」故事、沉浸感十足的「许多舰长」、豪华的全方位补给阵容：「家园补给」「扩充补给」「精准补给」「服装补给」「活动补给」「天命武库」「火力补给」，以及最重量级的「打十二折」的「蒸理之律者」补给，更会让你感受到前所未有的代入感！,,与强度保质期「越来越短」的女武神们「短暂相处」，用完就过气，她们爆出的「水晶」将会成为你「抽卡全歪吃保底」的力量！,,休伯利安号「氪金系统」已准备就绪，正在处理「付款请求」…校验完毕！,,全舰听令，「蓝绿APP」解锁，「充值引擎」开始输送高浓度能量，「出货」倒计时10,9,8…,,「珍贵」的「永寂之赫勒尔」on the bridge！！！,,从今天起，你就是我们的「ATM」了。,,请和我们一起，为「MHY钱包的美好」而战吧！"
"猪猪也会fly","保密","湖北","1176004566","4","","10000","15","","我先来 箱子呢"
"玖珂-_无色","男","山西","701193314","5","洛天依9th生日纪念","10000","14","","我是点赞哥，点赞我增加攻击力,みはよ，にまますら"
"Griny_39","男","江苏","511569213","5","","10000","13","","很棒，新玩家入坑了大多难以坚持玩下去，老玩家心寒的持续退坑或者摆烂，我们的游戏正在蒸蒸日上[星星眼]"
