"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"小不点不晓","男","四川","513207733","5","崩坏：星穹铁道","10000","412","","怎么样做好一个游戏？帆船有一段话说的很实在，只有你把自己业务内的事情吃透了，和其他部门碰撞才会有火花。我依稀记得当年原神吸血崩坏三的时候，大部分玩家基本上都是反对的，觉得刘和蔡太过豪赌了，万一把崩坏三培进去，崩坏IP可以说就有可能是万劫不复，公司也可能因为一直拆东墙补西墙亏钱而会因为这个大失血，但是现在已经告诉了我们，米哈游是赌对了，这里不禁感叹我爸的一句话，要是我们这边的人钻钱眼不那么严重，有一定的格局和远见之名，如果没有内卷，没有恶性竞争，如果不是赚钱第一质量第二，格局第三，而是先考虑自己怎么做好再赚钱，那么我们这边的人过得可能比现在还要好，当年我爸就是反其道而行之在土方方面就干的是比我舅舅还突出，因为当年很多人也劝我爸不要来新疆发展，还不如在江苏吃老本，去新疆发展投资亏钱得不偿失，我爸压根就没听他们的，他说那就当挫败我的傲气，花钱买教训得了，结果我爸成功了，我爸说那时候的新疆是个淘金的地方，只不过就是看你有没有这个能力淘这个金，也没人告诉你什么地方赚钱什么地方避雷，这么想想其实米哈游也是如此，所以不得不感叹要是我们这边的人做游戏都是这个格局和远见，对一个自己有把握的IP敢投资，那么我们这边的游戏动漫甚至很多地方绝对比现在强了，只可惜就这么简单的问题，放在现在也是幻想时间，毕竟让现在的人先不求回报把产品做好再谈赚钱和不要恶性竞争等有些问题就很难实现"
"空の傍晚","男","福建","826149","6","","10000","420","","按照这次前瞻直播说的我还是比较期待第二部剧情的。,Reburn: II的剧情很明显是后崩坏书结束之后，星穹铁道开始之前的故事，而出现在卡罗尔回忆里的那个女孩到目前为止好像没有任何有关的信息。,这次前瞻直播又说了整个崩三组其实是会做很长远的规划，而剧情同样，还说了第二部的剧情会回收第一部和后崩坏书还有其他地方的一些伏笔，这是真的让人很期待9月16号还是23号的前瞻直播。,同时也很期待第二部主线剧情的发展，一个新的文明体系，新的文明字体，新的主角团队，帆船老师还说到时候就知道嘉年华那四个字是什么意思了，接着上面的会回收伏笔，新，但是不全是新，肯定会有第一部和后崩坏书的东西。"
"y也四","男","福建","64717055","6","原神","10000","222","11","换主角团几乎是必然的，我们的故事从开始就不过是见证这些女孩子们的成长的过程，而如今她们已经完成了蜕变，也是时候告别这个陪伴了青春岁月的故事主角了。（总不能跟崩二一样团灭轮回一次）,只希望在新的篇章里还能看到老角色们串场，不要一直查无此人就行"
"MMSHW","保密","山西","1663233050","4","","10000","842","","祝出货，还有SAPQ7BYQY7FX别忘了"
"カセイ-Kasei","男","广东","4069050","6","","10000","107","10","米哈游内部真的和谐。,崩三项目组：隔壁开发了一套可以把弹幕性能占用率减低99%的程序，我们去问一下吧。,原神项目组：你们这个问题很好解决，换引擎版本就好，但既然换引擎，只做弹幕有些浪费，想不想做点更酷的东西？,至此，崩三第二部，底层全面更换升级，确定下来了。,[tv_doge]"
"正在前往欧洲","男","上海","12546620","6","","10000","111","","新主角团会有阵痛和观众或玩家感情衔接不上的问题也很正常，这点怎么处理依旧是看编剧的本事。,在这个编剧普遍写大写嗨后就不会收尾的年代，崩三第一部如果能在这个水平线上彻底完结也不是不可以，写得开也要收得住，但坑该填还得填。,至于第二部，因为我个人对崩三的新故事发展能力倒是不担心，只要新的主角团能写出东西写出感情，那么等到若干年后他们在mhy游戏宇宙中和初代主角团见面时玩家肯定更多的是感慨之情。"
"Madoka爱吃馒头卡","男","上海","1795419753","4","崩坏3·天穹流星","10000","328","15","看到评论区有许多舰长对崩三第二部表示出担忧，担心第二部换主角团会写不好，其实我是可以理解的。纵观崩三这两年，我觉得崩三一直在赌。,2021年，崩三爆发了tnl节奏，节奏之火烧了整整三个月，官方将所有的希望寄托在《薪炎永燃》上，如果赌成功了，那便好；如果失败了，崩三彻底凉凉。结果是崩三赌赢了。这是一场豪赌。,2022年，崩三利用一年的时间来写往世乐土，来塑造十三位英桀，一年的时间，来塑造十三个人，这是不可想象的。如果赌赢了，那便好；如果失败了，那这一年剧情就是流水账，是失败的。当然结果想必大家都很清楚，爱门永存人心，今天的崩坏三是无敌的！他又一次赌赢了。,2023年，崩坏三准备重写底层代码，开启第二部，开启全新的篇章。这又是一场豪赌。如果赌输了，不仅仅新玩家不会来玩，老玩家也会大量流失；如果赌赢了，崩天帝将开启他的第二世。,我是2019年入坑的崩三，肯定不如开服老玩家情感深，但也算是跟着这个游戏经历了种种喜悦与悲伤，我可以从这游戏中看到这个游戏公司对他的情感，所以这一次，我选择再一次相信他，相信他再一次创造辉煌。"
"小浩B","保密","广东","94517321","6","总之就是非常可爱","10000","31","","懂了，上半部是七人苦战薇塔，下半部是七个薇塔苦战符华，战力一目了然了吧（）[崩坏：星穹铁道_吃瓜ing][tv_doge]"
"新生态好看","男","山东","606659822","5","","10000","2","","要我说的话最好还是换一个主角团，你想一想，主角团一直保持在第二部会出什么事宝可梦就已经用他的经验告诉我们了一直出下去人设迟早得崩，你很强的，要想接着出下去，必须得改设定，又得改一些别的东西，反而会更大。这么说吧，老角色其实一直出下去，反而比创造新故事更难，因为你老角色没有固定的思路了，要是出点小问题那可比创造新角色还大我可梦现在总算是想清楚换代主权之后呢，想法就比之前好太多了，毕竟没有老角色可以有更多之前想加入，但是只能加入在路人角色身上，却不能加在主角身上因为他的换已经行了，这就是它的一个优势，不要觉得这是个缺点好不好？我们有的时候也该学学主角团，他们已经因为过去的事情沉寂过，但最终选择走出去，走出了这个巧克力门，也走出了这个大结局。那我们要是还保持着他们过去的那个这个样子，岂不是违背了他们最开始的想法吗？我们要往前走，不能像剧情前中期一样停留在那个巧克力门前，教会我到底不应该是停在这个门前要向前努力相信主编剧给我们的描写吧，希望崩坏三能继续向下走下去，我希望我们能见证崩坏四的到来"
"AI课代表呀","男","浙江","1168527940","4","实验品家庭","10000","2","","AI课代表的笔记：视频介绍了《崩坏3》6.9版本的内容情报，包括新增角色希林的技能和必杀技，以及舰长可以兑换奇迹魔法少女角色卡和角色碎片。主线40章开启全新冒险，《弗洛斯的陌生城邦》成为新地图。还展示了角色皮肤设计和boss战的创作过程，以及背后的团队努力和创新。最后，视频提醒观众该版本即将结束，展望未来版本。 ,,- 0:00 前瞻特别节目,- 5:58 新版本角色希林,- 11:57 探索机制和地图玩法,- 17:57 Bronya手办和联动PV,- 23:56 服装规划和角色设计,- 29:53 角色设计和剧情叙事,- 35:53 怪物设计的交互性,- 41:54 制作boss的设计过程,- 47:51 团队升级引擎的过程,- 53:53 第二部故事爆料,,本内容由AI课代表自动生成，关注并 @AI课代表呀 总结其它视频吧~（课代表认为本视频是精品，主动前来分享）"
