"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"丰饶星神-药师","男","无IP","351735029","5","原神","10000","11173","","好，在此之前，我们已经做过了许多优秀的动画短片，而现在是时候了，让我们公布下一个动画短片的主角,,这是一位德高望重的长辈培养了众多优秀人才,,德莉莎神色平静,,这是一位功成名就的领导，不但在对抗崩坏时取得了众多卓越成果，更深知人类最大的敌人并非崩坏而在人心，因此在人民危难时带领众人反抗暴君,,德莉莎眉毛微跳,,这是一位犯过错的阿波卡利斯，众人对其的评价褒贬不一，但是终究在簇拥下成为了主教,,德莉莎站了起来,,现在让我们掌声有请，下一任动画短片的主角———————我们的老朋友，奥托阿波卡利斯先生！[藏狐]"
"御用沙包包包包","保密","无IP","53946544","6","乐正绫五周年生日","10000","3122","","人和树一样，他愈求升到高处和光明，他的根愈往下扎，向黑暗，向深处，向罪恶。,——尼采《查拉图斯特拉如是说》"
"映炎羽尘","男","无IP","335267629","6","","10000","1747","","主线看完了,奥托其实根本没有想毁灭世界回到500年前,一切都是一场苦肉戏罢了,奥托与虚数之神达成交易之后,获得了神无限的力量与智慧,但同时也成为了神的奴隶,这时他发现即使这样,他想要复活卡莲,依旧需要空之律者的能力(简单原理就是,一切都有无限和有限之分,复活卡莲需要在一个特定的地点和无限的能量,后者是无法完成的,但空之律者的能力有可能扭曲空间,把这个地点传送到一个有限能量的地方,这样就可以轻而易举的复活卡莲),但戏剧性的是,当他意识到这一点时,琪亚娜早已对他恨之入骨,对于一个几乎不可能的请求,琪亚娜绝无答应他的可能,于是,他费劲千辛万苦,创造了这样一个剧场,把琪亚娜们之外的人排开在外,安排长光""反水"",并在最后关头,告诉琪亚娜""战胜奥托的方法"",在拥有伪神级别无限的全能时落下他最后一场表演的帷幕,以恨的名义激发琪亚娜的力量,让她创造扭曲无限为有限的奇迹,破解了奥托无限权能的同时,让复活卡莲变得可能,自己500年的人生终会落幕,但卡莲新生命新的旅途将会开始"
"路鸣泽-小魔鬼","保密","河北","353259815","6","hanser","10000","21","","前来为主教大人扫墓（"
"黎明前兆","男","无IP","21939609","6","","10000","554","10","26章主线：悲剧的诞生,27章主线：愚者的黄昏,28章主线：意志的彼岸,动画短片：阿波卡利斯如是说,都是化用尼采的著作：《悲剧的诞生》、《偶像的黄昏》、《善恶的彼岸》、《查拉图斯特拉如是说》,这一次，他要化身为真正的“超人”，去跨越善恶和生死，直达他人生的彼岸，期待奥托的落幕演出。"
"次元の梦幻","男","无IP","99050932","5","灵笼","10000","806","","看到预告片，我有几个让我惊讶和惊喜的地方：,1.奥托落幕了，以这样一种方式，结束了500年的流浪史。奥托这个角色塑造的很好，他的人生虽注定是个悲剧，但却能打动所有人。从愤怒到不舍，有多少位舰长希望奥托再活久一点？（虽然他也造成了众多悲剧）,2.奥托没在众人的咒骂中离开，而是在舰长们的不舍中奔向最终归宿。,3.虽说是反派，但是我很高兴他能拥有自己的动画短片，你说是不是呀德莉莎？,4.是不是只有我注意到了又有一首可以一直单曲循环歌了？[脸红]"
"西哲半吊子爱双标","保密","无IP","551350747","5","","10000","19","","如果主角团描绘的是英雄的光辉，人性的终极，爱与善的真理。那么奥托这个更像是有血有肉普通人。,当年曹操狭天子以令诸侯，至死未杀天子上位，因为他心中恪守君臣之道。,无独有偶，奥托所作所为，也是这种情况。。他作恶多端，为利不择手段。但又有着独属于自己的底线，让人感觉又有一丝那么值得惋惜。。。,,不愧是枭雄的典范了。。。"
"菅牧典记得睡觉","保密","无IP","424554379","5","崩坏3·天穹流星","10000","20","","当死亡降临到他身上时，本该庆幸的我，却沉默了。,我恨他，恨他的诡计阴谋，恨他的不怀大义，恨他的无情…,不对，不是无情…是无义…,在这个世界里，我们喜欢的，是为世界，为大义，为人类的“主角”。他们，舍小我为大我，令人敬佩又让人歌颂流泪与感动。,奥托，他在这个大义组成的世界里是多么与众不同，有一个名为“爱”的东西，将本在这种故事里排在第一的“义”，推到了第二位。,这就是奥托，他也深知这一点。,于是，他的所作所为全都为了一个事情——让卡莲复活。,他一生所为，他不会后悔，心中的那份爱不允许他后悔…,他创造德莉莎是因为卡莲，他宠溺德莉莎是因为他把她当作自己和卡莲的女儿，他创造第二律者，是为了卡莲，K423的人生规划，也是为了卡莲…他的一切，都为了那个人——卡莲。,他知道自己注定成为那个反派，自己也成为了那个反派。,是啊，他是纯爱战神。为了那个爱，他，成为了那个恶神。他与其他人相向而行，因为他所追求的早已和他们彻底不同。,“故事总是需要反派的，他总是会死的，对吧？”我这样想着奥托,呵，一年前安慰我的话语，放在现在，又有别样的感觉呢。,“小时候我们热爱英雄，长大后我们才了解了恶人。”"
"Rosato","保密","无IP","12823698","6","","10000","1535","","“他的父亲因我而死，但他还有我啊”,真的很叫人生气的一句话，但细想想应该也包含着几分真心。,该说奥托是太不懂人心还是太懂呢。"
"绀海中の一滴水","保密","无IP","88142215","6","","10000","137","12","01/21  00:00  崩坏3  「阿波卡利斯如是说」音乐完整版发布（网易云）,,01/21  09:00  崩坏3  新春来电正式开启,,01/21  12:00  崩坏3  动画短片「阿波卡利斯如是说」,,01/21  21:00  原神    2022年新春会直播,,01/22  19:30  崩坏3  5.5「天元启星」直播,,01/27  18:30  崩坏3  2022年新春会直播"
