"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"氷川あやや","保密","无IP","32836743","6","","10000","3107","","不愧是跟着奥托混的，绿的不行了[小电视_笑]"
"齐木楠雄","男","无IP","26860934","6","黑白无双","10000","980","","觉得这个角色不咋地的举个手我看看[小电视_嘟嘴]"
"躺平虽然可耻但是有用","男","无IP","101160568","6","hanser","10000","553","7","(⊙o⊙)…"
"希-儿-","男","无IP","266446289","6","","10000","511","10","舰长:绿托大人你的女仆借我用一下,舰长:绿托大人你的孙女借我用一下,舰长:绿托大人你的老婆借我用一下"
"-歪比歪比--","保密","无IP","8634816","6","","10000","403","","看到一个扎心的弹幕:,只有在丽塔面前我才像个舰长。。。"
"RenegadeW","男","无IP","30615862","6","2021拜年纪活动专属","10000","227","","丽塔：只需要一丁点目标的基因样本，它将会持续猎杀，直至我sp消失。[小电视_嘟嘴]"
"静等雨待","男","无IP","21213635","6","星座系列：双鱼座","10000","154","","左肩条形码我扫了，居然真的是角色信息[2233娘_耶]"
"守护麻美最好的颈椎","男","无IP","7867650","6","HINA","10000","114","","惊闻无量塔姬子在战斗中逝世，深感悲痛，没有无量塔姬子，就没有休伯利安，大家也就看不到如此强大的猎袭装·影铁，本周下半周，我与米哈游合作出品的影铁卡池即将上线，希望大家多多支持，共同打造一个让无量塔姬子欣慰的崩坏传奇[小电视_发愁]"
"穿越人世方忆卿","男","无IP","95344600","6","","10000","79","","这角色能伤害队友，凭着这一点我tm抽爆"
"未希的思念体","保密","无IP","2326195","6","挚爱花海","10000","58","","不是..爱酱开个小号换个语气 你们就不认识了吗 滑稽 (爱酱和丽塔的CV是同一人啊)"
"没有梦想的嘤嘤嘤","女","无IP","96826334","6","琉晶之礼","10000","49","","EMYR5EVWRP 圣诞将至礼包,WLY75EBS77赏枫之旅礼包,EVY7DA2T3X爱酱生日礼包,EUURCEVT7F琪亚娜生日贺礼,YLY9CABW9P冰雪派对礼包,YVYRCAVK57秋日赏枫礼包,EUYR5A2PMP真红作战礼包,ELY9CE2X3X秋日作战礼包,YMUPCAJSKP万圣节彩蛋,GUU9DEBN7F圣夜狂想礼包,WMU7DADPRX 雪国冒险礼包,,YLU95EVJPF"
"病毒污染","男","无IP","50012737","4","","10000","42","","不知道有多少人和我一样什么都不懂，只知道一阵乱砍……_(:3」∠)_"
"我家指针反着走","女","无IP","85736610","6","EveOneCat2","10000","38","","丽塔：放松的时间到了，舰长：It's my time"
"夜无影暗","男","无IP","35839965","6","","10000","36","3","这个丽塔你们想好简化名没，我和朋友聊天都不知道怎么说了"
"书写故事的豌豆呐","男","无IP","11875596","6","崩坏：星穹铁道","10000","35","","机械猎犬=哮天犬,哮天犬=西游记,西游记=孙悟空,明年年初，中美合拍的西游记即将正式开机，我将继续扮演美猴王孙悟空，我会用美猴王艺术形象努力创造一-个正能量的形象，文体两开花，希望大家多多关注(｀ω)"
"鹹の鱼","男","无IP","21185982","6","","10000","30","","有木有人和我一样是用钟换碎片堆出来的"
"-景天三七-","男","无IP","22190441","6","","10000","28","7","丽塔:和主教待久了，连我也有绿色了"
"游懿","男","无IP","286064092","5","黄绿合战5th","10000","23","","开大之后太绿了，找不到自己在哪"
"不善の邻人","男","无IP","35773258","4","","10000","22","","刚入坑差不多十天的萌新说一下这个角色吧，我现在45级，队长配的是快ss的游侠，加全队15移动速度以及铁影百分之八攻速，或者是a级圣女祈祷，加百分之20元素伤害，这两个作为萌新来用都可以很好搭配影铁输出，武器用的是推荐的赤钢，技能是护盾加全属性伤害加成百分之十，武器进阶版本是黑铁，护盾好处可以有效防止打断以及回复生命，圣痕没有选择推荐的时雨崎罗，选的书写者套装芥川龙之介上和下，加物理伤害百分之二十以及攻速百分之十，套装技能是获得一个护盾，护盾存在加百分之四十暴击伤害，破盾后十五秒自动生成，一主动一被动两护盾技能的好处就是超高效防止遭受对手攻击而打断自身攻击节奏，无脑莽着近身缠斗，加上角色本身移动速度较快，攻速较快，打击感强，推图啊我直接是突飞猛进，中间圣痕用的伽利略中，加全伤害百分之五以及对浮空敌人全伤害百分之十，影铁普通攻击第三击还是第四击会浮空敌人，这种时候伤害会很可观，输出说真的差那些专业的输出可能一截，毕竟这是辅助角色，但是我搭配的这套东西对萌新真的是很棒的了，单兵作战能力强，可以自主回血，防御力高，有效防止被打乱攻击节奏，只要两护盾不破就可以一直持续输出"
"亻尔女子-力口氵由_","男","无IP","247696928","6","刺客伍六七","10000","22","","姓名:无量塔 姬子,性别:女,年龄:29,身高:167CM,容貌特征:红发金瞳,2018年12月14日，只身与空之律者展开决战，惨胜之后坠入虚空，生死下落不明，失踪时身穿弑神铠甲真红月蚀，外观为红黑色。,望广大群众提供消息，重金酬谢,联系人:休伯利安清洁工"
"MaXimum_Lie","男","无IP","18774081","6","公主连结可可萝","10000","20","","我：你怎么钻进人家丽塔的身体，还学人家说话啊？丽塔（爱酱）：既然要追求刺激，就贯彻到底了～。我：你好骚啊。"
