"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"hanser","女","无IP","11073","6","hanser","10000","109580","9","嘟嘟嘟嘟嘟嘟嘟 希儿小妞来兜风吗"
"赫箩的苹果","男","无IP","653768","6","","10000","45698","10","星期六晚上八重村见[小电视_笑]"
"兰花花素瓜瓜","保密","无IP","8928409","6","崩坏：星穹铁道","10000","24637","10","芽衣：家里两个吃闲饭的，都成了比我还强的律者..."
"Angolless","保密","无IP","176266619","6","","10000","23049","10","“庆贺吧！,她是穿越量子之海，完全理解再构筑【Rebuild】力量的第三代理之律者,最强的布洛妮娅诞生了,此刻继承了世界【Welt】使命的天使重构于世,以自由意志，开辟未来之路 。”"
"掉线狂魔☆火星","保密","无IP","520492","6","","10000","26948","10","[大笑]四涡轮增鸭！！"
"某魚人","保密","无IP","17132508","6","","10000","70652","","祝点赞的人单抽出摩托鸭[蛆音娘_卖萌]"
"雨空Rain","男","无IP","2392547","6","圣诞节快乐","10000","18635","7","一小时内，我要在首页榜首看到这个cg[doge]"
"丹朱炖丹朱","男","无IP","255787660","6","","10000","12963","","你说这个婴儿车，它快吗？[蛆音娘_滑稽][蛆音娘_滑稽][蛆音娘_滑稽]"
"月卡萌新赫箩酱","保密","无IP","192532392","5","","10000","14243","","赞我的一发单抽出四涡轮增鸭，不赞的一发十连出[蛆音娘_卖萌]"
"无量塔姬子真红的凯旋","保密","无IP","33427674","6","","10000","8177","7","崩坏3动漫观看顺序：,女王《女王降临》av24149246,真红《最后一课》av38096452,板鸭《天使重构》即将发布,月光《Reburn》av14899926,虽然我们自诩为清洁工，但我们永远是舰长，女武神们最强的后盾！"
"RaidenKanata","男","无IP","7367270","6","","10000","4012","","能不能把每周的女武神餐桌都做成这个水准[doge]"
"°喵酱°","女","无IP","4049437","6","","10000","4270","7","为鸭王的诞生 献上礼炮"
"游戏彩笔","男","无IP","1320581","6","","10000","5905","25","我女儿长大了！"
"一孤侠道","男","无IP","13888325","6","崩坏3·天穹流星","10000","2438","3","恭喜第一律者的核心找的新的主人 顺便心疼我两代瓦尔特大人的奋斗[大哭]"
"高兴的飞起来","保密","无IP","32322326","6","拜年祭粉丝专鼠","10000","5464","","我抽到量子鸭需要的次数[doge]"
"JelinLin","男","无IP","145229496","6","刺客伍六七","10000","2312","8","进量子之海的时候是山吹，打着打着成了银狼，最后又变成了次元的觉醒……[滑稽][滑稽][滑稽]"
"科科球","男","无IP","385328558","6","","10000","1706","","第一律者,「理之律者」瓦尔特·乔伊斯：逆熵的象征（曾是奥托钦定的天命主教继承人），在1952年德国柏林的大型崩坏中得以幸存，而被天命判定为第一律者。作为律者，他身上的疑点非常多，因而被天命进行了长达3年的研究，后因研究无果，而被转入伦敦的帝国研究院42实验室进行观察，因此结识了爱因斯坦、特斯拉等人。,,瓦尔特·乔伊斯,能力为理解复现。第一律者在完全理解了一个事物的“解释”之后，就能以自己的力量再次复现该事物。由于瓦尔特的人类意识战胜了律者意识，在不听从于崩坏的同时也不具备操控崩坏兽的能力，对于崩坏而言瓦尔特是叛徒的象征。重力操控是第九神之键「伊甸之星」所带来的能力。,为阻止奥托所发射的崩坏裂变弹爆炸后的余波毁灭纽约，在负伤状态下，强行制造足以保护整个城市的崩坏能护盾，因为输出功率超过自己的上限，导致拟态犹大所造成的伤口恶化，最终牺牲。因逆熵建立的基石是瓦尔特的牺牲，故逆熵的盟主必须是“瓦尔特”，所以哪怕乔伊斯已故，逆熵对外盟主形象依旧是瓦尔特。,第二代「理之律者」瓦尔特·杨：原名约阿希姆·诺基安维塔宁，在瓦尔特·乔伊斯临死时继承了瓦尔特的名号和律者核心，改名为瓦尔特·杨，成为承担起守护人类的责任的新一代理之律者。逆熵真正的盟主，拟态成乔伊斯的形象展现在世人面前。,,瓦尔特·杨,在第二次崩坏时为了人类前往月球赴西琳之约，月球之战中意图自爆核心将西琳核心一同牵扯入裂变中同归于尽失败，核心被西琳取出融合，自身碎成粉末，意识潜伏在核心中等待机会。在圣芙蕾雅学园建立后伪装潜入学园，担任历史老师。海渊之眼实验中自我放逐，留下一个碎片“约阿希姆”守护在量子之海的入口认知回廊。,“瓦尔特”（乔伊斯&杨）是本世代目前唯一为了拯救人类而死的律者。"
"亚克力古戈尔","保密","无IP","49983378","6","公主连结可可萝","10000","1563","","可可利亚孤儿院里有樱桃炸弹，蓝莓特工，和………………荔枝律者[滑稽][滑稽][滑稽][滑稽]"
