"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"知觉沸腾","保密","重庆","36943177","6","乐正绫五周年生日","10000","7177","","最初的御三家里，唯有布洛妮娅还未走出自己的路;主线第二阶段的各位羽化者们，唯有理之律者还没有展现出属于自己的「无限未来」的可能性;抗击崩坏的各位先辈里，也唯有名为乔伊斯的温柔青年几乎被人遗忘，他永远沉睡在1955年的曼哈顿，直到现在都没有发出属于自己的嗓音。,三十万人的意志对于布洛妮娅既是指引可能性的明灯，也是带有压迫感的枷锁。这一次的主线以“真理”为名，不知道布洛妮娅是否会冲破前人的枷锁、找到无信者的信仰呢？那个本纪元最初的律者又是否会再次出现，为约阿希姆未能尽全的传承补上最后一块拼图呢？,,毕竟，“空间的维度可是无限的啊。”"
"a言言a","男","安徽","407400307","5","","10000","168","","羽兔：理之律者不过如此,板鸭：你再骂？[脱单doge][脱单doge]"
"Sennyuki风早千雪","男","未知","23938690","6","异常生物","10000","2703","12","那句“Welcome”电音帅到我心里去了！[崩坏3·光辉矢愿_遨游]"
"灶神的眷属","保密","安徽","442472214","5","","10000","883","","刀其他人我能接受，别刀小识[大哭][大哭]"
"希儿芙乐艾official","女","河南","57990517","6","希萝Hiiro","10000","2159","","爱衣休伯利安:,那一年是帕朵取代渡鸦的日子，当时我看见渡鸦一直在地上打滚，这个画面我永生难忘。,　　那一刻我在想，如果我能成为一名火辅，我一定要赢下所有。如今最强火辅就在眼前，我必须考虑这会不会是我此生仅有的机会。,　　我相信火系能有过去的霸主地位，渡鸦功不可没。重铸火辅的荣光，吾辈义不容辞!"
"究极无敌巨帅气的符华","女","浙江","508297483","5","","10000","78","","我求求你崩坏3，让符华活着给她一个好结局好不好[大哭][大哭][大哭]我真的不感想像她和小识死了的画面[大哭][大哭]求求你[大哭]我不奢求什么了，就让她好好活着好吗[大哭][大哭]我真的很喜欢符华这个角色，我也从来没想过我会对一个虚拟的角色付出这么多的情感[大哭]当我看到PV里华跪倒在凯文面前我眼泪都不自觉得往下流[大哭][大哭][大哭]求你了崩坏3[大哭]让她活下去[大哭][大哭][大哭][大哭]"
"珐露珊的裙子","保密","河南","1760178527","5","","10000","71","","有人发现希儿不见了吗？[大哭][大哭][大哭]鸭鸭的主场没希儿我有一些不好的预感[大哭][大哭][大哭]"
"StarWind星寰浴风","男","广西","36979795","6","","10000","4005","","为新火辅爱酱的诞生献上渡鸦礼炮[doge]"
"磁爆步兵54","男","浙江","3443416","6","","10000","3549","","也许岳母不能上舰，但羽兔可以上舰呀[藏狐]"
"艾丝妲_Official","保密","河南","691484434","5","国民老公带回家","10000","45","","无敌的上仙又倒下了，哦我忘了，她就没站起来过[吃瓜]"
"X-STATION","保密","广东","396025514","5","","10000","1","","BGM又鲨疯了[喜欢]！！！"
"长颈鹿锯锹","男","甘肃","1396038828","5","崩坏3·天穹流星","10000","6","","一定是包菜干的[崩坏3_乆]"
"L-御风","保密","湖南","498387127","5","","10000","173","","相比符华，凯文背负得更多，也必然更加强大。但是，编剧你真把她当工具人，让她一直吃瘪，你觉得合适吗，不说打赢凯文，起码得让她活下去，在战胜凯文的事情上有参与感，有至关重要的作用，比如削弱凯文的力量，甚至直接逼出凯文的救世形态什么的，这样班长逼格拉满，凯文也不会说弱到哪去，对大家都好[辣眼睛]"
