"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"楚洛_Roca","保密","无IP","85619471","6","hanser","10000","984","","大伟哥？不是在米忽悠前台看门吗？[小电视_笑][小电视_笑][小电视_笑]"
"柟咲","男","无IP","106309040","5","","10000","488","","我活动出了雷刀·鬼角，希望上热评公开处刑(｀ω)"
"五河熊猫","保密","无IP","49888528","6","向晚大魔王","10000","231","","我想上热评可以嘛，上了我就直播那啥那啥"
"被迫营业的苏千宇","男","无IP","21238182","6","","10000","40","","强烈要求大伟哥和策划在下次的线下赛中表演空中劈叉清洗甲板！"
"FunnyMud大祭司","保密","无IP","22302917","6","星座系列：金牛座","10000","38","","观众：我想看彩笔女装,彩笔：已经满足了你们的要求了[小电视_笑]"
"鸠中酒","男","无IP","8408746","6","","10000","15","","此时一个长着狐耳打着吼姆结隐着身知晓世界本质会空中劈叉兼职夹板清洁工是个好人的魔法小精灵见习义警挂名舰长拎包路过"
"宫雨暮晨","男","无IP","54146444","6","","10000","11","","别打扰本清洁工空中劈叉"
"国际知名太子","保密","无IP","44234873","6","","10000","11","","想看狗屎文案空中劈叉，大伟哥把文案工资扣了给玩家发水晶吧"
"pid16308632","保密","无IP","23433144","5","","10000","10","","这也能电子竞技？比谁肝得快？→_→"
"白给兔兔Aira","男","无IP","7843023","6","七濑胡桃","10000","10","","真的很感谢大伟和他的团队的所有人能带给我们这样的一个游戏("
"我看你就是欠一顿欧拉","保密","无IP","32766337","6","","10000","8","4","爱酱，不知道为什么，我觉得女王的出现有一种侧滑自暴自弃的感觉，爆炸的伤害还是很影响游戏的寿命的，这样的角色一旦出了，各种深渊战场都会轻松不少，而且草履虫觉醒成高阶草履虫是相当明显的吃书行为，总觉得有一种回光返照的不安感作祟。我怀疑是不是侧滑已经几乎无力再保持游戏平衡了，毕竟每次出圣痕武器角色都要考虑对于整个游戏的影响，老装备不少超模的太厉害了，新装备在追上方便骗氪的同时还不能有太大的提升以免破坏平衡。另一方面崩4的企划又势必分走一部分精英，这游戏不然也不至于炒了这么久的冷饭。当初有一句话说“没有没用的女武神，只有没用的舰长”。我不知道这话还能说多久我只希望米忽悠把重心重新放到崩3上，同时还可以把版本更新改成3个月一次更新（我不懂行情别吐槽我）比较好，给这帮程序员，美工一些休息和想新创意的时间，给侧滑好好静下来反思自己和总体布局的时间，不然这么好的游戏死于人手不足或者时间不足真的太可惜了。爱酱要是有能力和米忽悠管理人员提意见并且对方会听的话拜托务必转达，拜托了！（别说我说的乱，我想到哪说到哪的）"
"魔手困月","保密","无IP","1993878","6","","10000","8","","舰长就是休伯利安抗击崩坏的赞助商，提供资金支援，平时那个逗比只是为了体验生活，根本不需要天命的工资，要不年年都收不到工资怎么过来的，舰长其实就是和奥托合作的，提供资金和神秘资源的金主(ω)"
"四叶泠泠柒","保密","无IP","4118207","6","2021拜年纪活动专属","10000","8","21","说没看到新套路的，这个是真的没办法给你们展示，说说理由吧：,1、比赛前有ban & pick 所以有些套路被ban了后就用不出来了；,2、大家都想赢的，所以有些视觉效果不错的套路但是因为上下限差距很大，比赛只有一次机会不能SL所以大家都求稳了；,3、在台上心里难免会有波动，时常会有操作失误的情况。,所以真的想看到精彩套路可能真的需要天时地利人和吧。,总之还是感谢大家的支持，无论是对游戏也好，对米忽悠也好，还是对参赛选手也好。"
"楓蜜布朗尼","男","无IP","5982593","6","双生视界·花嫁","10000","7","","TM开放世界拖动方向杆3秒自动开启“跑步模式”是什么垃圾【呕吐】【呕吐】原本的方案多好？现在这方案还不能玩家手动关闭，跑步动作还丑得一批，琪亚娜跑得像只鸡，让人怎么玩？？！！@崩坏3第一偶像爱酱  [小电视_好怒啊][小电视_好怒啊]"
"我水人太菜了呜呜","保密","无IP","26399907","6","","10000","7","","要不下次线下。。。大伟表演空中劈叉?"
"我老婆八宝酱阿","保密","无IP","34165035","5","","10000","7","","开场就是令人肝疼的音乐(￣△￣)"
"dearKaworu","男","无IP","15211025","6","","10000","7","","什么时候文案来个空中劈叉，我就想看他们空中劈叉[2233娘_耶]"
"筱舞轻寒","保密","无IP","30251367","4","","10000","7","","此时一位空中劈叉，倒立擦夹板的绿帽舰长路过( _ゝ｀)"
"大姐姐姬子","女","无IP","30061162","6","","10000","6","","空中劈叉的睿智大伟哥[小电视_发愁]"
"祇丶LM","保密","无IP","137948412","6","","10000","5","","大伟哥日常被怒屮求出货_(:з」∠)_"
"悬壶医也","保密","无IP","17076361","6","春原庄的管理人小姐","10000","5","","求改回律化娜的大招伤害。。。现在这么点的伤害数字怎么能配得上那么炫酷的特效，影响游戏平衡的话可以把启动条件改复杂一点啊，现在靠大招输出的女武神基本都是大招进爆发状态，然后靠爆发状态打出成吨伤害，靠大招直接打伤害的女武神相当少。也别跟我说律化娜现在平A伤害也爆表什么的，真正的女王怎么能是和小怪贴身肉搏，打多小的怪都要认真输出全力攻击的类型啊，女王就应该是气定神闲，漫不经心地调戏小怪，调戏烦了认真一下说出一句霸气的台词随后升空一个铺天盖地的技能秒杀全场的存在啊。。。恩。。以上仅代表个人观点。。。[小电视_害羞]"
"洛灵喵","男","无IP","42856358","6","2021拜年纪","10000","5","","发现爱酱连自己的声优都没有关注"
"唐可可的大哥","女","无IP","11468234","6","","10000","5","","大伟哥牙齿被打掉了，你们好暴力啊　(￣ε(#￣)☆╰╮o(￣▽￣///)"
