"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"米泠","保密","浙江","3493291513350564","3","","10000","15018","","音乐会跳转进度条,制作可能如遗漏，欢迎各位评论补充,1:16 天使重构,04:28 《月光的旅途》崩坏三PV组曲,11:31「真我·人之律者」爱莉希雅,16:12 TruE (因你而在的故事),21:17 「魇夜星渊」希儿·芙乐艾,22:13 Dual-Ego 动画短片《希儿》,27:02 OATHS 《后崩坏书》主题曲,32:49 唯我独尊,37:09 Rubia 动画短片《渡尘》,42:36 Nightglow 动画短片《最后一课》,46:26 凯文·卡斯兰娜 （灭世的小曲）,50:57 跨越终焉,54:16 Da capo"
"山崖复远望","男","上海","19104000","6","","10000","7581","","1:13鸭鸭混剪+cyber angel,4:27PV组曲,9:30爱莉混剪+FlawlessHuman+ElysianRealm(破大防の小曲儿）,15:17TruE,19:30黑希混剪+Dual-Ego,25:10芽衣混剪+OATHS,31:18识宝混剪+Domineer Remix,35:35符华混剪+Rubia,41:06琪宝混剪+Nightglow,45:44凯文混剪+灭世の小曲儿,50:42跨越终焉之日,54:17DaCapo"
"卡拉斯马佐夫","保密","广东","172430737","6","赏樱大会欧皇","10000","4252","5","“磕不到琪芽的有难了”，我只能说，确实[崩坏3·终焉归始_燃起来了][崩坏3_送你一朵花]"
"果蝇轰","男","上海","8469526","6","","10000","11505","11","好好好，好好好，好好好！！！,每一首每一段都是最喜欢的一集！！"
"顾问呀","男","贵州","1279470","6","初音未来13周年","10000","7619","9","[哦呼][哦呼][哦呼],崩三的每一场音乐会都肉眼可见的技术力大幅度提高呀。,而且这一期改曲也好棒。,尤其是凯文那段BB曲，真的是太劲了！"
"忆乃娇影-Renascen","保密","广东","644248524","5","中野二乃","10000","6520","","给大家表演个绝活,, , , ,光翼 ~, , ,, , , , , ,舰长在期待什么？崩坏三的意义不是只有角色的死亡，而是形形色色的人和伟大之人的意志"
"shengqibaobei","保密","陕西","109170515","6","碧蓝航线2020","10000","6201","","最初知道不是线场音乐会时，我还是有些遗憾的，但今天看了直播后，我已经完全理解了，此等音乐会的效果确实不是现场能演绎的了的,今天的崩坏三音乐会，以及制作组全体，都是无敌哒！"
"语核","保密","上海","3493130724706733","4","","10000","5815","","虽然不是现场音乐会，但这种层次的线上演出和运镜的观感体验丝毫不逊色于线下，真的是视听盛宴啊"
"一根泥鳅Sakypa","保密","广东","472075050","5","","10000","5074","","量子属性符号是Φ，还是量子力学里量子的波函数，希儿是量子属性，所以Φ=希儿*希儿，也就是量子叠加，又叫希儿贴贴(▽へ ▽)っ(0  0）"
"改-放","男","广东","32187114","6","","10000","3707","24","线下看太震动了！太无敌了！[墨镜]"
"弈轩若华","保密","福建","287199184","5","","10000","3546","","有一说一，这次的音乐会依然保持着前两届的超高标准，甚至技术力还更上一层楼了，这也许就是咱崩三音乐会的魅力所在，既让人感动泪目，又惊喜十足呀[打call]"
"_卡芙卡芙卡_","保密","山东","1608406873","4","","10000","3375","","你们管这叫音乐会啊，俺们一般叫磨刀石[墨镜]"
"Yuki橙子酱","男","四川","231294027","6","七海Nana7mi","10000","3101","","从头看到尾，根本就没哭！！！[墨镜][墨镜][墨镜]"
"牧月-忍冬","男","云南","111202477","6","崩坏3·天穹流星","10000","2088","12","期待明年唱一首,舰长快乐曲 [doge]"
"磁爆步兵54","男","浙江","3443416","6","","10000","1989","","今天的hoyo-mix是无敌的！[墨镜]"
"我是银枝大人的呜呜伯","女","四川","310764365","5","格兰芬多","10000","1383","","很明显老米非常用心，一年比一年做的好了，赚得多回馈的也多，会一直支持三蹦子支持米哈游"
"脸黑的非氵州人","男","北京","415213419","5","","10000","1229","","凯文的歌开头是lyin，哪位大佬知道歌词啊，找了很久都没找到[大哭]"
"","男","新疆","1153579552","4","电子喵","10000","883","","真的是太酷啦！！！可以看出场景技术比之前看的还要好，给人的感觉也不一样。虽然没有大的，但给我的感觉还是不错的。希望这次音乐会是下一场惊艳音乐会的准备，也希望大家喜欢，因为这次音乐会更像是一次主角们的回忆且技术更新！[打call][打call]"
"-帕朵菲莉斯","男","山东","489878050","5","有兽焉动画收藏集","10000","855","","[有兽焉表情包_酷]我一点都没哭"
"好奇猫猫虫","男","浙江","2029658","6","花园花玲头像框","10000","643","10","今天的崩坏3是无敌的！！！,ps:竟然真的有《Oaths》！！！,[星星眼][星星眼][星星眼]"
"究极无敌巨可爱的板鸭","保密","广东","454121921","5","刺客伍六七","10000","615","","明年见"
"强大的泉之精灵","男","江西","3461567479810051","4","","10000","124","","去年时间表来啦～舰伥们顶我上去【崩坏3·光辉矢愿_回眸】,0:00   开场,2:12    Sweet trap『祖传小曲儿』,4:18    往世的叙事诗『行至至深』,9:02    Devouring Snake『蛇蛇曲』,11:13    Elastic Force『猫猫曲』,13:11    Twisted Chants『阿波尼亚』,15:19   TruE『因你而在的故事』,18:29   Reburn『舰青回』,22:50   Nightglow『最后一课』,26:00   Starfall『天穹流星』,29:11    Cyberangel『天使重构』,32:00   崩坏世界的歌姬『罪人挽歌』,35:15    尘寰千载归太虚&Rubia,41:15    Regression『阿波卡利斯如是说』,45:40   Oracle『后崩坏书2.0』,49:01    众星的旅途『崩坏3 PV编曲』,56:04   万舰合唱『Moon Halo』,59:43   结束语及工作人员鸣谢"
