"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"hanser","女","无IP","11073","6","hanser","10000","51132","9","来了来了 帅起来[惊喜]"
"风落云曦","保密","无IP","12844167","6","崩坏3·天穹流星","10000","22329","","天穹游侠，空之律者省电模式,断罪影舞，雷之律者省电模式,迷城骇兔，理之律者省电模式,[热词系列_知识增加][热词系列_知识增加]md绝了"
"六马赫小屋","保密","无IP","84413706","6","","10000","9710","","编剧：符华不可以成为律者，ok，但律者可以成为符华啊！,重装小兔不能成为布洛妮娅，但布洛妮娅可以成为重装小兔啊,[热词系列_知识增加]"
"燕难知","保密","无IP","296948954","5","琉晶之礼","10000","21171","","这次将卡莲设计为双马尾电子少女的形象，无疑是一次大胆的尝试，对卡莲刻板印象的突破，果然我卡莲没有被人忘记[崩坏3_魔法少女]"
"月光中心_official","保密","无IP","25289147","6","","10000","8845","","虚假的黑客：入侵你的账号,真正的黑客：彩色p90，对面怎么赢"
"比安卡月魄","男","无IP","40726388","5","崩坏3·天穹流星","10000","7252","","到底有多少玩家到现在还不知道sp角色和主线剧情角色是完全不同的两个人啊[崩坏3_疑惑]，这里小小科普一下，sp角色以及部分角色(月下初拥，原罪猎人等)属于活动剧情角色，是和主线剧情角色除了外貌其他方面都不一样的另一个人[崩坏3_赞]，sp角色是和舰长有密切关系的一类角色，主线角色是和舰长完全没有关系的一类角色，希望能分清楚这两类角色的差别[崩坏3_叹气]"
"是一只小休比","男","无IP","356425937","5","","10000","5904","7","ch:我们要出一位冰伤角色，她是双枪角色,渡鸦:!,ch:她是异能冰伤角色,渡鸦:哼哼哼,ch:她在家园有小人,渡鸦:我该出场了!,ch:没错，我们要出的角色就是理之律者青春版!,渡鸦:？？？"
"货物天问","女","无IP","390507939","5","","10000","5218","4","春节一一,原神:魈(),崩坏3:识之律者(),现在一一,原神:胡桃、温迪、风花节（X）,崩坏3:迷城骇兔（√）"
"空美町","保密","无IP","168687092","6","","10000","7831","","板鸭：草履虫看好了，这才叫枪斗术[狗子]"
"果蝇轰","男","无IP","8469526","6","","10000","6777","11","好家伙，这也太帅了吧……"
"小七995","男","无IP","180938082","6","","10000","8700","24","ch1:不好了，舰长们都对4.4版本很不满意，现在到处刷爬,,ch2:这该怎么办啊,,美工:我有办法,,ch1:我们策划商量对策哪有你美工的份,,美工:只要我再出个皮肤，舰长们便立马失忆,,ch3:美工就是美工，整天只知道皮肤，当初大伟哥说要培养新人，你才有了栖身之地，没想到现在竟如此大言不惭，竟敢染指版本之事,,ch1:说的好，要是这游戏没有我们ch，早就没了,,ch2:我们ch手眼通天，运筹帷幄，这才是该来规划版本的人，我们中怎么出了你这样的废物，现在还不给大家道歉,,美工:之前舰长们都是我稳住的,,ch3:就凭你美工，一个只会加安全裤的废物，loser,,ch2:来人将美工逐出mhy,,美工:有眼无珠，mhy不待也罢,,ch2:反了反了，你离开mhy，便无立足之地,,大伟哥到!,,ch2:大伟哥宁来了，不好意思让宁见笑了,,舰长们到,,ch2:什么舰长们也来了，快想办法,,美工(拿出新皮肤初稿)"
"琴声凉","保密","无IP","416780868","5","","10000","4463","","识律让马老师放飞自我,迷城骇兔让hanser放飞自我,下一个是谁[脱单doge][doge]"
"君婉y","保密","无IP","3513717","6","","10000","4637","2","理之律者 ,省电版          ×,省油版          ×,油电混合版   "
"汪大狗qvq","保密","无IP","8266055","6","星尘","10000","4123","","医学奇迹!!!!!板鸭能跑了!!"
"北之舰娘","女","无IP","281636330","3","","10000","2923","","雷八是sp角色上了船,观星是sp角色上了船,明日香是sp角色被船捡到了,稍加思索，这个鸭鸭是sp角色,所以,新的老婆增加了[脱单doge][脱单doge]"
"堕天使不会受伤","保密","无IP","4738003","6","","10000","2788","","布朗尼：接下来就是我的舞台了！,无人机：Rabbit Gatling Best Mach（叮叮当当叮叮当当）are you ready？,布朗尼：很行！,无人机：冷酷帅气的朋克女孩，骇兔大天才，牛逼，老牛逼了！,布朗尼：骇入的方法已经建立了。[响指]"
"德丽莎天下第一卡哇伊","保密","无IP","358245895","6","良辰美景·不问天","10000","2184","8","内鬼爆料（×）,官方爆料（√）"
"探花蜂蝶","女","无IP","31696516","5","","10000","3042","","hanser 允许访问,黑道千金桑,烤箱本体桑,陈小只桑,,黑道千金 烤箱本体 陈小只,duang！～,,（奥特曼（划掉））hanser 原生之初,,hanser：呦！,（顶我上去）"
"永恒无暇爱莉希雅","保密","无IP","25923982","6","","10000","3351","","您来啦！板鸭老公[doge]"
