"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"丶忆往","保密","无IP","496914280","6","","10000","11111","","爸妈：“你最近精神怎么这么差，不会是，，，”,眼看瞒不下去了，我只好如实回答,我：“没错，，我最近看了丶小网站，，”,爸妈：“呼，，吓死我了，还以为你玩崩三呢”,[doge][doge][doge]"
"卡修尼亚","女","无IP","396966144","5","崩坏3·天穹流星","10000","13178","5","崩二12+,崩三16+,原神9+……,适用年龄？笑话[doge]"
"冷野煊","保密","无IP","32851127","6","碧蓝航线","10000","4362","3","你把雷律的这把剑换成教鞭就顺眼多了[doge]"
"塞忒-lights","女","无IP","40180563","5","萌宠小狗","10000","9582","","真的，我一个女舰长都觉得芽衣穿这身衣服再戴个眼镜贼涩prpr……谢谢，XP已经被戳爆了[妙啊]"
"我要当俄罗斯原神高手","男","无IP","4784631","6","崩坏：星穹铁道","10000","5450","","没办法 弟弟硬是要买"
"清泷墨染丶","保密","无IP","66775913","6","崩坏：星穹铁道","10000","3144","","有人说为什么每次都是让芽衣来穿这么涩的衣服...因为这种的只有芽衣驾驭的了啊[笑哭]丽塔可能也可以，但芽衣真的是崩坏3第一衣架子，穿啥都好看。至于人设，这个皮肤明显是活动设定，跟呆鹅的精灵皮肤一样，跟主线人设又没啥关系……"
"ミク妹控","男","无IP","25400760","6","","10000","4738","","雷律刚出的时候,你游玩家：什么玩意，为什么雷是红色的，雷不应该是紫色的吗,出皮肤后,你游玩家：什么阴间特效，这紫色也太丑了[吃瓜][吃瓜][吃瓜]"
"EVILGUDA1","男","无IP","19847833","6","","10000","2129","2","为啥没有俱利伽罗穿连体黑丝"
"亿毫米","男","无IP","287482","6","","10000","1870","","你们这是什么游戏啊，我儿子才上初二啊[doge][doge][doge]"
"懊恼麦辣鸡翅","保密","无IP","433567105","5","","10000","3641","","老师好"
"Hina゛","保密","无IP","13668420","6","绯赤艾莉欧","10000","2404","","崩三服务器很流畅，卡顿是我手机的问题。体力设置合理，觉得不够是我脑子的问题。水晶机制完美，觉得不好是我不会持家管理经济。米忽悠永远是我大哥!崩崩崩是一个很好的游戏，所有玩家都有很好的游戏体验，服务器稳定，前几次断线是因为我手机不好，米忽悠还给我们发补偿，活动频繁，内容丰富，cv豪华，立绘精美，关卡设计有趣耐玩，是游戏中的豪杰。(米卫兵–新春限定)[tv_doge]"
"潇潇萧小","男","无IP","9479701","6","","10000","1075","","之前说要无眼镜版，现在无眼镜版出了。就开始挑其他的毛病。建议米忽悠出服装自由组合系统，搞个崩三暖暖"
"空空空空空空叶","保密","无IP","11358974","6","EveOneCat2","10000","1168","","这真的是在中国能看到的皮肤吗[热词系列_知识增加]"
"雪辰沙","保密","无IP","352751792","5","","10000","1023","","无眼镜版：芽衣老姐（妹）,眼睛版：芽衣老师[doge]"
"曦夜汐","保密","无IP","22545690","6","2020拜年祭（鼠）","10000","1967","11","[热词系列_好家伙]平时看到涩皮都特别好评结果芽衣出个涩皮就开始装清高了？[tv_白眼],好不容易崩三借着《渡尘》原神借着海灯节开始口碑回暖了结果没几天又是连续的节奏 魈的pv被人喷烂  芽衣皮肤被喷卖肉  最近是友商们又开始了[tv_黑人问号]"
"雪辰沙","保密","无IP","352751792","5","","10000","668","","我想问一下，这俱利伽罗是不是去隔壁当了回毒龙杜林，不然为啥一身中毒色[doge][doge][doge]"
"silly沐","保密","无IP","6646795","6","圣诞节快乐","10000","708","6","崩坏3，你要的，这都有[doge][支持]"
"e者如专","男","无IP","284566746","6","珈乐Carol","10000","658","","评论区都说不支持，我跟他们这帮人不一样，我承认，我喜欢这件，我就是个lsp"
"の尼桑","男","无IP","39788079","6","","10000","334","13","[热词系列_知识增加]:复制老师的名字,看完2个小时的作品,[热词系列_知识增加]:和芽衣不像啊   ..."
"米酷v","男","无IP","16972529","6","","10000","419","5","我很好奇，如果不符合人设就不能出皮肤，那么花嫁，新春，和服这里皮肤究竟有什么意义，皮肤本就是展示角色多样性惊喜的一面，现在就变成循规蹈矩的翻版"
"丝雨点点","男","无IP","626933","6","hanser","10000","596","","主要是这样子设计真没有艺术感，就是在迎合lsp，[笑哭]都不想用。不知道美工是不是脑袋出问题了。"
