"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"雨漓啊","保密","无IP","255242279","5","三周年恋曲","10000","3728","","别看了，这pv里除了白练，绯红和冰姬，其他都是你没有的"
"黑暗草莓圣代","男","无IP","5687511","6","","10000","1116","10","热评那辞职信我见过很多遍了-_-||,为什么还要给他点赞上热评。。。,,新版本2周年pv来踢馆子？搞事带节奏？,而且崩坏一开始就是百合故事。,这才是国产手游的一股清流，需要的是你的“保护欲”而不是“占有欲”。,你是舰桥上默默帮助女武神们的大哥哥，,是这段崩坏物语的见证者。,,,不！是！后！宫！渣！男！[小电视_好怒啊]"
"哖哖安","男","无IP","82343602","6","","10000","721","3","YMU75A3SMP,YLU9CEMK3D（把D改成P）,YLYR5A5T7F,（我要上热评！）"
"縌埘针w","男","无IP","232518748","5","","10000","365","","YLYR5A5T7F"
"飞天哈皮狗","男","无IP","79572385","6","","10000","348","","每天醒来第一句,八重村去捡垃圾,每次水晶换体力,也要说声对不起,大伟大伟告诉我,我的神恩在哪里？,奇迹 我要奇迹 我要单抽出奇迹,吃保底 吃保底,我要单抽出奇迹,吃保底 吃保底,为了深渊能晋级 天天提着一口气,为了战场能出分 凹分凹成大秃驴,天生脸黑大非酋 可惜啥都吃保底,氪金 我要氪金 我要单抽出奇迹！,吃保底吃保底吃保底,吃保底吃保底吃保底,吃保底吃保底吃保底,欧洲人我的天敌！,怒*大伟出奇迹！"
"明月天昇","男","无IP","169899345","6","hanser","10000","203","","二周年了，我来总结一下本人对米哈游个个部门的看法,最让人放心——米哈游美工,最强肉（ju)盾（hua)——大伟哥 （怒※大伟）,最令人疑惑——米哈游故事编剧,最让人兴奋——Hoyo-mix（米哈游旗下音乐工作室，蔡大我TM吹爆）,最强嘲讽随从——米哈游策划"
"萌萌的圣骑吃米皮丶踢","女","无IP","51761245","5","","10000","147","","舰...舰长...你来啦？,,我们都....都过得很好。,,自从那年冬日过后，我...我们就被无形的力量隔阂了，我的脸颊再也感受不到你手掌的温度，只....记得那晚你最后那一回眸的黯然神伤，与转身离去的落寞销魂，但，我知道的....知道舰长一直再注视着我们，即....便我们能回馈给你的只有漠然的眼神.....,,悄悄告诉你哦！我的零食其...其实是有留给舰长一点的啦，芽衣在做晚餐的时候也会习惯地多做一份，姬子阿姐有偷偷藏起来的酒哦，布洛酱悄悄地买了好多sbeam游戏存在了小兔的终端里，班长拜托了某个赤瞳小蛇皮**捏了个红发手办摆在房间里呢！包菜头偶尔也会在深夜值班时把头发散开，换成红发带着舰长帽的虚拟形象，装作某人的模样视察安保系统！八重小姐在一个人时会念叨某人还欠她个樱花的承诺！时常跟嘤嘤嘤在一起的那个单马尾白发姐姐说她已经准备了好多次下午茶！还有，还有哦！！！即便现在我化身成了女王也.....唔，唔哇，哇哇哇...,,星辰闪耀于天空，晨曦衬托其缥缈，樱花散，长空起，休伯利安，往事如云烟，若有来日笑靥花，定承往昔君子言！,,舰...舰长，我们其实也一直在等着你！！！,,(念曾经离我们而去的有爱而又温馨的互动系统。)"
"拉仇恨的小提莫","男","无IP","94404508","6","原神","10000","84","","米哈游：这次更新，我们修复了部分手机机型能玩的bug"
"羽洛ァ天殇","男","无IP","18642565","5","","10000","82","","卡莲:是是是，除了十字架我啥都用,琪亚娜:话说我们家这是枪斗术来着？我老祖宗都开加特林了我拿手枪？科技树什么情况"
"识破through","保密","无IP","74055104","6","崩坏3·天穹流星","10000","64","12","看不惯百合的为什么要玩？你一个欣赏游戏的给你戏份就不错了，还想开后宫，自以为是"
"魔格芝顿","男","无IP","171170890","6","","10000","41","","期待奥托大人用骚气的声音介绍新卡莲()"
"精神科九科长","女","无IP","111692540","6","良辰美景·不问天","10000","37","","吸引我的崩坏不是一个游戏，而是一个故事一个世界。从崩崩开始，就塑造了很多有血有肉的角色，白狐，凯文，九霄，在他们身上，我看到了一个灵魂，而非简简单单一个的角色或者boss。每个活动的人物和故事也是用心制作的，迦娜，厂长等等的好多我都特别喜欢。在三出来以后，虽然也有很多败笔，但更多的是对这个“崩坏的世界”的完善，尽管吞掉了不少的设定。但是，那些人，那些故事，那些记忆都还在。虽然游戏的策划很zz，但你不能否认的是他的人设，尽管和那些大作相比有些相形见绌，不过却是真的下了功夫的，无论是逆熵，还是夏日德傻，都给我带来了不小的震撼，希望能把故事越写越好，这比网络上那些千篇一律的小说可好多了。（精品还是有的，但数量嘛……）我相信，为这个“世界”选择留下的我，并非孤身一人，希望能留下一个赞或者评论，也希望米哈游能在这条路上越走越远！"
"逆熵执行官时渊","男","无IP","67109202","5","","10000","28","1","米哈游已经忘记他们做的是一款手机游戏了。"
"Hereirs","保密","无IP","43980253","6","","10000","25","","神级美工再次为睿智策划擦屁股而拯救了这个游戏"
"AkaiL_","男","无IP","86900063","6","#EveOneCat","10000","25","","动态里等会可能会出一个总结所有的直播兑换码[小A和小B_喝茶]  有人可以顶一下吗"
"妹妹琴里诶","男","无IP","171761172","6","","10000","23","7","YLU9CEMK**   150水,YLYR5A5T7F     200水,YMU75A3SMP  10万金币,好像来晚了(=ω=)"
"花香风飞舞","保密","无IP","32446317","5","崩坏：星穹铁道","10000","22","","这个才是枪斗术，不是原来卡莲的格斗和琪亚娜的枪逗术"
"bili_22487150","男","无IP","22487150","6","","10000","19","","弃坑就编段子是什么操作？崩崩崩特有的，看着真挺烦的，这种代入感是什么？"
"永青一页丶露露缇雅","男","无IP","280044554","5","","10000","17","","看到那个辞职信。。。。突然有点感想，fgo的御主有无数的英灵陪伴，有玛修，指挥官也有结婚系统，而我们舰长。。。。好像就是个路人，死了也没关系的那种。"
"名字不好听随便取名字","保密","无IP","132948916","5","","10000","16","","蹦蹦蹦的策划感觉在国产策划里面还是不错的吧.....虽然依旧想把他祭天，不过国产网游里面哪个策划不会被骂呢(￣△￣)良心运营的游戏都没什么好下场啊...."
"NF王道","女","无IP","4104045","6","少女前线","10000","14","","啊，卡莲放大时的声音永远这么苏（老脸一红）"
"流星雨星哥","保密","无IP","8091061","6","绯赤艾莉欧","10000","14","","热评的那个退坑宣言，看的我很是恶心"
"雫丨弈尘","女","湖北","443037056","6","","10000","13","","没人发现崩豆人都BGM就是这个吗,[崩坏3·光辉矢愿_瞄准][崩坏3_七][崩坏3_十][崩坏3·光辉矢愿_大伟哥][崩坏3_米][崩坏3_长][崩坏3_刀]"
"bili_385209235","保密","福建","385209235","5","","10000","12","","原来崩豆人的BGM是这里的[崩坏3·终焉归始_宕机]"
"世界一番ゼーレが好き","保密","无IP","12809721","6","雫るる","10000","12","5","一人血书能不能放出下每次宣传pv的BGM（1/1）"
"勇者不是我","男","无IP","43648544","4","","10000","12","","看这技能花里胡哨的就知道伤害贼低( _ゝ｀)"
"Fuka不是Futa","保密","无IP","131477304","6","","10000","11","4","4.3的主题我都想好了「再度重燃」，点燃ch之魂。光是麻已经不足为惧了，ch给爪巴"
"Hor1Kyoko","男","无IP","145023014","5","","10000","11","","我上这条贼船已经两年了？"
