"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"无情づ猫猫头づ","保密","无IP","34674848","6","","10000","2210","2","脑子说：这个我要了！,眼睛说：这个好看！,手:让我来抽！让我来抽！,钱包：你们在想屁吃？"
"老下头男了","保密","无IP","322286511","5","","10000","1746","","很好，我失去了一个老婆。"
"菜畦0","男","无IP","105477769","6","崩坏3·天穹流星","10000","1038","","兑换码:4B6VYTJLXYZU,7TPCYB34EYW9,NS6CZT24XHX3"
"不想起床的茗","男","无IP","121264443","6","hanser","10000","961","","你超限冰镰，那么弱还出啥了[小电视_困惑]"
"大宝剑EXS","保密","无IP","24103459","5","","10000","1083","","“纵使冰箱被削，我也要化身流星，点燃ch全家，让冰镰刀变回大家所期望的样子”"
"疯狂型灬爱丽丝","保密","无IP","19003128","6","双生视界·花嫁","10000","986","","1.月魂掉进岩浆里里，月魂并不会融化——岩浆结冰了,2.地球为什么会诞生？这要从月魂的一个蓄力说起……,3.月魂想吃蛋糕并不用去买——她只要用斯卡蒂指着面粉，面粉就会因为惧怕他的力量，自己组成蛋糕。,4.黑希想证明自己的实力，去找月魂切磋——从此，她永远的失去了她的另一半。,5.理鸭觉得自己才是冰冻的代言人，找月魂对决——她被吊销的驾照证明了那场对决的结果，但直到现在她本人都不承认。,6.宇宙大爆炸的能量约等于斯卡蒂的一个主动技能。,7.月魂可以1小时击杀战场的任意boss——前59分59秒她在考虑击杀哪个boss,8.终焉律者和月魂组队后就不回去了——因为他不小心看到了白银之月把月球劈成了两半的过程。这也是终焉律者离开地球的原因。,9.月魂觉得自己太强大了，封印了自己冰的力量——她终于可以用女仆的身份和其他女武神相处了。,10.月魂的宿舍没有门，墙因为惧怕月魂的力量自己开了个洞，等月魂进去以后再自己关上。,11.月魂的血可以抵抗崩坏——可惜谁都不能让月魂流血。,12.迪拉克之海，量子奇点，战场都是人类为了抵抗月魂而进行的模拟战斗——他们悲惨的失败了。,13.布诺妮亚原来并没有断腿，她不该在继承律者核心的前几天挑衅月魂——这一行为被称为崩坏史上最愚蠢的行为。,14.月魂是一，也是万；是刹那，也是永恒；是创造者，也是主宰者。您的道必将行于世上，如同行走于您的国……,15.律化娜觉得自己开大招可以避免月魂的秒杀，但是月魂刚召唤出白银之月她就失败了——这就是为什么她现在只能飘着走的原因。,16.给斯卡蒂超限的舰长都后悔了——每次用超限月魂打关卡，就被检测伤害数值超出而被怀疑作弊踢出游戏，严重的甚至会封号。,17.崩坏的爆发是因为月魂擦鼻涕时忘了处理用过的纸——她现在也没想起来。,18.律者的格言：当你看见月魂时，月魂也会看见你；当你看不见月魂时，你要死了。,19.无论哪个女武神都不能在1级的时候打通深渊战场——月魂除外。,20.月魂只会把他的力量借给他的信徒——如果你不信月魂，你手中的月魂就没有所向披靡的力量"
"last--order","男","无IP","12417053","6","珈乐Carol","10000","12130","","这就是雅诗兰黛？"
"柠柠柠檬人","男","无IP","18465024","6","明日方舟音律系列","10000","3391","","法   国   公  关"
"派大星的小屋","男","无IP","335925293","6","","10000","1497","10","策划和公关换一下，一个不动如山，一个动如雷暴（还特么是个人）"
"空岚BR_184","男","无IP","10814304","6","原神","10000","4039","8","从直播过来，真的受不了了，这里说下，那些刷 拉 低 中 奖 率 的恶意 带 节 奏 是不是有毛病？我看直播就是为了看个弹幕图个热闹，所以开着弹幕，结果有人恶意带节奏搞得全屏都是 拉 低中 奖 率 ，而且直播不能屏蔽弹幕，真烦人。直播抽奖肯定告诉你参与抽奖，哪有什么发个 拉 低 中 奖 率 就能抽奖的？第一次看直播的不知道就算了，可我亲眼看到有的人直播用户等级都20多级了还在那刷刷刷刷个没完没了带节奏，真把爷恶心吐了。最后求求您，还弹幕一个干净行吗？别干没意义的事了行吗？"
