"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"芙蕾希亚","女","无IP","17743011","6","","10000","745","","我一个尚女士老粉看到大家夸奖这个过气老阿姨真滴感动辽TT我永远喜欢崩崩崩和尚女士TT"
"Cool堀北","保密","无IP","158236893","5","","10000","20679","","看到没，这就是用我们氪金的钱请来的[蛆音娘_滑稽]"
"MSZ-666","保密","无IP","317443605","6","","10000","3687","4","因为出了这首歌，游戏里还特意给了福利呢，两个金币……,米忽悠你出息了是不是(╯°口°)╯(┴—┴"
"赫箩的苹果","男","无IP","653768","6","","10000","6578","10","[洛天依_吃包群众]大伟哥这次有点大方啊，说吧拆了别墅几块砖[洛天依_打尻]"
"渡茶先","女","无IP","352159407","5","","10000","3119","","米哈游为了把自己的音乐提高知名度，做了一款名叫崩坏3的游戏。[蛆音娘_滑稽]"
"洛月倾城","保密","无IP","30872465","6","","10000","6350","6","这下面的第一个推荐....."
"洞仙饮火","女","无IP","2865816","6","","10000","2659","2","一个手打歌词,Befall,Music by HOYO-MiX,演唱：尚雯婕,作曲：蔡近翰Zoe,作词：尹纯青Eyn,编曲：郑宇界JODODO,混音：宫奇Gon,录音：江浩廷,制作人：蔡近翰Zoe,,Raging wind,while your visage fades away,当你的面容枯萎 飓风大作,Where the world lies in pieces at my feet,这便是在我脚下粉碎的世界,The fire and the storm and the snow and the mist,烈火与风暴，降雪与迷雾,Struggle inside,help me gain insight,忍痛于怀，辅我知觉,Hail my proud queen,on and on on and on,女王万岁，不绝于耳,That wax and wane showed its ebb and flow,阴晴圆缺有其涨落,Selah,selah,are chanting evermore,休止声声无休无止,Hear,oh hear all the voices trapped in thee,侧耳倾听汝之心声,,See myself in your eyes thats colorless,在你的失色的瞳孔中我看见自己,Visions pass and emotions run through me,幻觉过后我的情感倾泻而出,Struggle inside,help me gain insight,忍痛于怀，辅我知觉,Hail my proud queen,on and on on and on,女王万岁，不绝于耳,That wax and wane showed its ebb and flow,阴晴圆缺有其涨落,Selah,selah,are chanting evermore,休止声声无休无止,Hear,oh hear all the voices trapped in thee,侧耳倾听汝之心声,【Fair moonlight,will you fill my void eyes?】,【公义之月，你会盈满我空洞的目光吗？】"
"Druids路人乙","保密","无IP","7560216","6","","10000","3185","","啊啊啊啊啊啊啊"
"游戏彩笔","男","无IP","1320581","6","","10000","1191","25","感觉到了钱包要被安排的时候了[小电视_哭泣]"
"一颗赤橙","男","无IP","7734318","6","","10000","1028","1","mei关系，有姬会，布要怕，打德过，会樱的，不符输！"
"StarryHevn","男","无IP","85461409","6","星座系列：天秤座","10000","785","","这年头，不会打响指，你还好意思说自己是boss么？[小电视_笑]"
"魇夜星渊seele","男","无IP","10425878","6","崩坏3·天穹流星","10000","743","","原唱优秀的发指啊，听了几十个翻唱，愣是没有一个能赶上尚雯婕大大的魄力。"
"夢游小白","男","无IP","110512268","6","2020拜年祭（鼠）","10000","616","","前奏体现出律化娜觉醒时从宁静到大战的紧张感，前部分唱出了律者对世界的不满的感觉，后部分用高音唱出了女王降临的感觉，让人感觉到了崩坏的压迫感和律者强大的气场，不得不说，配上cg真是燃到极点，米忽悠我吹爆，虽然骗氪比较多，但是拿钱办正事不得不赞[小电视_赞]"
"雷之律者不会做饭","保密","无IP","279707308","6","","10000","524","","空之律者==律化娜==NaCl==盐巴==炎八==真幸炎魂。。我也有女王了啊哈哈哈哈！"
"假装是年轻人","保密","无IP","15432841","6","","10000","544","","肯定会有人说为啥不是中文歌，我谈一下我的看法:1大家都能看懂中文，所以中文的作词难度最高，填词很容易尬，而且中文的发音也是对作曲的难度加分。2还有有时候不理解歌词反而能欣赏歌曲的旋律，有时候外文歌听起来感觉很帅，再看懂歌词后反而没有那种感觉就是这个理。3作曲等人的喜好，人家就喜好这种调调还招你惹你了。还有英国人配个英文角色歌不过分吧"
"白冕菌","保密","无IP","39611863","6","","10000","346","","众所周知崩坏3是个众筹软件"
"VL5能力者","女","无IP","108627762","6","","10000","587","","米忽悠是一个被游戏耽误的CG公司，为了宣传音乐和动漫以及漫画米忽悠甚至出了同名游戏来做推广宣传。"
"奚季","男","无IP","28448229","6","","10000","337","","是不是现在曲子听着宏大有史诗感就是泽野写的了？有些人就认识泽野？能不能有点见识？崩坏的几首评论热评我都能看见刷泽野的睿智真是够了，相信这是国人作曲很难？"
"HeyChuuuck","保密","无IP","2316937","5","","10000","240","","嘛……想到之前贴吧里有人看到这个消息后说请了个什么五线草根歌手来，米哈游真不走心,,神TM五线草根歌手"
"医疗兵已就位","男","无IP","295584924","6","","10000","275","","50年后-,孙子：爷爷，我抽到了仿灵刀.max螺旋无敌加强冰昙天，你的勿忘无限动能永动分支。,我：哦。,孙子：爷爷，白练5s史诗级加强，一脚一个嘤嘤怪完美还原家暴现场！,我：哦,孙子：爷爷，现在鬼铠觉醒之后无视属性克制，以后割草更方便了,我：哦，,孙子：爷爷犹大开启神之键了，50级犹大增强双倍伤害！,我：哦。,孙子：爷爷爷爷，，玫瑰的新武器可以免疫死亡以后你可以砍爆无限深渊了,我：哦！,孙子：爷爷爷爷补给改机制了现在3发就保底了每日任务给的水晶也变多了好几倍而且精英噩梦副本可以扫荡了！福利好大啊！,我：哦,孙子：爷爷，听说xx局和xx部的人都凉了，崩坏3新出了一个叫什么互动系统……,我：把手机tm给老子拿来！,(转自贴吧)"
"莱茵RINE","男","无IP","87273964","6","","10000","81","","米哈游为了推广他的音乐动画，甚至推出了同名游戏"
"宇宙第一好吃炸虾球","男","无IP","36129853","6","","10000","176","","你们氪金请来的歌我白嫖就听到了"
"摸鱼好耶真君","保密","无IP","18720157","6","","10000","36","","一路走过来，从崩2到崩3，为自己的老婆摇旗呐喊过，也为游戏体验的失衡抱怨过。当初因为没有钱而离开了崩坏世界，但心里一直放不下她们，即便弃坑依旧挂念着这个“世界”，很多中二和震撼、感动都留在这里。可谓是有苦有乐了吧。,崩坏系列请一定要继续加油！在此献上最诚挚的祝福！,女王万岁，不绝于耳。,此生无悔入崩坏！"
"灬甘雨的心上人灬","男","无IP","288937","6","","10000","128","","我的女儿，当你出生的时候。,整个天命组织都在低声呼唤你的名字。,琪亚娜·卡斯兰娜。,孩子，我骄傲的看着你一天天长大，,成为律者的化身。,你要记住，孩子，我们一直都是以智慧和力量统治崩坏。,我也相信你会谨慎的使用自己强大的力量。,但，真正的胜利，是鼓舞你的子民心中的斗志。,总有一天，我的生命将抵达终点。,而你。,将加冕为王！"
"-爱夜夜夜夜夜","男","无IP","27825978","5","","10000","66","","那些小学生，大概就听过泽野的曲子吧。。。啧，碍眼。"
"无法复活的岚懿","保密","无IP","15012385","6","","10000","128","","尚雯婕(°Д°)我的天,电音女王来唱,有排面，可见大佬们磕了多少金,(°Д°)"
"橘皮特别特","保密","无IP","13409389","6","","10000","53","","尚雯婕唱的ff14主题曲了解一下！"
"decagr_","男","无IP","39265322","6","","10000","128","","之前有听过尚雯婕的single boy就有关注 这次大伟哥请到她合作我就想到肯定不简单，听完之后是真的很喜欢仔细听完之后很有触动，丝丝入扣的情感表达。变奏之后气氛把握很紧，歌词表达不多但是能感受从各种痛苦和欲望交织。打call 顺便怒cao大伟哥"
"丸丸虹","女","无IP","35478684","6","雪未来","10000","31","","我的女儿，当你出生的时候,整个天命组织都在低声呼唤你的名字,琪亚娜，卡斯兰娜,孩子，我骄傲的看着你一天天长大,成为律者的化身,你要记住，我们一直都是以智慧和力量统治崩坏,我相信你会谨慎的使用自己强大的力量,真正的胜利，是鼓舞你的子民心中的斗志,总有一天，我的生命会到终点,而你，将加冕为王,转自网易云热评"
