"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"希娜狄雅-","保密","贵州","21199106","5","","10000","6300","7","这琪亚娜第一眼我以为是格蕾修（带帽子）第二眼我以为是德莉莎（萝莉白毛）看完以后我想应该是琪亚娜，毕竟芽衣 布洛妮娅都有[笑哭]"
"丶DSJK","保密","黑龙江","43398954","6","","10000","3663","","对不起琪宝，没和芽衣和板鸭放一起玩甚至没第一时间认出来是你[笑哭]"
"HOYO-MiX","保密","上海","1401735960","6","","10000","3747","","《崩坏3》「纯真梦歌」线上音乐会定档8月27日20:00！让万象的音符汇聚成绚丽的萤火，点亮我们共同铭记的瞬间。#崩坏3##HOYO-MiX#"
"灬墨鱼瑜灬","女","湖北","645786439","5","原神","10000","1009","","好耶[崩坏3·光辉矢愿_遨游][崩坏3·光辉矢愿_遨游][崩坏3·光辉矢愿_遨游][崩坏3·光辉矢愿_遨游][崩坏3·光辉矢愿_遨游][崩坏3·光辉矢愿_遨游]"
"不想思考了怎么办","女","湖北","646614669","5","","10000","270","","虫虫……我的好琪亚娜，你真的越来越像岳母了，温柔知性文雅。,唉，遥想当年，你还是个可爱活泼的小傻瓜呢，这让我开心又难过[保卫萝卜_哭哭]"
"源代码灬","女","河北","434124648","5","EveOneCat2","10000","595","","芽总在猛1的道路上一去不回,板鸭在酷炫道路上越走越远,虫虫在热血笨蛋的路上。。。走着走着变成了软妹,我虫虫你怎么了？？？？？？？？？[崩坏3_路过]"
"自动不眠症","女","四川","269122733","6","","10000","228","","woc，琪崽这气质升华到我这个琪厨一开始都怀疑不是琪崽"
"箫盏碧湖","女","河南","399147591","5","","10000","2612","","现在御三家，芽衣和鸭鸭负责爆裂酷炫狂，琪崽负责……文艺优雅范……,这反差未免太大了罢(悲"
"旭光少年科斯魔","保密","江西","25026924","6","","10000","1430","","原谅我把琪亚娜幻视成了小格蕾修[笑哭]"
"紅塵陌上-风雨瀟潇","男","河南","630054424","5","","10000","842","7","爱之于我是花嫁是头纱,莉下的誓约是穿插生长在发间的花芽,希望于是蔓延成永恒的信仰,雅俗共赏往世明亮,因缘汇集无暇之愿景,你的意志将就此映照“真我”,而盛大而壮丽,在这个因你而在的故事里"
"Fantasy清音","保密","江苏","7690494","6","约战·狂三","10000","5","","讲道理，剧情和各种pv发展到现在，御三家的属性是真的翻了个圈儿，活泼闹腾的琪亚娜现在是越来越文静甚至经历最后一课、罪人挽歌、渡尘、薪炎永燃等事件后，硬生生憋出一种”遗孀“”未亡人“的气质来；而板鸭这边一开始好好的三无少女，自从理律化希儿回来后，后面的人设和pv里是越来越潮酷了，芽衣最开始好好的大和抚子人妻属性，从天命之战后开始越来越苦大仇深，罪人挽歌后开始越来越御，加入世界蛇、支配剧场、往事乐土，这一系列下来芽衣是越来越攻越来越御姐，现在甚至都成“芽总”了，我当初那么大一个温柔贤惠的人妻芽衣呢？？？"
"拿弓子的波塞东","保密","上海","504090336","6","","10000","34","","原 地 起 飞"
"卢西韦尔","保密","浙江","13760412","6","三周年恋曲","10000","43","","明明看到她现在成熟的样子，我应该感到欣慰的，但是不知道为什么，我还是怀念以前她无忧无虑，考试不及格，每回等我发工资就吵着闹着吃大餐的样子。我曾经喜欢过一个女孩，她天真烂漫，笑靥如花，却总是因为学习而烦恼。后来呢，后来我还是喜欢她，只是她再也不会对我像以前那样笑得没心没肺了。"
"空灵LML","保密","未知","128154158","6","","10000","9","11","去年音乐会爆料星穹铁道，今晚会不会有大的[思考]"
"xyxdlk","保密","安徽","1983552806","4","","10000","43","","关于白毛我的内心想法：,【白毛出场了】嗯，是白毛...等等，这谁？（第一反应）卡莲？...不是啊，卡莲发型不是这样的...（某一个镜头幻视）格蕾修？？等等，格蕾修是蓝毛啊...所以这谁啊（盯～～）,【镜头转走了】【拉回去】【再看一遍】【还是没看出来什么名堂】【镜头继续转走】【后面布洛妮娅芽衣陆续登场】（突然反应过来了什么）,我：...,我：？？？,别告诉我这白毛是琪亚娜！！,【镜头拉回去】【重新看白毛】还是不像，但是绝对就是琪亚娜,[来古-沉思][来古-沉思][来古-沉思]"
"蓝星小豆包Online","女","江苏","1820027014","5","EveOneCat2","10000","93","","我 我也不知道是为什么看到一个视频底下好多讨厌崩坏三的视频。,我觉得有差评正常，但是往下翻发现那个视频清一色都在说难听的话，觉得有点难过。,,突然就想跟你说一句，“我喜欢你，崩三。”,我喜欢琪亚娜，芽衣，布洛妮娅，德莉莎，姬子，符华，丽塔，幽兰黛尔，伏特加女孩，梅比乌斯，伊甸，阿波尼亚，帕朵，维尔薇，樱，爱莉希雅，渡鸦，千劫，瓦尔特，乔伊斯，爱茵斯坦，特斯拉，塞西莉娅，齐格飞……,,我真的很喜欢你们，不管别人怎么想怎么看。,,因为你，我也开始接触，原神，未定事件簿，崩坏学园2，米游社，米哈游……我前两天还买了未定的设定集，崩三的原画集因为现实原因没能肝，准备等上架花钱买。,,我觉得这真的是个好游戏。,,May all the beauty be blessed.,,期待第二次音乐会！！！我喜欢你崩坏三！我愿长久的祝福你米哈游！我爱你琪亚娜！！！,,我想和你共度更长更久的时光！,,我就是喜欢喜欢喜欢！！"
"龙潜念四","女","浙江","365484757","4","","10000","10","","沙漏破碎，出现了爱莉和虫虫，爱莉是始源，是最初的律者，在沙漏一端，而虫虫是终焉，也是最后一个，在另一端，没毛病吧，焯，虫虫，策划，你简直就是[大哭]"
"清风明月不胜人间闹市","男","河北","2085285878","5","","10000","50","","兄弟们，不是阿b搞的，是某些人集体举报，咱们也别乱冲阿b，以致被某些群体抓住把柄"
"我Bonn","男","黑龙江","36458195","6","hanser","10000","9","","说真的，无论是什么节奏，我都不建议带到游戏群体上去，地图炮行为不可取"
"wushvs","保密","江苏","128732175","5","","10000","19","","怎么变成剧了？据说有人举报，还和某四字游戏有关？什么情况？有人细说吗？[思考]"
"源代码灬","女","河北","434124648","5","EveOneCat2","10000","595","","芽总在猛1的道路上一去不回,板鸭在酷炫道路上越走越远,虫虫在热血笨蛋的路上。。。走着走着变成了软妹,我虫虫你怎么了？？？？？？？？？[崩坏3_路过]"
"丶DSJK","保密","黑龙江","43398954","6","","10000","3663","","对不起琪宝，没和芽衣和板鸭放一起玩甚至没第一时间认出来是你[笑哭]"
"鬼梦花新","男","广东","159426203","6","三周年恋曲","10000","1148","","和上次冬运会视频一样，虫虫负责优雅，芽衣负责耍帅,不知不觉的活成了对方的样子啊"
"HOYO-MiX","保密","上海","1401735960","6","","10000","3747","","《崩坏3》「纯真梦歌」线上音乐会定档8月27日20:00！让万象的音符汇聚成绚丽的萤火，点亮我们共同铭记的瞬间。#崩坏3##HOYO-MiX#"
"自动不眠症","女","四川","269122733","6","","10000","228","","woc，琪崽这气质升华到我这个琪厨一开始都怀疑不是琪崽"
"不想思考了怎么办","女","湖北","646614669","5","","10000","270","","虫虫……我的好琪亚娜，你真的越来越像岳母了，温柔知性文雅。,唉，遥想当年，你还是个可爱活泼的小傻瓜呢，这让我开心又难过[保卫萝卜_哭哭]"
"爱喝椰奶的奶希","保密","四川","403064151","5","异常生物","10000","240","","所以现在已经轮到虫虫负责钢琴这种高雅系了 芽衣负责帅炸我的屏幕,虫虫你看看你 你以前是三人组明显最热血系的你还记得吗"
"希娜狄雅-","保密","贵州","21199106","5","","10000","6300","7","这琪亚娜第一眼我以为是格蕾修（带帽子）第二眼我以为是德莉莎（萝莉白毛）看完以后我想应该是琪亚娜，毕竟芽衣 布洛妮娅都有[笑哭]"
"旭光少年科斯魔","保密","江西","25026924","6","","10000","1430","","原谅我把琪亚娜幻视成了小格蕾修[笑哭]"
"-大川-","男","山东","23243125","6","","10000","74","","爱琪党集合了[脱单doge]"
"终焉律者是凯文","男","四川","91838421","6","","10000","613","","音乐会节奏不会惯例有大的吧？？？？[疑惑][疑惑][笑哭][笑哭][笑哭]"
"是驯鹿不是狸猫啦","保密","重庆","8707385","6","","10000","1451","6","我曾见过耶路撒冷丧钟长鸣，我曾经见过佛罗伦萨明月孤影，我曾见过罗马的满天飞花，我曾见过君士坦天命之人追逐残阳，我曾见过加勒比的惊涛骇浪，我曾见过里斯本的天崩地裂，我曾见过北美宣言独立，我曾见过巴黎人民高歌奋起，我曾见过伦敦的蒸汽时代，我曾见过神殿内逆转末日，我曾在希腊成为半神，我觉得世界上没有什么景色能让我着迷了，直到我看见了爱莉希雅"
"link13","男","黑龙江","35030590","6","言和7th生日纪念","10000","320","","[崩坏3·光辉矢愿_小喇叭]请找到视频中所有出现的律者"
"夢裏啥都有","保密","广西","74136833","5","","10000","3162","","好耶[崩坏3·光辉矢愿_比心]"
"惠えりこ理子","保密","浙江","50993059","6","初音未来13周年","10000","122","7","卧槽[热词系列_知识增加]最近动画越来越多了终于要变真正的动漫公司了吗[崩坏3_路过]"
"agvkl","保密","广东","521700694","5","","10000","650","","爱莉！你真的好美啊！无所不能的你一定可以为我带来你的圣痕吧！！！！！！！"
"紅塵陌上-风雨瀟潇","男","河南","630054424","5","","10000","842","7","爱之于我是花嫁是头纱,莉下的誓约是穿插生长在发间的花芽,希望于是蔓延成永恒的信仰,雅俗共赏往世明亮,因缘汇集无暇之愿景,你的意志将就此映照“真我”,而盛大而壮丽,在这个因你而在的故事里"
"风枫M","保密","宁夏","497221676","5","崩坏3·天穹流星","10000","248","","萌新舰长先别急，先让老舰长们急[热]"
"尘楠-","女","上海","1149510464","5","","10000","102","","新初三没有什么梦想，就是希望上大学了崩崩崩还活着，很小的时候就玩崩崩崩，现在上不了号要好好内卷真的头秃[委屈][委屈]"
"灬墨鱼瑜灬","女","湖北","645786439","5","原神","10000","1009","","好耶[崩坏3·光辉矢愿_遨游][崩坏3·光辉矢愿_遨游][崩坏3·光辉矢愿_遨游][崩坏3·光辉矢愿_遨游][崩坏3·光辉矢愿_遨游][崩坏3·光辉矢愿_遨游]"
"蕉哥哥今天去Revue吗","男","山东","525681159","5","天依游学记·歌行","10000","149","21","以爱莉希雅的名义，一定要每天都开心呐，不然爱莉会难过的[崩坏3·光辉矢愿_比心][崩坏3·光辉矢愿_吃西瓜冰][崩坏3·光辉矢愿_大佬喝可乐][崩坏3_呼呼呼][崩坏3_吃饭团]"
"随影OvO","保密","江苏","472930307","5","","10000","114","","又有什么新游戏要在结尾发预告啦吗？[脱单doge]"
"天野つ阳菜","女","湖北","293238469","6","","10000","89","","怎么没有苏弹摇滚（[脱单doge]"
"深渊满分","保密","山东","422738697","5","","10000","73","","你们说崩坏4会不会在音乐会爆料"
"南柯一梦君似我","保密","湖北","24475845","6","崩坏3·天穹流星","10000","43","10","我发现就是爱莉化身星星，然后御三家每个人都抓住（陪伴）了星星，尽管没见过爱莉，但爱莉所化身的星星就在她们旁边。然后指挥家的意象不就是操控底下的乐器手们吗？但是爱莉隐藏在另一个时空，是否有给乐手自由的含义[崩坏3·光辉矢愿_比心][崩坏3·光辉矢愿_比心][崩坏3·光辉矢愿_比心]"
"越权访问的烤箱","保密","山东","545313549","5","异常生物","10000","109","","识宝修改了你的意识，你现在觉得她在指挥([doge])"
"臣名太尉","男","浙江","18374759","6","崩坏：星穹铁道","10000","299","","好好好[崩坏3·光辉矢愿_回眸][崩坏3·光辉矢愿_回眸]"
"夏雪deiswa","男","河北","399849844","5","崩坏3·天穹流星","10000","60","","让我爱莉能骑云鲸！就像识律御剑，呆鹅骑马，鸭鸭摩托那样！"
"伊雅萱","保密","四川","492078509","5","","10000","63","","27号刚好开学怎么办[辣眼睛]"
"逍遥1i","男","安徽","29519473","6","良辰美景·不问天","10000","49","","救救我吧，我爱莉武器歪了[大哭][大哭][大哭]"
"什字君","保密","江苏","85392791","6","风灵玉秀收藏集","10000","1290","","卧槽"
"vpivpivpi","男","浙江","156464114","5","","10000","1403","8","我艹"
"我有60根小布丁","女","上海","77321513","6","雪未来","10000","102","","别的厂商的收支平衡：那这个游戏赚的钱推广这个游戏，支出大于收入的项目准备砍掉,米哈游的收支平衡：用原神赚的钱把以前自己没完成的梦想先做完再说[脱单doge]"
"HYT2809","男","河南","296531555","6","","10000","85","","欲言 望IP 恐丢省面 遂止"
"舂葵","保密","福建","321904674","5","","10000","60","","昨晚问就是侵蚀律者入侵现实，又把爱莉删了一次，现在数据恢复了[微笑]小电视蚀律说实锤[大笑][傲娇]"
"守护素裳的微笑","保密","山东","354485455","5","","10000","56","","阿波尼亚:“侵蚀之律者，已然降临了”,爱莉希雅:“都说了要前进了”,真就4d体验，乐翻了[笑哭]"
"HopfRinow","保密","北京","2965888","6","2233幻星集","10000","51","","我好不容易存128充的b站大会员，你告诉我音乐会免费了？那我找谁炫耀去"
"简约river","保密","上海","32291048","6","原神","10000","42","14","果然琪宝是外攻内柔，越来越温柔了，快进到被芽总从乐图回来直接进行一个壁咚[崩坏3·光辉矢愿_小喇叭][崩坏3·光辉矢愿_小喇叭]"
"言葉の雨","男","福建","1790511","6","","10000","48","10","4D体验，不愧是买黑词条的侵蚀[哦呼]"
"夏川美月","保密","安徽","109469603","6","多多poi","10000","48","","琪亚娜真的越来越像塞西莉亚了！到时候跟姐姐一起去救臭老爸时，岳父大人一定会吓一跳的[大哭][大哭][大哭]"
"南舟客-希灵审查官","男","安徽","431163540","6","","10000","37","10","没有免费音乐会的，你不要急[崩坏3·光辉矢愿_吃西瓜冰]"
"小紫的小号","女","江苏","14829832","6","","10000","65","","新的音乐会开始了，让我们开始聆听崩坏乐团的序章吧！"
"卢西韦尔","保密","浙江","13760412","6","三周年恋曲","10000","43","","明明看到她现在成熟的样子，我应该感到欣慰的，但是不知道为什么，我还是怀念以前她无忧无虑，考试不及格，每回等我发工资就吵着闹着吃大餐的样子。我曾经喜欢过一个女孩，她天真烂漫，笑靥如花，却总是因为学习而烦恼。后来呢，后来我还是喜欢她，只是她再也不会对我像以前那样笑得没心没肺了。"
"若涼夕木","保密","河南","102735630","6","Kizuna AI","10000","58","","wow，原来某四字游戏的某些人确实离谱，看清楚了"
"喜欢黑暗的不止你一个","男","辽宁","286366141","6","崩坏3·天穹流星","10000","35","11","不是吧啊sir，老子刚花了50块钱买的装扮，你就是这么回报我的？"
"口耐蓝孩纸","男","吉林","35171156","6","","10000","34","11","竞价词为0，营销的钱是真的用来发原画集和办音乐会了，这是什么无暇之人啊"
"Lyinnn","男","福建","6175422","6","","10000","54","","芽衣：我是异能律者……,琪亚娜：我是异能律者！,爱莉希雅：我也是异能律者哦~,板鸭：……问问瓦尔特咋回事"
"琪宝巨TM可爱","男","湖北","359120375","4","崩坏3·天穹流星","10000","30","","m站的含金量"
"秋枫ヾ","女","湖北","34570890","6","2233白色情人节","10000","53","","又来音乐会[崩坏3·光辉矢愿_回眸][崩坏3·光辉矢愿_回眸]"
"风岚详玲","男","北京","3184854","6","#EveOneCat","10000","28","","槽卧[崩坏3·光辉矢愿_惊][崩坏3·光辉矢愿_惊][崩坏3·光辉矢愿_惊][崩坏3·光辉矢愿_惊]"
"初灵未央","保密","四川","53590942","5","","10000","25","","了解情况的各位可以去侵蚀回去，复刻一下（tnnd当完千人现在又是侵蚀）"
"我永远喜欢空門苍","保密","重庆","1051631577","5","","10000","74","","有的公司，玩家氪的金会用到刀刃上。,有的公司，玩家氪的金会用到刀刃上。,[崩坏3·光辉矢愿_吃西瓜冰][崩坏3·光辉矢愿_吃西瓜冰][崩坏3·光辉矢愿_吃西瓜冰]"
"新艾利都自由地区官方","保密","山东","3461563222591770","3","","10000","32","","这下侵蚀律者和千人律者合伙了"
"守护木叶的舰长","男","安徽","111786917","5","","10000","32","","我又来提醒各位啦，要战斗就尽快解决，我可不想在直播里看到一些妖魔鬼怪，虽然每次直播都有一些吧[傲娇]"
"三天两头睡大觉","保密","广东","327490613","6","良辰美景·不问天","10000","27","","侵蚀律者现实版，有人急了"
"男人怎么能不行","保密","广东","403144668","4","","10000","21","","尼玛也这芽衣自从去了世界蛇不仅不会做饭了，现在还玩起摇滚了[吃瓜]，可怜的虫自从没了芽衣跟没有灵魂一样开始弹钢琴修身养性了[吃瓜]，还好鸭还没怎么变，左拥右抱男主待遇[吃瓜]"
"落阳晨曦kl","保密","广西","456795014","5","","10000","40","","侵蚀之律者已然降临都说了要前进了"
"被爆打的方糖","保密","河北","6355115","6","冬季","10000","21","","所以呢，明天醒来最好有个解释啊蜀黍[热]"
"三个人的孤独探戈","保密","陕西","33224709","6","","10000","41","11","明年终焉的现实版是什么我都不敢想了"
"薇尔莉特-鸭","保密","广东","382202972","5","2021拜年纪活动专属","10000","21","8","好诶！"
"流星dada","男","山西","84089162","6","","10000","38","9","好耶"
"负荷不来","男","陕西","316548565","6","hanser","10000","22","11","朋友来了有美酒，豺狼来了有猎枪"
"_-HOMURA-_","保密","湖南","228334184","6","","10000","26","","hanser蒙眼[笑哭]什么千人律者[笑哭]"
"骗氪骗肝","女","河北","631412953","4","","10000","30","","((((不啊[无语]"
"-_-","保密","北京","405797810","5","","10000","22","","播放量完全不涨了 是锁死到下架前了嘛,米战的含金量 令人安心"
"忆落丶林","男","广东","384980579","5","崩坏3·天穹流星","10000","33","","两棺材板夹驴头 再来发天火圣裁"
"雪沫snow","保密","北京","23755426","6","","10000","21","","不会是有人急了吧[崩坏3·光辉矢愿_吃西瓜冰][崩坏3·光辉矢愿_吃西瓜冰]"
"摸鱼的久久","男","山东","1572258560","5","","10000","28","7","讲个笑话，爱莉的扮装，其他我不多说[微笑]"
"摸鱼的久久","男","山东","1572258560","5","","10000","23","7","侵蚀与千人的4D体验[热]"
"沐凌-Official","男","日本","31129221","6","登乐V计划","10000","35","5","感谢崩坏三！感谢米哈游！27号演唱会是我收到的最好的生日礼物！！！[BML2022_干杯][BML2022_干杯]"
"柊南ひいな","保密","四川","62897840","6","","10000","37","","50w本原画集我原以为已经是很有情怀的决定了，现在又用一年时间用心塑造了一个角色去传递mhy所理解的美好，又第二次用这种烧钱的方式回馈玩家的期待和付出，无话可说，我觉得我的钱花得值"
"叱-咤-月-海-鱼鱼猫","男","重庆","339870263","5","","10000","21","","打碟的鸭，蹦迪的芽，指挥的雅，弹琴的娅"
"拿弓子的波塞东","保密","上海","504090336","6","","10000","34","","原 地 起 飞"
"琳酱の猫","保密","广西","386459773","5","","10000","21","","散去吧，】】【），不是...好惹的..."
"_Handler_One","男","四川","400364471","5","","10000","45","","冰清玉洁雪之下"
