"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"邵牧桑","女","无IP","11862827","6","","10000","692","","上仙厨原地升天爆炸！我可以不要彼岸双生！但是单马尾阿符我一定得要啊啊啊啊啊啊啊啊！"
"Angolless","保密","无IP","176266619","6","","10000","1597","10","距离直播结束都过去三个小时了，你们才发布版本pv，这个仇，我先记下了"
"诸葛猛夫","男","无IP","106942332","6","乙女音","10000","8793","","夹板清洁工可借由两万八水晶召唤器，发射水晶石之光能量，并接受水之崩坏铠甲完成合体，成为崩坏勇士“黑希侠”"
"档案Archivare","女","无IP","19334905","6","","10000","4936","","新势力：世界蛇,领袖：凯文卡斯兰娜(上个纪元文明的英雄，人类最强战士),世界蛇潜伏在世界各地，甚至第一时间发现了琪亚娜的下落。,而蛇已离开了量子之海，相信在以后的剧情中会展现出更多的爪牙。,银发蛇瞳的新姐姐就是蛇仍然属于的片鳞。,而胜利，仍然属于“蛇”。"
"游城7十代","男","无IP","124799","6","碧蓝航线","10000","4314","","啊 是符华单马尾！ 我死了"
"奋斗de咸鱼","男","无IP","351258073","6","","10000","2423","","那些许愿的人听着，不管是什么，初次的观感都是最深刻的，第一次点进来的观众看到这些没有营养的弹幕，任谁都不会好受,况且大多数人的许愿得到的并非祝福，而是咒骂（指破坏弹幕观感），我觉得这种许愿已经完全脱离了「祈福」的本意，变成了一种形式了，而且是自私的表现,过去常常说b站弹幕不用开什么屏蔽观感就很好，现在的弹幕需要屏蔽，仔细想想，什么样的弹幕会被大家屏蔽？那就是大家讨厌的弹幕[蛆音娘_扶额]许愿就是个无意义评论好吧，希望大家真的想许愿也在评论里发，弹幕太影响效果了。,关于屏蔽，如果你不发，我们也用不着屏蔽了，对吗？还有的人还能打错字，屏蔽不掉这是最气的。[蛆音娘_吐血]"
"提瓦特冰雕大师","保密","无IP","177201029","6","崩坏：星穹铁道","10000","1611","10","00:33,MISSION AREA 0714,SECRET AREA/THE RAVEN,世界蛇新角色,名字(代号)是THE RAVEN,是四人中唯一一个任务地点为秘密区域的,,00:36,EOS COURSE SET,EOS 曙光女神,COURSE SET 路线设定,,00:38,TRANSPORT SHIP AP3-EOS,运输舰AP3-EOS,,EOS COMMANDER RATI,EOS指挥官丽塔,,FACTORY ZONE,工业区,,01:00,CAMERA FEED,画面是琪亚娜与浮华在一起,可能是实景,预示浮华现身,HELIOPOLIS MEDICAL的官方翻译是神城医药,,综上,13章应该是丽塔作为EOS号指挥官带队执行任务"
"哭砂酱","女","无IP","15606413","6","","10000","1477","","胜利属于蛇[2233娘_疑问][2233娘_疑问][2233娘_疑问]  ,九头蛇万岁[2233娘_耶]"
"秋水含黛眸","保密","无IP","398132641","5","","10000","2002","","越晚后出的角色越华丽，突然觉得幽兰黛尔还没出是件好事[doge]"
"初音Scallion","保密","无IP","195434841","6","","10000","4002","","赞我出希尔，没出的过来打烂我狗头[妙啊]"
"叁德森","男","无IP","82054722","6","至尊戒","10000","824","","希儿：另一个我，为了那个一直保护我们的姐姐，和我一起战斗吧！,黑希儿：真是拿你没办法。,童谣镰之灵魂扎帖，碎崩伏坏，灭于扭腰，平如镜水。,希儿：黑希铠甲，合体！,[doge][妙啊]"
