"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"ID-空白","保密","无IP","52296006","6","","10000","4140","12","这次的pv很好体现出了阿波尼亚被人忽略的一点——阿波尼亚身上的悲剧色彩。上天赐予她的能力既是天赐也是诅咒，她一次次尝试，一次次失败，最后陷入绝望。就连最后试图将她从命运中拯救出来的爱莉也已经香消玉殒了。但是她依然选择背负自己认为的罪孽，那些他人的恶意并没有阻止阿波尼亚对他们伸出援手。她是最强大的精神系战士，没有人能约束的自由之人。也是被命运紧紧束缚的无辜之人。"
"狂圣羽","保密","无IP","2058373780","4","","10000","3340","","阿波尼亚这个修女很特别，一般的修女给我的感觉都是神圣，善良，开怀的感觉，而阿波尼亚看起来就非常阴郁，仿佛看到了末世的不可救赎而陷入无所释怀的悲伤中，她的悲伤那么大，比任何人都要大，无法回避，无可挽回，她能够看到所有人注定且不可更改的命运，因此阿波尼亚希望所有人都遵从自己，不要难过，不要悲伤，她会给予他们无上的爱。,杨梦露的声音正是配出了这种神圣关怀的感觉（我非常喜欢杨梦露老师，她的声音太好听了），像是在母亲的怀中安详熟睡的孩子一样无忧无虑，即使在末世，仍有一个人会给予你全部的爱和保护。,但同样的，你也必须遵从她的戒律，她会沉浸且强制性地引导你去做她希望你去做的事情，像是不听话的孩子会受到妈妈责骂一样，劫哥就是一个叛逆分子，可怜的千劫呀，因为无法违抗妈妈的命令，只能哭喊着破口大骂：阿波尼亚你给我滚蛋！,转自某人[doge]"
"知觉沸腾","保密","无IP","36943177","6","乐正绫五周年生日","10000","4511","","简单分析下阿波尼亚,老规矩，话不多说直接开始[乐正绫_黑恶势力],个人认为苏和阿波尼亚是十三英桀中最难分析的两位角色，因为与他俩相比，其他角色要显得“纯粹”一些——例如科斯魔几乎扭曲的纯粹英雄主义，梅比乌斯自始至终都在为探索未知和死亡奉献，试图让自己照亮时代的伊甸……即使是千劫也拥有纯粹的心，鏖斗就是向他表达认可的途径。,但自打觉醒了「戒律」的能力，能够知见他人命运的那一刻开始，阿波尼亚就一直活在矛盾和痛苦中。她看见了每人的结局，她试图救下每个人，但结局却是让自己亲眼见证命运不可逆转。,她打心底里看不起某些放弃了生命的人，但她也打心底里想要将每个人从命运的提线木偶这一身份中挣脱。,如果说前文明在约束的惨剧和侵蚀律者事件中感受到了时代洪流面前自己有多么渺小，那么阿波尼亚就是早在得见命途丝线的那一刻就知道了人类的无力。作为具有母性光辉和圣母色彩的女士，她本应共享自己所爱的人们的生命，却提前看到了结局。,“我知我罪，我罪常在我前”，短短十个字便将她的悲剧色彩体现得淋漓尽致。,,然后，是爱莉希雅。如果说阿波尼亚是纯洁的门徒，爱莉希雅于她便是戴冠的人子。,热爱世人，用自己的「真我」真心对待每一位朋友，相信阿波尼亚也曾将爱莉看作自己大爱信仰的显现吧？,然而人子注定要戴上荆棘冠，要钉上十字，要用牺牲换来一个人间。这对阿波尼亚来说实在是难以承受的打击——,唯一能打破命运诅咒的人，能挣脱提线木偶的人，最后的归宿居然是如同耶稣之死、用自己的消亡换来全人类未知的结局——排列星辰之手将人类带往了某个明天。,她疑惑，她悲恸，她想要成为「世界」去见证人子的牺牲是否值得，她想看看人类究竟前往了哪个明天。,现在，给出答案的时刻终于快到来了。,挥舞天火的朗基努斯坐在王座上，等待着这个时代的卡斯兰娜。,而那一天，也许所有人都不会知道，一个叫爱莉希雅的女孩做了什么。,“嗨~你该休息啦！约好了，我们明天再见哦~”"
"绯色新生","保密","无IP","43179156","6","崩坏：星穹铁道","10000","14","","这个pv跟隔壁雷神的pv风格几乎是同出一源啊，我充分相信是同一批人操刀的，我觉得应该不会只有我一个人是这个感觉？这种风格的pv我非常喜欢"
"Kiraboshi绮罗星","保密","无IP","372784089","6","","10000","365","","阿波尼亚能够看见一定程度的未来，也可以改变过程，但唯独没办法让结果变得更好，往往她出于好心的干涉都会使得当事人迎来更加凄惨的结局[tv_笑哭]樱妹妹的悲剧也是源自于此，【戒律】带来的结果不一定是正面的"
"偏见盖事实狭隘惧畅谈","男","无IP","263323194","5","","10000","23","","看过很多小说/动漫/漫画，里面拥有预知能力的人都很悲惨，,因为自己总是能提前知道什么人要遭遇什么悲剧，然后自己却又无能为力，只能眼睁睁的看着未来的发生，少数人会有能力改变未来，但终究杯水车薪，代价不低，知道最后变的冷漠，变的学会坦然，然后又又被人认为太过无情。[tv_笑哭]"
"谭某摆烂","保密","浙江","3461576101202650","4","","10000","5","","回来考古，然后发现了未定（？）夏彦的烟斗，莫弈的怀表，陆景和的项链（是项链吧？不是陆推不清楚）左然的（暂时）没找到。米哈游你该死啊！在墓地里放这些！（第9章和12章被插了一刀[大哭]）是不是在暗示什么（未定最终的结局？"
"歹毒方向盘","女","江苏","356801593","6","初音未来13周年","10000","2","","妈妈下一次复刻什么时候[大哭]给妈妈换了专武但是没用妈妈的身影我哭了"
"不是时常","保密","无IP","344375918","6","崩坏3·天穹流星","10000","5","","看得到所有，却改变不了任何事，这才是真正的绝望,只属于预言家的绝望"
"Sennyuki风早千雪","男","无IP","23938690","6","异常生物","10000","231","12","《健康阳光，积极向上》[崩坏3_乆]"
"Mr小影","男","无IP","11444610","6","至尊戒","10000","3","","别出新角色了，赶紧把老角色加强下。我八重很久没出来了。"
"-漫天星月-","保密","无IP","322003546","6","","10000","19","10","我的好伊甸也要！[崩坏3_送你一朵花]"
"精分的咖喱君","保密","无IP","46717053","6","","10000","1105","","又和原宝一起放pv中门对狙，爱酱你很勇嘛[doge],可是包菜你知道吗？,原神有1074万关注，而你只有347万关注，如果舰长想把这个视频推上热搜第一超过原神，那么相当于每一个舰长要打3个旅行者。你不知道，你不在乎，你只关心你自己[委屈],，,，,但是，隔壁的最高也不过能猴出几十万伤害，而舰长抬手就是几百万伤害。,也就是说一个舰长的战斗力≈10个旅行者。,所以得出战局情况是3470万:1074万,优势在我[脱单doge]"
"眠于沧澜","男","无IP","651201560","5","","10000","151","","夏夏的烟斗，莫医生的怀表，小陆总的项链[辣眼睛]别告诉我未定是崩坏发生前的前文明"
"总是伤到胃","保密","无IP","25237554","6","","10000","51","","凯文给人的感觉是坚冰覆盖的火山，冰冷的外表下恐怖的力量在不断积蓄，等待着临界点的到来。阿波尼亚就像破茧失败的蝴蝶，在生命形态转换的过程中被重重束缚不断压迫，看起来差一点就可以展翅高飞，实际上早已在挣扎中耗尽了一切力量，只能慢慢的消亡"
"星幻翎羽","保密","无IP","352956784","6","","10000","77","","好家伙，崩二崩三原神轮着刀[藏狐]话说隔壁未定是不是也刀了？"
"永恒绿洲","女","无IP","543268216","5","","10000","9","","我超 我一个圈外人一见钟情了 就喜欢这种有负罪感的神职人员(如果不是请见谅) 请问崩三是跟原神一样角色有专属任务还是角色故事都在主线当中呢 如果是后者请问哪到哪是关于她的 如果贯穿全篇了我有时间看看吧(她真的好美 我没文化实在是没有太多褒义词的积累 啊 我是钕酮)"
"簇黎_","保密","河南","438559549","5","","10000","19","","阿波尼亚最后走的墓地有未定的刀子，合理猜测未定是崩三前文明故事"
"黯樱-","男","无IP","23371438","6","魔法学院","10000","263","","原神有1074万粉丝,爱酱只有347万粉丝,爱酱放出角色预告后，一个舰长要1打3个旅行者,但是，有芽衣在的话，就相当于有100个人的力量了，347万×100＝3.47亿,3.47亿＞1074万，所以优势在我[doge]"
"账号已注销","保密","河南","470560096","0","","5000","5","","夏彦怎么你了？[疑惑][疑惑]真就三年之期已到是吧？？[疑惑][疑惑]"
"飘来飘去的泡沫","女","无IP","25696930","6","","10000","469","","未定人震怒[tv_流泪][tv_流泪]怎么在隔壁游戏发刀啊"
"Mattice-J","女","无IP","411164707","5","","10000","122","5","最后看到在墓碑间行走的一瞬间真的被震撼到了"
"和夏彦在新家大do特do","保密","无IP","22933624","6","天官赐福动画","10000","211","","我超，还有未定的刀，米哈游你没有心[难过][无语]"
"精分的咖喱君","保密","无IP","46717053","6","","10000","1105","","又和原宝一起放pv中门对狙，爱酱你很勇嘛[doge],可是包菜你知道吗？,原神有1074万关注，而你只有347万关注，如果舰长想把这个视频推上热搜第一超过原神，那么相当于每一个舰长要打3个旅行者。你不知道，你不在乎，你只关心你自己[委屈],，,，,但是，隔壁的最高也不过能猴出几十万伤害，而舰长抬手就是几百万伤害。,也就是说一个舰长的战斗力≈10个旅行者。,所以得出战局情况是3470万:1074万,优势在我[脱单doge]"
"碎墨尘轻","女","无IP","24171005","5","罗小黑战记","10000","205","","在崩坏pv里面暗藏未定的刀子是吧[灵魂出窍]米哈游，你的编剧多少有点心理疾病"
"前缀不明的猫","男","无IP","32932042","6","","10000","667","","阿波尼亚姐姐有六只手，一双手用来与我牵手，一双手用来与我相拥，还有一双手，一起放到我的唇上，止住我的话语,“请把这些话留到以后，现在，我只想与你静静的度过这段时光。”,嘿嘿嘿，阿波尼亚姐姐，我的阿波尼亚姐姐，嘿嘿嘿"
