"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"时光暗宇","保密","广东","1185259260","5","","10000","5","","最近打完四十二章剧情，第一部彻底完结，再翻出来看一遍[大哭]舍不得啊"
"九重凛析","男","黑龙江","1456900295","5","魔法学院","10000","6","","第二季算是圆了一个美好的结局吧 毕竟……她们还没等到毕业，姬子死了，主教死了，琪亚娜即将永远留在月球，德莉莎成为了新的主教，上仙也不知道最后能不能活下来，无论怎么样，这样大团圆的毕业她们是等不到了"
"若得青叶飞","保密","无IP","16827643","6","2021拜年纪","10000","11","3","多少吃桃子的人连舰长是为了什么存在都不知道。就跑主线和这里刷舰长。[无语]那个啊？知道为什么后蹦男主要特意说一句不是舰长吗？所谓的舰长线遇到的全部角色都是为了舰长创造的这下懂了吧？然而主线和这个动画是为了叙述她们的人生。同时也是对玩家的感谢。"
"长生鸟-空中哨站","保密","广东","525130777","5","洛天依蝶变头像框","10000","16","","毕业后来考古"
"围城自困","保密","无IP","33278714","5","","10000","4","","再见，为了崩坏结束的那一天，我会为你祈祷获得不再被操纵的命运——即便代价是我不再被那个世界需要"
"DB火知音町","男","无IP","210928","5","","10000","5","","多模，我是前半夜看完少前更新之后随手摸过来的路人，游戏在二零年前半年玩过三个月左右，这种动作游戏苦手玩到后面打不过剧情关了就删游戏了，过过的关卡剧情只大概看了一遍不太记得细节，后面什么剧情就一点儿不知道了，而且一直是静音玩的没听过配音，在这个餐桌动画里第一次听她们声音,就是一口气从头看完了，感觉唱歌和配音都很棒，而且馋的地方馋甜的时候甜感动的地方也有感动，我也看完更了解了一点她们之间的感情线，ed画面每集都有变化，一集几分钟看得挺值的，能感觉出来做得很用心,我一个以前玩这个游戏的朋友去年退坑了，当时能感到他的愤怒但看完动画的时候就觉得角色本身还是可爱的,希望还有第三季[打call]"
"南宫旭光","男","无IP","155988633","6","","10000","17","","一天，整整一天，你知道这一天我怎么过的吗？你知道延迟一天播放对我来说意味着什么吗？这番可是我精神支柱啊！你以为我会轻易原谅你们吗？,,得加氵[doge]"
"狐冥蝶","保密","无IP","298688490","5","","10000","4","","所以未来再见是指不会有第3季了吗？(￣ε(#￣)☆╰╮o(￣▽￣///"
"我要看琪芽doi","男","浙江","365656069","5","崩坏3·天穹流星","10000","4","","太甜了，琪芽贴贴[崩坏3·终焉归始_燃起来了][崩坏3·终焉归始_电力充足]"
"账号已注销","保密","无IP","696711418","0","","5000","7","","怎么说呢，看到这个有种像看到崩坏三的最好结局的感觉，姬子没s,琪芽娜也还有以前的开朗，大家也都好好的，特别是听到《未来再见》的时候和看到琪亚娜他们穿着毕业服心里面就总有种不舍的感觉，就好像崩坏三真的到了结局是一样，当然这也只是感觉，总而言之，要是崩坏三也就这样那就太好了。"
"咕咕榜大王一念易","男","无IP","351087772","6","2233十一周年纪念","10000","4","3","开饭开饭[doge]"
"-__-阿巴-__-","保密","无IP","382471835","6","雪未来","10000","48","","在番剧里无脑开喷的人自重，有意见找ch去，番剧和配音都没惹着你"
"中二少年屉千言","男","无IP","310263248","5","","10000","5","","不知道为什么，我听着音乐，看着看着心里很感动，就是那种无言的感动，好吧，原谅我不知道怎么形容更加贴切，但是心里的触动我想每一个舰长都是可以体会到的吧。这是不需要理由的感动！"
"南明菌","男","无IP","393185198","5","","10000","9","","明明是一部温馨日常的番却不由自主的让人感到泪目。真的希望这才是琪亚娜她们真正的生活，就当崩坏的世界是一场噩梦吧。梦，总会醒的[大哭]"
"子安武不当人","男","重庆","415638301","5","","10000","4","","谁和我说这部番全是糖的[微笑]"
"一只天使羊","保密","广东","2681643","6","崩坏3·天穹流星","10000","4","11","未来再见，这首歌真是好适合现在"
"旺仔LYL","保密","四川","515574854","5","","10000","4","","她们的故事告一段落了，但我们还要继续，加油，休伯利安号的舰长[拥抱]"
"倚楼o听雨","保密","无IP","531900405","4","","10000","5","","崩坏以前玩的时候觉的琪亚娜性格无忧无虑 没心没肺的 但剧情到了最后一课时 太心疼琪亚娜"
"张洞之","男","陕西","381638030","5","","10000","4","","说真话，我看这个剧哦，我就莫名其妙有一种年代剧里面老一辈人在剧末回忆当初的艰苦岁月，然后对比现在的物质丰富的那种感觉。尤其是第一季的前几集，味道有点重啊。"
"张鸡乐","男","河南","238220028","4","","10000","15","","来来来，照相了！,123，茄子！"
"曹一西不太西","保密","无IP","66781693","6","hanser","10000","157","","本来看到一半嘴角疯狂上扬，结果给我来个岳父岳母的刀子一刀就把我捅自闭了，都完结撒花了还要给我补一刀，你要怎么补偿我的爱。,,结论：撒花全服送氵gkd"
"灵冥苍冰","男","无IP","349245607","6","格兰芬多","10000","1246","","我觉得这套学园毕业服装可以做成圣痕，谁赞成，谁反对[doge][doge]"
"-__-阿巴-__-","保密","无IP","382471835","6","雪未来","10000","171","","塞西莉娅齐格飞要是真出现不会砍了狗托吗？刚开始想炸死齐格飞，然后抢走琪亚娜最后不知所踪，复制体K423也被做成了容器复活了西琳。"
"幽漁安","保密","无IP","389326340","5","","10000","949","","西琳也能通过琪亚娜看到这温馨的一幕吧……"
"欧洲牌lsp咸鱼","保密","无IP","457026221","3","","10000","125","","！啥子以后就没饭了！！！不要啊！(;Д`)"
"终焉展翅的月光娜","女","无IP","148212869","6","崩坏3·天穹流星","10000","132","12","恭喜第二季完结！！！也恭喜崩坏三四周年庆祝"
"泡泡龙47","保密","无IP","49758477","5","","10000","781","","当你看到琪亚娜在舞台上看到齐格飞夫妇的幻影时觉得有多感动，到后面主线时发现自己是k423，到重返长空市时亲口对芽衣说出自己不是琪亚娜和自己不是齐格飞的亲生女儿时就有多么的难受[捂脸]"
"佐言没了","男","无IP","383752282","6","","10000","88","6","最后一刀好狠[大哭]"
"经验值-ExP","男","无IP","8366184","6","崩坏3·天穹流星","10000","1019","13","有缘再见，希望大家都能有一个幸福的结局"
