"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"崩坏星穹铁刀","保密","无IP","240179355","5","","10000","43","","有人说黑塔动作不自然还有膝盖有问题，这边解释一下，因为黑塔是个人偶"
"武田朝凪愛上陸","男","无IP","196905","6","","10000","62","","别发动态了，我怕绝区零误会[保佑]"
"是子墨哒","保密","浙江","272473600","5","2021拜年纪","10000","3","","求求了 别12+了 18+吧[大哭]"
"小寒qmp","保密","河北","3461575262341563","4","","10000","3","","致敬失去的年华，但愿代价为崩三结尾的失望不会成为下一个原神的结束"
"二次元党总元帅","男","无IP","384685008","5","崩坏：星穹铁道","10000","4","24","官方果然懂玩家，封面选的好[打call][打call][打call],黑塔好可爱，我想见真身[原神_哼][原神_哼][原神_哼]"
"jjbvgggg","保密","河北","374754824","5","","10000","3","","人才啊，不能下载放个立即下载，太人才了，这种人才不可多得啊。"
"shadiao辰","保密","江苏","1006907577","4","","10000","3","","感觉这几首歌更可能被央妈用吧[吃瓜]"
"游于三辅","保密","广东","520517145","5","","10000","3","","等星穹铁道的第....记不住多少天,穹宝没有你我怎么活[大哭][大哭][大哭]"
"caspian1004w","男","马来西亚","629292770","5","","10000","7","","我的评语是,排名：原神，绝区零，没了。。,星穹以二测来说 回合制需要多一点创新 吸引不到我这种喜欢开放世界的,当然如果是专吸喜欢回合制的玩家，就当我没说,如果是要拉喜欢别种游戏风格的玩家来玩星穹，以这玩法跟节奏是真的没兴趣（没说音乐，还是yyds。美术风格，有点不喜欢，感觉角色跟场景好像有一丁点说不上来的不违和）,说明一下 不是别游戏买来的 只是想说出我的看法 毕竟我是op 有兴趣玩mhy游戏的"
"蝶溅","保密","湖南","167425761","5","","10000","43","","有时候看到那些说再也不玩米家游戏的我感觉松了口气[笑哭]，太可怕了，冲崩三就冲吧，还拐到其它游戏。对着玩原的人说原也是这种下场，别玩了[笑哭]，我寻思你谁啊(_)。希望崩铁这种人少一点，我只是作为一个玩家希望2创下评论能和平一点，我看得开心一些[崩坏3·光辉矢愿_安详]"
"钟离天帝","保密","上海","1388675978","4","救赎","10000","3","","今天刷到这个视频，一听就很肝疼，受不了了[大哭]"
