"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"闇音Renri","男","重庆","37879715","6","","10000","4244","","曾经在欧洲早晨的街道上漫步时，在一个花店门口停下了脚步。 店主看到我，微笑着向我递上一支郁金香。浓郁的花香像是一条从森林中探出的小溪，偷偷地流进我的心里。 我几乎要沉醉在这花香里。店主笑着让我买几只郁金香回去。 但是我却将这郁金香叉回了土壤里，看着店主诧异的眼神，我只是微微一笑。因为，这郁金香再香，也没有三月七的浴巾香。[doge]"
"胤凝","男","广西","289826692","6","初音未来13周年","10000","991","","都别急让我先急，今天我就是急急国王[生气][生气][生气]"
"_降世神通_","保密","福建","629028068","5","","10000","608","","从隔壁pv跑来的旅行者你好呀[滑稽]"
"tyousaka","男","江苏","488468429","5","","10000","110","","这bgm有尼尔那味了[脱单doge]"
"o果蝇o","男","浙江","12264980","6","","10000","379","","我现在就要玩到崩坏：星穹铁道！"
"许淙沐","保密","山东","31106470","5","请吃红小豆","10000","63","","我看你也挺急的不然今天就公测了吧[鼓掌]"
"执心撵篆鸆摯辛","男","江苏","7318456","6","雪未来","10000","33","","重温这个ep真的是上城区和下层区的节奏不同：,上城区井然有序且慢节奏的生活下隐藏着的是裂界的不断侵蚀（sing sing song的清唱）,,下层区则是虽然暗潮汹涌但是人民的不屈坚强（sing sing song像是开采地髓工人们的号子，开头带些机械音的咿呀像小鼹鼠们的探险，又像机械聚落里各种自动机兵的引擎和鸣）"
"一见我就让我滚去学习","保密","陕西","416571606","5","","10000","27","","从隔壁提纳里pv跑过来的家舰长大人们[脱单doge][脱单doge]"
"文九反","保密","广东","477075039","5","","10000","28","","这真是一款神奇的游戏，估计刚公测就能体验别的游戏运营一年的内容真好，运营一款不存在的游戏，估计也是很辛苦且艰辛的吧！"
"歌德心冰冷","男","广西","148997583","5","","10000","57","","怎么你也发？今天米哈游吃华莱士了[囧][囧][囧]"
"沐成默","女","江苏","35940126","6","赫奇帕奇","10000","24","","在游戏里由于玩的时候都会一定量减弱音乐，所以你把这个音乐这个吟唱弱化后，会发现，好像在极寒的城市里，刺骨的风簌簌作响，它一丝一缕地割着你的耳朵你的肌肤，它甚至有些刺耳地让人感到不适。可是它又像是无助的信徒，在风中祈祷希望。那么痛苦悲伤，但又那么温柔。"
"靐哦哦哦","保密","广东","1335666354","5","","10000","26","","《崩坏：星穹铁道》EP：「雪融于烬」,,倘若你没有从远方赶来，,倘若我没有再许下允诺，,冰雪不会知晓火的温度。"
"无烟无酒小小ke","男","河南","73366487","6","","10000","16","","说句无关联的，这建筑莫名好符合我对诡秘之主世界建筑的幻想啊[妙啊]"
"孤独而喜","保密","四川","414360550","4","","10000","58","","快公测！！！！！！！！！！！！！！！！,孩子一刻都等不了啦！须弥怎么还没开！,绝区零呢！！！！！画那么多饼，孩子早饿啦！！！！！！[大哭][大哭][大哭]"
"账号已注销","保密","浙江","1830500526","0","","5000","12","","问一下，铁道是手游么[惊讶]因为米家都是手游下意识觉得是手游，但是看着又不像"
"1水风1","保密","湖北","12461932","6","星座系列：摩羯座","10000","18","","星穹铁道？这游戏不早凉了嘛，都玩绝区零了现在[脱单doge]"
"swich菜狗","男","广东","274947311","4","原神","10000","8","","我们的穹宝啊，因为没有拿到版号而无法公测，气的玩家们内心崩溃、又哭又闹，5555好可怜啊"
"FDG-椒盐鹿排","男","甘肃","569640649","5","","10000","8","","雅丽洛做的是真的好，相比之下仙舟罗浮只是个半成品，我宁可他1.2再上线仙舟"
"明日方舟-格雷伊","保密","河南","341853289","6","","10000","18","","哇哦，是雅利洛-4的存续之城！,天上地下，唯【嘿嘿杰帕德弟弟嘿嘿】独尊！,地上是垃圾桶之城，地下是打工人之村！,嘿嘿杰帕德弟弟嘿嘿！"
"苍灵子神","男","湖北","11155637","6","战双帕弥什","10000","31","","1:51处那个转弯，要不再改改？怎么是漂移过去的[笑哭][笑哭][笑哭]"
"关注東雪魔喵","女","山西","1967492921","5","","10000","50","","看你这么急，不如今天下午就公测罢[大笑]"
"先淦你大爷的剑来","男","广东","11051041","6","至尊戒","10000","28","","好家伙，最近绝区零太猛，把这游戏都给忘了[辣眼睛]"
"-纳西妲-","女","山东","222150","6","阿梓从小就很可爱","10000","15","","快点把科隆游戏展的pv放出来，赶紧公测吧等不及了"
"改名据说可以中奖","男","江苏","176106129","6","EDG战队","10000","15","","哇哦"
"卡亚杜尔","男","山西","13783360","6","","10000","26","","运营一个不存在的游戏肯定很辛苦吧[doge]"
"怪蜀黍来了","保密","四川","1480803","6","","10000","26","","米忽悠是想炸了我们的手机吗？崩崩绝原 让我的手机癌症晚期了[笑哭][笑哭]"
"靐哦哦哦","保密","广东","1335666354","5","","10000","26","","《崩坏：星穹铁道》EP：「雪融于烬」,,倘若你没有从远方赶来，,倘若我没有再许下允诺，,冰雪不会知晓火的温度。"
"欧欢子","保密","广东","512404791","4","","10000","25","","米哈游卷起来了，每天中午都创为我们[doge]，快创回去[脱单doge]"
"爱莉希雅yaa","女","四川","131375466","5","原神","10000","115","","速上，别折磨了[原神_哭哭]"
"野治阡敔","男","辽宁","520386292","5","","10000","25","","又和原神一起发，想验证我们爱谁多一点是吧[傲娇]"
"银银银银杏啊","男","福建","38317120","5","公主连结可可萝","10000","25","","好家伙学会和姐姐争了是吧[崩坏3_你好]"
"白百清right","男","广东","319388537","6","原神","10000","68","10","我在“不要急挑战”中取得了0秒的好成绩，打败了全国0%的人，你也来试一试吧"
"沐成默","女","江苏","35940126","6","赫奇帕奇","10000","24","","在游戏里由于玩的时候都会一定量减弱音乐，所以你把这个音乐这个吟唱弱化后，会发现，好像在极寒的城市里，刺骨的风簌簌作响，它一丝一缕地割着你的耳朵你的肌肤，它甚至有些刺耳地让人感到不适。可是它又像是无助的信徒，在风中祈祷希望。那么痛苦悲伤，但又那么温柔。"
"ZMI嗞糜","男","天津","491106286","5","","10000","24","","公测给我公测，我已经忍不住充钱了[傲娇]"
"交易失败的寄寄","保密","青海","648999951","5","","10000","66","","中门对狙是吧[doge]"
"歌德心冰冷","男","广西","148997583","5","","10000","57","","怎么你也发？今天米哈游吃华莱士了[囧][囧][囧]"
"支配者权限","保密","重庆","350858824","5","崩坏：星穹铁道","10000","28","","我吃过重庆面、陕西面、天津面、北京面，就是没吃过宁夏面[星星眼][星星眼]"
"孤独而喜","保密","四川","414360550","4","","10000","58","","快公测！！！！！！！！！！！！！！！！,孩子一刻都等不了啦！须弥怎么还没开！,绝区零呢！！！！！画那么多饼，孩子早饿啦！！！！！！[大哭][大哭][大哭]"
"一见我就让我滚去学习","保密","陕西","416571606","5","","10000","27","","从隔壁提纳里pv跑过来的家舰长大人们[脱单doge][脱单doge]"
"死鱼安乐的夕酱","女","江苏","4660407","6","","10000","42","","崩三崩铁原神中门对狙？你们三个部门都准时上下班是吧。"
"Ekihser","保密","吉林","432155314","5","","10000","20","","垂死病中惊坐起，崩铁三测在哪里"
"瞅见我请叫我麻溜学习","保密","山东","651764703","5","星座系列：双子座","10000","12","","小虎克[脱单doge]"
"名字什么不过浮云而已","保密","贵州","560298765","5","","10000","19","","所以为什么说mihomo很工口呢，他明明已经做好了，就是不给你，非要等到你受不了的时候才给你[doge]"
"濎躍魇逝","保密","山西","398427738","6","","10000","38","","我看你发pv的样子也挺急的，要不咱们意思意思[妙啊]"
"一般通过的美妙巫女","保密","陕西","241304130","6","初音未来13周年","10000","17","","虽然我不急，但我看你挺急的，不如现在公测罢[崩坏3_你好]"
"执心撵篆鸆摯辛","男","江苏","7318456","6","雪未来","10000","33","","重温这个ep真的是上城区和下层区的节奏不同：,上城区井然有序且慢节奏的生活下隐藏着的是裂界的不断侵蚀（sing sing song的清唱）,,下层区则是虽然暗潮汹涌但是人民的不屈坚强（sing sing song像是开采地髓工人们的号子，开头带些机械音的咿呀像小鼹鼠们的探险，又像机械聚落里各种自动机兵的引擎和鸣）"
"无烟无酒小小ke","男","河南","73366487","6","","10000","16","","说句无关联的，这建筑莫名好符合我对诡秘之主世界建筑的幻想啊[妙啊]"
"FIuffy_","男","江苏","375329473","5","","10000","29","","今天崩坏三，星穹铁道，原神都发了视频[tv_doge]"
"1水风1","保密","湖北","12461932","6","星座系列：摩羯座","10000","18","","星穹铁道？这游戏不早凉了嘛，都玩绝区零了现在[脱单doge]"
"画渣花大烙","保密","黑龙江","628554419","5","不稳定发电机","10000","28","","据说你们这个游戏有六个圣遗物[藏狐]"
"明日方舟-格雷伊","保密","河南","341853289","6","","10000","18","","哇哦，是雅利洛-4的存续之城！,天上地下，唯【嘿嘿杰帕德弟弟嘿嘿】独尊！,地上是垃圾桶之城，地下是打工人之村！,嘿嘿杰帕德弟弟嘿嘿！"
"文九反","保密","广东","477075039","5","","10000","28","","这真是一款神奇的游戏，估计刚公测就能体验别的游戏运营一年的内容真好，运营一款不存在的游戏，估计也是很辛苦且艰辛的吧！"
