"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"那菈笃欲","男","云南","694611229","5","","10000","437","","期待开服[OK]"
"爱爱爱爱莉呀","男","辽宁","360464798","6","","10000","254","","第一次三金 太爱你了穹宝"
"小黒妖缘东","男","无IP","10146475","6","2020拜年祭（鼠）","10000","7948","","零:娑婆物语,一：FlyMe2theMoon,二：崩坏学园,三：崩坏学园2,四：崩坏3rd,五：未定事件簿,六：原神,七：崩坏星穹铁道,,恭喜七妹诞生"
"分叉的宇宙","保密","无IP","413169579","5","","10000","40","","我给几个建议。,1.取消大招，改为多个小招。让玩家自由搭配。原来的大招动画可以定为能量积攒满后释放。不能积攒太快。,2.箱庭模式最大的问题是不能自由探索，那么内容更新就成为了重中之重。建议把重心放在剧情上，多到做不完那种。,3.技能要有属性和克制关系，要让每个角色都有上场的机会。,4.回合制很冷门，做好了也要经常联动，防止热度流失。这里建议和各类合适的日漫联动。,就算你不给我测试资格，我也要提建议！[原神_哇]"
"银色夜航星","保密","辽宁","538074924","5","","10000","62","","[滑稽][滑稽][滑稽]"
"你的影月月","男","无IP","431073645","6","","10000","31","","我，想玩。懂？[傲娇]"
"止音铌钛镁","保密","辽宁","2009001266","2","","10000","22","","我是新手，这运气算是很好吗？"
"浮黎星神","保密","未知","3493104510306572","5","","10000","18","10","考古发现pv全部都是实机内容，也就是两年前就做好了雅利安，那这两年只做了黑塔空间站和仙舟吗？"
"WL_Ikarus","保密","无IP","309051497","6","","10000","7","","总所周知，默认规则之2 : 如果mhy的评论区有褒有贬，那就是正常情况，可以放心游玩[OK]"
"HYPER-TECH","保密","无IP","289568979","5","","10000","8","","铁子？啥时候给咱们游击队整二测和公测啊？[doge]你不会还没醒吧[doge]"
"カセイ-Kasei","男","无IP","4069050","6","","10000","106","","PV里出现的熟悉面孔，恐怕只有老杨是我们认识的。[tv_doge]"
"洛琪希零贰六花希露菲","保密","无IP","321356919","6","","10000","23","","哎呀穹妹鸭 隔壁都500万了 你这还没公测就凉了[doge]要不你现在开服挽救一下[doge]"
"娱乐detective","男","无IP","472354179","5","","10000","217","","https://www.bilibili.com/read/cv13494880,对不起，来晚了,崩3剧情UP 第一个星穹解析，大家多多支持[大哭][大哭][大哭][大哭]"
"柏垩纪","女","无IP","297282277","5","","10000","35","","我觉得最好还是不要在姬子出场的画面刷琴团长比较好，虽说这个姬子来自另一个世界泡，但还是会牵动着每一个舰长的心。无量塔姬子是一个伟大且可敬的人，她为对抗崩坏的事业献上了自己的生命，这个另一个世界泡的姬子同样触动着我们，所以声优梗还是适度吧，但如果你想玩那是你的自由，我只是提个建议"
"876754","保密","无IP","402631836","5","","10000","31","","那一年的比赛，是崩坏3对阵原神，最终比分27-0。当时我看见崩坏3颓坐在椅子上泣不成声，这个画面我永生难忘。,,那一刻我在想，如果我能成为新游，我一定要赢下所有。如今内测就在眼前，我必须考虑这会不会是我此生仅有的机会。,,我相信崩坏系列能有过去的霸主地位，崩坏3功不可没。重铸崩坏系列荣光，我辈义不容辞!"
"唐泽小路","女","湖南","11246940","5","","10000","8","","感谢mhy！几个月前，四年多的感情被分手了，真的很难受很突然，但就是那个时候星穷铁道出来了，算是陪伴我度过了黑暗的这几个月，让我也心甘情愿地氪了[OK]"
"绝望魔神-伊斯莉斯","保密","无IP","411311692","5","","10000","7","","米家游戏测试第一天评分没有跌到6.0以下，多半是不行[doge]"
"空鸣逸雪","女","无IP","17893479","6","","10000","22","","关于为什么叫三月七我的一些考据：（只有我在评论区讨论一个日语彩蛋么w）, ,蔡浩宇第一个作品，同时flash大赛获奖的「娑婆物语」其中的主角名为，弥生奈奈月。,并在记忆片段中提到须弥、星空相关词语。, ,“弥生”是日本古历叫法三月。,“奈奈”是日语读音“七(なな)”的音译。, ,在「原神」稻妻主城的炼金台旁边，可以看见一个叫“弥生七月”的须弥学者NPC。,在「星穹铁道」里也有一个名字就叫“三月七”的角色, ,最近在考古游戏游玩过程中发现。"
"时研之人","男","上海","3044490","6","","10000","8","","现在回看这个pv，改动的场景还是挺多的嘛，很多这里面的场景都没有出现在正式版里，或者说是正式版里优化了不少场景的设计[吃瓜]"
"糖纸包着跳跳糖","保密","英国","619005095","5","","10000","26","","家人们，没玩过米家任何游戏，请问如果是这样的话，直接玩星铁会有什么影响吗？或者有什么建议？"
"kono白菜哒","保密","无IP","76697885","6","EveOneCat2","10000","539","","铁道欸，那我以后就是火车人？[热词系列_知识增加]"
"空美町","保密","无IP","168687092","6","","10000","2243","","姬子那个特写，awsl"
"八凶玄火拉姆达","男","无IP","14834160","6","","10000","774","","总担心这个老杨打着打着突然掏出一把劫灭然后大喊天动万象[doge]"
"23点熄灯","男","无IP","310108388","6","","10000","1787","6","我为天命流过血，我为逆熵扛过枪，我为世界蛇肝脑涂地，所以我要一个测试资格不过分吧！"
"赫萝老师","男","无IP","1351379","6","","10000","2309","","是姬子！"
"无敌喵Lalala","男","无IP","12551805","6","","10000","450","","这PV触动了我的DNA 。。"
"慕清隆_原铁代肝","保密","无IP","174945001","6","","10000","2279","","已经四个小时了兄弟们！,现在并未发现“pv抄袭对比”相关视频,我单方面宣布，黑子们输了！,两年没一点长进！！！[傲娇]  [doge]"
"白兰喽","男","无IP","2668411","6","原神","10000","398","","警惕评论区挑起米家游戏玩家对立"
"慵懒的貔貅","保密","无IP","57537032","6","","10000","1576","","这应该不是米哈游的旗舰作品，而且是早期测试版本，还是游戏实录，有瑕疵是很正常的，测试的目的就是为了让它变得更好，所以，请大家不要失望。[OK]"
"-麦粒太太-Ver-","保密","无IP","43367551","6","希萝Hiiro","10000","348","","我看看，让我看看！！！"
"T1saber","保密","无IP","97778251","5","2021拜年纪","10000","1141","","有人的粉丝数被刚出的2级号超过了，我不说是谁[doge]"
"我不管芽衣是功","保密","无IP","393548476","6","","10000","289","","就算我拿不到资格，你们一定要拿到[给心心]"
"浊泥净水","保密","无IP","136583005","6","琉晶之礼","10000","900","","下一站：崩坏4银河"
"虾米配白糖","男","无IP","22623479","6","良辰美景·不问天","10000","412","","这部作品就是来弥补mhy游戏类型单一的，要是mhy能将高质量发挥到各个类型的游戏上那将绝杀[doge]"
"-勃力灵梦-","男","无IP","204010319","6","物述有栖","10000","873","","mhy你又在用实机演示了，去画个pv好不好[傲娇]"
"账号已注销","保密","无IP","33219064","0","","5000","1625","","这几个男人我鉴赏定了！！！"
"粥粥的奇妙冒险","男","无IP","6768352","6","BW2021","10000","932","","在？给个资格[中国绊爱2nd_哭了]"
"和可莉一起去炸鱼嘞","女","无IP","67367638","6","","10000","320","","回合制其实也挺好的啊，感觉米哈游就是各种类型的游戏和玩法都慢慢去涉及到，包括各种活动时候的小游戏，让玩家有不同的一种体验，我真的觉得挺绝的。一个玩了崩三，原神，未定三坑玩家的一种感受[喜极而泣]～"
"DubyKun","男","无IP","31969967","5","","10000","623","","等等，fly me 2 the moon也算崩坏系列？,那崩学家可有的忙了[藏狐]"
"木小忄","保密","无IP","286382625","6","洛天依8th生日纪念","10000","286","8","下一站，银河？也就是说，这并不是正式的崩坏4，崩坏四:银河是真的，这只是个过度！[热词系列_知识增加][热词系列_知识增加][热词系列_知识增加]"
"圆桌骑土","男","无IP","291615315","6","","10000","778","","好耶 先预约上 考完试就来玩[脱单doge][脱单doge]"
"问肯局长是不是基","保密","无IP","23618219","6","崩坏：星穹铁道","10000","246","","冲啊[崩坏3_干杯][崩坏3_干杯][崩坏3_干杯]"
"改-放","男","无IP","32187114","6","","10000","968","","停！我还没上车呢！[藏狐]"
"暗区-弑神闪焰","男","无IP","316995978","5","","10000","828","","我只能说别瞧不起回合制[藏狐],希尔薇就是回合制[doge]"
"寒雪无忆曲江南","男","无IP","8040869","6","","10000","25051","","我现在就想玩！崩坏星穹铁道！[傲娇]"
