"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"某某的谢先生","保密","江苏","314137211","5","","10000","24283","","小青龙换了个皮肤又送了你一个十连，快说谢谢小青龙[脱单doge]"
"THGzZ","男","浙江","497533392","5","","10000","16384","","我在原神反馈了半年的体力上限，终于再崩铁里优化了[doge]"
"BV1134y1o7hi有惊喜","保密","重庆","486106105","5","嘉然今天吃什么","10000","13224","","这1.3版本的限定五星符玄和饮月君组合在一起，感觉能成绕口令[热词系列_知识增加],符玄丹恒不是浮悬丹恒，丹恒浮悬不是符玄来悬浮。符玄丹恒别想到浮悬丹恒，符玄不会浮悬，丹恒浮悬与符玄无关"
"七号N","保密","江苏","218782648","6","","10000","10848","","两龙会面"
"有生之年能看到吗","男","安徽","315622780","5","","10000","9923","","符玄头上那个帮她增强了思考能力，而且还是个外置物品，是不是真的可以插上线充电[doge]"
"非常可爱的七海酱","男","黑龙江","342768288","5","碧蓝航线","10000","7147","","丹恒：空间站引以为傲的模拟宇宙新玩法，居然这么荒唐。。如果这就是你们的规则，那我也有自己的规则！（变身龙尊）"
"天堂的幻想乡","保密","广东","364880005","6","","10000","5277","","好家伙预言家啊，崩铁的夏日盛典就有个符玄帮三月七找回记忆的二创"
"武灵潇","保密","天津","5434988","6","","10000","5235","","符玄是芒属性的吗？"
"Sayonara_T","保密","甘肃","414648952","5","","10000","4264","","说实话，符玄人设不是我的菜，但这技能特效好炫，想抽了[笑哭]"
"猫猫可爱捏啾咪","保密","广东","98860422","6","2233幻星集","10000","3726","4","今天是崩三鸭鸭的生日，也是我的生日，还有前瞻看！好耶！！！,祝我和大家的饮月君十连出出出，小保底不歪！！！"
"华硕笔记本硬盘","保密","福建","3494359857105230","4","2233幻星集","10000","3696","","话说仙舟的战舰还没见过啊，肯定和常见的星槎不一样吧"
"恣思","男","云南","214735084","6","","10000","3419","","丹恒已经练满了，打活动应该可以超进化对吧[doge]"
"千万个粉丝","保密","湖北","4244353","6","崩坏3·天穹流星","10000","2437","","忽然想起原神1.3版本的时候，那个时候随帝君出征的日子，不由感慨万千。不知不觉已经有这么多志同道合的同伴了。,米哈游加油！各位在生活中也加油！"
"不想再冲浪的梦忆","保密","江苏","543941787","5","","10000","2314","","20:52 这里的黑塔是真的又帅又好看[星星眼]"
"萝卜多可爱哦","保密","江苏","456314765","5","异常生物","10000","1924","","阁下的手搓子弹确实厉害，但是我是说如果如果我使用歼星舰阁下又该如何应对，哈哈哈笑死我了[喜极而泣][喜极而泣]"
"杀戮无法驾驭","保密","北京","694984063","6","","10000","1871","","所以说这个饮月君是新角色，还是像主角那样切换形态？好像都没有说[思考]"
"茜茜是笨蛋","保密","广西","290934666","6","","10000","832","","等镜流[兔年]"
"晴HARUaa","女","浙江","379772976","6","明日方舟-愚夜密函","10000","287","","穹宝你真的好好[大哭]"
"云兮鹤鹤","保密","广东","1107312120","4","","10000","143","","三连已成，许愿饮月！"
"和桐咕人","保密","安徽","353310853","6","","10000","967","","后备体力绝对是利好咸鱼的设计，比如说你这个版本不是很想玩了，那么可以直接退坑，后备体力的上限是2400，回复比是3:1，也就是说，后备回满需要30天。等你下个版本回坑的时候，等待你的就是2400加240体力，可以刷个爽。,虽然算起来三比一很亏，但是对于咸鱼玩家来说，就不必怕什么一两个版本不玩就跟不上进度了。"
"神里绫华の女友","男","安徽","249477052","5","原神","10000","3299","6","兑换码: ,RA2Q8CHG4ST8,KTKR8DYY4TCU,FAJ8RCGY5SVY,上半卡池:新五星饮月君·丹恒 属性:虚数 命途:毁灭(四星：驭空，艾丝妲，三月七) ,下半卡池:新五星符玄 属性:量子 命途:存护 新四星玲可 属性:量子 命途:丰饶 (四星：玲可，胡克，佩拉) ,活动: ,1.巡星之礼(签到送十连),2.金人旧巷市塵喧(版本活动，送素裳),3.寰宇蝗灾(模拟宇宙活动，此活动为常驻活动，活动结束玩法依然存在，但限时奖励无法领取) ,4.空间站特派(),新地图金人巷 ,新增4个同行任务(三月七，玲可，饮月君，卢卡),开拓力提升至240，且新增后备开拓力,新增手机更改壁纸功能"
"我是银枝大人的呜呜伯","女","四川","310764365","5","格兰芬多","10000","1300","","昨天：此原乐，不思铁,今天：此铁乐，不思原,崩三未定……,啊喂今天是崩三鸭生日啊，未定发了彦彦新思绪！舰长别忘了去给鸭庆祝生日抽西琳小天使哦，蔷薇别忘了去看思绪，旅行者也别忘了去看林尼传说剧情PV,绝区零？哦还活着就好（）,求它，来测"
"小不点不晓","男","四川","513207733","5","崩坏：星穹铁道","10000","20","7","那个给各位说下一下，希望各位不要介意，并且看星穹战斗力也很高所以说下,可以给大伙打一个预防针，星穹到现在，是可以提前预防和抵制一种人，就是那种看一个角色在剧情的排面确实很强很不小，他就搁那希望这个角色一定也要在游戏里面非常超模非常强悍非常人权，机制或者数值，或者两方面都得非常爆棚，最好是那种有的人和没有的人就是天差地别那种的，巴不得就只有自己有就可以称霸游戏，然后不管环境会不会乌烟瘴气造成不可逆影响和后果，就是希望要在强度方面能多放飞自我就放飞自我，经历过崩坏三的女王降临，阴阳师的须佐神启荒的人，自然知道这种看剧情为了就在那云游戏就因为看剧情排面怎么样就想决定这个角色强度怎么样的人有多烦了，前几天在QQ群也看到有人还不满足刃的强度，理由就是要对得起cg的排面，我都无话可说了,所以这种人我可以妥妥的五个字：没有任何好处"
