"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"应和凉风","保密","陕西","4544910","6","","10000","20089","","等抽到镜流，我要把她和刃、饮月、景元放一队，队名就叫“没有防御”，谁能抢到战技点就是谁的[doge]"
"雪辰沙","保密","广东","352751792","5","","10000","9705","","云上五骁：一个没好久活，一个没活了好久，一个好久之前就没活了，一个好久之前又活了，一个没了好久又活了[doge][doge][doge]"
"白草净华-幽宫启蜇","保密","江苏","1039965439","5","","10000","9439","","景元含泪斩镜流,镜流含泪斩阿刃,阿刃含泪含泪了,对，我搁这搁这呢[doge][脱单doge]"
"和青雀繁育","保密","浙江","524205666","4","","10000","9333","","卢卡使用叽米攻击敌人[doge],霍霍使用叽米攻击敌人[doge],托帕使用账账攻击敌人[doge],符玄使用青雀攻击敌人[doge]"
"冬逝春临","男","重庆","471429644","5","","10000","8320","","猛的发现，这回新出的角色都有宠物，托帕和扑满，桂乃芬和谛听，镜流和我[tv_doge]"
"雪辰沙","保密","广东","352751792","5","","10000","8164","","穹人牙膏，星穹列车唯一指定牙膏，专注美白牙齿一百年，开拓者用了都说好[doge][doge][doge]"
"牧月-忍冬","男","云南","111202477","6","崩坏3·天穹流星","10000","4421","","我一直以为期待着,托帕拿着金币拖着胀胀 像锄大地一般反复砸 边砸边狂笑边喊 “你呀你呀，欠债是吧”！！！"
"-夜雨声繁","男","湖北","77207087","5","","10000","4231","","美人，日语配音是南条爱乃，你这角色是不是会醒夫十八踢，还能靠召唤物随机引爆地板啊[doge]"
"武灵潇","保密","天津","5434988","6","","10000","4102","","桂乃芬:“鳞渊境的冰泉越来越贵了——哪里贵了？这么多年都是这个价格，不要睁着眼睛乱说，罗浮品牌很难的！”[原神_生气][原神_生气][原神_生气]"
"悦荠","女","安徽","639884183","5","","10000","3537","","[喜欢]第一眼就爱上了"
"仙儿鸽鸽","男","陕西","8544255","6","","10000","2422","","晚上好：,MBM7WFF5PECC,FSMPWFE56EUG,NT4NEEFM6EV4"
"一手恒宝一手司舵大人","女","安徽","502829720","4","","10000","2084","","白珩……云五的每个人都是我眼中的白月光啊[保卫萝卜_哭哭]这么看来镜珩两人真的太真了………这眼睛和白露一模一样，果然，白露的组成里面有白珩的一部分（但白露不是白珩！），白露看来也的确是曾经鳞渊境那条孽龙的转世了。"
"太平间的圆舞曲","保密","浙江","295729200","6","","10000","1509","","笑啊，刃宝，为什么不笑啊"
"llllllmyyyy","保密","河南","507521291","5","","10000","1131","","这是我的符玄[墨镜]"
"爱摸鱼的小团雀","保密","四川","291064069","5","","10000","1086","","阿刃单挑镜流，有刀子（警觉）[灵魂出窍]"
"绘画好难oTATo","女","浙江","483328735","5","","10000","735","","00:11 好亮的牙（）"
"星野爱あい","保密","河北","1180738145","5","美月もも","10000","611","","她真可爱"
"-初呓_幽莹-","女","广东","470956262","4","","10000","235","","大家中秋节快乐啊！！,别忘了兑换码哟[保卫萝卜_哇],MBM7WFF5PECC,FSMPWFE56EUG,NT4NEEFM6EV4"
"等风吹进她心里","保密","广东","3493269168195859","4","","10000","63","5","MBM7WFF5PECC,FSMPWFE56EUG,NT4NEEFM6EV4"
"阿萨奉献","男","江西","18554182","6","","10000","34","","MBM7WFF5PECC,FSMPWFE56EUG,NT4NEEFM6EV4"
"女人耽误我练剑","保密","浙江","516689701","4","","10000","191","","看到对战……[疑惑],看到崩可梦[星星眼],开始思索出现过的怪[思考],恍然大悟！[大笑],……,面对一位位狂裂猩、末日兽等高等崩可梦，贫民玩家难道就没有任何应对办法了吗？,今天由陆老师带来陆老师教你打对战之“替守毒”玩法！,出来吧！兴风者，对敌方使用风矢！（敌方进入风裂伤负面状态）,然后就是你，红绿灯，使用守住！,最后一步！魔阴身士卒！使用替身！,YADAZE！不起眼的崩可梦也能打出高端操作！不要看不起凡骨们的意志啊！[歪嘴]"
"唯她与秋同在","男","浙江","402364326","5","","10000","886","","@亚食人 来看胀胀，噢不账账[doge]"
"珍珠老鼠至尊2000型","女","陕西","25892810","6","","10000","793","","所以这次终于要讲清楚故事线了吗，我看到他们互殴的时候我脑子里居然是说起来有点地狱,一刻也没有为阿刃哀悼，立刻前往战场的是镜流,一刻也没有为镜流哀悼，立刻前往战场的是景元,一刻也没有为景元哀悼，立刻前往战场的是丹恒"
"灵夢QAQ","男","江苏","174360611","6","良辰美景·不问天","10000","33","","1.4的镜流同行任务我已经猜到是什么剧情了，容我说一下,镜流邀请丹恒去聚会，爷极力劝阻丹恒不要去，最后丹恒真的没去。,,你拒绝了镜流的邀请，很少会有人这么做，但这正是你拥有真正的自由意志的证明（）,不要问我是怎么想出来的，我才没有不帮妈妈[墨镜]"
"月亮追随者","保密","重庆","1794800208","4","","10000","95","","所以应星到底出不出"
"艾雅法拉的男朋友","男","福建","335790201","5","","10000","149","","你怎么知道我长草了"
"格莉丝_霍华德","女","山东","619121961","5","","10000","14","","三月七甚至给了十管体力，三月七，我的超人"
"眩月病","男","天津","42504408","6","","10000","5","","了不起，太阳在中间，,左边是比山峦还大的机械巨人，为战争和建造而生。右边是高楼，如林立在世界各处。"
"开心超宝","保密","广东","1077507547","3","","10000","6","","看来之前刃说去找亏欠很多的人，应该就是白珩化为半龙之后的转世了，然后和镜流狭路相逢，两个都是我喜欢的角色，哪个吃瘪都心疼啊啊啊，超期待到时候星铁的发挥的，希望能像饮月君临一样震撼我，镜流永远值得啊啊啊啊啊啊啊啊啊啊啊啊[打call][打call][打call]"
"天霆凯少","保密","日本","319947403","6","三周年恋曲","10000","9","","好消息！送了十管体力！,坏消息！我居然tm激动的不知道该咋挥霍了[大哭],三月七不愧是吾妻，爱了[大笑][给心心]"
"此心归明","男","河南","457020396","4","","10000","59","","有个问题啊，在景元小时候镜流已经是云骑将军了，景元在驭空同行里提到他是看着驭空长大的，现在驭空已经年龄不小了，那么镜流多大了呢[doge]"
"Tigir2","保密","广西","327510875","5","公主连结可可萝","10000","16","","镜流：谢谢你，景元，这一次大概是永别了,景元：等一下师傅！应该还有别的办法,镜流：或许吧，但……这是我的使命"
"欧阳乐玄","男","湖北","28126249","6","崩坏：星穹铁道","10000","13","","一场梦魇的惊醒，一场久别的欢聚…阴霾消散，覆雪下的往事随霜而来。,,中文CV：,托帕——陆敏悦,镜流——杜冥鸦,布洛妮娅——谢莹,乔瓦尼——赵梓涵,掘掘博士——胡艺,,日文CV：,托帕——南条爱乃,镜流——桑岛法子,布洛妮娅——阿澄佳奈,乔瓦尼——坂卷学,掘掘博士——江尻拓己,,英文CV：,托帕——Sam Slade,镜流——AmaLee,布洛妮娅——Madeline Reiter,乔瓦尼——Jason Marnocha,掘掘博士——Samuel Drake,,韩文CV：,托帕——,镜流——,布洛妮娅——,乔瓦尼——,掘掘博士——"
"柒蓂","保密","四川","164847103","6","罗伊","10000","5","","穹宝终于有新镜头了，终于不再是旧镜头或者敷衍的实机录屏了，落地的镜头好帅，不过开头的闪亮牙齿好好笑哈哈哈哈"
"墨兰瞳者","保密","广东","178431726","5","","10000","3","","云上五骁，该是彼此告别的时刻了。,那我只能说，云上五骁将来必定还要重逢！！！,要知道，上一个说“这一次大概是，永别了”flag的人压根没有永别[脱单doge][脱单doge][脱单doge],期待重逢~"
"小敢","女","未知","642228","6","","10000","260","","小桂子要来啦！[脱单doge][脱单doge][脱单doge][脱单doge]"
"捉妖二把刀","保密","广东","38149642","6","","10000","22","","从很多地方可以看到镜流师徒三代的传承,镜流曾问过景元有没有教过彦卿如何对付魔阴身，“一剑贯穿丹腑，断其生息”，后续景元应对拿丰饶做身体的幻胧的时候，神君的攻击部位正好呼应了这种做法,镜流的大招“天河泻梦”，彦卿在和丹恒刃交战时的大招叫天河泻"
"你的爱还不够啊","男","山东","164505404","6","","10000","17","","武器池分开、不过节的自选四星、越来越方便的系统优化、每个版本的十连等等，原宝再不努力我要离开你了[傲娇]"
"末ウィカ","保密","福建","394108112","4","","10000","422","","崩铁都可以玩崩魔了，为什么我原神还不能玩原魔，崩铁领先两年半了属于是"
"挚愛惟三","男","浙江","21938233","6","雪未来","10000","11","","cv正确（都是杜冥鸦）,属性正确（都是冰系），武器正确（都是用的刀剑），设定正确（都有美好的过往但是都转瞬即逝），似李，冰八（）"
"一九八二年的咸鱼","男","重庆","76959398","6","","10000","213","","镜流必不可能歪[墨镜]"
"傾澄の","保密","广东","610749220","5","公主连结可可萝","10000","234","","FSMPWFE56EUG,MBM7WFF5PECC,NT4NEEFM6EV4,大家记得明天中午12点之前兑换，祝大家可以出自己喜欢的角色，大家中秋节快乐[崩坏3·光辉矢愿_比心]"
"DDDADAI","保密","未知","23377742","6","","10000","171","","前瞻直播用自机角色完美3D直播，复刻分单独卡池，直播完送十罐体力，活动一图流连送十连都懒得写进去,,这就是崩坏：星穹铁道，新世纪的完美游戏[打call],,接下来我要点名一款二字游戏[脑洞波系列主题装扮-贝拉_戳手指]"
"墨夕飘雪","保密","浙江","30891992","6","","10000","161","","镜流那一段云上五骁音乐和场景总让我想到仙剑，那种前世今生的物是人非和宿命感[tv_大哭]"
"到别人","保密","山东","1366132431","5","","10000","113","","晚上好[墨镜]"
"琉璃璃璃璃丶","男","福建","2091206296","4","","10000","72","","你干的好啊，我之前还在担心两把专武会不会塞在一起[保卫萝卜_哭哭]结果你给我分两个池子，我要狠狠的表扬你"
"杜鹃衔叶","保密","云南","514752316","4","","10000","35","","不装了是吧"
"讨厌下雨的天气","保密","吉林","431383004","5","","10000","60","","云上五骁…那几个割裂的过去和现在重合的画面真的好好哭，百年内聚合离散[保卫萝卜_哭哭][保卫萝卜_哭哭]"
"倒霉蛋Leaves","保密","江西","1442992643","4","","10000","53","","咳咳[脱单doge][脱单doge],NT4NEEFM6EV4,FSMPWFE56EUG,MBM7WFF5PECC"
"景元将军出门牵我","女","山西","36892601","6","地中海","10000","23","","将军额发这种略低头就能遮住表情的设计真的好喜欢[委屈]景元元看到这番故友打架的场景，心里是怎么想的呢[难过]总之老米请你轻点虐将军[大哭]"
"桐谷和人KIRITO君","保密","广东","8532158","6","公主连结佩可莉姆","10000","23","","吃饭啦[崩坏3·终焉归始_燃起来了]"
"戏命戰良","男","山东","44952198","5","崩坏3·天穹流星","10000","59","10","活下去，景元，这就是，最后，一课，了~"
"明天就和学习结婚","女","河北","476452995","5","","10000","21","","感觉……就是了,丹恒同行：将异族纳入龙族血脉,丹恒故事：埋葬故友的碧血，或创造许久未见的新生——又或许这两者本是一体,主线蜃影：镜流“只有龙尊能进入这里”“我只是想再看她一眼啊”,景元语音：希望她这一世一切安好,是白珩吧，希望你一切安好啊（哭晕过去"
"萤火向远心","男","广东","213182714","6","","10000","40","","MBM7WFF5PECC,FSMPWFE56EUG,[妙啊]"
"叱咤月海鱼喵喵","保密","上海","34684528","6","实验品家庭","10000","30","","晚上好：,MBM7WFF5PECC,FSMPWFE56EUG,NT4NEEFM6EV4"
"有生之年能看到吗","男","安徽","315622780","5","","10000","30","","桂乃芬你用谛听点炮仗，我缺的谛听，谁给我补啊[傲娇]"
"吾帽飞之","保密","上海","671092948","4","","10000","27","","星铁端水端的就很好，女主一个版本，男主一个版本。这里我要点名批评一款二字游戏"
"邪极龙皇","男","福建","382093643","5","","10000","35","","我去，除了镜流还有景元丹恒刃，这个版本应该就有五骁的终结剧情了吧[doge][星星眼][星星眼][星星眼]"
"兰那罗兰拉娜那菈拉娜","男","澳大利亚","226754712","6","","10000","23","","有没有大的hxd告诉我下版本还送不送十连啊？[崩坏3·终焉归始_？]"
"天道修羞","男","广东","82672242","6","","10000","22","","日配托帕请来南酱来配，镜流的日配昭和声优桑岛法子更是重量级，两位都是能唱歌的声优，桑岛法子除开声优还是位舞台剧演员，演技也是过硬[tv_点赞]"
"磁爆步兵54","男","浙江","3443416","6","","10000","120","","来跟我一起喊,托帕总监女士万岁！[打call]"
"Drrrado","保密","天津","37879795","4","","10000","23","","云上五骁，该是彼此告别的时候了[大哭]"
"落木_zZ","保密","安徽","173296222","6","","10000","23","","这尊猪灵唤做「账神霄雷府总司驱雷掣电追魔扫秽天账」是从古书里看来的称谓，只是名字太长不好记，便掐头去尾简称为「账…账」[doge]"
"除除除除除不开","保密","浙江","507426671","4","","10000","19","","兄弟们三月七又送了十管体力[大哭]他真的"
"ChoLe_","保密","湖北","498706220","5","","10000","18","4","嘿嘿"
"白冥sj","女","湖南","294745658","5","","10000","23","","把刃速度端上来[脱单doge][脱单doge][脱单doge]"
"卧染","保密","广东","1156090245","3","","10000","14","","嗅到了刀子的味道，云上五骁，终究是要和过去告别了……以及猜一下这张图里对应的角色，有红绳那个是应星/刃，旁边那只手是饮月，白色袖子是景元，镜流旁边那个是白珩"
"至冬国悍妇","保密","四川","122431280","5","","10000","13","","今日中秋不噶人，团团圆圆随月饼"
"苦瓜不苦xwx","保密","陕西","1473340949","5","","10000","11","","她真好看，许愿660抽6+1。[给心心]"
"无落之言","保密","安徽","383133357","6","","10000","20","","MBM7WFF5PECC"
"你的爱还不够啊","男","山东","164505404","6","","10000","17","","武器池分开、不过节的自选四星、越来越方便的系统优化、每个版本的十连等等，原宝再不努力我要离开你了[傲娇]"
"百羽行风","保密","广东","104516412","5","","10000","15","5","米哈游，我要谛听，什么时候给开拓者一个当跟随宠物，崩原都有了，好喜欢它小短腿跑起来时都脚步声[大哭][大哭][大哭]"
"397452","保密","辽宁","3467286","6","","10000","15","","卡夫卡联动的炫迈 是卡夫卡嚼过的吗[害羞]"
"将军一米二-w-","男","甘肃","14603635","6","","10000","15","","fsmpwfe56eug"
"泷星白","保密","广东","451600121","5","","10000","14","","穹魔诶，下版本最期待的活动[星星眼]，我现在就想玩虚卒，冰斧，扑满[doge]"
"低等级圣卡西","女","山西","89017557","6","","10000","10","","景元是不是要憋个大的"
"神印天徒","男","广东","1705575","6","","10000","13","","今天这直播是真不错，梗太密集了我都笑疯了，3D角色来直播这种形式建议大力推广！！！[星星眼][星星眼]"
"火崽","女","四川","135456035","6","","10000","13","","在我遗留的记忆里，唯有你是彩色的。"
"岭南阳木","男","湖南","526647620","5","","10000","9","","没水印的白珩"
"原来姹紫嫣红看遍","保密","北京","98847349","6","","10000","13","","虽然平时都觉得云上五骁爱恨情仇恨海情天时代姐妹花什么的……但是听到“该是道别的时候了”，还是无法抑制地感到了纯粹的哀伤……"
"普通的上班族罢了","男","湖北","387737090","5","","10000","12","","yysy，第一次见刃的表情透露出这么多感情，包括不仅限于愤怒和压力[保卫萝卜_哇]"
"香橙味的柠檬水","保密","广东","1438548963","5","","10000","12","","希望云五有一个好的散场吧……大家都要向前走啊一定"
"cc糊涂小觉","男","江西","524889407","5","","10000","11","","pv放到白珩的时候，真的绷不住了[大哭][大哭]"
"请您勿要白日做梦","女","辽宁","505393481","4","","10000","11","","那以后白珩能不能进卡池啊 太喜欢了[大哭]"
"涌鑫724","保密","江苏","2060230136","4","","10000","11","","我艹啊！[大哭]还有好长一段时间，我在学校蹲苦牢"
"不正经的小劉","保密","四川","647508437","3","","10000","8","","啊啊啊啊她好好看啊[tv_鬼脸]"
"空心结衣","女","安徽","5681915","6","","10000","11","","托帕证明不是马老师的问题"
"良什么-_-","男","未知","16976804","5","","10000","7","","你永远可以相信B站的排版"
"圣心Fckle","保密","浙江","78394457","6","quin和他的朋友们","10000","7","","[生如夏花_晕厥]"
"用笑对待","保密","北京","33029322","6","","10000","16","","NT4NEEFM6EV4,,FSMPWFE56EUG,,MBM7WFF5PECC"
"在痛苦中摸鱼","保密","浙江","3461574465423466","3","","10000","6","","帅哥，你好，不是你谁呀"
"404fujvdf","保密","安徽","1157602126","4","","10000","6","","意义明确的运镜"
"万叶歪生无可恋","保密","安徽","604978189","4","","10000","6","","实不相瞒，给镜流第一天刷出来的"
"废纸Yooo","男","广西","3162588","6","格兰芬多","10000","10","","米哈游是不是和白毛狐狸有仇，狐斋宫也寄了"
"狗胖娃","男","四川","22845857","5","崩坏3·天穹流星","10000","10","","崩三1.4出八重樱（杜冥鸦），造就了勿忘神话（冰）。,崩铁1.4出镜流（杜冥鸦），也是冰系。会不会又创造出另一段神话[脱单doge]"
"樊赤ds","男","浙江","499582189","4","抖个姬灵-头像挂件","10000","10","","他还让三月七给我送了十管体力我哭死"
"荼诃依旧","女","四川","2000435496","5","","10000","14","","德莉莎是卡莲的复制体，虫虫甚至直接是人造律者容器，她们有没有厨子天天受不了冲官方嘛[微笑]白露有白珩的DNA，是孽龙所化不是但凡看了剧情就知道了吗？就原铁的所谓角色厨天天喊受不了啦，搞得跟饭圈一样[微笑]"
"捏捏四不像","男","湖南","648026888","5","崩坏：星穹铁道","10000","9","11","行行行好好好，看完直播就发。,不愧是你。[脱单doge][崩坏：星穹铁道_心][崩坏：星穹铁道_心][崩坏：星穹铁道_冲鸭]"
"鹅额鄂恶哦","保密","广东","3493082444073848","4","","10000","9","","静流捅应星，应星捅丹恒，丹恒捅景云，景云捅静流，挺合理的。"
"天霆凯少","保密","日本","319947403","6","三周年恋曲","10000","9","","好消息！送了十管体力！,坏消息！我居然tm激动的不知道该咋挥霍了[大哭],三月七不愧是吾妻，爱了[大笑][给心心]"
"归黎月","男","福建","454116845","6","灵笼","10000","9","","镜流那段音乐瞬间有一股仙侠的味道了，太好听了，可惜太短了，听不够"
"宇宙万物皆可焯","女","黑龙江","1320595263","5","","10000","9","","入魔的镜流vs死不了的应星,只有疯子才能了解疯子，也只有疯子才能击败疯子，直到执念消亡，身形共灭，才能获得解脱，得到救赎吧"
"山三锦临","保密","山东","449139696","5","","10000","8","","难道只有我一个人看到云上五骁的过往与现在感觉很难受吗"
"渔柒io","保密","四川","177100265","5","","10000","8","","债务人是收债的,托帕也是收债的,债务人是火属性的,托帕也是火属性的,债务人服务于一个大势力,托帕也服务于大势力,破案了兄弟们[doge][doge]"
"-Super娇-","保密","河南","275560625","5","","10000","8","","卢卡使用叽米攻击敌人[doge],霍霍使用叽米攻击敌人[doge],托帕使用账账攻击敌人[doge],符玄使用青雀攻击敌人[doge]"
"nisicisin","保密","浙江","3791067","6","","10000","8","","有不好的预感，理论主角没有回雅利洛的理由啊，怎么会有剧情啊，怎么解释啊？别所有模式都学原啊，有些设定上就很难圆[辣眼睛]"
"列车长_帕姆","保密","福建","407714769","5","","10000","8","","兑换码列车长整理在这了，帕,MBM7WFF5PECC,FSMPWFE56EUG,NT4NEEFM6EV4"
"小不点不晓","男","四川","513207733","5","崩坏：星穹铁道","10000","8","7","托帕，我承认你是一个很聪明的女人，是一个有理财商业头脑天生适合当商人的天才，我有一个猫猫也和你不相上下，但是，依然不如我家的帕朵猫猫,托帕：为什么，我怎么不如那只猫了,我：我家猫猫和你不一样你也学不了一个特点是独一无二的，那就是他会给自己重要的人和经历了一天疲惫的我，给我开门，我会问她，你想我吗猫猫，她会傲娇的说：我不相思,托帕：6，糖吃多导致的"
"欧阳乐玄","男","湖北","28126249","6","崩坏：星穹铁道","10000","13","","一场梦魇的惊醒，一场久别的欢聚…阴霾消散，覆雪下的往事随霜而来。,,中文CV：,托帕——陆敏悦,镜流——杜冥鸦,布洛妮娅——谢莹,乔瓦尼——赵梓涵,掘掘博士——胡艺,,日文CV：,托帕——南条爱乃,镜流——桑岛法子,布洛妮娅——阿澄佳奈,乔瓦尼——坂卷学,掘掘博士——江尻拓己,,英文CV：,托帕——Sam Slade,镜流——AmaLee,布洛妮娅——Madeline Reiter,乔瓦尼——Jason Marnocha,掘掘博士——Samuel Drake,,韩文CV：,托帕——,镜流——,布洛妮娅——,乔瓦尼——,掘掘博士——"
"小梅同学呦-_-","男","江西","386092430","6","星座系列：双鱼座","10000","8","","继李春胤（鱼冻）之后，马老师也实名上网了[崩坏3·光辉矢愿_吃西瓜冰]"
"故辞-_-zxc","保密","辽宁","1494554918","5","万界仙踪","10000","7","","那什么，快12点了，别忘了换兑换码"
