"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"农药","保密","上海","84401","6","","10000","1665","","有几个细节。,1，银枝自己出现在列车上。这是之前从未发生过的事。连卡夫卡都只能以虚拟影像出现。,2，银枝语气显然认识列车上的人，至少是列车上的某个人。但列车上的人不认识纯美派系的人。符合这个人的标准的，好像只有一个……,3，银枝显然是站在列车这边帮忙的。,4，最后回应的人是……三月七。"
"YanoProject","女","日本","1524710","6","罗伊","10000","10912","","银枝：先生，耽误您一点时间，请允许我向你们介绍我的主，这片宇宙的拯救者，伟大的“纯美”星神！！,开拓者：有多伟大？,银枝：随机强化祝福和获得祝福和拿走咕咕钟,开拓者：好伟大！"
"黄衣之信徒","保密","山东","525110772","5","异常生物","10000","3338","4","景元将军是块砖，,哪里有用往哪搬，,罗浮公职千千万，,没有景元都得散。,     ———将军又加班了"
"兴趣使然的大鱼","男","安徽","477853271","5","","10000","37","","景元当初那句话是真的“这仙舟罗浮上的麻烦事，是怎么也处理不完的。”"
"小不点不晓","男","四川","513207733","5","崩坏：星穹铁道","10000","568","7","霍霍：我天生容易招魂,鬼灯：我也天生容易招魂,霍霍：我来冥府后，我变成了判官,鬼灯：我来冥府后，我也是阎魔的判官,懂了，霍霍现在看起来弱不禁风，他或许战斗力也不低，毕竟鬼灯的战斗力大部分就是来自于他的怨气和被附身的鬼魂，霍霍也是被附身的[藏狐]"
"阿老师の小狗罢了","女","广东","1496634237","5","时光代理人收藏集","10000","1635","","崩铁前瞻总结：,BBXGD7M6KE5C,3TWGVP5P2XLY,BSFGUN5P3EL4,银枝 五星物理智识，下半卡池,霍霍 五星风系丰饶，上半卡池,寒鸦 四星物理同协，下半卡池,活动四星丰饶光锥「嘿，我在这」,全新银枝同行任务，版本活动主要角色为桂乃芬霍霍寒鸦"
"内卷摸鱼两手抓","男","湖南","1776271350","4","","10000","4","7","笑死"
"V-LOST","男","贵州","1763161948","4","","10000","182","","为了给隔壁腾出时间，把介绍活动的环节改成广告，你真的我哭死[脸红]"
"我不中奖一定是mhy干的","保密","湖北","628608287","5","","10000","585","","∧, [黑洞]:我将……永远存在,    v"
"汐沐KN","保密","广东","177716806","5","崩坏：星穹铁道","10000","76","11","省流：,星铁1.5前瞻直播总结：,一、兑换码,BBXGD7M6KE5C,3TWGVP5P2XLY,BSFGUN5P3EL4,过期时间：23年11月04日12:00,二、卡池,上半卡池：新五星藿藿 属性：风 命途：丰饶(四星：),下半卡池：新五星银枝 属性：物理 命途：智识 新四星寒鸦 属性：物理 命途：同谐(四星：寒鸦),三、活动:,1、狐斋志异(版本活动，送四星光锥),2、磐岩镇斗技表演赛,3、星旅寻影,四、新增内容/系统改动,1、新地图绥园,2、新开拓秘闻「狐斋志异」,3、新同行任务银枝「宇宙幻觉之夜」,4、新增两套隧洞遗器和两套位面饰品(第八世界Boos：彦卿),5、模拟宇宙(常规)技能树新增技能点可解锁在模拟宇宙中使用消耗品,6、新增忘却之庭编队记忆、重新挑战功能,7、新功能罗浮杂俎(论坛功能)；列车花名册,8、消耗品自动使用功能,9、新增登车角色：布洛妮娅，希儿，景元，藿藿,详情请看：【【星穹铁道】1.5前瞻直播总结(稍后补充遗漏的)-哔哩哔哩】 https://b23.tv/xq40npX"
