"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"林中之姜","男","无IP","456124901","6","","10000","92800","","粉毛 ,乐观 ,有活力 ,游戏名里有崩坏两个字,这debuff 都叠满了"
"海阔-凭于跃","男","无IP","396625503","5","","10000","7366","","证明三月七就是王小明,论证开始:,三月七是看似很随便的名字，王小明也是看似很随便的名字;,三月七名字取自蔡浩宇早年创作的轻小说《格物末世录》里的弥生奈奈月(游戏《娑婆物语》的前身)，与日本文化有关系，王小明名字取自《魔卡少女樱》中的“李小狼”，与日本文化也有关系;,三月七被捡到时失忆，王小明最开始也是失忆状态;,三月七有隐藏身份，王小明也有隐藏身份(假面骑士dacade)【大修卡首领】；,三月七是自恋狂，王小明也是自恋狂；,三月七被捡到时在冰块里，帝骑驱动器被捡到也在冰块里；,三月七代表色为粉色，decade代表色也是粉色【品红】(指正)；,三月七喜欢拍照，王小明照相机不离手；,三月七与列车有密切关系，王小明与列车也有关系(电王【音效】卡)；,三月七与主角团穿梭于各大世界，王小明也能穿梭于各大世界(世界的破坏者)；,二者从未同时出现过.,数字论证:,三月七→37，,王小明→decade，,按英文字母顺序为453145，,则(4+5)*(3+1)-4+5=37，,∴三月七=王小明,Q.E.D.,——你这家伙到底是什么人？,——我只是一个路过的________罢了，给我记好了！"
"部长jimlee","男","无IP","250686784","6","","10000","1470","","米哈游！[大哭][大哭][大哭]你要是敢刀三月七，我就拉个音响每天在你公司门口放：听我说谢谢你因为有你温暖了四季谢谢你感谢有你世界更美丽我要谢谢你因为有你爱常在心底谢谢你 感谢有你♂♂♂把幸福传递"
"油泼面吧丶","男","无IP","22033702","6","2233白色情人节","10000","15","","现在的三月七：来！大家一起拍个照哟～茄子！,,五年后的三月七：我会带着大家的祝福，继续前行。,我会冻结这片黑夜，放光芒延伸到更远的地方！"
"Bundy_","女","无IP","348397050","5","","10000","391","","总结一下，,米哈游出品的,自称本姑娘的,元气满满的,活泼乐观的,粉毛的,使用弓箭的,冰属性的,想必大家已经知道结局了吧[跪了]"
"影ZZZZZZZ","保密","湖南","2030294964","5","","10000","15","","看见了爱律的二段大我一下就想起了被封在冰里的三月七，接着我整个人都不好了，热评都说叠BUFF你来真的是吧"
"千人律者114514号","保密","无IP","673880621","5","","10000","143","","琪亚娜：芽衣，我们的孩子好可爱。,芽衣：是啊琪亚娜。,琪亚娜：你看他是粉头发的！,芽衣：琪亚娜，喜欢粉头发？,琪亚娜：你看他还会用弓箭。,芽衣：弓箭？琪亚娜...,琪亚娜：你看她的眼睛，蓝粉好可爱,芽衣:...,琪亚娜：芽衣，我们再去一趟往事乐土吧！再生一个像她这么可爱的宝宝。"
"莉莉安薇薇嘉","保密","无IP","37222661","6","崩坏3·天穹流星","10000","1053","","《粉毛》,《崩坏系列》,《活泼可爱》,《弓箭》,《从崩崩崩前文明退休的第十三律者粉色妖精小姐转生成铁道三月七是否搞错了什么》[藏狐]"
"空鸣逸雪","女","无IP","17893479","6","","10000","10","","关于为什么叫三月七我的一些考据：（只有我在评论区讨论一个日语彩蛋么w）, ,蔡浩宇第一个作品，同时flash大赛获奖的「娑婆物语」其中的主角名为，弥生奈奈月。,并在记忆片段中提到须弥、星空相关词语。, ,“弥生”是日本古历叫法三月。,“奈奈”是日语读音“七(なな)”的音译。, ,在「原神」稻妻主城的炼金台旁边，可以看见一个叫“弥生七月”的须弥学者NPC。,在「星穹铁道」里也有一个名字就叫“三月七”的角色, ,最近在考古游戏游玩过程中发现。"
"1个咖啡壶","男","无IP","13038279","6","异常生物","10000","10","","没玩过米家游戏的人只要记住一句话，玩他家任何游戏除非你小金库很充裕，不然大小月卡就是最好的游戏体验，没有之一，实在舍不得的小月卡也行，白嫖的话就很考验你的游戏理解和资源分配了。"
