"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"朝武伊莉雅","女","江苏","143376655","6","","10000","7407","","“地球这样的行星，是产生不了重元素的，你身体里的铁，来自璀璨的超新星爆炸”,        “血液里的锌，源自两次中子星对撞后喷射向宇宙的尘埃”,        “那微量的铜，更是需要见证一颗白矮星的死亡，即使是最微不足道的钴，也源自几十亿光年外的星云”,        “某种意义上讲，人类对星空怀有好奇，是正常的。”,        “渴望见证星河大海的极限，因为我们本就是星辰之子。”（以前看到的，很喜欢[坎公骑冠剑_吃鸡]）"
"遥山青","保密","北京","29648662","6","","10000","10437","","前排已经把这位教授获得诺贝尔奖介绍的差不多了，这里稍微更多地科普一下吧：,在天文学的系外行星领域，只要写文章写道：“自1995年人类发现第一颗绕类太阳恒星公转的系外行星飞马座51b以来”，就一定会引用这位教授的文章。可以说，迪迪尔·奎罗兹教授是系外行星领域的祖师爷级的人物。老米能请到这样的祖师爷级人物，可以说是震惊我一整年[跪了]"
"帕底亚龙系泥头车","男","福建","12436046","6","原神","10000","9451","6","愿未来，国籍与肤色不再是阻挠我们的围栏,愿未来，核能不再是巨大的烟云，而是发动机的热焰,愿未来，我们能离开摇篮，遨游行星与银河之间,愿未来，我们告别童年，终抵群星的彼岸！"
"崩杯星穹铁道","男","北京","350193996","5","","10000","18764","","迪迪埃·帕特里克·奎洛兹，瑞士天文学家，现就职于剑桥卡文迪许实验室。在日内瓦大学读博士时，他和米歇尔·麦耶共同发现了围绕主序星的首颗太阳系外行星。奎洛兹用径向速度测量的方法分析了飞马座51，结果发现了一颗轨道周期为4.2天的行星。这颗行星就是飞马座51b，挑战了当时正统的关于行星形成的见解。2019年诺贝尔物理学奖获得者"
"叱咤月海鱼鱼喵喵猫","女","吉林","352321582","6","","10000","4985","","是真的诺贝尔,迪迪埃·奎洛兹（Didier Queloz），1966年2月23日生，瑞士天文学家。在寻找太阳系外行星方面颇有贡献，《卫报》称，奎洛兹在日内瓦大学攻读博士时（1995年），和米歇尔·麦耶共同发现了围绕主序星的首颗太阳系外,行星。,2019年10月8日，获得2019年诺贝尔物理学奖。"
"丶爱莉希雅丶","保密","广东","124063662","6","崩坏：星穹铁道","10000","5242","","作为一个业余的航天爱好者，我深切地感受到相比于外国来说，国内的航天天文讨论氛围并不是怎么热烈。崩铁的研习会恰恰给国内的中文互联网提供讨论相关科学的一个平台，这是极好的。地球是人类的摇篮，但是人类迟早要走出这个摇篮。生活不仅仅是眼前的苟且，还有远方的长征九号。中国人可以为自己国家在航天事业方面取得的成就感到骄傲，但我希望的是，中国人更应该为中国为何在受到外国排挤的时候仍然取得如此傲人的成绩而骄傲。探索星空，永无止境，国内如此，国外亦如此。"
"永恒流星","男","广东","783421","6","","10000","48","","今年真是科幻的丰收年。电视剧《三体》上了，电影《流浪地球2》上了，现在又有了游戏《崩坏 星穹铁道》。作为一个读着凡尔纳的《太阳系历险记》入门的老科幻迷，真是做梦都想不到会有今天。,话说，《三体》被《狂飙》压了；《流浪地球2》被《半河绿》阴了，能击败《崩坏 星穹铁道》的会是谁呢[笑哭]"
"贤惠暴君","保密","马来西亚","369953469","5","","10000","2085","","别总说mhy给了多少多少钱请人来了这又不是很难的事。,这种级别的人物，只要厂商愿意，又有诚意，人家也是很愿意为了科普事业做贡献的。至于这个诚意是什么东西，倒不一定是钱。不给钱都没事。,,不要把国际政治等世界局势套在他们身上试图给他们套上枷锁。基础研究者的眼界如果到了一定的高度，狭隘的民族主义，甚至国家概念对他们来说都没有什么意义。在他们眼前除了宇宙真理，就只有作为人类的认知了。"
"安眠金平糖","女","四川","172497298","5","","10000","94","","感觉这是整活的，跳到 08:25 就可以知道这次科普的高度了,太震撼了，人类的文明还没有越过童年，还没有走出地球，抵达群星，但是人类已经手握毁灭自己的武器了……正如弹幕所说，一语点醒梦中人，这样的思维高度……,这些天体物理学研究者就是开拓者，他们在还无法在群星间迈开大步的时候穷尽一生去开拓人类的视野，用一种超然的浪漫去达到一种超然于无数事情的高度，向这些天体物理研究者以及所有为未知领域饯行此生的学者致敬[打call][打call][打call],（而且米哈游有知识它是真的科普，从这个点它就已经超越了很多游戏的内涵，或者说它达到了一个真正的我们期待的“健康”游戏的高度，走出了纯娱乐和圈钱的圈子，无论是游戏内行领域还是美工音乐文化输出亦或价值观的传递，这就是我真正喜欢米哈游的原因！花钱请诺奖获得者来科普群星，这是为了名气还是圈钱？我可太爱米哈游了！）,所以愿此行，愿人类的未来，终抵群星！"
"tndwelcome","男","天津","155802","6","星座特典","10000","66","","费米悖论还可以这样理解吗，整个意义都不一样，仿佛打开了新的世界[笑哭]"
"黑塔塔塔塔_","保密","浙江","383446555","3","","10000","7","","最后那段想起了《人是__》里面的“生命本就是意外”和“是微茫中高歌的族类”。有关人类、文明意义的思考，这种人文关怀真的很喜欢啊！mhy，你小子，多来点这种东西[保卫萝卜_哇]"
"在蓝色的世界","保密","广东","18125960","6","","10000","56","","黑塔女士：肿么回事？[惊讶]介绍完列车，接下来不应该介绍我的空间站相关的知识吗？竟然跳过了我的空间站，直接介绍星球了？！"
"算不准命的","男","北京","39783948","5","良辰美景·不问天","10000","18","8","当我第一次因为星空而震撼感动时，尚未满十岁，从那时起我便想解开这浩瀚太空的奥秘。时至今日，虽然仍然行走在曾经所想的路上，但尚只埋首于些微基础理论的学习。终日伏案的人少能看见头顶的星空，虽不停前进，却也难免迷茫。,崩铁从封闭性内测开始玩，一直到现在，先前只是图个二次元的审美，文案组的发病，还有轻松诙谐之间夹杂众生百态黑色幽默的剧情，以及在我们看来很有趣的宇宙背景和设定。测试之后推荐给了室友，于是一宿舍理科宅齐刷刷抢票上车，当作假日团建。本来轻轻松松，直到一脚迈入列车的车门，一首Take The Journey破了我的防顺手上了个沉默，仿佛又回到了十几年前，某个小镇里某个仰望星空的小屁孩。,本来这点不值一提的瞎感动也没必要发个评论伤春悲秋，但看到了老米整的这诚意满满的活，我还是想说说。不知道从哪里看到的，说这次老米的崩铁是献给玩家的一首情诗，我觉得确实如此，无论作为一个玩家，还是作为一个学生[不问天_prpr][不问天_赞]"
"鸦羽相簿","保密","未知","442718254","3","","10000","395","","00:56 系外行星系统,本期视频主讲人，迪迪尔·奎罗兹，2019年诺贝尔物理学奖得主，正是他于1995年宣布他们首次发现了视频中提到的“热木星” 飞马座..."
"墨色的龙","保密","四川","12899763","6","","10000","107","","迪迪尔·奎罗兹是谁？,让我问问ChatGPT,迪迪尔·奎罗兹（Didier Queloz）是一位瑞士天文学家，他与米歇尔·迪梅尼兹（Michel Mayor）一起发现了第一颗系外行星。他于2019年获得了诺贝尔物理学奖。"
"芳染其人","保密","浙江","173474894","5","少女前线","10000","5","","哈哈哈，被抽象大手子拿去当论据了，经典断章取意，特地来补完整版"
"大头鲸鱼阿云","保密","广东","451449805","5","茶啊二中","10000","431","","一个一局给我八个奇物的好朋友，在最后boss前背刺了我[大哭]，我要向你们分享我的绝望"
"调低桑","保密","广东","45089908","6","原神","10000","1928","","fly me to the moon[doge]"
"紫薯玉米球_","保密","山东","441541635","5","咩栗","10000","64","","其实这个视频让我觉得“愿此行终抵群星”这句话不只是游戏内了，更像是对人类的祝福，人类若能摆脱自身的束缚，世上不再有不公，那么终抵群星便也不是畅想了。人类的内耗使其无法有可以一起奋斗的目标，向着太空在现在更像是国家之间取得优势的一种手段。但面对群星的是整个地球，而非分裂的人类，这样想的话其实人们要走的路还很长很长。（个人小小见解，有不对请指出ovo）"
"银河下的观星者","女","湖北","179597192","6","","10000","1173","","这片星海容得下任何可能性！（图来自于詹姆斯韦伯太空望远镜）"
"泉奈VI","男","浙江","32266005","6","","10000","42","","迪迪埃·奎洛兹瑞士天文学家、2019年诺贝尔物理学奖获得者,迪迪埃·奎洛兹（Didier Queloz），1966年2月23日生，瑞士天文学家。在寻找太阳系外行星方面颇有贡献，奎洛兹在日内瓦大学攻读博士时，和米歇尔·麦耶共同发现了围绕主序星的首颗太阳系外行星。2019年10月8日，获得2019年诺贝尔物理学奖"
"Dream_星","保密","未知","522397861","5","崩坏：星穹铁道","10000","358","","【中英对照】,We have to face a reality nobody would have imagined, not even the bes..."
"Re-Atopos","男","湖北","170639118","5","良辰美景·不问天","10000","322","","群丰饶，来招收丰饶信徒[保佑][保佑][保佑][保佑]「....一时千手慈怀药王游化诸界，与莳者九万九千九百九十九人俱，住罗喉下，而为说法....说是语时，莳者九万九千九百九十九人俱，皆断生老病苦....药王慈怀，建木生发。莳者一心，同登极乐。」"
"HBK08的狱卒","男","陕西","64825097","6","","10000","139","","好啊帕姆哥，那我和三月七今晚就去睡你家吼[tv_调皮]"
"黑豹裂空a","保密","新疆","1004038142","4","","10000","371","","一个科普向视频，本来就该慢慢看。有些人非要催促更新游戏，着急就玩别的去别在这刷"
"圣殿大祭司","保密","福建","157595598","6","梦塔·雪谜城","10000","194","","是啊，这片宇宙太大了，人类这种短生种难以领略其奥妙万一。所以加入我们吧，投入到伟大的丰饶之神的怀抱，得享长生久视，尽情探索这片星辰间的奥秘吧[保卫萝卜_哇]"
"魔方人滚出仙舟","保密","浙江","20186845","5","","10000","190","","真诺贝尔奖，我懂了，这是真二次元[崩坏3·光辉矢愿_惊]"
"七曜学徒","保密","福建","86245621","6","崩坏：星穹铁道","10000","177","","老实讲，一开始我以为研习会是围绕“崩铁”展开的对世界观科普，也就是补设定，都是科幻的补充。,结果你米家给我来真的[辣眼睛]又是教授又是诺贝尔奖，我还是头一次看二游这样搞"
"JiaLibra","保密","江西","102401222","5","崩坏3·天穹流星","10000","79","","[tv_冷漠]"
"君前落羽花","男","广东","512082773","5","C酱です","10000","6206","","让我看看谁要把剑桥大学说成二本[嗑瓜子]"
"wdfas","女","德国","35304975","6","中野三玖","10000","152","","其实大佬说的正是如今很多科学家，有名气的，没名气的，各个领域的科学家都想说的。,很多真真正正有能力的科学家不关心政治，因为他们的研究远超一国一地的政治，他们已经看到了更遥远的更大的能够灭绝一个种族一个文明的危机。,宇宙存在无限的可能性，谁也不也不知道哪天就会再飞来一颗灭绝了恐龙的甚至更大的陨石，或者哪来来个射线暴刚好经过地球，然后我们就无了。哪怕这些小概率事件小到可以忽略不计，但当这种事件能灭绝全人类，你就不能忽略它们。,同时哪怕这些事件永远不发生。人类内部也存在严重的危机。首先就是大佬说的，战争，人类总是在互相争斗，不知道哪天我们就嘎的一下，自杀了。即使抛开战争不论，像大佬说的，相信人类的理性，文明灭绝级别的战争永远不会爆发。人类内部依然存在别的危机，而且也已经开始看到明显的端倪了。那就是科研消耗的资源的不断攀升，导致最前沿的研究哪怕对于小破球上最大的国家都成了沉重的负担。那么几乎可以遇见，终有一天，科研突破所需要消耗的资源是必须全人类联合才能负担得起的，人类不团结，科学不突破，我们就直接困死在小破球上，然后回到第一个问题，不知道哪天宇宙抽一抽，我们就没了，或者我们自己在地球上互相抢越来越多的资源，自己就把自己抢没了。,很多科学家都明白这个道理，但是他们没法用这样的道理说服民众和政治家，因为对于寿命只有几十年的绝大多数人来说，谁会关心几百几千甚至上万年后人类文明是死是活呢？"
"Faulheit","保密","湖北","5728778","6","初音未来13周年","10000","1161","","[笑哭]"
"等待mhy道歉的米游伥","男","山西","10896289","6","七濑胡桃","10000","226","","2019年诺贝尔物理学奖同时授予了系外行星和宇宙学领域，以表彰天文学家米歇尔·梅耶(Michel Mayor)与迪迪尔·奎罗兹(Didier Queloz)在系外行星发现上做出的突出贡献，以及理论宇宙学家詹姆斯·皮布尔斯(James Peebles)从理论角度为现代宇宙学物理体系的建立做出的杰出贡献。,诺贝尔奖委员会给出的理由是“为我们理解宇宙的演化和地球在宇宙中的位置做出的贡献”，以他们3人为代表的科学家们为人类在现代科学的框架下重新认识自身与宇宙的关系提供了重要思路。一方面，让人类重新思考我们所生活的这个星球在宇宙中是否是独一无二的，对探索系外宜居星球和寻找外星生命非常重要; 另一方面，使我们能够更加精准地把握宇宙演化的历史脉络，更加清楚地了解我们生活的这个宇宙的前世今生。,此3人中，实验天文学家梅耶和奎罗兹一起发现了飞马座51b，这是第一个被人类发现的绕着类太阳恒星飞马座51运转的系外行星；而理论宇宙学家皮布尔斯在原初核合成、暗物质、宇宙微波背景辐射(cosmic microwave background，CMB)和大尺度结构形成等现代宇宙学的重要领域做出了关键的理论贡献，是开拓精确宇宙学时代的标志性领军人物。,这两个领域在近二三十年内展现出了蓬勃生机。21世纪，伴随着先进技术的发展，系外行星和外星生命的研究有了爆发式的发现。至此，宇宙学领域已经获得4次诺贝尔奖，分别是宇宙背景探测者卫星、宇宙加速膨胀的发现、引力波的探测，以及此次的2019年诺贝尔物理学奖，它们使当代宇宙学获得了广阔的发展前景。"
"记忆_浮黎","保密","江苏","3493109944027757","4","","10000","1813","","亲爱的朋友，我是欢愉星神阿哈，刚才找乐子的时候不小心被克里珀给造墙围了起来，我现在急需你的帮助，只要给我小小的五十块，助我脱困，事成之后，我必定授予你欢愉命途，让你成为我的第一令使[doge][doge][doge]"
"c呆-","保密","上海","623288750","5","","10000","135","","各位晚上好，贴吧的漆黑农具除外"
"十八世纪传奇","男","北京","244601265","6","","10000","136","","这位是真的能拍着胸脯说：“此后每当有人将目光望向太阳系之外的广阔银河，他便要赞颂我的名”[tv_笑哭]"
"blackhom","保密","陕西","179960832","6","","10000","75","","[吃瓜][吃瓜][吃瓜]"
"泠风菌","男","广东","16844592","6","崩坏：星穹铁道","10000","137","7","好家伙 全英语是吧 有内味了 01:28"
