"昵称","性别","IP","UID","等级","装扮","用户权重","获赞数","粉丝团等级","评论"
"一只芽衣厨","男","河南","549754464","5","","10000","1919","","很喜欢这种知识左耳朵进，右耳朵出的感觉。  08:39  小三月可爱捏。[崩坏3·终焉归始_优雅]"
"失散的草神瞳","保密","山东","171271430","5","","10000","653","","这就是贴吧带给我的自信[大笑]"
"御侮Resist","保密","北京","486700957","5","","10000","462","","过来上课！！！@HuangFuRen ,对于如图所示，此列车应用原理和电磁炮相同，为电磁感应原理。过程中我们需要运用到左手定则和安培定则。,我们先使用左手定则，根据炮弹（列车，下述称为炮弹）所需发射的方向确定电流方向为图中线圈的顺时针方向，再根据电流方向使用安培定则确定出磁感线为（垂直于电流面向里）。,设计最终速度值和加速所用时间（也可以用x=1/2at联立V=at求得x=1/2vt进而求时间），动量定理求解，得出合力大小；根据摩擦力公式变式Ff=μmg 求摩擦力大小，并与合力共同求出所需电磁感应力（安培力，这里只是方便说明），在稳定的恒定电流I的特殊情况下，磁场电流I是由毕奥-萨伐尔定律（描述电流元在空间任意点P处所激发的磁场，有电流大小推电磁感应强度）反推求得，又安倍公式F=BIL的安培力大小（或“洛伦之力”公式F=qvB的洛伦兹力）两式联立，算出所需电流大小，根据闭合回路欧姆定律一系列公式去求需要的电源电动势。这次我们获得了所需的基本数据，为理论的大部分数据，一切还得装后测试真实数据。,值得注意的是，炮弹加速过程中需始终紧贴导轨，保持磁通量最大和电流流通状态。"
"鱼一框","保密","未知","25253795","6","","10000","1459","","倒是不必对列车这概念这么执着。,列车是什么。,第一，有轨道，第二，多个车厢串联，第三，有独立的推进装置。,那么，天宫空间站也是列车,首先，他有固定的环绕地球轨道,其次，他是多个舱串在一起，正常情况下五个舱，以后可以……,最后，他是电力驱动！,这个轨道发射经常被认为是太空电梯的前置科技。,原因是建造太空电梯的数百万乃至于千万吨级物料从地球上发射基本上属于（），除非有一种相对来说比较低成本的投送方式。,太空电梯优势是低速航天，轨道发射和火箭都有巨大过载。,快开服！"
"弦花落印","男","重庆","400464460","6","良辰美景·不问天","10000","6230","","啊，这种知识穿脑而过，却没有留下任何东西的感觉[捂脸]"
"仙家军不卜庐小陈中医","男","未知","6446922","6","灵笼","10000","3289","3","理科生不要错过这个视频 有大佬,其实挺有意思的 ,科普我一直秉承的一个概念,苦涩的知识 应包有糖衣 ,让更多的人对星空 对物理 对医学感兴趣 ,人类的未来..."
"摸鱼大队温迪","保密","江苏","1632060047","5","","10000","127","","赶紧开服吧，我已经等不及要给奥托抽满命了[热]"
"贪饕_奥博洛斯","保密","重庆","193242084","6","","10000","168","","我问了一下物理学博士，他说这个不可能[笑哭]"
"在蓝色的世界","保密","广东","18125960","6","","10000","12","","本来还担心硬核科普可能会有点无聊，或者扯太多二次元会有一点尴尬。结果没想到一口气看完了，竟然还有一些不过瘾。这节目远超期待，大赞！[打call]"
"皛汐xxx","保密","安徽","39739975","6","","10000","6","","18号研习会，21号还有个什么，23应该是预下载，25号还有个活，然后26开服[脱单doge]"
"丹樨木","保密","湖南","37958498","6","","10000","1538","","当我看完视频退出去后：6"
"阿巴阿巴哈士奇","保密","广东","27155801","6","","10000","8","","看前瞻直播的我：,这主题曲没有捕风的异乡人震撼，⑧太彳亍,看到这个画面的我：,真TN是个神曲！很有浩瀚星空广阔无垠的feel啊！,果然米哈游的策划只需要学会怎样花式给编剧、美工和编曲磕头，就可以应聘去上班了[脱单doge]"
"花椒い","保密","河北","44901217","6","三周年恋曲","10000","4","","看之前：我就一臭打游戏的，你把我当傻子啊？！    看之后：完了，我是傻子[doge][doge][doge]"
"多巴胺中毒者","保密","福建","21486338","6","","10000","5160","","研究方向是可控核聚变的准研究生狠狠感动了，正是怀着星辰大海的梦想，才选择这充满荆棘的道路，去打破永远的50年"
"刘华强卖瓜笑嘻嘻","男","河南","14934048","6","崩坏3·天穹流星","10000","9","","人类对未知星空的探索从来没有停止过，从人类诞生以来，飞上天空就是人类共同的愿望，也因为这个愿望，人类创造了万户飞天的传说，制造了飞机，向往更加遥远的世界，那就是宇宙，宇宙对于我们来说充满未知，现在我们有了载人航天飞船，也仅仅只能登上月球，但人类对宇宙的探索在我看来是属于人类的浪漫，因为这份愿望，人们创造出了科幻类的文学作品，在脑中构建出人类想象中的宇宙，有时候感慨觉得人类在宇宙中小得如沙漠中的一粒灰，但又感慨大自然给人类进化出了一个能够比拟宇宙的大脑，宇宙是无限的，人类的想象力也是无限的。所以希望不久的将来，人类的想象力可以带领科技水平再创新高吧。"
"花兔紙X柔柔","保密","中国台湾","2944638","4","原神","10000","6","8","雖然很開心，嘴上也「哇哇哇」的大叫，但腦子是混亂且過載的。(Д≡д)!?,,現在的我只能處於「好漂亮、好厲害但不明白」的狀態。(；ω；`),,反正人類終有一日能去宇宙星海中旅行吧！,(｀ω),,雖然我可能看不到，但我能玩鐵道！(  )"
"滴可诶悠可欸","男","河北","283631563","6","2020拜年祭（鼠）","10000","1606","","他们居然在认真考虑怎么把火车送上太空[辣眼睛]"
"纳西妲全自动笑点解析","保密","上海","355829734","5","神乐七奈","10000","338","","我刚才问物理学博士了，他说列车不可能在太空飞行"
"脚只是装饰而已","保密","上海","5716396","5","","10000","5410","","说句实在的，一个游戏公司给一个没上线的游戏，在游戏外整出这么个有格局还浪漫的大活，就该赏。赏不了10000，一个版本一个大小月卡还是赏的起的。要是不凑巧因为这个视频种下了未来中科院院士的苗子，那功德不得+10086[脱单doge]"
"EREC","女","浙江","30273039","5","新月冰冰","10000","433","","居然玩真的，我以为会用万能的崩坏能解释呢"
"狼的本性","男","河南","11279175","6","2020拜年祭（鼠）","10000","203","","09:20 当这个画面出现和bgm的响起，那一刻我居然有点泪目，这可能就是科学的浪漫吧[异常生物见闻录_开心]"
"泠风菌","男","广东","16844592","6","崩坏：星穹铁道","10000","154","7","08:34 三月七可爱滴捏"
"-_-起名字好难","保密","广东","647909773","5","","10000","161","","谁又能知道我们现在玩到的游戏未来不会变为现实呢 09:21"
"摸鱼大队温迪","保密","江苏","1632060047","5","","10000","127","","赶紧开服吧，我已经等不及要给奥托抽满命了[热]"
"可希KEXI","保密","广东","544137289","5","","10000","44","","不知道为什么我突然就懂了……"
"和泉纱雾有点傻","男","山东","11890554","6","良辰美景·不问天","10000","895","","我看你也很急，要不今天开服吧[doge]"
"冷吃兔斯基","男","天津","32262928","6","崩坏3·天穹流星","10000","799","","冷知识，去年米忽悠投了一家核聚变公司[囧][囧],你来真的啊，阿珍"
"花生四烯酸丶","女","浙江","11757972","6","","10000","846","","热知识，米哈游真的有投资火箭事业[脱单doge][脱单doge][脱单doge][脱单doge]"
"银发三千雪满头","保密","未知","407843750","6","","10000","1063","","好家伙，以后我这科普直接失业[崩坏3_哭哭哭]"
"宫崎狗沫","保密","江苏","201691516","6","","10000","736","","Tim牌面啊！还有！开门啊！我要憋不住了！[保卫萝卜_哭哭]"
"透明なコラル","保密","广东","280725237","5","","10000","656","5","“有两样东西，人们越是经常持久对之凝神思索，它们就越是使内心充满常新而日增的惊奇和敬畏：我头上的星空和我心中的道德律。”"
